ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.1513672,-1.006348,0.1743164,-0.2993164,0.515625,0.2617188,0,1,-2,1,10,4,4,0,3,-3,-8,-11,-3,-6,-4,-3,-29.375,-29.375,-29.375,-37.6875,-37.6875,-37.6875,2.700528,4.761665,2.429969,6.975815,6.072069,5.456573,0.2162655,-0.1992085,1.469253,0.3467448,-0.005699778,1.306635,0.117475,0.2448745,1.608967,0.1971709,-0.1225219,1.467582,0.3288683,0.0156699,1.337615,0.1274239,-0.1773234,1.610173,0.1277198,-0.4787413,1.583064,-0.03313917,-0.009238474,1.571813,0.05316978,-0.4688019,1.551107,-0.0446567,-0.1957585,1.439199,0.3421268,-0.2532299,1.490929,NA,NA,Unknown,Lasso,
0.1230469,-0.9726563,0.1694336,-0.3540039,0.394043,0.1806641,2,1,0,-1,-18,3,4,2,-6,3,4,2,0,4,8,2,-16.75,-16.75,-16.75,-11.8125,-11.8125,-11.8125,2.682472,4.79012,2.42662,6.937214,6.383857,5.4294,0.2203058,-0.1983414,1.467241,0.3423526,0.04436187,1.325833,0.1166011,0.2448863,1.609598,0.2162606,-0.1256315,1.474204,0.3365465,0.09722362,1.334143,0.1270612,-0.1773134,1.610482,0.1276209,-0.4787729,1.583072,-0.03321571,-0.009262784,1.571736,0.05309685,-0.4687897,1.55099,-0.04354988,-0.1954416,1.438486,0.3434421,-0.249341,1.486899,NA,NA,Unknown,Lasso,
0.09033203,-1.012207,0.1411133,-0.3510742,0.4135742,0.1694336,-2,1,-1,0,5,-5,-22,-4,5,5,0,1,3,0,3,0,-11.5625,-11.5625,-11.5625,-13.1875,-13.1875,-13.1875,2.676848,4.807789,2.42987,6.914176,6.509223,5.409708,0.2246934,-0.1932577,1.464801,0.3394655,0.0886917,1.342831,0.1158468,0.2449944,1.610258,0.2163641,-0.130765,1.474788,0.3459406,0.1480513,1.409333,0.1265498,-0.177225,1.611097,0.1274095,-0.4787369,1.583233,-0.0333287,-0.009288088,1.571731,0.05301362,-0.4687285,1.550987,-0.04167019,-0.1951308,1.437809,0.3447927,-0.2240539,1.486105,NA,NA,Unknown,Lasso,
0.06347656,-0.987793,0.1416016,-0.5444336,0.3549805,0.07666016,-4,-5,-3,-5,-6,11,21,7,-7,-4,-1,-7,-5,-1,5,-9,-11.5625,-11.5625,-11.5625,-37,-37,-37,2.658403,4.885655,2.461466,6.81651,6.752922,5.350785,0.2231062,-0.1680761,1.463619,0.3368606,0.1086204,1.361104,0.1151908,0.2448131,1.610784,0.2119785,-0.09630046,1.465078,0.3023293,0.109139,1.404,0.1261984,-0.1771818,1.611434,0.1273559,-0.4787254,1.583246,-0.03344778,-0.009337453,1.571725,0.05296756,-0.4687022,1.550941,-0.04118731,-0.1950607,1.437582,0.3428749,-0.2117428,1.476182,NA,NA,Unknown,Lasso,
0.05908203,-1.028809,0.04882813,-0.7915039,0.2890625,-0.1645508,0,0,5,0,-3,-3,10,2,8,2,-1,3,6,1,-3,7,-9.75,-9.75,-9.75,-12.75,-12.75,-12.75,2.644396,4.933483,2.497872,6.814456,6.855815,5.368349,0.2262208,-0.158753,1.456641,0.330953,0.1351638,1.384515,0.1131569,0.2452133,1.612152,0.3257196,-0.1227225,1.4352,0.3005604,0.1232322,1.42825,0.1258693,-0.1769461,1.611864,0.1272062,-0.4783748,1.583357,-0.03365282,-0.00937324,1.571781,0.05290198,-0.4684713,1.55099,-0.03998942,-0.1947779,1.437071,0.3495035,-0.2015077,1.465735,NA,NA,Unknown,Lasso,
0.06005859,-0.9980469,0.07910156,-0.06933594,0.3720703,0.2456055,2,4,3,4,21,6,-5,-3,10,5,-3,-3,-3,-3,0,-2,-31.8125,-31.8125,-31.8125,-23.6875,-23.6875,-23.6875,2.611383,4.965747,2.542636,6.73325,6.877971,5.317081,0.2262025,-0.1539913,1.455064,0.3288727,0.1392418,1.390019,0.1121359,0.2451015,1.612784,0.203888,-0.08429645,1.460648,0.3045545,0.1042616,1.437333,0.1257227,-0.1768773,1.611968,0.127058,-0.4781216,1.583308,-0.03392532,-0.009433194,1.571921,0.05280999,-0.4683134,1.550978,-0.03995311,-0.1947037,1.436994,0.3508914,-0.1992726,1.46191,NA,NA,Unknown,Lasso,
0.02832031,-0.9887695,0.1455078,-1.222656,0.2275391,0.112793,-4,-1,-2,-3,-13,-6,-8,-4,-20,-16,0,2,3,9,-3,-3,-23.125,-23.125,-23.125,-23.4375,-23.4375,-23.4375,2.573108,4.973055,2.581141,6.687981,6.900092,5.290612,0.2269868,-0.1532082,1.454162,0.3254777,0.144441,1.395305,0.1093741,0.2450852,1.614361,0.193093,-0.08147076,1.456093,0.291592,0.1322102,1.433833,0.1253178,-0.1766389,1.612395,0.1269794,-0.477668,1.583288,-0.03442747,-0.009670224,1.572018,0.05280212,-0.4680105,1.551055,-0.04171345,-0.1946063,1.436662,0.3519428,-0.1973132,1.457752,NA,NA,Unknown,Lasso,
-0.004394531,-0.956543,0.1298828,-0.9272461,0.2861328,0.1958008,-1,-3,-2,-4,-17,-12,2,-3,18,9,7,5,1,-7,-30,-4,-13,-13,-13,-22.0625,-22.0625,-22.0625,2.564736,4.962571,2.581644,6.655121,6.887331,5.288984,0.227871,-0.1502021,1.455073,0.3244721,0.1444387,1.392956,0.107754,0.244907,1.615186,0.1921658,-0.07814226,1.456563,0.2944295,0.126702,1.429322,0.1251134,-0.1766008,1.612551,0.1268995,-0.4775145,1.583316,-0.03484771,-0.009772151,1.572326,0.05275777,-0.4679106,1.551182,-0.04247512,-0.1943178,1.436412,0.3521383,-0.1971011,1.457391,NA,NA,Unknown,Lasso,
-0.06152344,-0.9794922,0.07519531,-0.9814453,0.3164063,0.2075195,-4,0,-6,-5,0,4,-2,-4,7,0,4,5,9,1,-12,1,-12.6875,-12.6875,-12.6875,-14.8125,-14.8125,-14.8125,2.554373,4.954305,2.574875,6.678496,6.872669,5.339224,0.2247304,-0.1502981,1.456852,0.3216451,0.1439728,1.391032,0.1067742,0.2446217,1.616193,0.1918271,-0.07812198,1.458349,0.2844903,0.1537704,1.419667,0.1248743,-0.1765382,1.612823,0.1268192,-0.4773453,1.583367,-0.03507521,-0.009806727,1.57254,0.05270455,-0.4677676,1.55134,-0.04326818,-0.1941154,1.436312,0.3518805,-0.1971148,1.45713,NA,NA,Unknown,Lasso,
-0.04296875,-0.9985352,0.04248047,-0.9570313,0.340332,0.230957,-1,0,1,-2,-4,-7,3,2,6,1,0,-1,-3,0,7,3,-5.625,-5.625,-5.625,-8.8125,-8.8125,-8.8125,2.546364,4.953279,2.57831,6.700436,6.863151,5.368899,0.2269855,-0.1502083,1.455883,0.3166717,0.1433752,1.386882,0.1054586,0.2445994,1.617071,0.1911295,-0.07744309,1.457101,0.2833092,0.1400688,1.421473,0.1246721,-0.1765102,1.612954,0.1267179,-0.4771657,1.58335,-0.03542148,-0.009878316,1.572821,0.05261358,-0.4675941,1.551449,-0.04404628,-0.1939046,1.436208,0.3517488,-0.1969534,1.456686,NA,NA,Unknown,Lasso,
