ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9404297,-0.3120117,0.02832031,-0.3974609,0.8769531,0.3081055,-3,0,0,-1,0,-1,0,-2,10,16,27,0,-4,-6,0,7,-3.375,-3.375,-3.375,-0.4375,-0.4375,-0.4375,2.56404,3.019408,7.871564,7.026827,5.66274,0.1114635,-0.0746117,-0.5224758,1.463601,0.3413259,-0.1301214,1.349072,0.1301073,0.251152,1.537405,-0.1191539,-0.5224824,1.462786,0.3383412,-0.1965925,1.305504,0.1260249,-0.1766851,1.544092,0.1164696,-0.4811567,1.523165,-0.03512879,-0.009392465,1.54546,0.04192188,-0.4715079,1.500948,-0.06999063,-0.2614832,1.546471,0.3348008,-0.2073634,1.551173,NA,NA,NotTracked,NotTracked,
0.9404297,-0.3120117,0.02832031,-0.409668,0.8554688,0.2661133,-3,0,0,-1,0,-1,0,-2,-3,-6,13,6,5,8,11,9,-3.375,-3.375,-3.375,5.0625,5.0625,5.0625,2.56404,3.019408,7.871564,7.023536,5.67697,0.1047364,-0.07437982,-0.5230531,1.462577,0.3410561,-0.1297706,1.347178,0.1300271,0.2511411,1.537393,-0.1231656,-0.5038575,1.473042,0.3377334,-0.1950746,1.304496,0.1260446,-0.1766597,1.543985,0.1164116,-0.4811268,1.523067,-0.0351288,-0.009459203,1.545492,0.04186948,-0.4714729,1.500886,-0.06990618,-0.2614869,1.546361,0.3346677,-0.2064974,1.553191,NA,NA,NotTracked,NotTracked,
0.9404297,-0.3120117,0.02832031,-0.4379883,0.8696289,0.2900391,-3,0,0,-1,0,-1,0,-2,-14,-8,-6,2,3,0,-9,-11,-3.375,-3.375,-3.375,-1.375,-1.375,-1.375,2.56404,3.019408,7.871564,7.021964,5.684991,0.09996617,-0.07442641,-0.5226498,1.462508,0.3409843,-0.1284001,1.345976,0.1299858,0.2511522,1.537413,-0.121516,-0.5292695,1.458905,0.3371677,-0.1937651,1.298487,0.1259829,-0.1766384,1.543874,0.116339,-0.4811062,1.52287,-0.0351183,-0.00945197,1.54549,0.04178407,-0.4714608,1.500784,-0.06983374,-0.2616858,1.546219,0.3345522,-0.2062097,1.553823,NA,NA,NotTracked,NotTracked,
0.9404297,-0.3120117,0.02832031,-0.4375,0.8466797,0.2626953,-3,0,0,-1,0,-1,0,-2,2,-15,-18,-14,-6,-1,2,5,-3.375,-3.375,-3.375,-2.125,-2.125,-2.125,2.56404,3.019408,7.871564,7.0209,5.6895,0.1000672,-0.07463424,-0.522356,1.462563,0.3408839,-0.1255381,1.342995,0.1299826,0.2511531,1.537414,-0.1221103,-0.5531046,1.4676,0.3367372,-0.1881246,1.292122,0.1259982,-0.176602,1.543805,0.1163434,-0.4810901,1.52278,-0.03506592,-0.009430301,1.545447,0.04178767,-0.4714508,1.500724,-0.06979265,-0.2617075,1.546053,0.3318274,-0.2168713,1.54845,NA,NA,NotTracked,NotTracked,
0.9404297,-0.3120117,0.02832031,-0.4355469,0.8676758,0.2583008,-3,0,0,-1,0,-1,0,-2,-4,30,37,0,-3,0,0,11,-3.375,-3.375,-3.375,23.5,23.5,23.5,2.56404,3.019408,7.871564,7.060784,5.695389,0.09069005,-0.07445507,-0.5228996,1.462882,0.338617,-0.1032233,1.316164,0.1298833,0.251065,1.537395,-0.1223396,-0.5025735,1.46972,0.3255894,-0.1394764,1.247476,0.1259857,-0.1766281,1.543587,0.1163085,-0.4811361,1.522527,-0.03503546,-0.009544763,1.545321,0.04172562,-0.4714933,1.500385,-0.06974218,-0.2616198,1.545585,0.3407472,-0.2221426,1.565689,NA,NA,NotTracked,Unknown,
0.9404297,-0.3120117,0.02832031,-0.4746094,0.8193359,0.2260742,-3,0,0,-1,0,-1,0,-2,-5,-23,-17,-5,-1,1,2,7,-3.375,-3.375,-3.375,-3.5,-3.5,-3.5,2.56404,3.019408,7.871564,7.083473,5.676636,0.1072169,-0.0748356,-0.522198,1.463686,0.3380582,-0.08159626,1.307751,0.1298758,0.2510665,1.537397,-0.1194269,-0.5382574,1.463,0.3038913,-0.1173178,1.305,0.1259533,-0.1766396,1.543558,0.1162932,-0.4811529,1.522507,-0.03503125,-0.009597909,1.545233,0.04169881,-0.4715108,1.500312,-0.06974559,-0.2616281,1.545489,0.3461216,-0.2222964,1.566727,NA,NA,NotTracked,Lasso,
0.9404297,-0.3120117,0.02832031,-0.409668,0.7436523,0.2294922,-3,0,0,-1,0,-1,0,-2,-26,-6,9,8,3,-2,-16,-52,-3.375,-3.375,-3.375,4.75,4.75,4.75,2.56404,3.019408,7.871564,7.08887,5.655691,0.1190111,-0.07495964,-0.5222855,1.463123,0.3416876,-0.05926963,1.320611,0.1298776,0.2510329,1.537355,-0.1200667,-0.5239102,1.462081,0.3159529,-0.0357635,1.312038,0.1259598,-0.1766353,1.543478,0.1162617,-0.4811545,1.522428,-0.03502402,-0.009623238,1.54516,0.04164989,-0.4715086,1.500197,-0.06970077,-0.2615884,1.545387,0.3482873,-0.2253804,1.569058,NA,NA,NotTracked,Lasso,
0.9404297,-0.3120117,0.02832031,-0.5170898,0.8710938,0.3037109,-3,0,0,-1,0,-1,0,-2,-10,-14,-3,-4,3,1,3,-14,-3.375,-3.375,-3.375,26.5625,26.5625,26.5625,2.56404,3.019408,7.871564,7.112027,5.634225,0.1379455,-0.07466213,-0.5220146,1.463977,0.3456938,-0.03281566,1.329531,0.1298772,0.2510774,1.537312,-0.119894,-0.5260352,1.460325,0.3038061,-0.04894558,1.279294,0.128597,-0.1764068,1.54377,0.1162745,-0.4811273,1.522368,-0.03499704,-0.009585869,1.545135,0.04168298,-0.4713913,1.49986,-0.06965121,-0.261446,1.54533,0.3501793,-0.2260098,1.572167,NA,NA,NotTracked,Open,
0.9404297,-0.3120117,0.02832031,-0.5429688,1.184082,0.3081055,-3,0,0,-1,0,-1,0,-2,3,-15,-25,0,9,7,7,13,-3.375,-3.375,-3.375,18.1875,18.1875,18.1875,2.56404,3.019408,7.871564,7.140039,5.659487,0.1553927,-0.07491799,-0.5223538,1.463494,0.3325252,-0.001974122,1.380691,0.1299867,0.2510325,1.537221,-0.121824,-0.5292636,1.466441,0.3519245,-0.05097842,1.345988,0.1283637,-0.1763907,1.543486,0.1162657,-0.481012,1.52223,-0.03468993,-0.009228845,1.544618,0.04164138,-0.4711486,1.499535,-0.06963117,-0.2613435,1.544979,0.3531286,-0.2235395,1.563269,NA,NA,NotTracked,Open,
0.9404297,-0.3120117,0.02832031,-0.4545898,1.088379,0.1943359,-3,0,0,-1,0,-1,0,-2,-1,-27,-25,3,-1,1,-1,-1,-3.375,-3.375,-3.375,-21.3125,-21.3125,-21.3125,2.56404,3.019408,7.871564,7.134417,5.7356,0.1601989,-0.07549406,-0.5225062,1.463605,0.3187294,0.009057736,1.40871,0.1300233,0.2510846,1.537152,-0.1216682,-0.5194966,1.463788,0.3440599,-0.0430516,1.351266,0.1282598,-0.1763147,1.543339,0.1162942,-0.4809007,1.52215,-0.03442882,-0.009035534,1.544321,0.04168849,-0.4710276,1.499425,-0.06959532,-0.2613054,1.544723,0.3532613,-0.223109,1.561917,NA,NA,NotTracked,Open,
