ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9555664,-0.2988281,0.003417969,0.8979492,0.3447266,-0.1010742,0,-3,-2,0,-3,0,-3,-1,0,1,1,-1,-3,-4,-1,-1,-3.6875,-3.6875,-3.6875,0,0,0,2.442238,2.990984,4.475026,8.048592,3.129965,0.460075,-0.06476694,-0.5306075,1.498342,0.3611145,-0.5139678,1.457677,0.1444329,0.2422929,1.571907,-0.01607255,-0.5142583,1.480884,0.3209255,-0.5002255,1.471834,0.1524537,-0.1812775,1.578141,0.1462745,-0.4833472,1.555382,-0.01000329,-0.01494224,1.583032,0.07237465,-0.4747685,1.533935,-0.05330839,-0.2699164,1.582876,0.358259,-0.2624457,1.548524,NA,NA,NotTracked,NotTracked,
0.949707,-0.2983398,-0.0009765625,0.9013672,0.34375,-0.1040039,-2,-3,0,-2,-1,-3,-2,-2,6,2,2,2,-3,-4,-11,-4,-1.75,-1.75,-1.75,-0.4375,-0.4375,-0.4375,2.440027,2.991067,4.473533,8.048281,3.128112,0.4584328,-0.06585437,-0.5301527,1.498574,0.3609602,-0.5142372,1.457739,0.1444625,0.2421439,1.571685,-0.01592525,-0.52867,1.481067,0.3265027,-0.5012419,1.477452,0.1525214,-0.1813161,1.578021,0.1463666,-0.4833755,1.555257,-0.009732467,-0.01489945,1.582749,0.07247762,-0.4747792,1.533759,-0.05328367,-0.2700354,1.582644,0.3584434,-0.2625006,1.548247,NA,NA,NotTracked,NotTracked,
0.9541016,-0.2958984,-0.001464844,0.8989258,0.34375,-0.1020508,1,-3,-2,-1,-1,-2,-1,-2,0,-1,-2,0,-2,-1,0,-1,0.375,0.375,0.375,-0.875,-0.875,-0.875,2.441629,2.990901,4.472151,8.046265,3.12655,0.4586123,-0.06530833,-0.530011,1.499031,0.3608338,-0.5140719,1.458227,0.1444382,0.2421552,1.571485,-0.01521014,-0.4982725,1.481686,0.3209831,-0.4988241,1.472215,0.1525967,-0.1812994,1.577912,0.1464261,-0.4833172,1.555102,-0.009711931,-0.01479285,1.582573,0.07253123,-0.4747257,1.533671,-0.05310198,-0.2695829,1.582536,0.3585893,-0.2625588,1.547856,NA,NA,NotTracked,NotTracked,
0.9541016,-0.2973633,-0.001464844,0.9018555,0.3442383,-0.1064453,0,-1,-2,-1,-2,-1,-1,1,-2,1,-1,2,-1,-1,0,-1,0.9375,0.9375,0.9375,-1,-1,-1,2.442914,2.990036,4.473667,8.043547,3.125222,0.4593473,-0.06543731,-0.5306496,1.499338,0.3614345,-0.5130132,1.457542,0.1445483,0.2422195,1.571247,-0.0146743,-0.521276,1.477636,0.3255093,-0.4987881,1.476809,0.1526467,-0.1813128,1.57777,0.146469,-0.4833097,1.554992,-0.008878174,-0.0147555,1.581858,0.07256678,-0.4746883,1.533469,-0.05298534,-0.269879,1.582126,0.3587654,-0.2624864,1.54743,NA,NA,NotTracked,NotTracked,
0.9545898,-0.293457,-0.002441406,0.9023438,0.3388672,-0.1035156,-1,-2,1,-1,-1,0,-2,-2,1,0,1,-2,0,-2,-2,0,-0.6875,-0.6875,-0.6875,-1.125,-1.125,-1.125,2.443303,2.989233,4.472728,8.040329,3.124044,0.4596021,-0.0650442,-0.5304374,1.499413,0.3607521,-0.5144739,1.458302,0.144634,0.2423244,1.570805,-0.0149614,-0.4965731,1.481455,0.3170297,-0.4980995,1.467046,0.1526915,-0.1813072,1.577513,0.1465062,-0.483281,1.554869,-0.009345711,-0.014674,1.581869,0.0726037,-0.4746616,1.53335,-0.05293268,-0.2701629,1.581836,0.3588771,-0.2624311,1.547193,NA,NA,NotTracked,NotTracked,
0.9487305,-0.293457,0.0009765625,0.9008789,0.3442383,-0.1030273,-2,-1,-4,0,0,0,-1,-1,-1,2,-2,-2,1,-1,-1,0,0.25,0.25,0.25,-3.8125,-3.8125,-3.8125,2.44491,2.989068,4.471339,8.03762,3.122797,0.4562766,-0.06518544,-0.5303078,1.498266,0.3607304,-0.5138448,1.456866,0.1445383,0.2422003,1.570362,-0.01531385,-0.5097241,1.47947,0.3156912,-0.4934298,1.46521,0.1527195,-0.1814522,1.577285,0.1465173,-0.4833399,1.554746,-0.009587883,-0.01466438,1.58185,0.072604,-0.4747246,1.533279,-0.05285333,-0.2702858,1.581606,0.358865,-0.2623832,1.547025,NA,NA,NotTracked,NotTracked,
0.9555664,-0.2963867,0.0078125,0.9155273,0.3554688,-0.1538086,-2,-2,-1,-2,-1,-2,-1,-2,14,16,17,8,8,5,4,6,-1.125,-1.125,-1.125,-12.75,-12.75,-12.75,2.446478,2.988476,4.469554,8.039001,3.126402,0.4433845,-0.06559201,-0.5297384,1.497756,0.360808,-0.5135134,1.455971,0.1445346,0.2422288,1.569861,-0.01526403,-0.5014734,1.479622,0.3159521,-0.493717,1.46568,0.1527095,-0.1814862,1.577143,0.1464538,-0.4833873,1.554629,-0.01036949,-0.01503984,1.582128,0.07254899,-0.4747643,1.533195,-0.0527907,-0.269973,1.581516,0.3589802,-0.2626009,1.546777,NA,NA,NotTracked,NotTracked,
0.9614258,-0.2919922,-0.0004882813,1.255859,0.6694336,-0.3276367,0,-1,0,0,-1,-2,-2,-3,13,33,37,11,-6,-5,2,12,0.1875,0.1875,0.1875,-113,-113,-113,2.44599,2.987433,4.469862,7.787008,3.25222,0.5661271,-0.06561467,-0.5305237,1.498415,0.3582563,-0.5078188,1.447875,0.144342,0.2421793,1.569508,-0.01531585,-0.5078007,1.479985,0.3276335,-0.4964184,1.47845,0.152704,-0.1815311,1.576861,0.1464437,-0.4834462,1.554491,-0.01028154,-0.01486779,1.581977,0.07253856,-0.4747935,1.533038,-0.05274918,-0.26994,1.581347,0.3597385,-0.2628375,1.547564,NA,NA,NotTracked,NotTracked,
0.9575195,-0.2900391,-0.009765625,1.163574,0.765625,0.2329102,-3,-2,1,-1,-4,-1,-1,2,4,-3,0,13,6,4,-1,1,0.5625,0.5625,0.5625,-37.6875,-37.6875,-37.6875,2.435667,2.990108,4.481204,7.256672,3.634835,0.96166,-0.06576262,-0.5291372,1.498414,0.3478305,-0.4729766,1.404495,0.1440778,0.2421584,1.568924,-0.01521839,-0.511114,1.478609,0.3256391,-0.511159,1.4254,0.1525537,-0.1815234,1.576563,0.1463174,-0.4835119,1.554334,-0.01041807,-0.01503947,1.581616,0.07233775,-0.474827,1.53275,-0.0526972,-0.2697822,1.581135,0.3651596,-0.2592397,1.55404,NA,NA,NotTracked,NotTracked,
0.9394531,-0.3129883,-0.01318359,0.4833984,1.094238,0.262207,-2,-2,-2,0,-1,-1,-1,0,0,0,-7,-12,-13,-8,-2,0,4.9375,4.9375,4.9375,-27.0625,-27.0625,-27.0625,2.412807,3.003174,4.512249,7.105244,4.097417,1.160015,-0.06637134,-0.5295931,1.499796,0.3181801,-0.3944311,1.345761,0.1434987,0.2421492,1.567775,-0.01558083,-0.5223969,1.478168,0.3122051,-0.4277736,1.383714,0.1518233,-0.1813898,1.576044,0.1444086,-0.4832018,1.553649,-0.01093278,-0.01498658,1.581434,0.07010882,-0.4741597,1.531926,-0.05266395,-0.2697439,1.581025,0.3714509,-0.2410088,1.561118,NA,NA,NotTracked,Unknown,
