ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9624023,-0.2558594,-0.01953125,0.8925781,0.3657227,-0.1230469,-3,-2,-1,-2,-1,-1,-1,-1,0,-1,-2,-1,-1,0,-1,1,-0.75,-0.75,-0.75,-4.1875,-4.1875,-4.1875,2.307849,2.925873,2.395272,8.085995,3.172319,4.144042,-0.05799631,-0.5324664,1.513759,0.3821999,-0.5206183,1.460169,0.1709984,0.2475212,1.58004,-0.1040556,-0.5304327,1.52289,0.3441312,-0.5242828,1.462625,0.1537682,-0.1792498,1.589269,0.1469945,-0.4824828,1.569004,-0.00623385,-0.00930718,1.583425,0.07248025,-0.4718657,1.544847,-0.04671889,-0.267208,1.591135,0.3633441,-0.2648581,1.556703,NA,NA,NotTracked,Unknown,
0.9648438,-0.2587891,-0.02148438,0.9267578,0.390625,-0.1518555,1,-1,-2,-2,-1,-3,0,-1,0,-2,-8,-5,-2,-3,0,0,-1.5,-1.5,-1.5,-19.625,-19.625,-19.625,2.317506,2.925437,2.38555,8.062902,3.186104,4.146551,-0.05835781,-0.5314466,1.512848,0.3815429,-0.5204687,1.45879,0.1705751,0.2475849,1.579767,-0.1062728,-0.5258223,1.526807,0.3317398,-0.4938086,1.428606,0.1537335,-0.1792904,1.589161,0.146964,-0.4825487,1.56892,-0.00633656,-0.009458619,1.58343,0.07244892,-0.471949,1.544724,-0.04670614,-0.2672149,1.591094,0.3633584,-0.2648216,1.556688,NA,NA,NotTracked,Unknown,
0.972168,-0.2739258,-0.01806641,1.125977,0.5048828,-0.1821289,-2,-2,-1,0,-2,1,3,0,-1,-3,-12,-5,1,1,1,0,-8.375,-8.375,-8.375,-37.5625,-37.5625,-37.5625,2.351148,2.932929,2.341024,7.909594,3.246874,4.259115,-0.05741806,-0.52872,1.50945,0.3765677,-0.5162637,1.451665,0.1701632,0.2475253,1.579519,-0.103605,-0.5217836,1.520402,0.3295289,-0.4992661,1.410667,0.1536449,-0.1793375,1.588909,0.1468897,-0.4825914,1.568762,-0.006221886,-0.009464022,1.584031,0.07238042,-0.4719864,1.544525,-0.04673969,-0.2671293,1.590896,0.3636113,-0.264824,1.556835,NA,NA,NotTracked,Unknown,
1.061523,-0.3881836,0.03320313,1.083984,0.7104492,0.05517578,-1,1,-2,-3,4,0,0,-1,2,2,4,1,-2,-1,1,1,-28.5625,-28.5625,-28.5625,-86.375,-86.375,-86.375,2.521354,3.024975,2.11132,7.511861,3.396494,4.573806,-0.05368768,-0.5250711,1.495986,0.3631275,-0.4975103,1.429903,0.1697958,0.2475257,1.579461,-0.09626754,-0.5282954,1.497064,0.3339923,-0.4930969,1.466348,0.1535796,-0.1793984,1.588782,0.1469165,-0.4827483,1.568534,-0.006296697,-0.009792136,1.583862,0.07239491,-0.4721387,1.544374,-0.04688196,-0.2670593,1.591033,0.3664029,-0.2629854,1.56128,NA,NA,NotTracked,NotTracked,
1.029785,-0.5400391,0.1635742,0.9194336,0.7475586,0.3935547,-3,-1,-1,-1,2,0,1,-1,1,-4,4,11,3,3,3,5,-25.0625,-25.0625,-25.0625,-46.5625,-46.5625,-46.5625,2.788616,3.162688,1.770591,7.043677,3.743104,5.031063,-0.04283006,-0.5017395,1.467491,0.3326057,-0.4475972,1.391123,0.169392,0.2476042,1.579235,-0.0876605,-0.4807418,1.476471,0.3069355,-0.4699292,1.422941,0.1536291,-0.1793894,1.588531,0.1470734,-0.4827399,1.568078,-0.006358077,-0.009832453,1.583861,0.07246795,-0.4721882,1.543768,-0.04835634,-0.264061,1.59269,0.3712441,-0.2533786,1.570496,NA,NA,NotTracked,NotTracked,
0.9375,-0.5947266,0.3295898,0.5297852,0.9145508,0.46875,0,-2,-5,-17,-28,-7,-1,-3,-5,-14,-16,40,20,9,4,0,-18.75,-18.75,-18.75,-94.5,-94.5,-94.5,3.065615,3.381768,1.430977,6.773344,4.118919,5.277267,-0.02422684,-0.463519,1.417966,0.2775726,-0.3745328,1.373151,0.1690345,0.2476162,1.579114,-0.03022645,-0.4619362,1.370742,0.2259966,-0.3934802,1.424732,0.1535332,-0.1791571,1.587821,0.1469233,-0.4821313,1.566134,-0.00634778,-0.009804698,1.583861,0.07197443,-0.4715501,1.541659,-0.05163017,-0.2558843,1.593081,0.3684049,-0.240496,1.570611,NA,NA,Unknown,Lasso,
1.016113,-0.7602539,0.4526367,0.1162109,0.546875,0.4765625,-3,0,2,-1,17,8,3,-1,9,8,3,-3,-1,-1,5,9,-10.625,-10.625,-10.625,-100.3125,-100.3125,-100.3125,3.14307,3.474986,1.331951,6.432109,4.719424,5.5501,0.03405008,-0.3938953,1.403241,0.2549947,-0.2542914,1.351853,0.1686398,0.2480484,1.578992,0.005246649,-0.3717339,1.341087,0.236373,-0.3054932,1.39675,0.1540486,-0.1787045,1.587298,0.148075,-0.4814788,1.565024,-0.006031596,-0.009313461,1.583926,0.07315642,-0.4712822,1.540406,-0.05684847,-0.2378122,1.594631,0.3723638,-0.2237018,1.560166,NA,NA,Unknown,Unknown,
0.5981445,-0.6005859,0.675293,-0.2822266,0.3886719,0.4526367,-1,-5,-1,-5,2,6,7,0,9,1,-3,-3,0,-1,0,1,128.4375,128.4375,128.4375,-39.1875,-39.1875,-39.1875,3.744113,4.210889,0.7619494,6.320427,5.183722,5.736716,0.06928025,-0.3057093,1.345308,0.2157079,-0.1348218,1.357245,0.1676462,0.2485069,1.579198,0.04101678,-0.2785572,1.31138,0.2219945,-0.09458115,1.419535,0.1539211,-0.1782401,1.587417,0.1474447,-0.480199,1.565512,-0.005999583,-0.00891844,1.584257,0.07285634,-0.4696014,1.541147,-0.06044359,-0.2217001,1.587023,0.4093485,-0.2084422,1.507948,NA,NA,Unknown,Unknown,
0.2143555,-0.3710938,0.6933594,-0.28125,0.4375,0.4116211,-1,5,2,-3,-8,1,2,-1,2,-1,1,-1,-2,-2,-2,1,50.125,50.125,50.125,5.6875,5.6875,5.6875,3.954006,4.656241,0.5160211,6.351802,5.529606,5.898712,0.117147,-0.2080982,1.314616,0.2012928,-0.06501183,1.364585,0.1664552,0.2488312,1.579856,0.07444215,-0.1883718,1.299362,0.2221448,-0.02650508,1.4181,0.1535525,-0.1778035,1.587672,0.146959,-0.4795899,1.56575,-0.005603988,-0.008508733,1.584963,0.07245699,-0.4688656,1.541502,-0.08604647,-0.2137151,1.577055,0.4073943,-0.239256,1.558542,NA,NA,NotTracked,Unknown,
0.04785156,-0.4052734,0.6342773,-0.3349609,0.5,0.5029297,3,10,25,17,0,4,11,4,-4,-4,-2,1,0,1,0,2,0.375,0.375,0.375,-30.3125,-30.3125,-30.3125,3.99036,5.066582,0.297094,6.367865,5.674249,6.049538,0.1754313,-0.09208477,1.333539,0.1678339,-0.032788,1.355239,0.1648483,0.248918,1.581161,0.1534019,-0.1350975,1.28868,0.1065237,-0.09811795,1.339278,0.1531739,-0.1776526,1.587888,0.1465027,-0.4793085,1.565809,-0.005538038,-0.007915275,1.585544,0.07221445,-0.4686816,1.541625,-0.05033938,-0.2217254,1.526478,0.3626419,-0.2229341,1.498883,NA,NA,NotTracked,NotTracked,
