ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9707031,-0.2495117,-0.009765625,-0.5336914,0.6025391,0.5185547,-3,0,3,1,-1,-3,-1,0,-8,-11,-10,-3,-4,1,3,1,-29.5,-29.5,-29.5,-49.875,-49.875,-49.875,2.382766,2.945132,6.295324,6.597368,6.003668,6.756772,-0.04839538,-0.521906,1.522084,0.3449089,0.00234741,1.263921,0.1577159,0.2498349,1.600936,0.001915697,-0.5170608,1.498572,0.3750166,0.002134455,1.241308,0.1564618,-0.1756684,1.603805,0.1499352,-0.4805569,1.581555,-0.005563799,-0.005983241,1.605062,0.07491952,-0.4713982,1.558424,-0.03939375,-0.2602503,1.608032,0.4002792,-0.2297684,1.515832,NA,NA,NotTracked,Unknown,
0.9736328,-0.2602539,-0.01464844,-0.5458984,0.5585938,0.5039063,-1,-1,0,-1,-1,-1,1,1,-12,-6,-8,-14,-33,-27,-4,-16,-32.1875,-32.1875,-32.1875,-51.75,-51.75,-51.75,2.374675,2.948946,6.267073,6.590953,6.18637,6.793253,-0.04764782,-0.5214534,1.520404,0.3367778,0.05984012,1.285942,0.1575613,0.2497957,1.602198,0.002597895,-0.5153439,1.498509,0.363447,0.04607099,1.249966,0.1558007,-0.1756533,1.604721,0.1494298,-0.480431,1.581563,-0.005650064,-0.006238737,1.605123,0.07435636,-0.4711802,1.558282,-0.03978136,-0.2600826,1.607721,0.4065769,-0.2137052,1.491671,NA,NA,NotTracked,Closed,
0.9672852,-0.2670898,-0.02587891,-0.5458984,0.4887695,0.4375,0,-1,0,0,-1,-1,0,-2,14,-11,-8,0,2,3,-9,1,-28.9375,-28.9375,-28.9375,-58.9375,-58.9375,-58.9375,2.363729,2.953742,6.243277,6.598275,6.504504,6.887443,-0.0477299,-0.5208948,1.519137,0.3275931,0.1088552,1.310114,0.1575653,0.2497933,1.60322,0.002347643,-0.5172063,1.497517,0.3574698,0.1020843,1.265852,0.1549475,-0.175308,1.604338,0.1491317,-0.4801788,1.581486,-0.006599616,-0.005856218,1.604919,0.07401291,-0.4708633,1.558056,-0.04019123,-0.2596633,1.607273,0.4068221,-0.1533885,1.406609,NA,NA,NotTracked,Closed,
0.9560547,-0.2763672,-0.02001953,-0.4248047,0.3544922,0.3413086,0,-1,-4,0,-1,-1,-1,-3,-29,-13,-16,-27,-29,5,16,-12,-23.625,-23.625,-23.625,-86.375,-86.375,-86.375,2.363024,2.956634,6.230639,6.614464,6.870389,7.052335,-0.04807318,-0.5205974,1.518051,0.2926624,0.2108472,1.382298,0.1573654,0.2495974,1.606833,0.002197735,-0.505904,1.498162,0.2899956,0.1712073,1.453,0.1537435,-0.1746449,1.604014,0.1477834,-0.4787611,1.580576,-0.005427002,-0.005303409,1.606082,0.07211587,-0.4689216,1.557136,-0.04043631,-0.2594362,1.606967,0.3976209,-0.07485464,1.352639,NA,NA,NotTracked,Unknown,
0.9560547,-0.2700195,-0.01269531,-0.5688477,0.2758789,-0.2172852,0,-1,-1,-2,-3,-2,1,-1,49,12,17,34,10,-13,-15,22,23.9375,23.9375,23.9375,-47,-47,-47,2.40932,2.969982,6.187893,7.141592,7.177687,7.803911,-0.04891443,-0.520458,1.519105,0.2710347,0.2419556,1.409387,0.1575479,0.2495477,1.607451,0.001248092,-0.5115073,1.497782,0.2204386,0.2334514,1.489429,0.1533249,-0.174189,1.603612,0.1473425,-0.4779723,1.580318,-0.005714239,-0.0047159,1.605978,0.07152856,-0.4680617,1.557068,-0.04055407,-0.2591967,1.607116,0.3853868,0.01722405,1.33806,NA,NA,NotTracked,Unknown,
0.9609375,-0.2753906,-0.005371094,-0.6801758,0.1542969,0.07421875,0,-1,-2,0,-1,0,-4,-1,5,2,7,19,10,-10,4,32,38.375,38.375,38.375,-28.25,-28.25,-28.25,2.454291,2.971824,6.182166,7.465793,7.231819,8.173112,-0.04901857,-0.5239364,1.518465,0.2646796,0.2410881,1.4272,0.1579034,0.2495635,1.608303,0.001923645,-0.5060104,1.497906,0.2371517,0.2085766,1.467546,0.1530835,-0.1736844,1.603153,0.14721,-0.4774065,1.579906,-0.003724264,-0.004498154,1.60655,0.07135715,-0.467652,1.557012,-0.04065276,-0.2587904,1.60739,0.3855287,0.01795338,1.337367,NA,NA,NotTracked,Unknown,
0.9624023,-0.284668,0.002441406,-0.8432617,0.1660156,-0.06640625,-2,1,-2,-2,-1,0,-2,-3,-16,-22,-13,-15,-10,-13,18,1,42,42,42,-36.3125,-36.3125,-36.3125,2.480044,2.971812,6.179783,7.631923,7.247864,8.361526,-0.04853147,-0.5239353,1.519641,0.2562481,0.2440467,1.443023,0.1581125,0.2495242,1.608597,0.0008158708,-0.4921916,1.49775,0.2167731,0.2194144,1.508778,0.1526119,-0.173246,1.602725,0.1466969,-0.4769052,1.579491,-0.004002854,-0.004172561,1.606421,0.07084481,-0.4671515,1.556899,-0.0409329,-0.2583401,1.607785,0.3795867,0.03149177,1.336007,NA,NA,NotTracked,Unknown,
0.9555664,-0.2900391,0.006835938,-0.9370117,0.1582031,-0.08886719,0,1,-1,-8,-1,-1,2,-3,-6,-22,-17,-11,-7,16,29,-10,46.1875,46.1875,46.1875,-20.75,-20.75,-20.75,2.52946,2.973258,6.18086,7.935346,7.262094,8.696182,-0.04858285,-0.524194,1.521014,0.240825,0.2489894,1.469571,0.158329,0.2496718,1.609173,0.0004770643,-0.5146893,1.497542,0.1901005,0.2129602,1.512167,0.152363,-0.1729832,1.602421,0.1463722,-0.4767744,1.5792,-0.002781659,-0.004345166,1.607348,0.07060617,-0.4670662,1.556902,-0.04112233,-0.2581449,1.608342,0.3770445,0.0388223,1.335684,NA,NA,NotTracked,NotTracked,
0.9555664,-0.2900391,0.006835938,-1.06543,0.105957,-0.1821289,-2,1,0,1,-3,0,-2,-2,-23,-8,-10,-17,0,3,-23,-46,46.1875,46.1875,46.1875,-5.375,-5.375,-5.375,2.52946,2.973258,6.18086,8.149994,7.275051,8.923254,-0.04916693,-0.5239746,1.522606,0.2366038,0.2459628,1.478433,0.1585757,0.2497497,1.609731,0.001072358,-0.5052266,1.49815,0.1934412,0.2043181,1.514784,0.1525904,-0.1724501,1.603083,0.1460608,-0.4764004,1.578815,-0.003292364,-0.004132036,1.607272,0.07030291,-0.4667277,1.556622,-0.04124188,-0.2579024,1.608981,0.3768134,0.03843955,1.335009,NA,NA,NotTracked,NotTracked,
0.9477539,-0.3227539,0.04443359,-1.058105,0.1577148,-0.1499023,0,-2,0,2,2,1,-1,-2,-18,55,29,4,1,10,35,5,59.375,59.375,59.375,-4.3125,-4.3125,-4.3125,2.626598,2.98404,6.205194,8.192075,7.275484,8.97001,-0.04904813,-0.5246743,1.524674,0.2325462,0.243988,1.486344,0.1587589,0.2498333,1.610467,0.001309828,-0.5063958,1.497733,0.2042443,0.1951917,1.527171,0.1521789,-0.1720978,1.602727,0.1455557,-0.4761252,1.578634,-0.00366102,-0.004018852,1.607301,0.0698408,-0.4665081,1.556665,-0.04131394,-0.2569776,1.610697,0.3770164,0.03811261,1.334523,NA,NA,NotTracked,NotTracked,
