ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9560547,-0.3061523,-0.08398438,-0.5102539,0.6796875,0.2167969,1,-2,-3,-2,-1,-1,1,-1,-13,-7,1,-1,0,-4,6,3,11.9375,11.9375,11.9375,80.9375,80.9375,80.9375,2.021374,3.021147,6.599297,7.301835,5.752217,5.363753,-0.08290647,-0.522433,1.515699,0.2290971,0.043093,1.337069,0.118081,0.2489727,1.587369,-0.03548877,-0.5164968,1.491458,0.1818726,0.05754044,1.39925,0.1225838,-0.1791841,1.593657,0.1151548,-0.4845243,1.571878,-0.03895517,-0.01007077,1.596172,0.04043069,-0.4764324,1.550728,-0.0754919,-0.2635805,1.59988,0.4352638,-0.122972,1.45625,NA,NA,NotTracked,Lasso,
0.9560547,-0.3061523,-0.08398438,-0.5532227,0.7373047,0.1474609,1,-2,-3,-2,-1,-1,1,-1,-10,-4,-1,-1,-1,8,30,15,11.9375,11.9375,11.9375,91.5625,91.5625,91.5625,2.021374,3.021147,6.599297,7.520036,5.944835,5.59224,-0.08153778,-0.5240924,1.51468,0.2286075,0.07242583,1.357112,0.1180919,0.2489782,1.587398,-0.03206879,-0.500524,1.48938,0.2034837,0.1017252,1.4005,0.1221195,-0.1789021,1.593518,0.1148388,-0.4842364,1.57193,-0.03895424,-0.009935713,1.596052,0.03993342,-0.4759355,1.551147,-0.07578406,-0.2631878,1.599303,0.4388585,-0.108052,1.445446,NA,NA,NotTracked,Lasso,
0.9560547,-0.3061523,-0.08398438,-0.5141602,0.7685547,0.1469727,1,-2,-3,-2,-1,-1,1,-1,8,2,2,-1,3,5,-5,3,11.9375,11.9375,11.9375,73.5,73.5,73.5,2.021374,3.021147,6.599297,7.628132,6.016516,5.711456,-0.0817641,-0.523115,1.513158,0.2291265,0.09685366,1.372772,0.1181128,0.2490359,1.587441,-0.03327797,-0.5081674,1.490209,0.2316426,0.1516609,1.42575,0.1211282,-0.1782111,1.593007,0.1144513,-0.4834411,1.572048,-0.03893317,-0.009943768,1.596029,0.03944775,-0.4749356,1.551434,-0.0758919,-0.2625859,1.59893,0.4424128,-0.09044799,1.436926,NA,NA,NotTracked,Unknown,
0.9560547,-0.3061523,-0.08398438,-0.4433594,0.3730469,0.007324219,1,-2,-3,-2,-1,-1,1,-1,-2,-5,-3,7,22,14,0,9,11.9375,11.9375,11.9375,60.3125,60.3125,60.3125,2.021374,3.021147,6.599297,8.010351,6.171612,6.154839,-0.08095994,-0.5238076,1.510611,0.2307258,0.127459,1.390725,0.1184749,0.2491497,1.58733,-0.03260264,-0.5158683,1.488847,0.1835416,0.1052238,1.412572,0.1199711,-0.1766313,1.592028,0.1137987,-0.480054,1.571877,-0.03707663,-0.009721465,1.593376,0.03842676,-0.4705702,1.551564,-0.0759106,-0.2593996,1.598027,0.4492677,-0.0520075,1.41736,NA,NA,NotTracked,Unknown,
0.9560547,-0.3061523,-0.08398438,-0.3637695,0.5097656,-0.171875,1,-2,-3,-2,-1,-1,1,-1,-5,-7,-7,-17,-28,-18,-15,9,11.9375,11.9375,11.9375,52.9375,52.9375,52.9375,2.021374,3.021147,6.599297,8.242588,6.171539,6.348981,-0.08009344,-0.5229003,1.511593,0.2318943,0.1330542,1.400061,0.1187801,0.2496536,1.587064,-0.03177647,-0.5229969,1.488523,0.2004662,0.102936,1.4348,0.1194739,-0.1754391,1.591526,0.1139116,-0.4758569,1.571306,-0.03583046,-0.009235083,1.592257,0.03851856,-0.4661928,1.551031,-0.0752537,-0.2557583,1.597812,0.4374634,-0.01319666,1.391973,NA,NA,NotTracked,Lasso,
0.9560547,-0.3061523,-0.08398438,-0.4033203,0.546875,-0.1845703,1,-2,-3,-2,-1,-1,1,-1,-6,-10,-6,2,10,3,-9,-12,11.9375,11.9375,11.9375,26.1875,26.1875,26.1875,2.021374,3.021147,6.599297,8.279498,6.151561,6.386562,-0.08007804,-0.5233386,1.512092,0.2311562,0.1286846,1.403,0.118942,0.2498638,1.586912,-0.03416926,-0.5237844,1.491505,0.1847686,0.09906612,1.4462,0.119279,-0.1750548,1.591308,0.1139408,-0.4752232,1.571208,-0.03550588,-0.009327775,1.592254,0.03856191,-0.4659142,1.551067,-0.07517081,-0.2553069,1.59775,0.4378607,-0.0110164,1.392205,NA,NA,NotTracked,Lasso,
0.9560547,-0.3061523,-0.08398438,-0.4282227,0.5166016,-0.2827148,1,-2,-3,-2,-1,-1,1,-1,-11,-6,-3,-4,4,-11,-21,-39,11.9375,11.9375,11.9375,1.5,1.5,1.5,2.021374,3.021147,6.599297,8.298308,6.125632,6.413781,-0.08005252,-0.5240384,1.513898,0.2298802,0.1244741,1.408355,0.1189863,0.2498807,1.586885,-0.03231002,-0.5192226,1.489133,0.1849427,0.09224103,1.450333,0.1190406,-0.1745541,1.591056,0.1138938,-0.4744924,1.571105,-0.03542254,-0.00935523,1.59235,0.03857035,-0.46542,1.551139,-0.07511614,-0.2549845,1.597863,0.4381625,-0.009032962,1.392461,NA,NA,NotTracked,Unknown,
0.9560547,-0.3061523,-0.08398438,-0.5244141,0.5424805,-0.2373047,1,-2,-3,-2,-1,-1,1,-1,60,92,28,9,-1,0,8,-5,11.9375,11.9375,11.9375,-18.5625,-18.5625,-18.5625,2.021374,3.021147,6.599297,8.301571,6.059177,6.449794,-0.08009586,-0.5246243,1.516282,0.2274569,0.1234374,1.414292,0.1190131,0.2498737,1.586865,-0.03137421,-0.5087441,1.490355,0.1850363,0.0895301,1.4576,0.1188545,-0.1740418,1.590845,0.1138318,-0.4738436,1.571146,-0.03527106,-0.009000271,1.592107,0.03854378,-0.4647862,1.551387,-0.07485033,-0.254833,1.598289,0.4386252,-0.008402109,1.393123,NA,NA,NotTracked,Unknown,
0.9560547,-0.3061523,-0.08398438,-0.5947266,0.6245117,-0.3666992,1,-2,-3,-2,-1,-1,1,-1,22,19,11,1,-15,-13,-8,0,11.9375,11.9375,11.9375,17.6875,17.6875,17.6875,2.021374,3.021147,6.599297,8.321881,6.032851,6.474581,-0.08000372,-0.5245488,1.517545,0.2260477,0.1267691,1.417235,0.1192183,0.2496836,1.58677,-0.03143598,-0.5036795,1.489759,0.202476,0.09312739,1.4774,0.1187581,-0.1737002,1.590606,0.1137828,-0.4732149,1.570941,-0.03491743,-0.008900817,1.591561,0.03850887,-0.4641305,1.551314,-0.07482786,-0.2547223,1.598469,0.4393279,-0.008436163,1.393938,NA,NA,NotTracked,Unknown,
0.9560547,-0.3061523,-0.08398438,-0.7231445,0.6992188,-0.5073242,1,-2,-3,-2,-1,-1,1,-1,12,9,2,-5,-20,-12,-5,-9,11.9375,11.9375,11.9375,48.5625,48.5625,48.5625,2.021374,3.021147,6.599297,8.420298,6.121657,6.499215,-0.08059716,-0.5257264,1.519772,0.195556,0.1444264,1.426251,0.1193326,0.2494786,1.586791,-0.03221061,-0.5125666,1.490074,0.1748487,0.1215277,1.48175,0.1187582,-0.1736823,1.590585,0.1138044,-0.4731066,1.57091,-0.0343138,-0.009591556,1.592242,0.03854387,-0.4640986,1.551333,-0.07463785,-0.2545986,1.598928,0.4402863,-0.008832351,1.395228,NA,NA,NotTracked,Unknown,
