ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.2919922,-0.5498047,0.7573242,0.2792969,0.7387695,0.6923828,-6,4,-5,-4,-1,-6,-6,-4,-20,-11,0,-8,-4,10,-5,-2,82.875,82.875,82.875,6.375,6.375,6.375,4.262602,4.603055,4.780898,6.192856,4.729687,8.294937,-0.1045965,-0.2499199,1.444255,0.3410776,-0.2202619,1.405652,0.09556548,0.2401047,1.63001,-0.06236925,-0.2662375,1.4416,0.2882871,-0.2301572,1.367276,0.1095728,-0.1825926,1.637657,0.1036107,-0.4856259,1.617656,-0.04763058,-0.008805345,1.639479,0.02983126,-0.4758752,1.596258,-0.08253059,-0.2211269,1.684569,0.3207095,-0.1910875,1.686714,NA,NA,Unknown,Unknown,
0.5161133,-0.4101563,1.02002,0.3378906,0.7866211,0.7563477,-9,-1,3,-3,-2,-2,-5,-1,-1,-4,-8,-12,-2,-3,3,-3,44,44,44,28.125,28.125,28.125,4.309518,4.591269,4.841263,6.222764,4.701675,8.313589,-0.1180628,-0.2526255,1.447102,0.3447018,-0.2216166,1.406542,0.09558949,0.2401231,1.629867,-0.0694488,-0.2659534,1.43375,0.2923256,-0.2335678,1.37375,0.1095987,-0.1825237,1.637598,0.1036112,-0.4855415,1.617695,-0.04746343,-0.008042492,1.640506,0.02985348,-0.4757836,1.596285,-0.0822437,-0.2196388,1.687987,0.3203338,-0.1906426,1.686799,NA,NA,Unknown,Unknown,
0.453125,-0.3222656,0.9008789,0.2792969,0.5214844,0.84375,-13,-22,-6,-1,-5,-5,-10,-6,2,-3,6,2,-2,-7,0,6,-29.0625,-29.0625,-29.0625,36,36,36,4.303741,4.56449,4.840275,6.230007,4.620852,8.49463,-0.1198931,-0.2530933,1.448093,0.3395658,-0.2244956,1.404784,0.09576981,0.2401439,1.629735,-0.07307078,-0.27132,1.438909,0.2829132,-0.2322377,1.36759,0.1096619,-0.1823921,1.637501,0.1036296,-0.4853812,1.617652,-0.04727443,-0.00768692,1.640743,0.02986332,-0.4755941,1.596189,-0.08215482,-0.2182441,1.691337,0.3233983,-0.1889513,1.687111,NA,NA,Unknown,Unknown,
0.4116211,-0.3745117,0.9765625,0.2338867,0.5541992,0.7734375,-7,-13,0,5,4,2,-3,1,-1,9,3,0,-11,-3,-2,-5,-46.5,-46.5,-46.5,40.3125,40.3125,40.3125,4.281716,4.531307,4.766717,6.231351,4.555125,8.656252,-0.1101557,-0.2527885,1.444133,0.3262914,-0.228848,1.409323,0.09599479,0.2404126,1.629616,-0.06362005,-0.2721313,1.4522,0.2668197,-0.2436657,1.378846,0.1097417,-0.1822653,1.637433,0.1036215,-0.4851804,1.617651,-0.04745418,-0.007118846,1.64164,0.02987715,-0.4753948,1.596203,-0.08205877,-0.2180327,1.691324,0.3359217,-0.184046,1.685963,NA,NA,Open,Unknown,
0.3334961,-0.3466797,0.9072266,0.1723633,0.578125,0.7177734,-6,-5,-1,-2,-4,-12,-32,-12,-9,0,-1,2,8,8,-1,-3,-20.5625,-20.5625,-20.5625,29.6875,29.6875,29.6875,4.289956,4.49542,4.639827,6.228256,4.528486,8.723029,-0.09735385,-0.2470508,1.443201,0.3011704,-0.238883,1.38897,0.09640031,0.2404994,1.629224,-0.05402872,-0.2640566,1.4278,0.2421027,-0.2393759,1.364556,0.1097689,-0.182075,1.637197,0.1037029,-0.4848506,1.617579,-0.04734935,-0.0063135,1.641686,0.02999414,-0.4750501,1.596063,-0.08242499,-0.2171698,1.691335,0.3562947,-0.19573,1.646212,NA,NA,Open,Unknown,
0.2485352,-0.3095703,0.8623047,0.09472656,0.6708984,0.6850586,-2,-4,-6,-7,-9,-3,5,0,-16,-1,3,0,-6,-10,-7,-21,-9.75,-9.75,-9.75,-17.5625,-17.5625,-17.5625,4.308638,4.477748,4.566388,6.198746,4.506776,8.798468,-0.07320789,-0.2462509,1.450399,0.2799218,-0.246172,1.387635,0.09682357,0.2406899,1.628728,-0.01775691,-0.261069,1.446111,0.2199973,-0.2515675,1.391769,0.1098503,-0.1818109,1.636955,0.1037921,-0.4844605,1.617409,-0.04742893,-0.005589007,1.642102,0.03010581,-0.4745238,1.595657,-0.08289979,-0.2159799,1.692958,0.3475721,-0.204897,1.6342,NA,NA,Open,Unknown,
0.1557617,-0.2954102,0.8139648,0.09130859,0.6796875,0.6669922,4,2,1,2,-4,2,7,4,6,0,1,4,3,1,0,0,4.375,4.375,4.375,-43.8125,-43.8125,-43.8125,4.352221,4.456703,4.450138,6.170036,4.525297,8.766835,-0.05354845,-0.2421235,1.429692,0.2789972,-0.245143,1.403519,0.09754445,0.2407413,1.628067,-0.02546278,-0.2508114,1.410333,0.2304701,-0.2580541,1.391857,0.1099084,-0.1817134,1.636611,0.1039,-0.4843568,1.61723,-0.04731077,-0.006968598,1.636687,0.03019249,-0.4743957,1.595313,-0.07786689,-0.2265681,1.654,0.3466811,-0.2059636,1.631733,NA,NA,Open,Unknown,
0.1508789,-0.4335938,0.8535156,0.1455078,0.7099609,0.6904297,1,-8,-5,-2,0,0,3,5,-6,-2,0,-2,-8,-19,-1,0,-15.5625,-15.5625,-15.5625,-40.9375,-40.9375,-40.9375,4.341586,4.459862,4.434367,6.146729,4.597278,8.599248,-0.05368639,-0.2638393,1.323802,0.256529,-0.2542914,1.390416,0.09946113,0.2413024,1.627135,-0.02459462,-0.2727029,1.303439,0.2129798,-0.2491593,1.395526,0.1098936,-0.1814162,1.636115,0.1039008,-0.4840915,1.617055,-0.04712578,-0.00598488,1.638282,0.03023354,-0.4741538,1.595135,-0.0762325,-0.2271569,1.646152,0.33418,-0.2146891,1.619869,NA,NA,Unknown,Unknown,
0.1586914,-0.5708008,0.8203125,0.2563477,0.7338867,0.7768555,-8,-8,-4,-5,-4,-4,-3,-5,12,3,1,1,9,16,19,16,42.4375,42.4375,42.4375,-31.875,-31.875,-31.875,4.311915,4.504332,4.576994,6.137637,4.641705,8.479024,-0.06127689,-0.2545615,1.434248,0.294501,-0.2397027,1.387409,0.1007032,0.2417466,1.626342,-0.04154402,-0.2545404,1.4134,0.2414795,-0.229333,1.383812,0.109931,-0.1811453,1.635633,0.1039379,-0.4837936,1.616857,-0.04695126,-0.004766183,1.638769,0.03028362,-0.47386,1.594744,-0.07771034,-0.2232269,1.662281,0.3286459,-0.2142,1.626968,NA,NA,Unknown,Unknown,
0.5024414,-0.40625,0.8911133,0.3261719,0.7475586,0.7568359,-3,-2,1,-3,0,1,-1,-3,5,-3,1,-2,0,-1,3,7,41.75,41.75,41.75,-15.25,-15.25,-15.25,4.333961,4.513005,4.658269,6.135758,4.65719,8.412134,-0.09013455,-0.2519294,1.451689,0.3052134,-0.2372881,1.389162,0.1011355,0.2418048,1.626156,-0.0481642,-0.2602726,1.4388,0.2557502,-0.2347424,1.379594,0.1099752,-0.1810269,1.63555,0.1039326,-0.4837327,1.616832,-0.04671837,-0.004210607,1.639024,0.03028163,-0.4737679,1.594623,-0.07765619,-0.2191835,1.677324,0.3265406,-0.2135566,1.630765,NA,NA,Unknown,Unknown,
