ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9355469,-0.5141602,0.03173828,0.03027344,0.7866211,0.2558594,-2,1,-2,2,5,3,0,0,-4,5,2,3,-12,-6,-4,-15,-59.5625,-59.5625,-59.5625,26.75,26.75,26.75,2.823137,3.724208,2.577583,7.301819,5.465407,5.555164,0.2527803,-0.3957221,1.421061,0.135149,-0.09402338,1.465915,0.2300724,0.2384746,1.647012,0.2054916,-0.4167659,1.488426,0.1656824,-0.05373636,1.502623,0.221246,-0.1818203,1.651748,0.214854,-0.482401,1.629025,0.06712399,-0.0001262676,1.610722,0.140916,-0.4715281,1.600924,0.07451732,-0.2151159,1.510919,0.3919958,-0.2122971,1.474152,NA,NA,Unknown,Unknown,
0.855957,-0.5283203,0.04638672,0.2045898,0.8037109,0.09423828,2,-1,-2,-2,-4,-6,-2,-1,6,-2,2,13,11,6,1,6,-103.125,-103.125,-103.125,13.6875,13.6875,13.6875,2.755636,3.719668,2.525069,7.356941,5.479966,5.682343,0.2668385,-0.3938609,1.415969,0.1258857,-0.09073406,1.474363,0.2302155,0.2387703,1.648015,0.2206476,-0.4154733,1.488372,0.1688787,-0.04884121,1.503907,0.2212645,-0.1816272,1.651901,0.214743,-0.4821657,1.629286,0.06812403,-0.001796563,1.607208,0.14077,-0.4711972,1.601101,0.08816143,-0.2154376,1.501655,0.3795875,-0.2056504,1.460867,NA,NA,Unknown,Unknown,
0.8618164,-0.5727539,0.04931641,0.2319336,0.8867188,0.1103516,-2,-4,-2,-1,-1,-1,-2,-3,0,4,-3,-7,1,1,-1,-1,-110.375,-110.375,-110.375,0.5,0.5,0.5,2.711226,3.72676,2.501691,7.382332,5.469218,5.763153,0.2770036,-0.390857,1.414705,0.1205763,-0.08704487,1.481715,0.2302952,0.2392519,1.649184,0.2326793,-0.4114349,1.487156,0.1686623,-0.04359178,1.507558,0.2211672,-0.1812856,1.652182,0.2144558,-0.4819761,1.629438,0.06891049,-0.003416156,1.604606,0.1403799,-0.4708724,1.601086,0.09397805,-0.2159797,1.498407,0.3719951,-0.2023797,1.454911,NA,NA,Unknown,Unknown,
0.8066406,-0.6928711,0.03125,0.1186523,0.8579102,0.05908203,0,0,-1,-3,-2,-3,0,-2,1,-3,5,10,-2,-2,3,2,-68.6875,-68.6875,-68.6875,-18.5,-18.5,-18.5,2.607252,3.751044,2.43716,7.379532,5.461029,5.812428,0.2844383,-0.3883113,1.414059,0.1148001,-0.08411199,1.486569,0.2302171,0.2393932,1.64997,0.2417401,-0.4109567,1.485553,0.1654019,-0.03887253,1.509128,0.2210886,-0.181032,1.652371,0.2140537,-0.4816871,1.629635,0.06963832,-0.004903446,1.602464,0.1400103,-0.4706279,1.601024,0.101182,-0.2172751,1.494517,0.3639874,-0.1980941,1.448326,NA,NA,Closed,Unknown,
0.7368164,-0.6679688,0.01464844,-0.1982422,0.9091797,0.09277344,-2,-1,-1,-1,-3,-1,0,-3,11,15,2,-2,-7,-5,-8,-5,-3.3125,-3.3125,-3.3125,-21.25,-21.25,-21.25,2.597403,3.778474,2.395233,7.342646,5.470822,5.793967,0.314704,-0.3959993,1.401248,0.1124031,-0.07910191,1.492602,0.2299074,0.2395419,1.650628,0.2947108,-0.4360909,1.475,0.1602269,-0.03051278,1.51387,0.2204152,-0.1803993,1.65237,0.2126173,-0.4806561,1.629172,0.06965318,-0.005139234,1.601907,0.1385016,-0.4697317,1.600355,0.1451509,-0.2471438,1.471496,0.3562699,-0.1924564,1.440755,NA,NA,Closed,Unknown,
0.6533203,-0.7011719,0.03808594,-0.3022461,0.9355469,0.1958008,1,-1,0,-3,-1,-4,-2,-3,-4,-5,-2,-5,-1,-4,-4,-4,-20.0625,-20.0625,-20.0625,-4,-4,-4,2.59201,3.807251,2.378858,7.29271,5.501359,5.715438,0.318751,-0.3878078,1.400172,0.1172038,-0.07731741,1.492265,0.2291677,0.2394929,1.651188,0.2936763,-0.419719,1.4385,0.1648523,-0.02780359,1.514135,0.2196925,-0.1800643,1.652128,0.2109466,-0.4800377,1.628386,0.06962771,-0.005435631,1.601564,0.1366912,-0.4690788,1.599322,0.1445046,-0.2458013,1.471511,0.3585788,-0.193668,1.442254,NA,NA,Closed,Unknown,
0.6616211,-0.7421875,0.05273438,-0.4355469,0.8935547,0.1899414,-1,-2,-2,-1,-1,-2,-2,1,4,-1,3,21,2,-6,-16,-4,-18.9375,-18.9375,-18.9375,2.25,2.25,2.25,2.568306,3.821151,2.382541,7.267919,5.528587,5.65544,0.3194076,-0.3874856,1.400804,0.1220936,-0.07818862,1.492012,0.2283084,0.2398116,1.651362,0.2965426,-0.4228394,1.469,0.176107,-0.02902494,1.514625,0.2191718,-0.1797084,1.65214,0.2102211,-0.479695,1.628176,0.0696165,-0.005439854,1.601566,0.1360693,-0.4688501,1.599135,0.1441802,-0.2444697,1.471106,0.363895,-0.194614,1.443884,NA,NA,Closed,Unknown,
0.6489258,-0.7387695,0.07910156,-0.5742188,0.8847656,0.1879883,-2,1,-1,0,-3,0,1,-3,3,2,3,-5,-3,-3,2,-1,-20.5,-20.5,-20.5,16.5625,16.5625,16.5625,2.558011,3.825785,2.383388,7.255208,5.554821,5.583649,0.318345,-0.3835607,1.398962,0.1425788,-0.07733814,1.490349,0.2265285,0.2402836,1.651808,0.2991984,-0.4266236,1.470833,0.1917136,-0.02814547,1.5156,0.2181275,-0.1792636,1.651956,0.2087822,-0.4794879,1.627322,0.06960996,-0.005486925,1.601562,0.1344725,-0.4685451,1.598157,0.1429567,-0.241546,1.470358,0.3853255,-0.1984015,1.452898,NA,NA,Closed,Unknown,
0.6606445,-0.7597656,0.05615234,-0.5957031,0.8920898,0.1650391,0,-1,-2,-1,-4,-1,0,0,-17,-2,-1,-2,2,-3,-14,-8,-9.6875,-9.6875,-9.6875,19.125,19.125,19.125,2.543071,3.839827,2.388683,7.253882,5.569798,5.524478,0.2884319,-0.3601734,1.415952,0.1508116,-0.07636074,1.488624,0.2259376,0.2401802,1.65173,0.2514651,-0.3881018,1.47351,0.1990879,-0.02831485,1.51595,0.2177255,-0.1792136,1.651654,0.2080337,-0.4794657,1.62673,0.06992646,-0.00515927,1.601409,0.1336401,-0.4684635,1.597553,0.0895481,-0.2044268,1.483476,0.3934916,-0.1988305,1.456028,NA,NA,Closed,Unknown,
0.6381836,-0.78125,0.04394531,-0.8027344,0.8510742,0.1689453,0,-1,-2,-4,-4,-2,-3,1,4,9,3,-2,0,4,10,8,-7.6875,-7.6875,-7.6875,14.875,14.875,14.875,2.538858,3.847151,2.38929,7.257865,5.588856,5.492122,0.2877974,-0.3595303,1.418024,0.1632293,-0.07136867,1.486647,0.2249883,0.2402187,1.652043,0.251191,-0.3880781,1.473554,0.2084969,-0.02998016,1.51705,0.2173233,-0.1790096,1.651513,0.2073787,-0.4793753,1.626338,0.07044216,-0.00473892,1.601469,0.1329581,-0.4683224,1.597167,0.08936181,-0.2041293,1.483631,0.4014639,-0.199116,1.459524,NA,NA,Closed,Unknown,
