ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9443359,-0.3144531,0.04638672,0.8989258,0.3232422,-0.1328125,-2,-2,-1,0,-1,-1,-1,-2,-1,-1,-1,-1,-1,1,1,-1,2.375,2.375,2.375,2.4375,2.4375,2.4375,2.683704,3.013564,1.205995,8.199306,3.108187,1.273983,-0.1008059,-0.5243146,1.451044,0.3401066,-0.5223296,1.465386,0.1347481,0.2443945,1.540572,-0.145811,-0.5144756,1.4578,0.376378,-0.5155271,1.442877,0.1177841,-0.1802627,1.554336,0.1151574,-0.4841877,1.529956,-0.04319422,-0.007252195,1.549847,0.04098541,-0.4729929,1.50184,-0.08773445,-0.2686483,1.541007,0.3253364,-0.264505,1.549428,NA,NA,NotTracked,Unknown,
0.9477539,-0.3139648,0.04882813,0.9135742,0.3408203,-0.1508789,-1,-1,-2,-1,-1,0,-1,-3,-5,-5,-3,-7,-2,0,-3,-2,2.125,2.125,2.125,-8.875,-8.875,-8.875,2.690035,3.011097,1.209834,8.202114,3.116677,1.267261,-0.10179,-0.5220174,1.453572,0.3387124,-0.5230225,1.46365,0.1337582,0.2447369,1.540903,-0.1476046,-0.5135171,1.458552,0.373955,-0.5228701,1.428677,0.117615,-0.1802852,1.554535,0.1147385,-0.4843296,1.530314,-0.04395649,-0.008199882,1.549088,0.04056674,-0.4731548,1.502315,-0.08818789,-0.2695404,1.541373,0.3250803,-0.2651691,1.549257,NA,NA,NotTracked,Unknown,
1.002441,-0.3662109,-0.02636719,1.069824,0.5380859,-0.2753906,-9,-4,-4,-2,0,-1,-1,0,-2,-2,2,-1,1,3,5,10,32.875,32.875,32.875,-122.4375,-122.4375,-122.4375,2.691911,3.032351,1.234617,8.067859,3.234606,1.263376,-0.1033154,-0.5211381,1.451281,0.3402597,-0.5197607,1.45628,0.1332463,0.2446495,1.541034,-0.1477714,-0.5169183,1.450264,0.3807173,-0.5203638,1.4272,0.1175155,-0.1803105,1.554653,0.1145385,-0.4843973,1.530472,-0.04404328,-0.008233993,1.548977,0.04039247,-0.4731787,1.502556,-0.08817295,-0.2693197,1.542019,0.3250767,-0.26509,1.549468,NA,NA,NotTracked,Unknown,
1.081055,-0.4467773,-0.04882813,1.105469,0.7792969,-0.06933594,-3,0,-2,0,-5,2,-1,-2,-3,0,-4,-1,3,0,0,0,94.3125,94.3125,94.3125,-321.375,-321.375,-321.375,2.750039,3.096484,1.26308,7.557108,3.425693,1.366785,-0.1129015,-0.5053499,1.435281,0.3494616,-0.5027022,1.434708,0.1329138,0.2446102,1.541059,-0.1606492,-0.5036156,1.4408,0.3953849,-0.4996535,1.43379,0.1173351,-0.1804027,1.554691,0.1143971,-0.4844649,1.530556,-0.04414308,-0.008561735,1.548759,0.04024065,-0.4732419,1.502657,-0.0888555,-0.2668834,1.547638,0.3247668,-0.2640116,1.554218,NA,NA,NotTracked,Unknown,
1.208984,-0.5708008,0.2524414,0.8989258,0.5629883,0.15625,8,0,-5,-1,-15,-4,-5,0,1,-7,0,4,1,6,3,4,154.375,154.375,154.375,-242.6875,-242.6875,-242.6875,3.158503,3.383266,1.155851,7.056625,3.675282,1.39808,-0.1426062,-0.4556593,1.402178,0.3714009,-0.4544849,1.400901,0.1321875,0.2447919,1.540903,-0.1279361,-0.4914363,1.398429,0.4020507,-0.4518189,1.389115,0.1172814,-0.1803729,1.554658,0.1142313,-0.4843139,1.530659,-0.04334567,-0.008515754,1.5484,0.03997158,-0.4730045,1.502851,-0.08883171,-0.2576299,1.5665,0.3248704,-0.2607062,1.562496,NA,NA,Unknown,Unknown,
0.8408203,-0.5942383,0.4208984,0.5483398,0.7504883,0.3676758,3,8,16,15,8,4,5,3,4,-3,-10,0,30,12,7,5,147.5,147.5,147.5,-105.4375,-105.4375,-105.4375,3.460351,3.671825,1.102124,6.821807,3.986224,1.367825,-0.164628,-0.3932704,1.361262,0.3876388,-0.393651,1.356641,0.1310381,0.2450674,1.540134,-0.1262823,-0.3968611,1.306333,0.4063753,-0.3677856,1.352775,0.117132,-0.1801864,1.554495,0.1140856,-0.4840331,1.530501,-0.0416369,-0.007196168,1.550682,0.03972736,-0.4725823,1.502729,-0.08801328,-0.2456942,1.581271,0.3225658,-0.2486786,1.577558,NA,NA,Unknown,Unknown,
0.5756836,-0.6625977,0.5146484,0.3505859,0.7055664,0.4750977,13,6,-5,-13,-1,2,3,5,3,-7,7,23,12,8,0,22,67.8125,67.8125,67.8125,-50.375,-50.375,-50.375,3.592306,3.995923,1.142082,6.678281,4.441112,1.325067,-0.177962,-0.3114702,1.362772,0.4109928,-0.3095573,1.355433,0.129589,0.2450499,1.539204,-0.1509408,-0.2966504,1.320765,0.435714,-0.2918671,1.35585,0.1167973,-0.1798395,1.553931,0.1136651,-0.483249,1.529847,-0.041162,-0.006073009,1.55079,0.03924529,-0.4718453,1.502356,-0.08814171,-0.2242454,1.595848,0.3215464,-0.2385656,1.584403,NA,NA,Closed,Closed,
0.3842773,-0.3745117,0.6938477,0.1416016,0.4111328,0.6469727,16,14,1,0,-4,-10,-2,-3,-8,-18,-10,-21,3,-6,-17,-13,31.5,31.5,31.5,3.5,3.5,3.5,3.711025,4.506496,1.13241,6.635644,4.750502,1.353062,-0.1736655,-0.2419308,1.363989,0.4142115,-0.2417252,1.359154,0.1283586,0.2450354,1.538587,-0.1349324,-0.2267675,1.33008,0.4477241,-0.2283371,1.337778,0.1165981,-0.1795713,1.553256,0.1134444,-0.4826616,1.529399,-0.040844,-0.005044436,1.55095,0.03895807,-0.4712395,1.502091,-0.09113412,-0.2103594,1.601022,0.3228998,-0.2203364,1.590352,NA,NA,Closed,Closed,
0.08203125,-0.2314453,0.6806641,0.02929688,0.5668945,0.5703125,-9,1,5,-3,-1,-9,-9,-8,-2,-19,-10,1,-3,0,-11,-12,-18.3125,-18.3125,-18.3125,-0.25,-0.25,-0.25,3.737604,4.742836,1.019697,6.662525,5.004877,1.532026,-0.1521002,-0.2014755,1.355105,0.3922416,-0.1985008,1.341178,0.1263682,0.2455721,1.537837,-0.09702384,-0.1865995,1.332625,0.4169473,-0.1921026,1.31975,0.1164997,-0.1791969,1.552999,0.1134102,-0.481886,1.52903,-0.04070343,-0.003789738,1.5512,0.0388752,-0.4705061,1.501877,-0.09805062,-0.2030741,1.607311,0.3132634,-0.2251746,1.612783,NA,NA,Closed,Closed,
0.007324219,-0.3793945,0.7250977,-0.03662109,0.6630859,0.5239258,12,3,-10,1,0,3,13,14,0,-2,-2,1,24,30,25,13,5.5,5.5,5.5,-61.3125,-61.3125,-61.3125,3.755421,4.875478,0.8381571,6.586724,5.070669,1.73332,-0.1141197,-0.182291,1.353063,0.3500184,-0.1758146,1.330057,0.1244024,0.2460336,1.538007,-0.06328633,-0.1681264,1.324357,0.2989194,-0.1564609,1.308182,0.1162892,-0.1788121,1.552902,0.1132967,-0.4813689,1.529033,-0.04057073,-0.002331126,1.551642,0.03874992,-0.4699249,1.501987,-0.0962747,-0.1999593,1.613104,0.3110036,-0.2367014,1.607738,NA,NA,Closed,Closed,
0.05908203,-0.6230469,0.7485352,-0.08056641,0.8510742,0.4614258,-13,-10,6,5,6,-7,-11,1,18,4,3,16,16,-6,-33,11,54.4375,54.4375,54.4375,-32.875,-32.875,-32.875,3.835701,4.931251,0.5952849,6.527038,5.10006,1.907904,-0.07499801,-0.1805483,1.348129,0.3128743,-0.1694176,1.317863,0.1216062,0.2466165,1.53863,-0.01283588,-0.1587815,1.320546,0.2726256,-0.1489855,1.3015,0.1161882,-0.178591,1.55284,0.1132788,-0.4811747,1.529035,-0.04054027,-0.002032912,1.552156,0.0387359,-0.4697512,1.50203,-0.09083419,-0.1997366,1.61689,0.3045022,-0.2273112,1.551704,NA,NA,Lasso,Unknown,
0.1166992,-0.8188477,0.621582,-0.06542969,0.8530273,0.5029297,-9,-1,-1,-1,0,-1,-4,-6,-6,-1,-6,-2,-10,-7,3,0,39.375,39.375,39.375,-33.875,-33.875,-33.875,3.930892,4.949543,0.3826985,6.471036,5.086975,2.093508,-0.04124657,-0.1784635,1.34617,0.2839313,-0.166821,1.313269,0.1186073,0.2471854,1.539296,0.02260961,-0.1661771,1.4125,0.2427883,-0.1495134,1.298313,0.1160037,-0.1783388,1.552733,0.1132098,-0.4809346,1.529053,-0.04019957,-0.00213865,1.553718,0.03871002,-0.4695027,1.50232,-0.1027414,-0.2074872,1.485602,0.2960264,-0.2295066,1.538169,NA,NA,Lasso,Unknown,
0.1044922,-0.8076172,0.671875,-0.02441406,0.9316406,0.5307617,16,7,5,-4,-16,-23,-14,12,11,8,10,9,16,6,3,8,18.25,18.25,18.25,8.4375,8.4375,8.4375,3.945974,4.937552,0.3128022,6.48489,5.072405,2.136301,-0.02603229,-0.1795825,1.350606,0.2819506,-0.1544472,1.301715,0.1153632,0.2473106,1.540411,0.03013546,-0.1666986,1.411532,0.2780126,-0.1516173,1.282295,0.1156261,-0.1781018,1.552663,0.1127904,-0.4805107,1.529112,-0.04048806,-0.002404166,1.553983,0.03839761,-0.4690461,1.502638,-0.09942543,-0.2167789,1.511455,0.2688512,-0.2368381,1.502676,NA,NA,Lasso,Unknown,
0.07666016,-0.668457,0.7822266,-0.02929688,0.8764648,0.5810547,-17,0,6,0,-3,-1,1,-13,-13,5,2,-6,-2,5,2,-10,-17,-17,-17,6.6875,6.6875,6.6875,3.922866,4.929689,0.3375555,6.502424,5.084302,2.089593,-0.02791927,-0.1760537,1.355869,0.2966998,-0.1756428,1.214016,0.112735,0.247163,1.541222,0.01776567,-0.1585158,1.318077,0.289674,-0.1709282,1.192754,0.1153177,-0.1779612,1.552547,0.1126348,-0.4803048,1.529091,-0.04081748,-0.002824276,1.554366,0.03830383,-0.4689248,1.502797,-0.1003317,-0.2128614,1.568127,0.2702804,-0.2353363,1.502477,NA,NA,Lasso,Unknown,
