ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9584961,-0.2822266,-0.03027344,0.9169922,0.3066406,-0.1054688,0,0,-1,0,-1,-2,0,0,1,-2,1,-1,0,2,-2,-1,5.25,5.25,5.25,-1.25,-1.25,-1.25,2.266,2.992889,2.854343,8.110453,3.056954,7.537837,-0.05610708,-0.5218592,1.51409,0.364365,-0.5160764,1.523983,0.1544525,0.2411762,1.604507,-0.09919757,-0.5190332,1.514936,0.4017848,-0.5057603,1.501198,0.1488276,-0.1851306,1.613918,0.1438827,-0.48949,1.591595,-0.01709134,-0.0152023,1.612652,0.06870603,-0.4808659,1.566927,-0.05296266,-0.2634337,1.600966,0.3597426,-0.266703,1.607147,NA,NA,NotTracked,NotTracked,
0.9584961,-0.2822266,-0.03027344,0.9121094,0.3100586,-0.105957,0,0,-1,0,-1,-2,0,0,-3,-2,0,-4,0,-1,0,1,5.25,5.25,5.25,-1.8125,-1.8125,-1.8125,2.266,2.992889,2.854343,8.107973,3.057443,7.538546,-0.05648598,-0.5223628,1.514045,0.3639626,-0.5152412,1.523571,0.1542057,0.2412619,1.604397,-0.09934551,-0.521491,1.514245,0.4011876,-0.504128,1.500315,0.1487824,-0.1851433,1.613907,0.1438436,-0.4895213,1.591588,-0.01725185,-0.01516166,1.6115,0.06866411,-0.4808893,1.566914,-0.05300212,-0.2634319,1.600942,0.3597086,-0.2667432,1.607149,NA,NA,NotTracked,NotTracked,
0.9584961,-0.2822266,-0.03027344,0.9150391,0.3115234,-0.1079102,0,0,-1,0,-1,-2,0,0,-1,-1,0,2,-1,-2,2,-1,5.25,5.25,5.25,-2.25,-2.25,-2.25,2.266,2.992889,2.854343,8.106474,3.058113,7.538372,-0.05704327,-0.5219843,1.515175,0.3642089,-0.515724,1.525043,0.1541142,0.2411828,1.604353,-0.102419,-0.5314873,1.513222,0.4023488,-0.5075918,1.499516,0.1487244,-0.1851496,1.613891,0.1438179,-0.4895141,1.591578,-0.01726532,-0.0153473,1.610886,0.06863023,-0.480886,1.566898,-0.05307758,-0.2634497,1.600912,0.3596316,-0.2667091,1.607195,NA,NA,NotTracked,NotTracked,
0.9584961,-0.2822266,-0.03027344,0.9135742,0.3095703,-0.09912109,0,0,-1,0,-1,-2,0,0,-1,-1,-4,-3,1,0,-2,0,5.25,5.25,5.25,-1.8125,-1.8125,-1.8125,2.266,2.992889,2.854343,8.103411,3.058237,7.538688,-0.05657542,-0.5216807,1.515641,0.3644486,-0.5162323,1.525662,0.1540382,0.2412622,1.604335,-0.1027067,-0.5326995,1.517417,0.402202,-0.5055431,1.502506,0.148708,-0.1851495,1.613888,0.1438088,-0.489518,1.59158,-0.01729614,-0.01544203,1.610209,0.06862134,-0.4808941,1.56689,-0.05318246,-0.2636785,1.601001,0.3595452,-0.2666049,1.607314,NA,NA,NotTracked,NotTracked,
0.9584961,-0.2822266,-0.03027344,0.9160156,0.3134766,-0.1040039,0,0,-1,0,-1,-2,0,0,-1,0,-1,-1,1,-2,1,1,5.25,5.25,5.25,-1.75,-1.75,-1.75,2.266,2.992889,2.854343,8.101761,3.058601,7.538378,-0.05666197,-0.5220933,1.51549,0.3644269,-0.5162728,1.525503,0.1539736,0.2412301,1.604213,-0.09946567,-0.5289152,1.513111,0.4021299,-0.5041449,1.50553,0.1486746,-0.1851655,1.613892,0.1437527,-0.4895488,1.591572,-0.01725296,-0.01542043,1.610004,0.06856971,-0.4809167,1.566876,-0.05325964,-0.263796,1.600957,0.3595196,-0.26663,1.60734,NA,NA,NotTracked,NotTracked,
0.9584961,-0.2822266,-0.03027344,0.9101563,0.3081055,-0.1044922,0,0,-1,0,-1,-2,0,0,-1,0,-2,0,0,-3,0,-1,5.25,5.25,5.25,-0.625,-0.625,-0.625,2.266,2.992889,2.854343,8.101352,3.058544,7.537349,-0.05638989,-0.5214866,1.515275,0.3646666,-0.5164407,1.525091,0.1538557,0.2412329,1.604202,-0.09953482,-0.5251229,1.514549,0.4019491,-0.5048767,1.502362,0.1486667,-0.1851656,1.613882,0.1437407,-0.489545,1.591557,-0.01714788,-0.01540583,1.609512,0.06855407,-0.4809233,1.566857,-0.05325958,-0.263795,1.600958,0.3595121,-0.2666538,1.607338,NA,NA,NotTracked,NotTracked,
0.9584961,-0.2822266,-0.03027344,0.9135742,0.3071289,-0.1005859,0,0,-1,0,-1,-2,0,0,-1,0,-2,-1,-1,-2,1,-1,5.25,5.25,5.25,1.25,1.25,1.25,2.266,2.992889,2.854343,8.101877,3.059173,7.536436,-0.05612099,-0.5224537,1.515809,0.3646076,-0.5174302,1.524842,0.1538216,0.2411739,1.604212,-0.1003544,-0.5280503,1.517649,0.4051374,-0.5156513,1.501789,0.1486632,-0.1851768,1.613883,0.1437382,-0.4895515,1.591553,-0.01710904,-0.01541528,1.609386,0.06854945,-0.4809356,1.56685,-0.0532743,-0.2637815,1.600963,0.3594784,-0.2665273,1.607444,NA,NA,NotTracked,NotTracked,
0.9584961,-0.2822266,-0.03027344,0.9125977,0.3056641,-0.1064453,0,0,-1,0,-1,-2,0,0,-1,-1,-1,-1,-1,2,-1,-1,5.25,5.25,5.25,1.625,1.625,1.625,2.266,2.992889,2.854343,8.104559,3.059539,7.534613,-0.05632327,-0.5217744,1.515455,0.3648835,-0.5175367,1.524045,0.1537626,0.241202,1.604164,-0.1002883,-0.5256069,1.514941,0.4021057,-0.5025526,1.50631,0.148627,-0.1851838,1.613892,0.1437314,-0.4895577,1.591555,-0.01708089,-0.01545537,1.609161,0.06853566,-0.4809595,1.566828,-0.05327965,-0.2637789,1.60095,0.359468,-0.266473,1.607471,NA,NA,NotTracked,NotTracked,
0.9584961,-0.2822266,-0.03027344,0.9121094,0.3081055,-0.09472656,0,0,-1,0,-1,-2,0,0,1,-2,-2,-1,-4,-2,1,-1,5.25,5.25,5.25,2.5,2.5,2.5,2.266,2.992889,2.854343,8.10589,3.059745,7.535458,-0.05615083,-0.5223216,1.516472,0.3650832,-0.5161086,1.525418,0.1536211,0.2411833,1.604146,-0.1014886,-0.4982201,1.522095,0.4026408,-0.5060657,1.503178,0.1485741,-0.1852104,1.613913,0.1436999,-0.489556,1.591593,-0.01726576,-0.01545538,1.611549,0.06851552,-0.4809738,1.566891,-0.05330015,-0.2637131,1.600998,0.359496,-0.2665142,1.607506,NA,NA,NotTracked,NotTracked,
0.9584961,-0.2822266,-0.03027344,0.9165039,0.3056641,-0.1049805,0,0,-1,0,-1,-2,0,0,-1,-3,1,0,-2,-3,0,-5,5.25,5.25,5.25,1.8125,1.8125,1.8125,2.266,2.992889,2.854343,8.10795,3.059348,7.536627,-0.0561587,-0.5223768,1.516001,0.3651619,-0.5157195,1.525145,0.153594,0.2411848,1.604113,-0.09882051,-0.531705,1.509333,0.4024638,-0.5059497,1.502988,0.1485608,-0.1852201,1.613951,0.1436847,-0.4895674,1.591627,-0.01723448,-0.01551195,1.611294,0.06849825,-0.4809912,1.566946,-0.05330974,-0.2637676,1.601004,0.3594858,-0.2665602,1.607528,NA,NA,NotTracked,NotTracked,
