ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9462891,-0.3144531,0.02490234,0.9179688,0.3237305,-0.140625,0,-1,-2,-3,-1,1,0,-2,1,-8,-11,-7,-1,-1,-1,-7,-1.0625,-1.0625,-1.0625,-12.5,-12.5,-12.5,2.553434,3.021866,0.5222339,8.146869,3.085738,7.496834,-0.1033503,-0.5231288,1.47188,0.3328902,-0.52386,1.458714,0.1170771,0.2431924,1.555703,-0.1474139,-0.4982281,1.477896,0.3723441,-0.5032523,1.4208,0.1180932,-0.1793801,1.562554,0.1135126,-0.4825548,1.538031,-0.04527533,-0.01170349,1.561641,0.03992447,-0.4724595,1.513529,-0.08365218,-0.2644997,1.560912,0.3253494,-0.262183,1.543849,NA,NA,NotTracked,NotTracked,
1.027344,-0.3569336,0.01269531,1.141602,0.6108398,-0.2167969,-6,3,-2,-2,-3,-6,-7,-9,-12,1,-6,1,2,1,1,-1,-0.125,-0.125,-0.125,-82.0625,-82.0625,-82.0625,2.558854,3.048158,0.5144626,7.980977,3.195115,7.561679,-0.1040815,-0.5201876,1.470008,0.3336407,-0.5233228,1.455769,0.1170783,0.2431985,1.555702,-0.1487369,-0.5013887,1.480476,0.3732879,-0.512979,1.439391,0.1180559,-0.1793965,1.562524,0.1135123,-0.4825753,1.537974,-0.04519911,-0.01183509,1.561496,0.03992122,-0.4724824,1.513413,-0.08364839,-0.2643884,1.560965,0.3255205,-0.2620697,1.544308,NA,NA,NotTracked,NotTracked,
1.22168,-0.5268555,-0.003417969,1.164063,0.6865234,0.07177734,-7,-6,0,11,13,14,3,-8,0,-8,-13,-1,-5,-16,-5,1,51.4375,51.4375,51.4375,-150.1875,-150.1875,-150.1875,2.754325,3.174919,0.3591746,7.5137,3.387368,7.838916,-0.1093141,-0.5050378,1.444052,0.3330741,-0.5073927,1.429555,0.1170229,0.2432349,1.555524,-0.1504151,-0.4949419,1.460462,0.3679095,-0.4983396,1.396238,0.118032,-0.1794184,1.562359,0.1135546,-0.482619,1.537845,-0.04522981,-0.01193802,1.561414,0.03995212,-0.4725481,1.513287,-0.08475108,-0.2633529,1.563657,0.3270721,-0.2610957,1.547666,NA,NA,NotTracked,NotTracked,
1.129883,-0.6645508,0.4174805,0.965332,0.65625,0.3525391,1,6,1,-3,2,-5,-13,-3,-2,-4,-2,1,-1,-8,-3,4,23.9375,23.9375,23.9375,-56.8125,-56.8125,-56.8125,3.088698,3.405883,0.03567944,7.157404,3.69225,8.081558,-0.1215948,-0.458673,1.391888,0.334633,-0.4661563,1.375818,0.1169019,0.2433687,1.555109,-0.1478694,-0.4580424,1.424,0.2986363,-0.4500001,1.334857,0.1179853,-0.1793948,1.562198,0.1135213,-0.4825944,1.537815,-0.0449778,-0.011714,1.561302,0.03988328,-0.4725013,1.513278,-0.08696898,-0.2560321,1.573366,0.3304591,-0.2562917,1.554159,NA,NA,Unknown,NotTracked,
0.7709961,-0.7397461,0.5493164,0.5063477,0.8847656,0.3696289,-14,-33,-12,-2,-5,-6,3,-17,-35,-2,-4,-9,-19,-16,-8,-36,34.125,34.125,34.125,-8.125,-8.125,-8.125,3.39669,3.899975,9.722757,7.033142,4.101646,8.251062,-0.1165376,-0.3859333,1.352972,0.3231909,-0.3888863,1.323825,0.1166538,0.2436633,1.554618,-0.1055221,-0.4117073,1.395316,0.2877996,-0.343408,1.298318,0.1179093,-0.1793318,1.561997,0.1134041,-0.4824706,1.53772,-0.04412981,-0.01105647,1.56159,0.03965475,-0.4723023,1.513194,-0.08715994,-0.2389683,1.583423,0.3311067,-0.2399271,1.559936,NA,NA,Unknown,Unknown,
0.4267578,-0.6088867,0.5859375,0.1689453,0.690918,0.3256836,-4,-4,-4,-6,-10,-20,-21,-6,17,3,9,7,18,22,4,10,70,70,70,-81.25,-81.25,-81.25,3.58015,4.346774,9.567576,6.836139,4.700037,8.418038,-0.09661804,-0.2875719,1.323315,0.3088962,-0.2877396,1.320079,0.1165022,0.2437731,1.554084,-0.08644934,-0.3143073,1.3449,0.2725518,-0.2340542,1.2835,0.1178708,-0.179144,1.561771,0.1130188,-0.4821142,1.537559,-0.04345996,-0.01009874,1.562165,0.03903907,-0.4717091,1.513035,-0.0849672,-0.2226428,1.585501,0.3258045,-0.2217227,1.55898,NA,NA,Unknown,Unknown,
0.08691406,-0.4404297,0.5117188,-0.05566406,0.512207,0.3691406,-1,0,0,-2,0,-8,-15,-9,3,-5,-9,-1,3,17,8,7,23,23,23,-35.4375,-35.4375,-35.4375,3.697571,4.787537,9.410155,6.737546,5.117351,8.524397,-0.06917305,-0.1896404,1.30934,0.2864736,-0.189993,1.289545,0.1163584,0.243903,1.553619,-0.04581184,-0.1267966,1.296111,0.2499684,-0.1283893,1.280733,0.1177321,-0.1790323,1.561513,0.1127689,-0.4817889,1.537217,-0.04315603,-0.009386077,1.562861,0.03872207,-0.4712799,1.512769,-0.09255263,-0.2231066,1.567902,0.3059694,-0.2332052,1.481307,NA,NA,Unknown,Unknown,
-0.04443359,-0.4545898,0.5092773,-0.1816406,0.621582,0.3212891,-4,0,-1,-4,-7,-15,11,6,-24,-8,-5,-4,4,6,0,-25,-7.125,-7.125,-7.125,-10.75,-10.75,-10.75,3.703916,5.050041,9.310687,6.732485,5.47256,8.663845,-0.0405369,-0.1160989,1.308206,0.2614323,-0.1137139,1.328523,0.1162612,0.2439506,1.553565,-0.01719569,-0.05771738,1.307429,0.2278432,-0.05899426,1.29995,0.1176476,-0.1789875,1.561417,0.112666,-0.4815885,1.536878,-0.04433218,-0.009701246,1.564615,0.03864696,-0.4711003,1.512396,-0.09665845,-0.2233528,1.530399,0.302698,-0.2287892,1.455033,NA,NA,Unknown,Unknown,
-0.1616211,-0.5395508,0.4589844,-0.1757813,0.5922852,0.2329102,-19,-10,5,6,5,-1,17,-10,7,-8,0,7,2,5,-5,17,9.875,9.875,9.875,-20.8125,-20.8125,-20.8125,3.639776,5.407059,9.03528,6.742815,5.491486,8.772278,-0.01004239,-0.09412485,1.313657,0.2014641,-0.06288227,1.41687,0.1162059,0.2439891,1.553782,0.009931009,-0.0363624,1.312214,0.210384,-0.03340301,1.305323,0.1176017,-0.1789661,1.561409,0.1125879,-0.4814276,1.53663,-0.04486701,-0.01002345,1.565258,0.03860279,-0.4709274,1.512064,-0.1009837,-0.2231453,1.538349,0.3100998,-0.2285099,1.468176,NA,NA,Unknown,Unknown,
-0.1435547,-0.5429688,0.3549805,-0.206543,0.7143555,0.2939453,20,-8,-11,0,-2,4,-2,16,-9,-20,-7,-4,-10,5,-7,-18,26.5,26.5,26.5,11.125,11.125,11.125,3.637675,5.385164,8.935096,6.762712,5.306356,8.833364,0.01444485,-0.125324,1.316628,0.2084017,-0.09446543,1.361655,0.1161989,0.2440605,1.554968,0.03269824,-0.07033573,1.302143,0.2236033,-0.1187488,1.208208,0.1174901,-0.1788196,1.561385,0.1124149,-0.4810154,1.536131,-0.0452156,-0.01023493,1.566256,0.03851508,-0.4705953,1.511757,-0.1033789,-0.2228846,1.541669,0.3121935,-0.2277664,1.467763,NA,NA,Unknown,Unknown,
