ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9311523,-0.3813477,0.1401367,0.6108398,0.7045898,0.5,-1,-1,-3,-1,-1,-1,-2,1,-4,1,6,10,-1,4,-2,-4,-7.0625,-7.0625,-7.0625,20.875,20.875,20.875,3.04728,3.151199,4.003476,6.642788,4.216968,8.143031,-0.1090724,-0.4194798,1.386219,0.2319818,-0.2359741,1.21026,0.1056383,0.4399863,1.461062,-0.06437418,-0.4155801,1.380954,0.2148191,-0.2127359,1.225875,0.08670477,-0.02725807,1.494987,0.08236773,-0.3579802,1.487236,-0.08799682,0.1698925,1.488123,-0.001684399,-0.3461959,1.451976,-0.1226569,-0.06326499,1.497889,0.3023728,-0.07138874,1.489742,NA,NA,NotTracked,Unknown,
0.925293,-0.3735352,0.1430664,0.4443359,0.7866211,0.5649414,0,-1,1,-1,-2,0,-1,-1,-16,-6,-7,-12,4,5,5,18,0.25,0.25,0.25,10.5,10.5,10.5,3.045166,3.15667,4.000595,6.610469,4.434948,8.256231,-0.1092868,-0.4195897,1.383791,0.1834234,-0.1619878,1.18737,0.1059771,0.4401058,1.461513,-0.0664746,-0.4126654,1.384173,0.1499108,-0.2030989,1.1772,0.08618227,-0.02711874,1.495067,0.0806746,-0.3578009,1.487094,-0.08790308,0.1699684,1.488127,-0.003059844,-0.3461208,1.452027,-0.1225948,-0.06319902,1.497786,0.3018549,-0.06388319,1.476656,NA,NA,NotTracked,Lasso,
0.9101563,-0.3764648,0.1367188,0.07714844,0.7436523,0.5117188,-3,-1,2,-1,-1,-2,0,-3,6,0,5,5,-20,-3,6,10,3.25,3.25,3.25,-10.6875,-10.6875,-10.6875,3.047519,3.166017,4.00304,6.541803,4.951007,8.513911,-0.1099502,-0.4201057,1.381129,0.1372836,-0.08391909,1.187404,0.1066052,0.4404448,1.462118,-0.06446719,-0.4155335,1.381025,0.08350736,-0.1216687,1.240833,0.08622073,-0.02688745,1.495161,0.08083208,-0.3573686,1.487097,-0.08666316,0.1701218,1.487729,-0.002898735,-0.3458826,1.452081,-0.1223459,-0.06288136,1.497506,0.3132898,-0.05547838,1.38676,NA,NA,NotTracked,Unknown,
0.9072266,-0.3706055,0.1425781,-0.004882813,0.7148438,0.5297852,0,2,-1,0,-1,1,2,1,29,6,1,9,20,3,10,95,-1.9375,-1.9375,-1.9375,-3.75,-3.75,-3.75,3.045633,3.175276,4.008636,6.537796,5.182527,8.665812,-0.1106285,-0.4200408,1.379121,0.1061246,-0.01674387,1.196188,0.1071838,0.4406306,1.462884,-0.06615949,-0.4130659,1.384132,0.05361255,-0.055617,1.2255,0.08647037,-0.02636166,1.495385,0.08108541,-0.3562202,1.487445,-0.0816033,0.1713396,1.487234,-0.002242464,-0.3448923,1.452358,-0.1214869,-0.06097706,1.497072,0.3100924,-0.05293436,1.380212,NA,NA,NotTracked,Unknown,
0.9189453,-0.3798828,0.1328125,-0.1259766,0.7011719,0.5170898,-1,-1,-1,-2,-1,-2,-1,-2,0,-13,-7,-2,-4,11,-11,-42,5.0625,5.0625,5.0625,0.8125,0.8125,0.8125,3.039962,3.18146,4.014997,6.558775,5.347268,8.814269,-0.1107646,-0.4199966,1.376709,0.08053622,0.02595725,1.213193,0.1079178,0.4406933,1.463772,-0.06621125,-0.4136831,1.383512,0.02087369,-0.01124744,1.244222,0.08656706,-0.02613203,1.495478,0.08099946,-0.3554651,1.487495,-0.08141469,0.1716832,1.487232,-0.00195828,-0.344171,1.452864,-0.1213127,-0.06067047,1.4968,0.2997304,-0.05250942,1.37405,NA,NA,NotTracked,Unknown,
0.9150391,-0.3686523,0.1308594,-0.1845703,0.7592773,0.5097656,0,-2,-2,-2,-3,-2,0,0,13,-3,-1,-11,-8,-17,6,-3,2.3125,2.3125,2.3125,2.3125,2.3125,2.3125,3.040328,3.183876,4.018745,6.604269,5.464521,8.996937,-0.1096531,-0.4199789,1.375188,0.01617711,0.06924289,1.237027,0.1083838,0.4407096,1.464348,-0.06732643,-0.4122104,1.385269,-0.03620877,0.04445826,1.2404,0.08665709,-0.02594117,1.495488,0.08107609,-0.3548502,1.487122,-0.08173086,0.1716866,1.487345,-0.001731193,-0.3437671,1.453001,-0.1211919,-0.06077085,1.496694,0.2898738,-0.04996891,1.364386,NA,NA,NotTracked,Unknown,
0.9072266,-0.3857422,0.1376953,-0.21875,0.7177734,0.4863281,0,-1,-1,-1,-2,0,0,-1,30,11,7,-3,-5,17,9,16,6.75,6.75,6.75,-9.4375,-9.4375,-9.4375,3.044571,3.189592,4.026322,6.615571,5.499463,9.094506,-0.1093746,-0.421439,1.37371,0.05262392,0.06507999,1.248039,0.1089632,0.441061,1.465379,-0.06675427,-0.420116,1.368405,-0.006551987,0.02290734,1.268857,0.08663814,-0.02581823,1.495441,0.08110448,-0.3544226,1.486583,-0.08259429,0.1716711,1.487098,-0.001642819,-0.3435344,1.452974,-0.1211533,-0.06092417,1.496591,0.2829555,-0.05348382,1.376953,NA,NA,NotTracked,Unknown,
0.8994141,-0.3837891,0.1303711,-0.2983398,0.7568359,0.4628906,-1,2,2,2,-2,0,0,1,-6,-16,-19,-27,-8,-7,-24,-30,4.9375,4.9375,4.9375,-11.375,-11.375,-11.375,3.048795,3.190688,4.035513,6.615675,5.496415,9.133271,-0.1094147,-0.4215766,1.375694,0.05523283,0.06234678,1.259415,0.1092231,0.4411149,1.466062,-0.06534017,-0.4165216,1.378049,0.001437441,0.02808751,1.277571,0.08659784,-0.02573223,1.495347,0.08110017,-0.3542288,1.485921,-0.08329509,0.1713803,1.486699,-0.00161552,-0.3434746,1.4529,-0.121217,-0.06128431,1.496476,0.2857094,-0.05462673,1.372819,NA,NA,NotTracked,Unknown,
0.9140625,-0.3959961,0.1464844,-0.3212891,0.8461914,0.5019531,-1,-4,-3,-3,-2,-3,-2,-4,39,4,1,-24,4,17,1,16,2.4375,2.4375,2.4375,2.25,2.25,2.25,3.047624,3.190507,4.040457,6.621016,5.45762,9.164589,-0.1086153,-0.4220781,1.375446,0.0460738,0.05632382,1.267385,0.1091959,0.4411798,1.466263,-0.06439152,-0.4139968,1.376379,0.002871388,0.01895881,1.3034,0.08653198,-0.02565372,1.495075,0.08110576,-0.3540128,1.4849,-0.08394521,0.1711226,1.486602,-0.001562969,-0.3433692,1.45257,-0.1210965,-0.06166598,1.496385,0.2817023,-0.05185653,1.364492,NA,NA,NotTracked,Unknown,
0.9169922,-0.4052734,0.1474609,-0.3452148,0.8833008,0.5419922,0,-1,-1,-1,-1,0,1,4,13,6,-6,-2,-8,5,8,45,2.1875,2.1875,2.1875,-1.125,-1.125,-1.125,3.046938,3.190419,4.043836,6.623342,5.429495,9.164457,-0.1092276,-0.421784,1.375971,0.04367792,0.04845839,1.273282,0.1090699,0.4411688,1.466625,-0.06617884,-0.4173596,1.375134,-0.009307278,0.004800675,1.3095,0.08643907,-0.02561675,1.494708,0.08099586,-0.3538665,1.484068,-0.08439617,0.170808,1.48663,-0.001564055,-0.3432884,1.452055,-0.1211277,-0.06204924,1.496377,0.2848287,-0.05257078,1.366268,NA,NA,NotTracked,Unknown,
