ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9140625,-0.371582,0.1186523,0.9072266,0.3447266,0.08544922,-2,-2,-3,-2,-1,-3,0,-1,-2,-1,0,-2,-2,0,-1,-2,5.125,5.125,5.125,2.1875,2.1875,2.1875,2.984373,3.172496,5.81245,7.093024,3.101176,1.269549,-0.2455624,-0.4199082,1.316109,0.2153471,-0.4267994,1.351747,-0.007502662,0.4430141,1.385455,-0.2097663,-0.418295,1.294651,0.1702748,-0.4245395,1.367241,-0.01812974,-0.0256434,1.422136,-0.01757233,-0.3559229,1.421153,-0.1922333,0.1716042,1.406448,-0.1012637,-0.3443942,1.3823,-0.2478673,-0.09675275,1.438027,0.200574,-0.1142335,1.467474,NA,NA,NotTracked,NotTracked,
0.9135742,-0.3818359,0.1274414,0.9121094,0.3427734,0.08789063,-1,0,-1,-1,0,-1,1,-1,0,0,-1,-1,-1,0,0,0,-2.0625,-2.0625,-2.0625,-2.4375,-2.4375,-2.4375,2.990203,3.168519,5.806082,7.103693,3.097831,1.257148,-0.2440739,-0.4205615,1.31577,0.2151104,-0.4272896,1.352814,-0.007596747,0.4431898,1.385283,-0.2337138,-0.4414254,1.341222,0.1692313,-0.4239886,1.36515,-0.01829674,-0.02564594,1.421943,-0.01769317,-0.3559586,1.421027,-0.1923207,0.1714181,1.406224,-0.1014003,-0.3444248,1.38217,-0.2476341,-0.09660956,1.437829,0.2005868,-0.1142245,1.467414,NA,NA,NotTracked,NotTracked,
0.925293,-0.3774414,0.1376953,0.9082031,0.3457031,0.09277344,0,-1,-1,-2,-1,-1,-2,0,1,1,1,0,-1,-1,-2,0,3.75,3.75,3.75,0.125,0.125,0.125,2.999649,3.165119,5.799314,7.10982,3.097019,1.247645,-0.2427357,-0.4224356,1.317608,0.21519,-0.426616,1.353097,-0.0077215,0.4433737,1.385049,-0.2838713,-0.4281954,1.319154,0.1624482,-0.4141581,1.347692,-0.01851335,-0.02560923,1.421644,-0.01788041,-0.3559163,1.420797,-0.1923791,0.1712632,1.406023,-0.1015915,-0.3443758,1.381945,-0.2473837,-0.09677824,1.43762,0.2006038,-0.1142397,1.467387,NA,NA,NotTracked,NotTracked,
0.9072266,-0.3740234,0.1362305,0.9091797,0.3447266,0.09423828,-1,0,-2,-1,0,0,-1,-1,-1,-2,1,-1,-1,-2,-2,-2,0.5,0.5,0.5,-5.3125,-5.3125,-5.3125,3.009123,3.160042,5.793812,7.106253,3.097306,1.24453,-0.2403489,-0.4247685,1.319306,0.2167372,-0.4269789,1.354681,-0.007797298,0.4434637,1.384967,-0.2772964,-0.4247118,1.304625,0.1588123,-0.3961823,1.356273,-0.01869588,-0.02558763,1.42148,-0.01800183,-0.3559269,1.420732,-0.1924772,0.1711232,1.405916,-0.1017106,-0.3443688,1.381879,-0.2470706,-0.09688509,1.437568,0.2006003,-0.1142231,1.467413,NA,NA,NotTracked,NotTracked,
0.9130859,-0.3862305,0.1308594,0.8945313,0.3393555,0.09521484,1,-2,-1,1,0,-1,-1,-1,0,-1,-1,-1,-4,-3,-1,-3,0.1875,0.1875,0.1875,2,2,2,3.012933,3.15223,5.789781,7.101984,3.098273,1.250813,-0.2387153,-0.4248553,1.321464,0.2163737,-0.4265506,1.353533,-0.007881575,0.4435472,1.384915,-0.2796824,-0.4260873,1.318,0.1592921,-0.3951195,1.3589,-0.01887586,-0.02552804,1.421414,-0.01812403,-0.3558778,1.42075,-0.1926448,0.1708882,1.405707,-0.1018083,-0.3443145,1.381914,-0.2466665,-0.09632321,1.43748,0.200592,-0.1141727,1.467484,NA,NA,NotTracked,NotTracked,
0.9243164,-0.3681641,0.1352539,0.9169922,0.3427734,0.09667969,0,-3,0,-1,-1,-2,2,0,0,-1,-1,-1,-1,-2,0,0,-3.375,-3.375,-3.375,-2.9375,-2.9375,-2.9375,3.018403,3.139732,5.780767,7.092014,3.100961,1.259152,-0.2364064,-0.4227638,1.324462,0.2163183,-0.4263018,1.353872,-0.00804267,0.4437275,1.384881,-0.2759115,-0.4190232,1.313656,0.1706723,-0.4238597,1.3522,-0.0189537,-0.0254852,1.421346,-0.0181644,-0.3558398,1.420761,-0.1927524,0.1706993,1.40536,-0.1018469,-0.3442743,1.381944,-0.2461964,-0.0961038,1.437446,0.2005336,-0.1140882,1.467478,NA,NA,NotTracked,NotTracked,
0.9282227,-0.3642578,0.1132813,0.8984375,0.3339844,0.08935547,-2,-3,-2,-2,-1,1,0,-1,2,0,0,0,-2,1,-1,0,1.375,1.375,1.375,0.9375,0.9375,0.9375,3.023882,3.134853,5.77458,7.082204,3.10161,1.26693,-0.2322174,-0.4224999,1.326287,0.2155142,-0.4261365,1.352168,-0.008144028,0.4438027,1.384676,-0.2704009,-0.4163502,1.30834,0.1724845,-0.4243953,1.368275,-0.01912685,-0.02545011,1.421124,-0.01818698,-0.3558272,1.420718,-0.192805,0.1706361,1.405027,-0.101867,-0.3442697,1.381939,-0.245875,-0.09609061,1.437312,0.2004189,-0.1139282,1.46737,NA,NA,NotTracked,NotTracked,
0.9326172,-0.3803711,0.1274414,0.8769531,0.4233398,0.08349609,-3,-2,-2,-1,5,7,0,-2,3,1,-3,-1,-1,-2,-2,1,-1.3125,-1.3125,-1.3125,-3.625,-3.625,-3.625,3.030646,3.136266,5.766407,7.070538,3.105412,1.284382,-0.2304601,-0.4224478,1.327001,0.2149144,-0.4264272,1.352146,-0.008224056,0.4439455,1.38466,-0.2746868,-0.4178622,1.323783,0.1722344,-0.4241497,1.366953,-0.01925455,-0.02542522,1.421063,-0.01820531,-0.3558215,1.420728,-0.1928322,0.170575,1.404909,-0.1018925,-0.3442687,1.38194,-0.2450876,-0.09529123,1.437424,0.2003251,-0.1137574,1.467312,NA,NA,NotTracked,NotTracked,
0.9125977,-0.4975586,0.1196289,0.9365234,0.5380859,0.06542969,5,0,0,1,-2,-4,-1,10,9,-5,18,7,0,-2,-6,0,44.9375,44.9375,44.9375,-77.25,-77.25,-77.25,3.042181,3.157945,5.788673,7.039073,3.155344,1.225276,-0.2370527,-0.4228783,1.3183,0.2151363,-0.4262771,1.34754,-0.008267057,0.4440058,1.384667,-0.2805676,-0.4260518,1.319884,0.1723146,-0.4253039,1.36577,-0.01930549,-0.02537973,1.421065,-0.01817728,-0.3557349,1.420854,-0.1928062,0.170577,1.40478,-0.1018386,-0.3441896,1.382098,-0.2448259,-0.09552105,1.437528,0.2002055,-0.1135936,1.467119,NA,NA,NotTracked,NotTracked,
0.9970703,-0.5107422,0.1132813,0.90625,0.671875,0.1586914,21,-1,4,6,2,3,2,4,-1,-19,1,-11,-6,-5,-4,0,84.3125,84.3125,84.3125,-29.875,-29.875,-29.875,3.089587,3.235435,5.882835,6.994929,3.322635,1.154354,-0.2614931,-0.4004093,1.282599,0.2262576,-0.4240608,1.326486,-0.008365318,0.4441722,1.384809,-0.2086433,-0.4088409,1.310286,0.1857415,-0.4368832,1.355909,-0.01929342,-0.02536286,1.421034,-0.01801587,-0.3557538,1.420939,-0.1926721,0.1704943,1.404597,-0.1016425,-0.3442423,1.382213,-0.2449123,-0.0966286,1.438079,0.2003929,-0.1132774,1.465848,NA,NA,NotTracked,NotTracked,
