ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.8813477,0.4165039,0.04052734,0.9316406,-0.324707,-0.1176758,1,0,-1,-2,0,1,0,-1,-1,-1,0,0,-2,-2,-1,-1,-0.75,-0.75,-0.75,2.9375,2.9375,2.9375,7.355564,3.212169,2.951772,2.11068,3.095793,7.41949,-0.03255644,-0.5107324,1.631193,0.3242176,-0.5358478,1.632983,0.1488021,0.3021388,1.753099,-0.07737274,-0.5239767,1.631593,0.3663971,-0.5430058,1.620663,0.1451817,-0.1536276,1.760604,0.1437005,-0.4677074,1.72982,-0.02781642,0.0226984,1.757577,0.06478511,-0.4595165,1.696762,-0.0676844,-0.2349822,1.729105,0.3535513,-0.2464124,1.715614,NA,NA,NotTracked,NotTracked,
0.8779297,0.4145508,0.04638672,0.9316406,-0.324707,-0.1176758,-2,1,-1,0,-2,-2,-2,-1,-1,-1,0,0,-2,-2,-1,-1,0.25,0.25,0.25,2.9375,2.9375,2.9375,7.354755,3.212156,2.952438,2.11068,3.095793,7.41949,-0.03262435,-0.511029,1.63148,0.3237791,-0.5359789,1.632694,0.1487673,0.3021879,1.753024,-0.0756615,-0.5274205,1.623667,0.3659279,-0.5433735,1.620284,0.1452264,-0.1536666,1.760587,0.1437439,-0.467731,1.72983,-0.02787207,0.02267178,1.757627,0.06483757,-0.4595649,1.696787,-0.06769789,-0.2349784,1.729104,0.3535132,-0.2463598,1.715625,NA,NA,NotTracked,NotTracked,
0.8793945,0.4145508,0.04296875,0.9316406,-0.324707,-0.1176758,-3,-2,-2,-1,0,-1,0,0,-1,-1,0,0,-2,-2,-1,-1,0.9375,0.9375,0.9375,2.9375,2.9375,2.9375,7.354728,3.212057,2.952603,2.11068,3.095793,7.41949,-0.03257643,-0.5114321,1.630309,0.3242954,-0.53566,1.632392,0.148737,0.3021348,1.752874,-0.07688884,-0.5249886,1.628937,0.3665047,-0.5434067,1.620629,0.1451751,-0.1536793,1.760582,0.1437426,-0.4677281,1.729817,-0.02794329,0.02263514,1.757651,0.06483751,-0.4595656,1.696772,-0.06770979,-0.2346601,1.729159,0.3534981,-0.2463669,1.715581,NA,NA,NotTracked,NotTracked,
0.8774414,0.4169922,0.03759766,0.9316406,-0.324707,-0.1176758,-2,-1,-1,-1,1,0,-1,0,-1,-1,0,0,-2,-2,-1,-1,0.5,0.5,0.5,2.9375,2.9375,2.9375,7.354265,3.211726,2.953767,2.11068,3.095793,7.41949,-0.03271178,-0.5113696,1.631161,0.3242173,-0.5357846,1.632802,0.1487135,0.3021259,1.752845,-0.0784491,-0.5240142,1.637264,0.3660307,-0.5433384,1.619955,0.1451683,-0.1536608,1.760566,0.1437468,-0.4677128,1.729811,-0.02793461,0.02264777,1.757648,0.06484132,-0.4595541,1.696761,-0.0677193,-0.2343705,1.729205,0.3534354,-0.2460809,1.715545,NA,NA,NotTracked,NotTracked,
0.8774414,0.4174805,0.04345703,0.9316406,-0.324707,-0.1176758,0,-1,-1,1,-2,0,-1,1,-1,-1,0,0,-2,-2,-1,-1,-0.25,-0.25,-0.25,2.9375,2.9375,2.9375,7.354038,3.211687,2.95385,2.11068,3.095793,7.41949,-0.03240466,-0.510412,1.631486,0.3237665,-0.5352799,1.632603,0.1487046,0.3021256,1.752775,-0.07640925,-0.5227668,1.630922,0.3634993,-0.5457401,1.615243,0.1451458,-0.1536827,1.760545,0.1437589,-0.4677281,1.729798,-0.02799412,0.02257651,1.757632,0.06485832,-0.4595791,1.69672,-0.06776576,-0.2343668,1.729179,0.3534272,-0.2460379,1.715546,NA,NA,NotTracked,NotTracked,
0.8808594,0.421875,0.04296875,0.9316406,-0.324707,-0.1176758,-2,1,0,5,7,0,-2,-1,-1,-1,0,0,-2,-2,-1,-1,-0.5625,-0.5625,-0.5625,2.9375,2.9375,2.9375,7.353456,3.211713,2.954433,2.11068,3.095793,7.41949,-0.03227785,-0.5107678,1.630816,0.3240838,-0.5333887,1.632496,0.1486961,0.302041,1.752744,-0.07511811,-0.5191024,1.628827,0.3678783,-0.541003,1.621241,0.1451144,-0.1537116,1.760501,0.1437621,-0.4677751,1.729776,-0.02799458,0.02244921,1.757483,0.06486404,-0.4596185,1.696722,-0.06779534,-0.2343426,1.729206,0.3534093,-0.2460944,1.715493,NA,NA,NotTracked,NotTracked,
0.8793945,0.4125977,0.04345703,0.9316406,-0.324707,-0.1176758,1,-1,0,-1,1,-1,-1,-1,-1,-1,0,0,-2,-2,-1,-1,2.125,2.125,2.125,2.9375,2.9375,2.9375,7.35473,3.21105,2.954843,2.11068,3.095793,7.41949,-0.03290443,-0.5115909,1.632229,0.3243811,-0.5329408,1.633977,0.1486533,0.3020945,1.752791,-0.07731888,-0.5250188,1.629755,0.3655512,-0.5427338,1.61881,0.1451098,-0.1537082,1.760533,0.1437722,-0.4677942,1.7298,-0.0280785,0.02246865,1.757609,0.06487274,-0.459615,1.69675,-0.06790464,-0.2343846,1.729414,0.3533761,-0.2461582,1.715574,NA,NA,NotTracked,NotTracked,
0.8808594,0.4174805,0.04394531,0.9316406,-0.324707,-0.1176758,0,-1,-2,0,5,-1,-1,0,-1,-1,0,0,-2,-2,-1,-1,1.375,1.375,1.375,2.9375,2.9375,2.9375,7.357104,3.210173,2.955419,2.11068,3.095793,7.41949,-0.03240838,-0.5104378,1.630312,0.324264,-0.5333937,1.632314,0.1486526,0.3021189,1.752999,-0.07679054,-0.5293457,1.630631,0.3659478,-0.5429335,1.619259,0.1451291,-0.1537256,1.760511,0.1437918,-0.4678095,1.729782,-0.02807912,0.02246716,1.757627,0.06488437,-0.4596204,1.696735,-0.06785394,-0.234441,1.729255,0.3533635,-0.2461638,1.715561,NA,NA,NotTracked,NotTracked,
0.8808594,0.4140625,0.03369141,0.9316406,-0.324707,-0.1176758,-1,-1,1,2,1,0,-1,-1,-1,-1,0,0,-2,-2,-1,-1,0.375,0.375,0.375,2.9375,2.9375,2.9375,7.357252,3.209913,2.955831,2.11068,3.095793,7.41949,-0.0323088,-0.510599,1.631764,0.3244984,-0.5324325,1.632869,0.1486603,0.3021205,1.753027,-0.07640126,-0.5284113,1.626997,0.3651183,-0.5403475,1.615023,0.1450819,-0.1537415,1.760598,0.1437641,-0.4678219,1.729831,-0.02808533,0.02248832,1.757803,0.06486581,-0.4596198,1.69676,-0.06794985,-0.2343039,1.729514,0.3533297,-0.246198,1.71557,NA,NA,NotTracked,NotTracked,
0.8818359,0.4213867,-0.0009765625,0.9316406,-0.324707,-0.1176758,-6,-3,1,1,0,-1,-2,4,-1,-1,0,0,-2,-2,-1,-1,-3.625,-3.625,-3.625,2.9375,2.9375,2.9375,7.357959,3.210245,2.953579,2.11068,3.095793,7.41949,-0.03282456,-0.5110715,1.63179,0.325443,-0.5324411,1.629591,0.148629,0.3022107,1.753098,-0.07710995,-0.5245211,1.629501,0.3679,-0.5434018,1.618309,0.1450218,-0.1537559,1.760652,0.1437384,-0.4678525,1.72986,-0.02812156,0.02253819,1.757883,0.06483839,-0.4596424,1.696755,-0.06799027,-0.2341652,1.729607,0.3533089,-0.2461003,1.715711,NA,NA,NotTracked,NotTracked,
