ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.6708984,0.6552734,0.4194336,-0.07958984,-0.8837891,0.5048828,-2,-2,7,7,0,-2,-3,0,-1,-1,-1,-3,1,2,-5,-11,-2.125,-2.125,-2.125,-0.5,-0.5,-0.5,6.593727,6.111029,4.201145,3.320992,5.12902,5.982601,0.0626587,-0.1010912,1.4825,0.1340732,0.04175697,1.613514,0.1311612,0.3070625,1.770507,0.02510369,-0.04452849,1.476076,0.1692736,0.07689161,1.590086,0.1219619,-0.1398177,1.764485,0.1157888,-0.4477293,1.736827,-0.04643329,0.03510205,1.753886,0.03964437,-0.4384504,1.708678,-0.1190636,-0.1654258,1.680978,0.3419073,-0.1670256,1.638222,NA,NA,NotTracked,NotTracked,
-0.6489258,0.6367188,0.4150391,-0.07958984,-0.8837891,0.5048828,1,5,-15,-11,9,6,2,10,-1,-1,-1,-3,1,2,-5,-11,-1.0625,-1.0625,-1.0625,-0.5,-0.5,-0.5,6.596128,6.11686,4.207344,3.320992,5.12902,5.982601,0.06262471,-0.1008403,1.481833,0.1335893,0.04218403,1.613507,0.1306673,0.3068962,1.769472,0.02580011,-0.04213753,1.47576,0.1704592,0.08138303,1.592744,0.1218648,-0.1398627,1.763945,0.1155479,-0.447684,1.736725,-0.0465819,0.03523614,1.753637,0.03937562,-0.4384116,1.708667,-0.1190791,-0.1650994,1.680896,0.3415131,-0.1670563,1.637568,NA,NA,NotTracked,NotTracked,
-0.6489258,0.6333008,0.418457,-0.07958984,-0.8837891,0.5048828,3,3,-2,0,0,2,2,-1,-1,-1,-1,-3,1,2,-5,-11,-0.625,-0.625,-0.625,-0.5,-0.5,-0.5,6.595108,6.119403,4.207732,3.320992,5.12902,5.982601,0.06289524,-0.1013773,1.479794,0.1338618,0.04801108,1.614697,0.1302113,0.3067873,1.767937,0.02553954,-0.04304971,1.475539,0.173347,0.08953781,1.603367,0.1219835,-0.1401003,1.76326,0.1153776,-0.4476582,1.736645,-0.04673497,0.03532104,1.753258,0.03915295,-0.4383526,1.708597,-0.1195756,-0.165261,1.680415,0.3411889,-0.167055,1.636613,NA,NA,NotTracked,NotTracked,
-0.6542969,0.6518555,0.4458008,-0.07958984,-0.8837891,0.5048828,-6,2,26,6,2,3,0,-3,-1,-1,-1,-3,1,2,-5,-11,-2.625,-2.625,-2.625,-0.5,-0.5,-0.5,6.587836,6.11958,4.205321,3.320992,5.12902,5.982601,0.05996446,-0.106443,1.479211,0.1526107,0.003110558,1.57415,0.1297929,0.3068397,1.766523,0.01646373,-0.07295308,1.46575,0.1880281,0.03435953,1.548107,0.1222585,-0.1402875,1.762614,0.1153497,-0.4476448,1.736576,-0.04683387,0.03536309,1.752984,0.03914068,-0.438352,1.708595,-0.1194114,-0.1652067,1.680131,0.3408893,-0.1671309,1.635717,NA,NA,NotTracked,NotTracked,
-0.6743164,0.6577148,0.4233398,-0.07958984,-0.8837891,0.5048828,1,-2,-6,-2,6,2,3,1,-1,-1,-1,-3,1,2,-5,-11,-3.5625,-3.5625,-3.5625,-0.5,-0.5,-0.5,6.58075,6.123524,4.204428,3.320992,5.12902,5.982601,0.06016677,-0.107715,1.478275,0.1573602,-0.0001611984,1.575328,0.1295449,0.3066407,1.76501,0.02647325,-0.07937427,1.459656,0.1638757,0.01482543,1.547652,0.1223874,-0.1403916,1.762065,0.1152125,-0.4475678,1.736369,-0.04699991,0.03541286,1.75265,0.03907861,-0.4383146,1.70858,-0.1193068,-0.1652923,1.679432,0.3403679,-0.167159,1.634826,NA,NA,NotTracked,NotTracked,
-0.6567383,0.637207,0.4277344,-0.07958984,-0.8837891,0.5048828,1,0,-2,-3,-3,-3,0,-1,-1,-1,-1,-3,1,2,-5,-11,-1.6875,-1.6875,-1.6875,-0.5,-0.5,-0.5,6.572477,6.12673,4.198536,3.320992,5.12902,5.982601,0.05939611,-0.1081975,1.479046,0.1554709,0.002061967,1.575096,0.1293191,0.3067302,1.764014,0.02043793,-0.07486734,1.464942,0.1478019,0.01932006,1.543417,0.1224518,-0.1404771,1.761507,0.1149344,-0.447465,1.736026,-0.04708168,0.0354485,1.752391,0.03880694,-0.438212,1.708447,-0.1190716,-0.1650347,1.679214,0.3398173,-0.1671742,1.634006,NA,NA,NotTracked,NotTracked,
-0.6313477,0.5952148,0.4179688,-0.07958984,-0.8837891,0.5048828,3,0,-5,-1,-2,-5,2,2,-1,-1,-1,-3,1,2,-5,-11,-2.875,-2.875,-2.875,-0.5,-0.5,-0.5,6.560414,6.118198,4.18793,3.320992,5.12902,5.982601,0.05913599,-0.1081982,1.477553,0.1546071,-0.002148716,1.571758,0.1293434,0.3066886,1.762569,0.02743011,-0.08168051,1.456677,0.1507509,0.006594682,1.538615,0.1224402,-0.1405242,1.761136,0.1149057,-0.4474969,1.735827,-0.04710513,0.03544789,1.75206,0.03879743,-0.4382621,1.708372,-0.1192298,-0.1650839,1.678562,0.3392951,-0.1675695,1.632985,NA,NA,NotTracked,NotTracked,
-0.5913086,0.5673828,0.4047852,-0.07958984,-0.8837891,0.5048828,-4,1,3,3,-4,-1,11,-33,-1,-1,-1,-3,1,2,-5,-11,-4.8125,-4.8125,-4.8125,-0.5,-0.5,-0.5,6.544423,6.083552,4.171073,3.320992,5.12902,5.982601,0.05369454,-0.1108848,1.477818,0.1476959,-0.009588339,1.565128,0.1294297,0.3062167,1.760956,0.02356129,-0.08363648,1.456697,0.1459344,0.01939793,1.5332,0.1221405,-0.1405805,1.760654,0.1148265,-0.4477325,1.735557,-0.04707939,0.03538413,1.751727,0.03871294,-0.4385231,1.708096,-0.1191168,-0.1649628,1.677871,0.3380922,-0.167858,1.632199,NA,NA,NotTracked,NotTracked,
-0.4086914,0.6772461,0.5009766,-0.07958984,-0.8837891,0.5048828,-1,5,5,3,1,-5,-24,-55,-1,-1,-1,-3,1,2,-5,-11,-20,-20,-20,-0.5,-0.5,-0.5,6.504666,5.889652,4.163025,3.320992,5.12902,5.982601,0.08399547,-0.1015735,1.467492,0.1301439,-0.03095414,1.547329,0.1295983,0.3059836,1.759916,0.04461374,-0.09757109,1.441759,0.09927949,-0.02608311,1.549643,0.1220249,-0.1403738,1.760258,0.1149442,-0.4474916,1.735335,-0.04703815,0.03526923,1.75146,0.03884428,-0.438261,1.707502,-0.1191515,-0.1649584,1.677776,0.3393496,-0.1692276,1.63533,NA,NA,NotTracked,NotTracked,
-0.3452148,0.640625,0.5004883,-0.07958984,-0.8837891,0.5048828,1,0,0,2,-1,0,-1,-2,-1,-1,-1,-3,1,2,-5,-11,-58.6875,-58.6875,-58.6875,-0.5,-0.5,-0.5,6.410076,5.632853,4.178252,3.320992,5.12902,5.982601,0.07892945,-0.1006208,1.464947,0.08610874,-0.1007061,1.47511,0.1298077,0.3057538,1.758614,0.06105775,-0.1011867,1.436029,0.04243483,-0.1316606,1.453556,0.1218572,-0.1400129,1.759698,0.1148304,-0.4470927,1.734832,-0.04448051,0.03686788,1.745394,0.0387126,-0.4376829,1.706519,-0.119476,-0.165015,1.677398,0.3434404,-0.1724824,1.639297,NA,NA,NotTracked,NotTracked,
