ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.1928711,-0.996582,-0.01220703,-0.9448242,0.2734375,0.309082,1,-1,-3,0,1,-15,-14,-1,-4,-2,6,3,1,-1,-4,-4,-1.4375,-1.4375,-1.4375,-0.125,-0.125,-0.125,2.456092,4.700789,5.616636,6.159778,6.840069,3.690688,0.1678125,-0.2981282,1.605967,0.237821,0.07696027,1.586205,0.1740086,0.3003809,1.765747,0.1197213,-0.3511129,1.589878,0.2300828,0.02223191,1.651482,0.1599618,-0.14915,1.76834,0.1469492,-0.4636513,1.735581,-0.001350701,0.02899488,1.754764,0.06606235,-0.4557448,1.715809,-0.05649904,-0.1698877,1.662418,0.3019673,-0.1769692,1.597627,NA,NA,Unknown,Unknown,
0.190918,-0.9936523,-0.01806641,-0.9487305,0.2832031,0.315918,-12,-1,0,1,6,10,-12,-8,2,0,-1,0,0,-1,-1,-1,-0.8125,-0.8125,-0.8125,-1.375,-1.375,-1.375,2.45636,4.700776,5.616599,6.164402,6.832696,3.69886,0.1676961,-0.2983527,1.605913,0.2377238,0.08009606,1.583019,0.1739731,0.3003606,1.765836,0.1193555,-0.3508918,1.589713,0.2310469,0.02219552,1.651331,0.1599622,-0.1491635,1.768331,0.1470261,-0.4636791,1.735596,-0.001397539,0.02895521,1.754946,0.06616213,-0.4557942,1.715925,-0.05660532,-0.1699,1.662575,0.3017749,-0.1761962,1.597987,NA,NA,Unknown,Unknown,
0.1967773,-0.9936523,-0.01855469,-0.9296875,0.2939453,0.3183594,-12,-1,-2,-6,-6,4,-7,-5,-1,0,0,-1,-1,-2,0,-1,-0.5,-0.5,-0.5,-0.3125,-0.3125,-0.3125,2.4562,4.700366,5.616774,6.168584,6.830635,3.703692,0.1663957,-0.2867282,1.604004,0.2373369,0.07764852,1.583517,0.1739753,0.3003593,1.765854,0.1385199,-0.3386878,1.587874,0.2311391,0.02246564,1.651409,0.1599673,-0.1491379,1.768324,0.1470314,-0.4636878,1.735621,-0.001379702,0.02894329,1.754988,0.06619573,-0.4557821,1.716033,-0.05670277,-0.1699765,1.662866,0.3014152,-0.1765512,1.598,NA,NA,Unknown,Lasso,
0.1879883,-0.9912109,-0.02148438,-0.9404297,0.2841797,0.3095703,-14,-3,-3,-3,-11,2,-10,-3,2,1,21,11,2,-1,-2,-2,-0.375,-0.375,-0.375,0.375,0.375,0.375,2.456472,4.700312,5.616749,6.171766,6.832437,3.706783,0.1678706,-0.2975478,1.606001,0.23699,0.07855684,1.582603,0.1739864,0.3004036,1.765814,0.1186825,-0.3502659,1.589693,0.2267416,0.0245523,1.651428,0.1598961,-0.1491532,1.768286,0.1469306,-0.4637638,1.735641,-0.001378686,0.02897018,1.755073,0.06609082,-0.4558616,1.716139,-0.05671449,-0.1700024,1.663097,0.3013032,-0.1768633,1.597891,NA,NA,Unknown,Unknown,
0.1943359,-0.996582,-0.01855469,-0.9404297,0.2841797,0.3095703,-9,-2,-1,-1,3,-13,-12,-2,-1,-5,-3,-6,-4,-2,-1,-1,-0.5,-0.5,-0.5,0.375,0.375,0.375,2.456663,4.699986,5.616744,6.171766,6.832437,3.706783,0.1689283,-0.2948791,1.606081,0.2372765,0.08152784,1.583259,0.1739822,0.3003346,1.765749,0.1203193,-0.3498513,1.590095,0.2293117,0.02883133,1.652522,0.1598701,-0.1491862,1.768278,0.1469252,-0.4638117,1.735648,-0.001359047,0.02887724,1.755119,0.06609048,-0.4559174,1.716157,-0.05672855,-0.1700704,1.663105,0.3010608,-0.1765969,1.597865,NA,NA,Unknown,Closed,
0.1943359,-0.9926758,-0.0009765625,-0.9453125,0.2744141,0.2998047,46,0,-1,-2,6,9,15,1,0,1,3,0,1,1,2,1,0,0,0,-1.6875,-1.6875,-1.6875,2.457507,4.699712,5.617363,6.181544,6.836949,3.717432,0.1689346,-0.2967246,1.606421,0.2359779,0.08199681,1.582741,0.1740392,0.3002888,1.765834,0.1203792,-0.3487196,1.589872,0.2234357,0.03173041,1.655,0.1598811,-0.1492021,1.768299,0.146944,-0.4637938,1.735686,-0.001362503,0.02883888,1.755324,0.06615218,-0.4558935,1.716272,-0.05666833,-0.1702623,1.663665,0.3008053,-0.1754429,1.598488,NA,NA,Unknown,Unknown,
0.2392578,-1.003906,0.0004882813,-0.9580078,0.2661133,0.2944336,11,-2,0,1,9,41,-25,-6,0,1,-1,-2,4,0,0,-2,-0.75,-0.75,-0.75,-2.6875,-2.6875,-2.6875,2.45326,4.689244,5.621511,6.192308,6.834727,3.732854,0.1795903,-0.2749518,1.60688,0.2340666,0.08250757,1.583169,0.1740753,0.3002623,1.76583,0.1669646,-0.3432992,1.587613,0.257886,0.0374456,1.648,0.1598746,-0.1492368,1.768262,0.1469883,-0.463844,1.735713,-0.001315838,0.02893857,1.75548,0.0662073,-0.455902,1.716284,-0.05655954,-0.1702089,1.663896,0.3006211,-0.1760273,1.598119,NA,NA,Unknown,Unknown,
0.1948242,-0.996582,-0.03955078,-0.9355469,0.2719727,0.293457,2,0,0,1,2,-4,13,0,-1,0,-3,-3,-5,-1,0,-1,-5.5625,-5.5625,-5.5625,-5.25,-5.25,-5.25,2.447519,4.687705,5.616662,6.238871,6.811459,3.794421,0.1635169,-0.2566324,1.597563,0.2284699,0.09403717,1.582168,0.174174,0.3002543,1.765918,0.1319975,-0.3011295,1.588634,0.2413313,0.03440965,1.651016,0.1597644,-0.1495572,1.768078,0.1468783,-0.4644824,1.735768,-0.001347346,0.02900565,1.755814,0.06610516,-0.4563101,1.716348,-0.05670426,-0.1701209,1.664258,0.299747,-0.1802627,1.595542,NA,NA,Unknown,Unknown,
0.1977539,-0.9946289,-0.01953125,-0.9213867,0.2895508,0.2963867,-11,1,0,3,23,6,19,5,0,-1,10,5,-3,-2,6,-2,-5.375,-5.375,-5.375,-1.375,-1.375,-1.375,2.441377,4.684554,5.6077,6.32807,6.737368,3.902566,0.1660334,-0.280545,1.60363,0.2139703,0.1345004,1.595437,0.1743457,0.3003602,1.766072,0.156724,-0.3330133,1.586836,0.1808644,0.09965806,1.567428,0.1599553,-0.1507072,1.767499,0.1469742,-0.4654228,1.735868,-0.001260033,0.02910836,1.756164,0.06618229,-0.4567503,1.716312,-0.05749483,-0.1699962,1.665196,0.2993312,-0.1815307,1.594599,NA,NA,Unknown,Lasso,
0.199707,-0.9873047,-0.02783203,-0.8769531,0.3725586,0.3286133,1,-1,-1,-3,-4,26,45,5,0,0,2,-1,1,-2,0,3,-0.8125,-0.8125,-0.8125,-5.3125,-5.3125,-5.3125,2.438666,4.681682,5.603596,6.388504,6.642642,3.976817,0.1864445,-0.2582228,1.60658,0.1922099,0.1205874,1.579893,0.1748547,0.3006176,1.766095,0.1694198,-0.3272123,1.58821,0.1667797,0.07598371,1.58625,0.1592367,-0.1518765,1.766552,0.1466895,-0.4658032,1.735716,-0.001208569,0.02983599,1.756819,0.06580655,-0.4569468,1.715548,-0.05759406,-0.1690141,1.665285,0.2992547,-0.1816502,1.59418,NA,NA,Unknown,Unknown,
