ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9057617,0.3496094,0.03369141,0.9487305,-0.2915039,-0.1308594,-1,-2,-1,1,-1,-2,-2,-1,-1,-3,-1,-2,-1,-2,1,-1,-0.875,-0.875,-0.875,-3.75,-3.75,-3.75,7.375324,3.092225,3.144757,1.785304,3.000437,7.27171,-0.07664117,-0.5139036,1.621236,0.2944646,-0.5222355,1.614795,0.1276046,0.3088558,1.720526,-0.03019181,-0.4989274,1.598727,0.2492765,-0.5111833,1.594244,0.1170099,-0.1493066,1.732206,0.1119819,-0.4647265,1.708327,-0.05260085,0.02685338,1.724457,0.03422416,-0.4544155,1.677287,-0.0900535,-0.2458853,1.698549,0.3244253,-0.2440154,1.6786,NA,NA,NotTracked,NotTracked,
0.9067383,0.3530273,0.02148438,0.9487305,-0.2915039,-0.1308594,-1,-1,-2,-1,-4,-1,-1,-2,-1,-3,-1,-2,-1,-2,1,-1,-1.5,-1.5,-1.5,-3.75,-3.75,-3.75,7.37643,3.092165,3.142242,1.785304,3.000437,7.27171,-0.07648417,-0.5136571,1.621458,0.2940025,-0.5243646,1.614015,0.1277032,0.3087707,1.720476,-0.030683,-0.5004382,1.599072,0.249294,-0.507855,1.594342,0.1170002,-0.1493257,1.73223,0.1120449,-0.4647577,1.708357,-0.0526062,0.02682898,1.724452,0.03426297,-0.4544427,1.677305,-0.09006511,-0.2458902,1.698449,0.3244364,-0.2441876,1.678599,NA,NA,NotTracked,NotTracked,
0.9072266,0.3540039,0.03125,0.9487305,-0.2915039,-0.1308594,-1,1,-1,-2,2,-1,0,-2,-1,-3,-1,-2,-1,-2,1,-1,-1.0625,-1.0625,-1.0625,-3.75,-3.75,-3.75,7.376415,3.092759,3.139868,1.785304,3.000437,7.27171,-0.07658624,-0.5142396,1.621778,0.2943791,-0.5245643,1.614186,0.1277732,0.3087734,1.72049,-0.02989019,-0.5003754,1.59882,0.2486376,-0.5178812,1.594976,0.1169722,-0.1493169,1.732271,0.1119764,-0.464769,1.708359,-0.05260435,0.02682357,1.724482,0.03419583,-0.4544366,1.677291,-0.09007064,-0.2458929,1.698463,0.3243919,-0.2442022,1.678707,NA,NA,NotTracked,NotTracked,
0.9082031,0.3564453,0.03173828,0.9487305,-0.2915039,-0.1308594,-2,1,0,-1,-1,0,-2,-1,-1,-3,-1,-2,-1,-2,1,-1,-2.0625,-2.0625,-2.0625,-3.75,-3.75,-3.75,7.373902,3.093033,3.139414,1.785304,3.000437,7.27171,-0.07678949,-0.5134096,1.620909,0.2941391,-0.5244843,1.613936,0.1278905,0.308764,1.720392,-0.03021197,-0.501063,1.598688,0.2493615,-0.5109017,1.594359,0.116976,-0.1493288,1.732275,0.1119335,-0.4647857,1.708385,-0.05258249,0.0267986,1.724474,0.03413808,-0.4544561,1.677347,-0.09006338,-0.2460555,1.69845,0.324385,-0.2442061,1.678705,NA,NA,NotTracked,NotTracked,
0.9067383,0.3574219,0.02050781,0.9487305,-0.2915039,-0.1308594,-1,-2,-1,-1,-2,-2,-2,0,-1,-3,-1,-2,-1,-2,1,-1,2.5625,2.5625,2.5625,-3.75,-3.75,-3.75,7.380607,3.093505,3.134998,1.785304,3.000437,7.27171,-0.07697949,-0.5137662,1.621237,0.2942543,-0.5243377,1.613478,0.1279251,0.308756,1.720353,-0.02961316,-0.5057945,1.598595,0.2490824,-0.5108107,1.593813,0.1169654,-0.1493457,1.732251,0.1119427,-0.4648395,1.708341,-0.05252719,0.02680999,1.724369,0.03413803,-0.4545204,1.677301,-0.09008581,-0.2460321,1.698419,0.324339,-0.2442208,1.678696,NA,NA,NotTracked,NotTracked,
0.9086914,0.3535156,0.02050781,0.9487305,-0.2915039,-0.1308594,-1,0,0,-1,0,-1,-1,-1,-1,-3,-1,-2,-1,-2,1,-1,-0.375,-0.375,-0.375,-3.75,-3.75,-3.75,7.384049,3.093669,3.132417,1.785304,3.000437,7.27171,-0.07655555,-0.513858,1.620082,0.2941332,-0.5245885,1.613402,0.1280292,0.3086046,1.720241,-0.03068319,-0.5006096,1.598936,0.2476099,-0.5011624,1.593782,0.1169418,-0.1493537,1.732273,0.11196,-0.4648557,1.708367,-0.05252744,0.02681559,1.724386,0.03414819,-0.4545346,1.677302,-0.09003985,-0.2460607,1.698394,0.3243258,-0.2442559,1.678699,NA,NA,NotTracked,NotTracked,
0.9047852,0.3540039,0.02539063,0.9487305,-0.2915039,-0.1308594,0,-1,-2,-1,-3,-1,0,1,-1,-3,-1,-2,-1,-2,1,-1,0.8125,0.8125,0.8125,-3.75,-3.75,-3.75,7.383253,3.0939,3.132496,1.785304,3.000437,7.27171,-0.07644023,-0.5139543,1.620237,0.2942342,-0.5241315,1.613087,0.1280216,0.3085901,1.720215,-0.03114309,-0.5032096,1.598796,0.2486534,-0.5090939,1.593905,0.1169366,-0.1493745,1.732301,0.1119563,-0.4648905,1.708385,-0.05254854,0.02675664,1.724381,0.03414289,-0.4545851,1.677331,-0.09004921,-0.2460775,1.698408,0.3243008,-0.2443414,1.678695,NA,NA,NotTracked,NotTracked,
0.8837891,0.4282227,-0.02001953,0.9487305,-0.2915039,-0.1308594,1,-2,-1,0,0,-1,-2,-6,-1,-3,-1,-2,-1,-2,1,-1,-34.5,-34.5,-34.5,-3.75,-3.75,-3.75,7.377466,3.099536,3.117644,1.785304,3.000437,7.27171,-0.07677238,-0.5142055,1.620844,0.2943605,-0.5245273,1.610852,0.128027,0.3085774,1.720257,-0.03094692,-0.5022501,1.59993,0.2478696,-0.5110061,1.59375,0.116945,-0.1493887,1.732301,0.1119604,-0.4649051,1.70834,-0.05251029,0.02673466,1.724378,0.03413974,-0.454606,1.677281,-0.09006585,-0.2460147,1.698403,0.3243594,-0.2443678,1.678782,NA,NA,NotTracked,NotTracked,
0.9853516,0.4956055,0.1083984,0.9487305,-0.2915039,-0.1308594,2,-1,-9,-6,-1,-1,0,-3,-1,-3,-1,-2,-1,-2,1,-1,-50.5625,-50.5625,-50.5625,-3.75,-3.75,-3.75,7.174723,3.248316,3.158422,1.785304,3.000437,7.27171,-0.07632774,-0.5137917,1.620137,0.2911495,-0.5215358,1.596279,0.1279849,0.3085045,1.720226,-0.03101608,-0.4976541,1.598675,0.2471053,-0.5034361,1.59397,0.1169367,-0.149408,1.732297,0.1119315,-0.4649443,1.708289,-0.0525466,0.02674245,1.72442,0.03410721,-0.4546211,1.677222,-0.09012449,-0.2460035,1.698361,0.3248312,-0.2446745,1.678992,NA,NA,NotTracked,NotTracked,
0.8486328,0.8901367,0.1860352,0.9487305,-0.2915039,-0.1308594,-11,0,23,9,1,-1,-6,-15,-1,-3,-1,-2,-1,-2,1,-1,-200.0625,-200.0625,-200.0625,-3.75,-3.75,-3.75,6.891168,3.520896,3.194105,1.785304,3.000437,7.27171,-0.07624427,-0.5127287,1.619314,0.2832245,-0.5041081,1.554765,0.1279669,0.3084775,1.720349,-0.03043044,-0.5021331,1.598692,0.2440755,-0.516352,1.566261,0.1169316,-0.1494517,1.732309,0.1119308,-0.464998,1.708234,-0.05266798,0.02671019,1.724511,0.03409072,-0.4546599,1.67705,-0.09016273,-0.2459828,1.698333,0.3263445,-0.244697,1.67976,NA,NA,NotTracked,NotTracked,
