ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.8339844,0.5390625,0.1772461,-0.1230469,-0.8388672,0.5888672,36,-3,-13,-8,-4,-3,-5,-9,3,1,0,-2,0,0,1,-10,-0.1875,-0.1875,-0.1875,0.6875,0.6875,0.6875,6.974611,6.553658,2.194868,3.485006,5.203301,6.70791,0.08129115,-0.118825,1.471223,0.1361291,-0.08817752,1.443343,0.1772006,0.3099,1.703403,0.05249127,-0.07966831,1.447231,0.157663,-0.06740625,1.403971,0.1627657,-0.1399951,1.696304,0.1631368,-0.4474418,1.669888,0.00520773,0.03639227,1.696362,0.08785781,-0.4389965,1.646363,-0.07299744,-0.1726918,1.659155,0.3175449,-0.1449085,1.534412,NA,NA,NotTracked,NotTracked,
-0.8686523,0.5419922,0.1704102,-0.1279297,-0.8334961,0.5751953,0,0,-5,-8,-1,-1,-4,-10,-8,-2,-3,0,-2,-4,2,-4,-0.5625,-0.5625,-0.5625,0.0625,0.0625,0.0625,6.970931,6.551047,2.192104,3.484765,5.203477,6.708162,0.085292,-0.1177655,1.470058,0.04871774,-0.1318971,1.492352,0.1770501,0.3099212,1.70371,0.05257632,-0.08051381,1.447008,0.04650274,-0.08208614,1.4568,0.1627642,-0.1399002,1.696346,0.163163,-0.4472399,1.670043,0.00530643,0.03640164,1.696395,0.08790667,-0.4388184,1.646408,-0.07318592,-0.172575,1.659254,0.3186207,-0.1447457,1.534036,NA,NA,NotTracked,NotTracked,
-0.8364258,0.5454102,0.1767578,-0.1342773,-0.8271484,0.5883789,-23,-9,-9,-11,-4,-5,-4,-6,-2,0,-2,-5,-2,-3,-9,-15,1.25,1.25,1.25,-1.3125,-1.3125,-1.3125,6.978765,6.553267,2.199262,3.484674,5.204676,6.707085,0.08947992,-0.1216096,1.472836,0.06398465,-0.1218151,1.47792,0.1769142,0.3100389,1.704218,0.0639662,-0.09759125,1.441658,0.05237554,-0.07589578,1.446714,0.1627366,-0.1397834,1.696534,0.1631742,-0.4471252,1.670202,0.005421104,0.03641377,1.696426,0.08793911,-0.4386843,1.646536,-0.07344926,-0.1724607,1.659452,0.3188652,-0.1447014,1.534074,NA,NA,NotTracked,NotTracked,
-0.8447266,0.5273438,0.1860352,-0.1293945,-0.824707,0.5888672,7,-7,-8,-5,-3,-2,0,3,-6,-2,-2,-4,6,0,-3,-1,-0.125,-0.125,-0.125,0.875,0.875,0.875,6.98363,6.554802,2.202871,3.484563,5.20543,6.707248,0.07883374,-0.1200163,1.472148,0.07796347,-0.1144735,1.468898,0.1767589,0.3100547,1.704467,0.05346631,-0.08224627,1.446036,0.05296097,-0.06788559,1.446117,0.1626997,-0.1396923,1.696673,0.163138,-0.4469713,1.670386,0.00550814,0.03644356,1.696505,0.08793029,-0.4385006,1.64669,-0.07386874,-0.1724077,1.659371,0.3184687,-0.1443305,1.534191,NA,NA,NotTracked,NotTracked,
-0.847168,0.5449219,0.1845703,-0.1254883,-0.8349609,0.5888672,19,-4,-1,2,2,1,7,15,-1,-3,-4,-10,-8,-4,-2,-3,-1,-1,-1,-0.625,-0.625,-0.625,6.985131,6.554266,2.205487,3.484232,5.206093,6.708043,0.08487321,-0.1173912,1.471145,0.1375113,-0.08762161,1.44416,0.176686,0.3100668,1.70478,0.05048092,-0.07871431,1.450529,0.1587011,-0.06612762,1.404166,0.1626526,-0.139669,1.696907,0.1630925,-0.4471371,1.67069,0.005634847,0.03649326,1.696592,0.08786418,-0.4386842,1.647128,-0.07420212,-0.1721885,1.659678,0.3189679,-0.144225,1.534109,NA,NA,NotTracked,NotTracked,
-0.8344727,0.5458984,0.1767578,-0.1328125,-0.8291016,0.5878906,10,-13,-27,-7,-1,-1,-5,-8,10,0,-2,-1,-3,-3,-8,3,0.3125,0.3125,0.3125,-0.4375,-0.4375,-0.4375,6.985131,6.554266,2.205487,3.484224,5.206949,6.7079,0.0804923,-0.1221993,1.473167,0.1369693,-0.08739044,1.443682,0.1765102,0.3100797,1.705234,0.0544295,-0.087786,1.446043,0.1582461,-0.06605878,1.404237,0.1626231,-0.1396297,1.696988,0.1630304,-0.4470371,1.670799,0.005693971,0.03653837,1.696656,0.08782233,-0.4385804,1.647163,-0.07459524,-0.1726176,1.659969,0.3187427,-0.1440674,1.534205,NA,NA,NotTracked,NotTracked,
-0.8564453,0.5371094,0.1728516,-0.1376953,-0.8291016,0.5849609,-1,-3,-12,3,1,3,0,2,5,0,-1,-4,-1,2,6,1,1.0625,1.0625,1.0625,0.9375,0.9375,0.9375,6.985481,6.553908,2.204579,3.483275,5.209687,6.70862,0.08219609,-0.1168814,1.471295,0.06947451,-0.1181591,1.474732,0.1764403,0.3100808,1.705708,0.05212674,-0.08000778,1.448805,0.05186649,-0.07145327,1.448143,0.1625128,-0.139594,1.697064,0.1630058,-0.4469863,1.670915,0.005773887,0.03656954,1.696759,0.08781876,-0.4385314,1.647226,-0.07484019,-0.1723451,1.660108,0.3183564,-0.1441391,1.534862,NA,NA,NotTracked,NotTracked,
-0.8061523,0.5327148,0.1669922,-0.1538086,-0.8417969,0.5932617,-4,7,-5,-12,0,0,4,12,-14,0,-1,-3,-7,-2,1,-3,4.1875,4.1875,4.1875,-1.0625,-1.0625,-1.0625,6.983362,6.552657,2.194691,3.482462,5.215708,6.710059,0.08458491,-0.1145811,1.469852,0.06664484,-0.1188357,1.476082,0.1763366,0.3100384,1.70599,0.05114891,-0.07868882,1.448795,0.0518254,-0.07148378,1.448084,0.1623219,-0.1396592,1.697088,0.1629281,-0.44694,1.671037,0.003405512,0.03649671,1.69743,0.08778342,-0.4384987,1.64728,-0.07500201,-0.1728681,1.659565,0.3180339,-0.1442194,1.534969,NA,NA,NotTracked,NotTracked,
-0.8261719,0.527832,0.1621094,-0.1699219,-0.8491211,0.5664063,11,8,3,3,-2,-1,6,-1,0,0,0,0,-2,-2,-7,-7,9.8125,9.8125,9.8125,-1.8125,-1.8125,-1.8125,6.937542,6.531503,2.115,3.47805,5.232776,6.716928,0.08511709,-0.110924,1.467041,0.1425172,-0.08123629,1.441396,0.1762333,0.3099823,1.705995,0.05014269,-0.07435404,1.44748,0.1585395,-0.06283396,1.40255,0.1622828,-0.1397027,1.697182,0.1628521,-0.4471594,1.67108,0.003801447,0.03658262,1.697412,0.08766938,-0.4387176,1.647399,-0.07510483,-0.1727235,1.659559,0.3192939,-0.1458124,1.535713,NA,NA,NotTracked,NotTracked,
-0.7978516,0.5449219,0.1494141,-0.2001953,-0.8549805,0.5844727,-61,1,0,-1,0,1,-4,-9,-6,-2,0,0,1,-1,2,3,17.5,17.5,17.5,-0.8125,-0.8125,-0.8125,6.844109,6.469222,1.955679,3.475297,5.256246,6.724341,0.08015507,-0.1131004,1.467104,0.06778336,-0.1140643,1.470971,0.176104,0.3101837,1.706101,0.05158966,-0.08225919,1.444233,0.04958288,-0.07336107,1.444677,0.1622361,-0.1397785,1.697356,0.1627392,-0.4474493,1.671206,0.004140917,0.03671873,1.697404,0.08754854,-0.4389456,1.647465,-0.07540753,-0.1724137,1.659273,0.3213608,-0.1471037,1.536036,NA,NA,NotTracked,NotTracked,
