ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.8745117,0.4199219,0.08935547,0.9414063,-0.2978516,-0.1113281,-3,0,-2,-2,-1,4,-1,-2,0,-1,-1,-1,-2,-1,-2,-1,-1.3125,-1.3125,-1.3125,-3.0625,-3.0625,-3.0625,7.229277,3.207692,2.782836,1.912884,3.024866,4.858778,-0.02226276,-0.5099639,1.640287,0.3427675,-0.5104228,1.615694,0.169794,0.3040795,1.751118,-0.06726377,-0.5226242,1.640383,0.2977057,-0.4992014,1.604198,0.1685213,-0.1473328,1.75519,0.1645306,-0.4611162,1.726707,-0.001473249,0.02714422,1.753228,0.08540098,-0.4513153,1.697115,-0.04080481,-0.2345495,1.729208,0.3795797,-0.2426928,1.693944,NA,NA,NotTracked,NotTracked,
0.8916016,0.4145508,0.1000977,0.9414063,-0.2978516,-0.1113281,0,-1,-1,-3,-8,-8,0,-1,0,-1,-1,-1,-2,-1,-2,-1,16.125,16.125,16.125,-3.0625,-3.0625,-3.0625,7.227703,3.21451,2.802593,1.912884,3.024866,4.858778,-0.02181012,-0.5103881,1.640984,0.3420686,-0.510646,1.614902,0.1698862,0.3039873,1.751361,-0.06668924,-0.523151,1.637988,0.2979845,-0.497927,1.60495,0.1685437,-0.1473464,1.755527,0.1644706,-0.4611529,1.726867,-0.001435016,0.0272043,1.753795,0.08535318,-0.4513322,1.697352,-0.0407271,-0.2347232,1.729426,0.3795382,-0.2426628,1.694069,NA,NA,NotTracked,NotTracked,
0.8808594,0.4160156,0.06103516,0.9414063,-0.2978516,-0.1113281,2,1,0,-1,-2,-4,1,2,0,-1,-1,-1,-2,-1,-2,-1,8.5,8.5,8.5,-3.0625,-3.0625,-3.0625,7.246522,3.22211,2.817914,1.912884,3.024866,4.858778,-0.0221026,-0.5107862,1.641434,0.3416172,-0.5093266,1.614165,0.170175,0.3042141,1.751832,-0.06743927,-0.5243028,1.639623,0.297148,-0.4978948,1.604098,0.1686184,-0.1473687,1.755674,0.1644731,-0.4611719,1.726927,-0.001299765,0.02733047,1.754144,0.08535714,-0.4513255,1.697404,-0.04065428,-0.2345147,1.729595,0.3796639,-0.2423305,1.694171,NA,NA,NotTracked,NotTracked,
0.8701172,0.4213867,0.06542969,0.9414063,-0.2978516,-0.1113281,-1,-1,-2,-2,-8,-4,1,1,0,-1,-1,-1,-2,-1,-2,-1,-1.1875,-1.1875,-1.1875,-3.0625,-3.0625,-3.0625,7.245452,3.226091,2.824787,1.912884,3.024866,4.858778,-0.02234015,-0.5109273,1.641048,0.3414539,-0.509298,1.613423,0.1704423,0.3042494,1.752288,-0.06838709,-0.5247702,1.643799,0.2963507,-0.5066166,1.6029,0.1687083,-0.1474296,1.755781,0.1644271,-0.4612287,1.726964,-0.00112725,0.02731976,1.754337,0.08531427,-0.4513563,1.697461,-0.0405167,-0.2350058,1.729881,0.3796946,-0.2422816,1.694192,NA,NA,NotTracked,NotTracked,
0.8681641,0.4228516,0.08544922,0.9414063,-0.2978516,-0.1113281,-1,-1,0,1,-7,-3,1,-1,0,-1,-1,-1,-2,-1,-2,-1,-6.0625,-6.0625,-6.0625,-3.0625,-3.0625,-3.0625,7.227993,3.225004,2.832649,1.912884,3.024866,4.858778,-0.02218418,-0.5105165,1.640333,0.3415643,-0.5096402,1.614038,0.1706309,0.3042677,1.752523,-0.06864545,-0.5259887,1.644898,0.2972782,-0.4946416,1.6046,0.168729,-0.1474082,1.755851,0.1644139,-0.46121,1.726964,-0.0008961041,0.02745049,1.754779,0.08530097,-0.4513503,1.697435,-0.04037944,-0.2349478,1.729981,0.3797354,-0.2421706,1.694151,NA,NA,NotTracked,NotTracked,
0.8852539,0.4233398,0.06835938,0.9414063,-0.2978516,-0.1113281,-10,-4,3,-1,-14,-9,-4,-14,0,-1,-1,-1,-2,-1,-2,-1,-2.4375,-2.4375,-2.4375,-3.0625,-3.0625,-3.0625,7.221094,3.22348,2.834182,1.912884,3.024866,4.858778,-0.02213315,-0.5092901,1.641091,0.3409126,-0.5084285,1.612834,0.1708835,0.3044894,1.752896,-0.06799847,-0.5243421,1.642492,0.2971796,-0.4967659,1.603884,0.1687806,-0.1473323,1.755999,0.1644135,-0.4611249,1.727,-0.0007019238,0.02764321,1.75505,0.08529118,-0.4512582,1.697497,-0.04026406,-0.2348304,1.730289,0.3797979,-0.2420186,1.694165,NA,NA,NotTracked,NotTracked,
1.038574,0.6801758,0.04199219,0.9414063,-0.2978516,-0.1113281,2,-9,-7,-5,-1,-1,0,-2,0,-1,-1,-1,-2,-1,-2,-1,-76.3125,-76.3125,-76.3125,-3.0625,-3.0625,-3.0625,7.163969,3.298523,2.808661,1.912884,3.024866,4.858778,-0.02208182,-0.5099307,1.641593,0.338338,-0.5051659,1.600483,0.1710221,0.3046114,1.753369,-0.06745277,-0.5222114,1.641441,0.2977939,-0.4836814,1.605209,0.1688134,-0.1473283,1.756027,0.164332,-0.4610879,1.727028,-0.0006014763,0.02775826,1.755563,0.08521718,-0.451237,1.697526,-0.04022224,-0.23473,1.730556,0.3801342,-0.2421478,1.694317,NA,NA,NotTracked,NotTracked,
1.002441,0.8110352,0.1860352,0.9414063,-0.2978516,-0.1113281,2,13,8,-1,0,0,2,0,0,-1,-1,-1,-2,-1,-2,-1,-105.5625,-105.5625,-105.5625,-3.0625,-3.0625,-3.0625,7.001121,3.414019,2.87322,1.912884,3.024866,4.858778,-0.02185785,-0.5088627,1.642033,0.319784,-0.4764127,1.547866,0.1710822,0.3046308,1.753385,-0.06784721,-0.5199904,1.645943,0.2905273,-0.4665384,1.588889,0.1687716,-0.1472888,1.756109,0.1638461,-0.4609312,1.727089,-0.000671346,0.02780349,1.756189,0.08465119,-0.451036,1.697376,-0.0401101,-0.2344358,1.731007,0.3839059,-0.2354309,1.699233,NA,NA,NotTracked,NotTracked,
0.4160156,1.005859,0.4951172,0.9414063,-0.2978516,-0.1113281,1,-9,-19,-9,-6,-3,-1,0,0,-1,-1,-1,-2,-1,-2,-1,-43.5625,-43.5625,-43.5625,-3.0625,-3.0625,-3.0625,6.761896,4.029073,2.917207,1.912884,3.024866,4.858778,-0.02204014,-0.5096539,1.641719,0.3071578,-0.3916595,1.48097,0.1711938,0.3046741,1.753334,-0.06714521,-0.5231277,1.641566,0.3073229,-0.4542721,1.480286,0.1687192,-0.1472344,1.756243,0.1628322,-0.4605919,1.727147,-0.0006366711,0.02792724,1.756621,0.08346705,-0.4505627,1.697075,-0.04005463,-0.2340435,1.731394,0.3881786,-0.2194173,1.703588,NA,NA,NotTracked,Unknown,
0.3212891,1.091309,0.4941406,0.9414063,-0.2978516,-0.1113281,-2,6,13,4,-8,-1,0,0,0,-1,-1,-1,-2,-1,-2,-1,-34.0625,-34.0625,-34.0625,-3.0625,-3.0625,-3.0625,6.732714,4.506179,2.862331,1.912884,3.024866,4.858778,-0.02339712,-0.5097364,1.641244,0.3041511,-0.2788506,1.413267,0.1716581,0.3046628,1.753276,-0.06770554,-0.5215986,1.641473,0.2607489,-0.276484,1.419357,0.1687049,-0.1471848,1.756472,0.1621768,-0.4602182,1.727253,-0.000545331,0.02796278,1.756642,0.08286601,-0.4503017,1.697014,-0.04014613,-0.2337406,1.731418,0.3906959,-0.1920647,1.698678,NA,NA,NotTracked,Unknown,
0.2685547,1.02832,0.5830078,0.9414063,-0.2978516,-0.1113281,-10,-8,-22,-11,-2,0,0,-10,0,-1,-1,-1,-2,-1,-2,-1,-39.5625,-39.5625,-39.5625,-3.0625,-3.0625,-3.0625,6.695162,4.831646,2.834359,1.912884,3.024866,4.858778,-0.02282281,-0.508357,1.637781,0.2993065,-0.1487251,1.372216,0.1722883,0.3046046,1.753254,-0.06713899,-0.5221556,1.637382,0.2644489,-0.1382905,1.387,0.1691096,-0.1472099,1.75688,0.162339,-0.4601508,1.727512,-0.0003620726,0.02798458,1.756633,0.08299247,-0.4503424,1.697108,-0.04017805,-0.2337357,1.731171,0.4137815,-0.1685442,1.654565,NA,NA,NotTracked,Unknown,
-0.09472656,0.8378906,0.6269531,0.9414063,-0.2978516,-0.1113281,16,-1,-23,-6,-5,-1,1,9,0,-1,-1,-1,-2,-1,-2,-1,-14.5625,-14.5625,-14.5625,-3.0625,-3.0625,-3.0625,6.636838,5.497981,2.828462,1.912884,3.024866,4.858778,-0.02080999,-0.5101036,1.63256,0.3037224,-0.02909469,1.407606,0.1732467,0.3045286,1.753466,-0.06332885,-0.5266215,1.623292,0.270647,-0.01304865,1.428842,0.1697952,-0.147318,1.757324,0.162929,-0.4601141,1.727607,0.0001639037,0.02790206,1.756837,0.08355324,-0.4505985,1.697073,-0.03993283,-0.2336736,1.730508,0.3912059,-0.1795629,1.618147,NA,NA,NotTracked,Closed,
