ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9262695,-0.3554688,-0.05859375,0.9174805,0.3173828,0.08447266,-2,-2,-2,0,-1,0,0,1,0,0,-1,-1,-1,-2,-2,-1,-0.3125,-0.3125,-0.3125,-1.25,-1.25,-1.25,2.233692,3.091009,3.011152,7.11489,3.057458,0.2257964,-0.08687672,-0.4965559,1.641634,0.332312,-0.4977604,1.609374,0.1556282,0.3359886,1.70489,-0.1379827,-0.4888079,1.659569,0.2812828,-0.4696903,1.592155,0.1406831,-0.1173935,1.718479,0.1328057,-0.4298131,1.707971,-0.03269852,0.07344817,1.722427,0.04871859,-0.4194617,1.676848,-0.09823003,-0.1932916,1.743317,0.3737071,-0.1985837,1.710219,NA,NA,NotTracked,NotTracked,
0.9306641,-0.347168,-0.05126953,0.9169922,0.3144531,0.07666016,-1,-2,1,-2,-1,-1,0,-1,-2,0,-2,-1,-2,-1,-2,-1,0.4375,0.4375,0.4375,0.9375,0.9375,0.9375,2.233696,3.091533,3.013502,7.106778,3.058178,0.2345686,-0.08703265,-0.4963546,1.641032,0.3310631,-0.4965962,1.609465,0.1555331,0.3359008,1.705132,-0.1376317,-0.4849344,1.659114,0.2812982,-0.4695725,1.592602,0.1404396,-0.1174064,1.718763,0.1327349,-0.429841,1.708076,-0.03273334,0.07345111,1.722533,0.04865968,-0.4194841,1.676948,-0.09832904,-0.1932801,1.743466,0.3736762,-0.1986109,1.710303,NA,NA,NotTracked,NotTracked,
0.9331055,-0.3413086,-0.05859375,0.9174805,0.3144531,0.07128906,-1,-1,-1,0,-1,1,-2,0,0,-1,1,-1,0,-4,0,-1,-0.1875,-0.1875,-0.1875,-0.875,-0.875,-0.875,2.234404,3.091363,3.013122,7.101353,3.057774,0.2397459,-0.08763845,-0.4971552,1.642519,0.3304602,-0.4971753,1.609961,0.1553486,0.3359238,1.705445,-0.1382609,-0.4876846,1.657626,0.2806275,-0.4734555,1.592318,0.1402534,-0.1174248,1.719033,0.1327533,-0.4298311,1.708176,-0.03278003,0.07343618,1.722782,0.04866437,-0.4195011,1.677015,-0.09842378,-0.1931726,1.743764,0.3735589,-0.1986678,1.710647,NA,NA,NotTracked,NotTracked,
0.9345703,-0.3466797,-0.04882813,0.918457,0.3183594,0.07519531,-1,0,-2,-1,-1,-2,0,-1,-2,-1,-3,-2,-2,0,0,1,2.4375,2.4375,2.4375,-0.125,-0.125,-0.125,2.238658,3.089079,3.010868,7.10122,3.057705,0.2399741,-0.0877206,-0.4967476,1.641471,0.3299104,-0.4964269,1.608877,0.155198,0.3358762,1.705915,-0.1390323,-0.4820244,1.664675,0.2808995,-0.4710409,1.591808,0.1400714,-0.1174814,1.719229,0.1326496,-0.4298368,1.708298,-0.03291268,0.07348756,1.723004,0.04858821,-0.4195128,1.677093,-0.09862348,-0.1930694,1.744029,0.3733562,-0.198629,1.71073,NA,NA,NotTracked,NotTracked,
0.9287109,-0.355957,-0.04833984,0.9262695,0.3286133,0.07373047,-2,-1,-1,0,-1,-1,-2,-1,-3,-2,0,-1,-1,-1,-2,-3,1.0625,1.0625,1.0625,0.0625,0.0625,0.0625,2.245874,3.087102,3.006421,7.094544,3.057482,0.2472284,-0.08766067,-0.4968534,1.642093,0.3288944,-0.4965032,1.609073,0.1548812,0.3359015,1.706293,-0.1383103,-0.4842725,1.660228,0.2812649,-0.4651077,1.592484,0.1398076,-0.1174542,1.719429,0.1325177,-0.4298462,1.708357,-0.03308334,0.07346934,1.723286,0.04845591,-0.4195479,1.67716,-0.09885517,-0.1931672,1.744553,0.3731472,-0.198596,1.711081,NA,NA,NotTracked,NotTracked,
0.9355469,-0.359375,-0.0625,1.099609,0.4257813,0.08496094,-2,-2,-2,-2,-2,-2,-3,-1,-11,-7,-26,-8,-2,-3,-1,-3,0.75,0.75,0.75,-37.0625,-37.0625,-37.0625,2.248299,3.086261,3.004287,6.995589,3.10009,0.3154417,-0.08728617,-0.4972507,1.642251,0.3262152,-0.4949003,1.607549,0.1543093,0.3358997,1.706571,-0.138153,-0.4850606,1.662163,0.2791647,-0.462341,1.591458,0.1396459,-0.1173426,1.71949,0.1323014,-0.4298557,1.708347,-0.03335678,0.07338823,1.723638,0.04816567,-0.4195684,1.67713,-0.09911362,-0.1930273,1.744805,0.3729289,-0.1985886,1.711682,NA,NA,NotTracked,NotTracked,
0.9443359,-0.3701172,-0.06347656,1.164551,0.6147461,0.2993164,-1,-3,0,-2,-1,-1,-1,-1,-3,3,2,-6,0,-2,1,-2,5.0625,5.0625,5.0625,-28.1875,-28.1875,-28.1875,2.255859,3.088867,3.002914,6.788164,3.255961,0.479678,-0.08712278,-0.4967067,1.642832,0.317472,-0.4856597,1.593434,0.1537605,0.335803,1.70715,-0.137546,-0.4728533,1.669737,0.2740359,-0.4604059,1.587254,0.1390456,-0.1173948,1.719748,0.1318759,-0.4298696,1.708317,-0.03380575,0.07316703,1.724574,0.04766173,-0.4195703,1.677094,-0.09953477,-0.1930733,1.745673,0.3733877,-0.1973623,1.715631,NA,NA,NotTracked,NotTracked,
0.9321289,-0.362793,-0.0703125,1.0625,0.8588867,0.5488281,-2,-2,-2,-2,0,0,-1,-1,-4,6,16,7,1,0,-3,-3,3.25,3.25,3.25,-3.6875,-3.6875,-3.6875,2.259233,3.093904,3.006744,6.635087,3.560735,0.6453608,-0.08785531,-0.4974978,1.643219,0.3019985,-0.4341938,1.565894,0.1531617,0.3358987,1.707755,-0.1396534,-0.4926899,1.660408,0.2824585,-0.4816932,1.579706,0.1375351,-0.1172496,1.720061,0.1299168,-0.429664,1.708132,-0.03447117,0.07316798,1.725311,0.04551483,-0.4191606,1.676847,-0.0999818,-0.193175,1.746443,0.3761839,-0.193236,1.723324,NA,NA,NotTracked,NotTracked,
0.918457,-0.3681641,-0.04199219,0.5688477,0.8598633,0.6132813,-3,-1,0,1,-2,0,-1,0,-5,-7,-13,-2,0,0,1,2,-9.75,-9.75,-9.75,-5.25,-5.25,-5.25,2.256984,3.098168,2.999193,6.520803,4.162839,0.7719835,-0.08920992,-0.4965526,1.641741,0.2596389,-0.3639422,1.53011,0.1526739,0.3360029,1.708062,-0.139898,-0.4816552,1.664824,0.2212139,-0.3972364,1.570683,0.1361255,-0.1168004,1.72024,0.1264713,-0.428941,1.708077,-0.03486805,0.0732101,1.725786,0.04208717,-0.4180721,1.676993,-0.1008035,-0.1929901,1.7469,0.3823527,-0.1750991,1.7321,NA,NA,NotTracked,Closed,
0.9052734,-0.3818359,-0.02978516,0.1542969,0.9101563,0.5610352,-3,-1,-1,0,-2,-1,-3,-1,2,-3,-2,-3,-1,-1,0,4,-13.625,-13.625,-13.625,28.0625,28.0625,28.0625,2.249318,3.100309,2.98525,6.527001,4.727482,0.834479,-0.09088624,-0.497105,1.642534,0.2437259,-0.234497,1.480682,0.1523926,0.3359076,1.708178,-0.1416689,-0.4884084,1.6596,0.1999793,-0.2414452,1.438357,0.1351318,-0.1165053,1.720658,0.1247357,-0.4283711,1.708237,-0.03502155,0.07327539,1.72595,0.04073117,-0.4175769,1.677123,-0.1014915,-0.1928033,1.747063,0.3905537,-0.152802,1.728101,NA,NA,NotTracked,Unknown,
