ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9282227,-0.3486328,-0.02978516,0.953125,0.3520508,0.0009765625,0,-4,-2,-1,-2,1,0,-2,-3,14,2,-2,0,0,-1,-1,-0.3125,-0.3125,-0.3125,-0.4375,-0.4375,-0.4375,2.34797,3.077462,9.27282,7.388348,3.072965,4.652685,-0.07338679,-0.5059692,1.648122,0.3742468,-0.5163248,1.598662,0.1565734,0.3348014,1.717142,-0.02345363,-0.4793202,1.619,0.3234236,-0.532384,1.593081,0.1428849,-0.1159308,1.731302,0.1372235,-0.4238296,1.719469,-0.0297372,0.06832464,1.737994,0.05587882,-0.4139211,1.689659,-0.08663773,-0.1771969,1.745577,0.3729376,-0.1808822,1.702822,NA,NA,NotTracked,NotTracked,
0.9296875,-0.3540039,-0.02832031,1.026367,0.3618164,0.04980469,-1,0,-2,-1,0,-2,0,-1,-7,-7,-2,0,-10,-3,-4,-12,-0.125,-0.125,-0.125,0.8125,0.8125,0.8125,2.34797,3.077462,9.27282,7.273548,3.108435,4.770858,-0.07395047,-0.5061232,1.649024,0.3720401,-0.5151818,1.596108,0.156566,0.3347406,1.717026,-0.0227966,-0.4851961,1.619407,0.3274959,-0.5409809,1.612889,0.1429267,-0.1159561,1.731116,0.1372064,-0.4238605,1.719353,-0.02982051,0.06833883,1.737682,0.05584381,-0.4139434,1.689522,-0.08673233,-0.1771588,1.745469,0.3731741,-0.1808771,1.702629,NA,NA,NotTracked,NotTracked,
0.9335938,-0.3564453,-0.02392578,1.050781,0.449707,0.1020508,-3,-1,-3,-1,0,-2,-1,-1,-8,-4,-18,-13,-3,0,19,12,2.1875,2.1875,2.1875,17.3125,17.3125,17.3125,2.349135,3.078151,9.273137,7.1549,3.165346,4.915545,-0.07454162,-0.506686,1.648312,0.3692909,-0.511314,1.589852,0.1563488,0.3346843,1.716825,-0.02329751,-0.4852619,1.619683,0.3233366,-0.5376505,1.603581,0.1429569,-0.1159582,1.730931,0.1371944,-0.4238484,1.719213,-0.02986948,0.06835461,1.73754,0.05582709,-0.4139376,1.689413,-0.08707388,-0.1770811,1.74527,0.3733989,-0.1807146,1.70258,NA,NA,NotTracked,NotTracked,
0.9384766,-0.3525391,-0.02929688,1.04541,0.5771484,0.1557617,-1,1,-2,-1,2,-1,-1,0,-4,-9,-1,-2,-12,-7,18,-3,3,3,3,10.3125,10.3125,10.3125,2.350667,3.079409,9.275164,7.015258,3.261968,5.083719,-0.0736869,-0.506635,1.648123,0.3641196,-0.5041784,1.58155,0.1562449,0.3346758,1.716753,-0.02348325,-0.4807466,1.619594,0.3179619,-0.5311478,1.59903,0.1430203,-0.1159628,1.730811,0.137195,-0.4238489,1.71917,-0.02996727,0.0684531,1.737382,0.05583064,-0.4139393,1.689357,-0.08711605,-0.1769859,1.745214,0.3739939,-0.1805228,1.702875,NA,NA,NotTracked,NotTracked,
0.9282227,-0.3564453,-0.03369141,1.010742,0.6816406,0.3261719,-2,-1,0,-2,-2,-2,-3,-1,-5,5,11,9,-1,1,-15,-6,2.625,2.625,2.625,6.9375,6.9375,6.9375,2.351445,3.081864,9.277336,6.872674,3.399188,5.259324,-0.07499562,-0.5067821,1.647011,0.348828,-0.4691074,1.555987,0.1560344,0.3347347,1.716322,-0.02336258,-0.4794724,1.618276,0.3046607,-0.5088962,1.571333,0.1428051,-0.1159584,1.730308,0.1367867,-0.4237494,1.718596,-0.03004367,0.06848696,1.73696,0.05540489,-0.4138495,1.688791,-0.08735748,-0.1769163,1.744778,0.3783344,-0.1790847,1.706514,NA,NA,NotTracked,NotTracked,
0.9296875,-0.3540039,-0.04150391,0.9101563,0.6933594,0.3657227,-2,-2,-2,0,-3,-1,-1,0,3,4,2,-9,19,6,4,0,1,1,1,-10.0625,-10.0625,-10.0625,2.347742,3.083202,9.283464,6.750504,3.573995,5.399796,-0.07492182,-0.5058845,1.646574,0.3400974,-0.4441737,1.540758,0.1559143,0.334637,1.716115,-0.02286264,-0.5131757,1.617636,0.304281,-0.4730964,1.557,0.1425692,-0.1159249,1.729901,0.136267,-0.4235406,1.717968,-0.03016204,0.06856146,1.736642,0.05471495,-0.413569,1.687787,-0.08748147,-0.176829,1.744579,0.3806641,-0.1781451,1.709475,NA,NA,NotTracked,NotTracked,
0.9233398,-0.3530273,-0.03320313,0.765625,0.7866211,0.4394531,-1,0,-1,0,-2,0,0,-2,1,6,14,7,-26,-18,-9,-4,-2.75,-2.75,-2.75,4.9375,4.9375,4.9375,2.341593,3.08347,9.287867,6.673237,3.78103,5.506596,-0.07565242,-0.5073227,1.648397,0.3299495,-0.4111128,1.529556,0.1559275,0.3346783,1.715678,-0.0235181,-0.4760783,1.618605,0.285428,-0.4497081,1.546125,0.1422148,-0.1158245,1.72966,0.1351347,-0.4231904,1.717356,-0.03017173,0.06858522,1.736588,0.05345694,-0.4131259,1.687117,-0.08766213,-0.1767767,1.744421,0.3845247,-0.1766639,1.713233,NA,NA,NotTracked,Unknown,
0.9238281,-0.3520508,-0.03662109,0.65625,0.859375,0.519043,-1,-1,-2,-1,-3,-2,-2,-1,-3,-7,-13,-11,-6,-2,-13,-1,-4.875,-4.875,-4.875,-2.0625,-2.0625,-2.0625,2.335271,3.082643,9.291557,6.620987,4.011361,5.589726,-0.07609091,-0.5062196,1.647921,0.3008866,-0.3802134,1.547133,0.1558974,0.3346454,1.715604,-0.02316744,-0.4871272,1.618325,0.2652723,-0.4412739,1.576104,0.1417768,-0.1156654,1.729301,0.1335379,-0.4227057,1.71657,-0.0302653,0.06868517,1.736429,0.05174277,-0.4125451,1.686391,-0.08782485,-0.1766611,1.744268,0.3916749,-0.1734524,1.72033,NA,NA,NotTracked,Unknown,
0.9350586,-0.3657227,-0.02783203,0.4790039,0.7822266,0.5537109,-1,-2,-2,-1,0,-1,-2,-1,2,-3,-36,-10,13,-5,-5,-4,-5.875,-5.875,-5.875,-11.0625,-11.0625,-11.0625,2.32166,3.08193,9.295051,6.559224,4.255077,5.679784,-0.07789968,-0.506219,1.647922,0.2778602,-0.2947321,1.50912,0.1558951,0.3346131,1.71553,-0.02653441,-0.4828866,1.621764,0.2337276,-0.3442977,1.539885,0.14099,-0.1153296,1.728516,0.1307421,-0.4218617,1.715102,-0.0301982,0.06890538,1.735985,0.0490703,-0.4115727,1.685194,-0.08833311,-0.1763432,1.743501,0.3969056,-0.1554389,1.721381,NA,NA,NotTracked,Closed,
0.9287109,-0.3701172,-0.01953125,0.340332,0.8217773,0.5717773,-2,-2,0,-3,-3,-3,0,0,-3,2,4,5,5,1,3,-1,-5.75,-5.75,-5.75,-5.0625,-5.0625,-5.0625,2.323005,3.084105,9.284339,6.521552,4.515803,5.775864,-0.07709136,-0.506545,1.647352,0.266725,-0.2517886,1.49136,0.155998,0.3345483,1.715407,-0.02410481,-0.4901012,1.61962,0.2102946,-0.2874314,1.521333,0.1407139,-0.1152266,1.728349,0.1303782,-0.4216747,1.71485,-0.03013644,0.06892315,1.735686,0.04877463,-0.4114535,1.684934,-0.08869856,-0.1762393,1.743062,0.4008939,-0.147138,1.71722,NA,NA,NotTracked,Unknown,
