ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9199219,-0.5717773,0.2285156,0.8686523,0.5068359,0.3828125,0,0,0,1,5,1,1,0,0,-1,-10,-3,0,-1,-4,-1,21.5,21.5,21.5,1.625,1.625,1.625,2.973081,3.336468,8.311504,6.607978,3.468897,4.05307,-0.05231027,-0.4528246,1.646546,0.3215687,-0.442698,1.58019,0.1726563,0.3360496,1.734498,-0.07794391,-0.4366043,1.600055,0.2856712,-0.4232401,1.601611,0.1610496,-0.1165158,1.744973,0.1500679,-0.4268576,1.731743,-0.0101908,0.0700443,1.768986,0.06729899,-0.417775,1.707885,-0.06669887,-0.1721314,1.806119,0.3987941,-0.1751331,1.730788,NA,NA,NotTracked,NotTracked,
0.8466797,-0.5947266,0.3032227,0.7177734,0.6162109,0.3930664,-2,-3,-1,-3,-10,1,-4,-5,-3,-3,-3,-1,-1,0,-2,-2,5.625,5.625,5.625,22.1875,22.1875,22.1875,3.13902,3.520742,8.14002,6.567148,3.685958,4.13937,-0.04347155,-0.4096604,1.623684,0.3066361,-0.3972778,1.560798,0.1723483,0.3361483,1.734683,-0.06095143,-0.3865077,1.572833,0.2750878,-0.4259061,1.581095,0.1588217,-0.116153,1.744916,0.147437,-0.4259829,1.730911,-0.01088214,0.07003519,1.769968,0.06455826,-0.416804,1.707132,-0.06924995,-0.1705672,1.811655,0.4020595,-0.1726317,1.737534,NA,NA,NotTracked,NotTracked,
0.7539063,-0.6757813,0.3276367,0.6030273,0.5961914,0.4589844,-1,0,-1,-2,-11,-10,-1,1,3,17,-2,0,1,-1,7,2,-6.9375,-6.9375,-6.9375,-36.25,-36.25,-36.25,3.230137,3.734161,8.012027,6.478541,3.971529,4.223799,-0.00704942,-0.3801734,1.613854,0.2690056,-0.3588166,1.5664,0.1718497,0.336063,1.734758,-0.04355443,-0.3336094,1.547598,0.2714752,-0.4492533,1.592094,0.1575347,-0.1157821,1.744896,0.1458727,-0.425339,1.730523,-0.01159362,0.07036706,1.77096,0.06305426,-0.4161011,1.706919,-0.07417616,-0.1672658,1.819571,0.4051791,-0.1627923,1.745394,NA,NA,NotTracked,Closed,
0.6416016,-0.734375,0.4047852,0.4921875,0.6318359,0.4907227,1,-2,-1,-3,-12,-3,2,4,2,-15,-20,-8,-3,0,0,0,20.125,20.125,20.125,-25.8125,-25.8125,-25.8125,3.3284,4.026647,7.87254,6.398153,4.166945,4.279225,0.009777622,-0.3199956,1.595844,0.2528456,-0.3065015,1.554814,0.1712094,0.3360261,1.73474,0.01122329,-0.3990397,1.622889,0.2619168,-0.386306,1.592313,0.1569148,-0.115495,1.74483,0.1451852,-0.4247446,1.73027,-0.01202415,0.07089334,1.771583,0.06263208,-0.4156045,1.706742,-0.07620506,-0.1621159,1.819305,0.4069761,-0.1522168,1.747402,NA,NA,NotTracked,Unknown,
0.496582,-0.6416016,0.4125977,0.3671875,0.6064453,0.581543,2,1,0,2,0,10,-25,2,-9,-7,-3,2,-6,-1,0,-3,17.125,17.125,17.125,-55.0625,-55.0625,-55.0625,3.411736,4.228944,7.781351,6.289008,4.339653,4.341619,0.02493277,-0.268397,1.574821,0.2410901,-0.2501844,1.548171,0.1704155,0.336108,1.734764,0.04786832,-0.3100145,1.580429,0.2653916,-0.327552,1.602303,0.1562758,-0.1151034,1.744838,0.1444908,-0.4240593,1.730171,-0.0122417,0.07133154,1.771851,0.06223028,-0.4150694,1.706634,-0.07927551,-0.1502334,1.817599,0.4091055,-0.1476901,1.746867,NA,NA,Unknown,Unknown,
0.4746094,-0.7197266,0.5449219,0.2441406,0.5371094,0.6806641,0,-1,-1,0,0,-13,12,-1,10,15,-5,-3,-2,1,2,1,37.375,37.375,37.375,-77.125,-77.125,-77.125,3.488362,4.39313,7.70272,6.081051,4.521178,4.454867,0.02785174,-0.2145445,1.552612,0.2210708,-0.2043847,1.525192,0.1698414,0.3362411,1.734865,0.04813057,-0.2276817,1.488083,0.1925116,-0.2500969,1.59079,0.1558984,-0.1147494,1.745041,0.1442527,-0.4231994,1.730646,-0.01245295,0.07187558,1.771931,0.0620908,-0.414392,1.70702,-0.08189479,-0.1411308,1.814984,0.4098339,-0.1433065,1.744806,NA,NA,NotTracked,NotTracked,
0.2836914,-0.625,0.5063477,0.1860352,0.465332,0.5913086,-3,-2,-1,0,1,-2,-34,-13,16,9,-2,-2,2,-3,-1,-2,66.4375,66.4375,66.4375,-51.6875,-51.6875,-51.6875,3.633032,4.558871,7.611579,5.96525,4.609578,4.518464,0.01412662,-0.1805604,1.544878,0.2286698,-0.1825729,1.537455,0.1691634,0.3361267,1.734829,0.05770734,-0.2020843,1.533692,0.1920722,-0.2268192,1.59087,0.1555074,-0.1143452,1.745182,0.1438931,-0.4224181,1.730931,-0.01267863,0.07240413,1.771741,0.06178091,-0.413702,1.707242,-0.1022666,-0.1457919,1.785357,0.4102407,-0.1400657,1.740213,NA,NA,NotTracked,Unknown,
0.2236328,-0.5712891,0.5078125,0.2553711,0.5151367,0.6977539,-1,-4,-6,3,-5,2,2,-2,1,-9,-4,-7,-1,0,-2,-4,30.1875,30.1875,30.1875,11.8125,11.8125,11.8125,3.707123,4.621053,7.587036,5.961783,4.600189,4.517822,0.02322818,-0.1827194,1.569709,0.2356161,-0.1719639,1.52027,0.1686093,0.3359562,1.734582,0.04550096,-0.1848788,1.48975,0.1978267,-0.2103064,1.578579,0.1550948,-0.1141367,1.745294,0.1436516,-0.4220382,1.731101,-0.01293455,0.07258075,1.771397,0.06151849,-0.4133148,1.707376,-0.1036972,-0.1467683,1.783227,0.4325345,-0.161674,1.695693,NA,NA,Unknown,Unknown,
0.2084961,-0.5859375,0.6210938,0.3632813,0.5161133,0.8286133,1,0,0,2,-1,-13,1,5,-6,-12,-3,-3,0,-3,-2,-2,22.5625,22.5625,22.5625,12,12,12,3.75119,4.626944,7.58971,5.964132,4.524198,4.534781,0.01448829,-0.1806249,1.577606,0.2354356,-0.1926346,1.542614,0.1679686,0.3360721,1.734415,0.04547181,-0.2092791,1.557875,0.1892118,-0.2262933,1.576782,0.1545502,-0.113982,1.745301,0.1432539,-0.4217438,1.731106,-0.01354277,0.07287075,1.77114,0.0611082,-0.4130065,1.707277,-0.108352,-0.1427145,1.788857,0.4341682,-0.1603194,1.697959,NA,NA,Unknown,Unknown,
0.3139648,-0.7504883,0.7680664,0.4052734,0.6420898,0.9155273,1,0,-1,0,3,17,16,2,-4,-2,-1,4,0,1,2,0,4.9375,4.9375,4.9375,0.375,0.375,0.375,3.760691,4.592403,7.594246,5.975854,4.457048,4.551237,0.01595679,-0.1907112,1.583849,0.2293159,-0.2178191,1.547726,0.1668832,0.3359176,1.733848,-0.0530838,-0.1534381,1.509394,0.1762613,-0.2426663,1.573636,0.1535578,-0.1138039,1.744936,0.1424917,-0.4215428,1.730708,-0.01421438,0.07319827,1.770511,0.06024269,-0.412733,1.706604,-0.109823,-0.1403826,1.79318,0.4339283,-0.1598736,1.698456,NA,NA,Unknown,Unknown,
