ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9428711,-0.3217773,0.0004882813,0.9355469,0.2666016,0.06103516,-1,0,-1,-1,-3,0,1,0,0,-2,-2,-1,-3,-3,-1,0,0.125,0.125,0.125,0.125,0.125,0.125,2.545849,3.02157,7.951175,7.137459,2.938352,2.418543,-0.03948622,-0.4940838,1.639683,0.351682,-0.5113399,1.633762,0.177226,0.3344263,1.72002,-0.08410197,-0.4995096,1.656934,0.306585,-0.4775455,1.597804,0.1607703,-0.1179833,1.729311,0.155976,-0.4284953,1.713577,-0.01458934,0.06711374,1.727484,0.07280967,-0.4192325,1.682784,-0.07118717,-0.1790947,1.738232,0.384123,-0.1833172,1.714702,NA,NA,NotTracked,NotTracked,
0.9462891,-0.3266602,0.01367188,0.9418945,0.2587891,0.05712891,-1,-2,-2,0,0,-2,-1,-2,-1,-1,0,-1,-2,1,-3,-1,1.375,1.375,1.375,0.1875,0.1875,0.1875,2.545826,3.021743,7.952173,7.137458,2.937862,2.41855,-0.03834166,-0.4966781,1.637154,0.351575,-0.5108727,1.632551,0.1773642,0.3344009,1.720033,-0.08396019,-0.4840193,1.6604,0.3066311,-0.4789675,1.597382,0.1610432,-0.118084,1.729523,0.1561565,-0.4285686,1.713781,-0.01430878,0.06701348,1.727631,0.07297638,-0.4193117,1.682987,-0.07101986,-0.1791802,1.738277,0.3842232,-0.1834457,1.714833,NA,NA,NotTracked,NotTracked,
0.9418945,-0.3271484,0.009277344,0.9404297,0.2587891,0.06054688,-1,0,0,0,-2,-2,-1,1,-1,-2,-1,-1,-2,0,-2,1,1.5,1.5,1.5,-0.5,-0.5,-0.5,2.54576,3.02307,7.954125,7.136158,2.93914,2.419548,-0.03821035,-0.4985668,1.639013,0.3517098,-0.5105896,1.633678,0.1776588,0.334379,1.720314,-0.08426026,-0.5158598,1.644363,0.3063757,-0.4797211,1.597223,0.1613557,-0.1180081,1.729777,0.156298,-0.428523,1.713955,-0.01389756,0.06726126,1.728184,0.07310782,-0.4192518,1.68316,-0.07058284,-0.178949,1.738758,0.384346,-0.1835531,1.715075,NA,NA,NotTracked,NotTracked,
0.9375,-0.3286133,0.004882813,0.9433594,0.2519531,0.05957031,0,-1,-2,-2,-2,-2,-1,1,-2,1,-1,0,-2,-1,-1,-3,1.9375,1.9375,1.9375,0.75,0.75,0.75,2.54653,3.024377,7.955374,7.135398,2.939291,2.420304,-0.03781955,-0.4992375,1.638606,0.3520215,-0.511104,1.633861,0.1778907,0.3344341,1.720545,-0.08386063,-0.5093926,1.651128,0.3064246,-0.4827797,1.597826,0.1617036,-0.1180518,1.730068,0.1565824,-0.4285607,1.714267,-0.01352984,0.06723592,1.72848,0.07341162,-0.4192642,1.683541,-0.07028209,-0.1789467,1.739152,0.3844866,-0.1837215,1.715292,NA,NA,NotTracked,NotTracked,
0.9418945,-0.3222656,-0.0004882813,0.9414063,0.2548828,0.05517578,-1,-1,-1,-1,0,0,-2,0,0,-1,0,0,0,-2,-1,1,1.1875,1.1875,1.1875,0.8125,0.8125,0.8125,2.545644,3.024729,7.958076,7.135742,2.939983,2.420928,-0.03776452,-0.4997356,1.639679,0.3519182,-0.5121031,1.633596,0.1782931,0.3343228,1.720749,-0.08551072,-0.5079236,1.653417,0.3061146,-0.4833435,1.596931,0.1618543,-0.1180664,1.730388,0.156713,-0.4285714,1.714499,-0.01330433,0.06737764,1.728983,0.07355168,-0.4192397,1.683761,-0.07001975,-0.1787843,1.739899,0.3845812,-0.183857,1.71547,NA,NA,NotTracked,NotTracked,
0.9355469,-0.3330078,0.01269531,0.9433594,0.2573242,0.0625,-1,0,-5,-2,-2,0,1,-1,0,-1,-1,0,0,-2,-1,-1,-0.1875,-0.1875,-0.1875,1.9375,1.9375,1.9375,2.545644,3.024729,7.958076,7.138816,2.939938,2.419675,-0.03681607,-0.5000692,1.638739,0.3517915,-0.5141919,1.632983,0.1786332,0.3343553,1.721076,-0.08496131,-0.4932299,1.665833,0.3057635,-0.4867502,1.596413,0.1621661,-0.1180544,1.730682,0.1570912,-0.4286423,1.714835,-0.01304512,0.06718804,1.729422,0.07396203,-0.4193106,1.684162,-0.06978857,-0.1789713,1.740283,0.3847291,-0.1841888,1.715688,NA,NA,NotTracked,NotTracked,
0.9355469,-0.3330078,0.01269531,0.9433594,0.2573242,0.0625,-1,0,-5,-2,-2,0,1,-1,0,-1,-1,0,0,-2,-1,-1,-0.1875,-0.1875,-0.1875,1.9375,1.9375,1.9375,2.545644,3.024729,7.958076,7.138816,2.939938,2.419675,-0.0365113,-0.5004323,1.639648,0.3513097,-0.5135137,1.632929,0.1789508,0.3343591,1.721418,-0.08714506,-0.5121363,1.658571,0.3041565,-0.491476,1.595082,0.1624009,-0.1181676,1.731097,0.1572395,-0.4287721,1.715149,-0.01280741,0.06717435,1.729922,0.07411832,-0.4194264,1.684458,-0.06952859,-0.1789949,1.740733,0.3848573,-0.1843692,1.716001,NA,NA,NotTracked,NotTracked,
0.9438477,-0.3266602,0.01074219,0.940918,0.2573242,0.06152344,-2,-2,0,0,1,-1,-1,-2,-1,-2,0,0,0,-1,0,0,2.125,2.125,2.125,-0.6875,-0.6875,-0.6875,2.547271,3.025423,7.95759,7.139798,2.939438,2.418701,-0.03600551,-0.5025324,1.639343,0.351954,-0.513844,1.6335,0.1793053,0.3342649,1.721868,-0.0840727,-0.4927812,1.665077,0.304427,-0.488634,1.595448,0.1625789,-0.1181872,1.731414,0.1574014,-0.4287931,1.715395,-0.01259796,0.06715426,1.730504,0.07430202,-0.4194589,1.684828,-0.06910478,-0.1790796,1.741179,0.3850386,-0.1845551,1.716252,NA,NA,NotTracked,NotTracked,
0.9399414,-0.3276367,0.002441406,0.9296875,0.2568359,0.0546875,-1,-2,0,-1,-1,0,-3,-1,-1,1,-2,-1,-1,-1,-2,-1,0.9375,0.9375,0.9375,-0.8125,-0.8125,-0.8125,2.548954,3.026261,7.957095,7.139583,2.940913,2.417909,-0.03732089,-0.4944122,1.641523,0.3518385,-0.5138038,1.632784,0.1794753,0.3343002,1.722022,-0.084166,-0.486014,1.672,0.3052529,-0.4861,1.595588,0.1626997,-0.1181649,1.731607,0.15752,-0.4287541,1.715502,-0.01239324,0.06714587,1.730824,0.07442541,-0.4193821,1.685001,-0.06885978,-0.1791071,1.741412,0.3851629,-0.1846764,1.716377,NA,NA,NotTracked,NotTracked,
0.9384766,-0.3320313,0.002929688,0.9414063,0.2612305,0.06347656,0,0,-1,-1,-2,-1,-2,-2,-1,-2,1,-1,-2,-2,-2,-1,1.125,1.125,1.125,0.3125,0.3125,0.3125,2.548884,3.026829,7.957594,7.1434,2.94143,2.414079,-0.03714752,-0.4971358,1.641114,0.3526183,-0.5118372,1.633574,0.1796378,0.3343363,1.722257,-0.0820952,-0.4775336,1.678714,0.3055551,-0.4869682,1.594885,0.1629954,-0.1181355,1.731869,0.157726,-0.4286821,1.71568,-0.0121763,0.06712497,1.731245,0.07463618,-0.4193098,1.6852,-0.06864358,-0.1791515,1.741627,0.3853835,-0.1845792,1.716596,NA,NA,NotTracked,NotTracked,
