ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9384766,-0.3544922,-0.01220703,0.9140625,0.3310547,0.07519531,-3,-2,-1,-2,-3,-2,-2,0,0,-3,0,-1,-1,0,0,-1,1,1,1,-0.625,-0.625,-0.625,2.429774,3.087935,6.329245,7.123067,3.063034,2.893959,-0.1442153,-0.4490339,1.529568,0.2477168,-0.4639102,1.523672,0.07007793,0.3716245,1.610328,-0.1839669,-0.4593359,1.532312,0.2847244,-0.4672252,1.520394,0.05568733,-0.08111975,1.622963,0.05171489,-0.3931397,1.61008,-0.1180798,0.1073198,1.624714,-0.02308704,-0.3857918,1.577021,-0.1543289,-0.1624482,1.626238,0.2596832,-0.1633929,1.625944,NA,NA,NotTracked,NotTracked,
0.9262695,-0.3652344,-0.02099609,0.9155273,0.3266602,0.08154297,-1,-1,-2,-1,0,0,-2,-2,-1,-1,0,-1,-1,-2,0,-2,0.75,0.75,0.75,-1.25,-1.25,-1.25,2.429774,3.087935,6.329245,7.121377,3.063395,2.894113,-0.1438825,-0.4499826,1.529879,0.2477037,-0.463942,1.523654,0.07013544,0.3715008,1.610242,-0.1878415,-0.4660805,1.54575,0.2842589,-0.4699084,1.518368,0.05569044,-0.08113501,1.622998,0.0516962,-0.3931487,1.610134,-0.1180713,0.1073561,1.624698,-0.02311493,-0.3858038,1.577078,-0.154354,-0.1622768,1.626181,0.2596934,-0.1633883,1.62593,NA,NA,NotTracked,NotTracked,
0.9306641,-0.3608398,-0.01464844,0.9116211,0.3271484,0.08496094,-1,0,-1,1,-1,-2,-1,-1,0,-1,-1,-2,-1,-1,0,0,0.4375,0.4375,0.4375,1.1875,1.1875,1.1875,2.430623,3.088389,6.329166,7.120852,3.063351,2.895337,-0.1438647,-0.4499626,1.529951,0.2474405,-0.4671952,1.522693,0.07014597,0.3714754,1.610249,-0.1857682,-0.4599378,1.537632,0.2843444,-0.4692259,1.518739,0.05567525,-0.08115355,1.62299,0.05169464,-0.3931552,1.610138,-0.1180856,0.1073547,1.624612,-0.02311742,-0.3858085,1.577087,-0.1543323,-0.1622244,1.626156,0.2597852,-0.1636055,1.625776,NA,NA,NotTracked,NotTracked,
0.9350586,-0.3583984,-0.01806641,0.9165039,0.328125,0.07128906,-1,-2,0,1,-1,-1,0,0,0,-1,0,-2,0,-2,1,-2,1.3125,1.3125,1.3125,0.5625,0.5625,0.5625,2.430811,3.088265,6.329569,7.121642,3.062882,2.896361,-0.1444219,-0.4497217,1.529316,0.2480115,-0.4637988,1.523348,0.07017199,0.3714266,1.610256,-0.1842549,-0.4627098,1.532336,0.2854444,-0.4663098,1.522949,0.05569475,-0.08113424,1.622995,0.051705,-0.3931387,1.610114,-0.1179685,0.1074643,1.624466,-0.0231109,-0.3857755,1.577035,-0.1543405,-0.1622908,1.626183,0.2598016,-0.1636056,1.625786,NA,NA,NotTracked,NotTracked,
0.9296875,-0.362793,-0.01513672,0.9169922,0.324707,0.07958984,-1,-2,0,-1,-1,1,-2,-1,-1,-2,0,0,-2,-1,-2,0,0.5625,0.5625,0.5625,0.125,0.125,0.125,2.430811,3.088265,6.329569,7.121625,3.063256,2.896378,-0.1442431,-0.4498412,1.529732,0.2473974,-0.4677028,1.522749,0.07018504,0.3714159,1.610263,-0.1855206,-0.461004,1.538006,0.2836314,-0.4857242,1.513643,0.05570066,-0.08113162,1.62299,0.05171357,-0.3931331,1.610122,-0.117955,0.1075045,1.624342,-0.02310031,-0.3857654,1.577049,-0.1543388,-0.1623642,1.626158,0.2598039,-0.1636886,1.625766,NA,NA,NotTracked,NotTracked,
0.9628906,-0.4448242,-0.06347656,0.9257813,0.3325195,0.07958984,1,1,3,5,13,-16,-2,7,8,3,3,6,-3,-2,-1,2,11.5625,11.5625,11.5625,0.125,0.125,0.125,2.446213,3.09572,6.320259,7.121642,3.062882,2.896361,-0.1440147,-0.4497574,1.530216,0.247192,-0.4673306,1.522675,0.07018126,0.3714023,1.610301,-0.1855504,-0.4616766,1.538028,0.2817931,-0.4817695,1.510254,0.05569931,-0.08111221,1.623002,0.05171522,-0.3931176,1.610155,-0.1179533,0.1075363,1.624342,-0.02309244,-0.3857434,1.577079,-0.1543008,-0.162399,1.626081,0.2598336,-0.1634988,1.625782,NA,NA,NotTracked,NotTracked,
1.096191,-0.387207,0.004394531,1.086914,0.4238281,0.0625,-4,-10,-18,-72,-86,-23,-13,4,-15,-29,-17,-10,-5,-3,-8,-13,15.3125,15.3125,15.3125,-38.9375,-38.9375,-38.9375,2.75145,3.19737,6.156633,7.05479,3.093929,2.937521,-0.1445138,-0.4467802,1.521778,0.2457913,-0.4673292,1.514775,0.0701968,0.3713996,1.610296,-0.1864665,-0.4469376,1.5257,0.2844357,-0.4644169,1.511706,0.05575248,-0.08110633,1.623034,0.0517423,-0.393117,1.61021,-0.1179632,0.1075494,1.624342,-0.02307511,-0.3857388,1.577092,-0.1545316,-0.1622816,1.626435,0.2602346,-0.16327,1.626594,NA,NA,NotTracked,NotTracked,
0.9838867,-0.9013672,0.3085938,1.108887,0.5976563,0.3276367,-1,-1,2,32,106,57,16,-4,-1,-6,15,18,8,3,4,17,14.5,14.5,14.5,75.5,75.5,75.5,2.938836,3.446917,5.939304,6.787982,3.300165,3.25982,-0.1433577,-0.4262999,1.487598,0.2391934,-0.4433942,1.487016,0.07014246,0.3712227,1.610051,-0.1883484,-0.4365914,1.4868,0.2849655,-0.4448507,1.483867,0.05578896,-0.08110914,1.622885,0.05184688,-0.3931092,1.610145,-0.1179509,0.107515,1.624256,-0.0230023,-0.385745,1.577004,-0.1560628,-0.1602695,1.631217,0.2640233,-0.1582345,1.635391,NA,NA,NotTracked,NotTracked,
0.7275391,-0.8168945,0.3964844,0.762207,1.000977,0.4448242,-9,-7,-11,-17,-9,-9,-1,-6,-4,-8,-3,-5,-4,-2,-3,-15,22.875,22.875,22.875,87.75,87.75,87.75,3.077288,3.789012,5.817015,6.794747,3.644067,3.454691,-0.1439809,-0.3766488,1.421944,0.235146,-0.3840812,1.438352,0.07010682,0.3711115,1.609214,-0.1852529,-0.3881697,1.427,0.2718512,-0.3966505,1.417783,0.05580681,-0.08108342,1.622717,0.05195072,-0.3930663,1.610134,-0.1179191,0.1076814,1.624319,-0.02296309,-0.3857153,1.57701,-0.157813,-0.1539665,1.638629,0.2682276,-0.1490319,1.646089,NA,NA,Closed,NotTracked,
0.5112305,-0.8295898,0.3618164,0.4985352,0.753418,0.3735352,-8,-4,-1,-12,-32,-5,7,-7,-2,-10,-18,-16,-2,-2,6,7,-9.25,-9.25,-9.25,9.1875,9.1875,9.1875,3.104275,4.273904,5.772161,6.775628,4.026584,3.556034,-0.1447397,-0.2999811,1.366754,0.2204271,-0.3158951,1.384469,0.06986978,0.3706823,1.606605,-0.1806916,-0.3129654,1.346889,0.2460433,-0.2999471,1.36983,0.05577166,-0.08110234,1.622665,0.05184853,-0.3929482,1.610238,-0.1176793,0.1082869,1.624171,-0.02309654,-0.3855492,1.577121,-0.1586363,-0.133089,1.643723,0.2714425,-0.1294624,1.652661,NA,NA,Closed,Closed,
