ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9399414,-0.3261719,-0.04541016,0.909668,0.3344727,0.09765625,-2,2,-1,0,0,-2,0,-2,0,-1,-1,1,1,-1,-2,-1,-0.625,-0.625,-0.625,-0.125,-0.125,-0.125,2.298756,3.037037,2.056526,7.058783,3.097852,5.593534,-0.1115905,-0.4763275,1.616084,0.2778825,-0.4493898,1.602086,0.1027487,0.3645374,1.688715,-0.06819643,-0.4711694,1.590375,0.3198146,-0.4240738,1.605728,0.08983816,-0.09464316,1.705066,0.08465871,-0.4161568,1.694718,-0.08512887,0.103099,1.703249,0.002301984,-0.4077624,1.66167,-0.1240567,-0.1674892,1.70576,0.2922053,-0.1603423,1.708969,NA,NA,NotTracked,NotTracked,
0.9418945,-0.3212891,-0.03710938,0.9111328,0.347168,0.1025391,-1,0,-4,-2,-3,-1,-2,-2,-2,-1,-2,-1,-2,-2,-4,0,0.875,0.875,0.875,-0.5,-0.5,-0.5,2.299006,3.03705,2.056709,7.058783,3.097852,5.593534,-0.1117768,-0.4758769,1.61551,0.2785475,-0.4494416,1.602023,0.102579,0.3647555,1.687942,-0.06841286,-0.4684549,1.591409,0.3118819,-0.4744138,1.582333,0.08989482,-0.09456248,1.704497,0.0847684,-0.4161501,1.694486,-0.08509804,0.1032406,1.702363,0.002449918,-0.4077532,1.661349,-0.124307,-0.1679018,1.704842,0.2921015,-0.1603506,1.708359,NA,NA,NotTracked,NotTracked,
0.9433594,-0.3286133,-0.03466797,0.909668,0.3457031,0.09326172,-1,-3,-1,-1,0,-1,0,0,0,1,-1,-1,-1,0,-2,0,0.625,0.625,0.625,-0.875,-0.875,-0.875,2.29981,3.03706,2.055884,7.058181,3.098119,5.592648,-0.1117776,-0.4759795,1.613446,0.2779682,-0.4490859,1.60046,0.1024212,0.3647988,1.687043,-0.06828542,-0.4673168,1.589941,0.3160186,-0.4465874,1.599283,0.0898263,-0.09448712,1.70356,0.0848543,-0.4162019,1.693866,-0.08508021,0.1033261,1.701238,0.002548239,-0.4077983,1.660722,-0.1243792,-0.1681137,1.703696,0.2919822,-0.1605035,1.707555,NA,NA,NotTracked,NotTracked,
0.9438477,-0.3242188,-0.04052734,0.90625,0.3442383,0.09521484,-2,-1,-2,-1,0,-2,-2,-1,0,0,-1,0,-2,-1,-3,0,1.625,1.625,1.625,-1.4375,-1.4375,-1.4375,2.302244,3.036422,2.055689,7.059158,3.098288,5.589301,-0.1112543,-0.4796256,1.610968,0.2783934,-0.4487137,1.599269,0.1021838,0.365091,1.686331,-0.06817774,-0.469264,1.588894,0.3168703,-0.4392504,1.595619,0.08977886,-0.09434731,1.702782,0.08489478,-0.416148,1.693331,-0.0852787,0.1035018,1.700437,0.002608645,-0.4077499,1.660149,-0.124448,-0.1681896,1.703141,0.2919374,-0.1603637,1.706899,NA,NA,NotTracked,NotTracked,
0.9443359,-0.3291016,-0.03808594,0.9052734,0.3486328,0.09912109,1,-1,-2,0,-1,0,0,-3,-1,1,0,-1,-2,-2,-1,-1,1.1875,1.1875,1.1875,-0.0625,-0.0625,-0.0625,2.30433,3.036448,2.054581,7.059158,3.098288,5.589301,-0.1110537,-0.4795249,1.610175,0.2782698,-0.4492001,1.598689,0.1020628,0.3651278,1.685059,-0.06812961,-0.4692087,1.58783,0.313479,-0.4768503,1.585667,0.08974659,-0.09427132,1.701767,0.08501521,-0.4161726,1.692276,-0.08539215,0.1034809,1.699646,0.00268584,-0.4077965,1.659112,-0.1243476,-0.1684481,1.702381,0.291964,-0.1601886,1.705776,NA,NA,NotTracked,NotTracked,
0.9414063,-0.3212891,-0.03759766,0.9101563,0.3496094,0.1005859,-3,-2,-1,-1,1,-2,-1,-1,-3,0,-1,0,-2,-1,-2,-2,1.3125,1.3125,1.3125,0.25,0.25,0.25,2.309449,3.036391,2.052971,7.058868,3.098598,5.589449,-0.1106003,-0.4812925,1.609703,0.2784111,-0.4494881,1.598041,0.1019224,0.3652785,1.684527,-0.06762072,-0.464615,1.585922,0.3239636,-0.4106334,1.610667,0.08969897,-0.09424838,1.701015,0.08519529,-0.4161527,1.691585,-0.0856236,0.1033933,1.699041,0.002886383,-0.4078281,1.658337,-0.1244267,-0.1684321,1.702007,0.291952,-0.1601752,1.705167,NA,NA,NotTracked,NotTracked,
0.9414063,-0.3193359,-0.03759766,0.9399414,0.3588867,0.1049805,-3,-1,0,0,-2,-1,0,0,-1,-1,-8,-7,-4,-3,-1,-1,1,1,1,2.25,2.25,2.25,2.313448,3.036376,2.051191,7.059616,3.099075,5.590353,-0.1104417,-0.4819359,1.608437,0.2785989,-0.4473454,1.597683,0.1019222,0.3654801,1.683976,-0.06834285,-0.4742064,1.586709,0.3202465,-0.4282208,1.599611,0.08971726,-0.09422655,1.700168,0.08526416,-0.4161899,1.690751,-0.08571223,0.1034179,1.69838,0.002973919,-0.4078814,1.657529,-0.1245271,-0.1685815,1.701174,0.2919473,-0.160161,1.70444,NA,NA,NotTracked,NotTracked,
0.940918,-0.3310547,-0.03466797,1.087402,0.4970703,0.1015625,-2,-2,-2,-2,-2,-1,-2,-2,13,24,18,12,0,-1,-2,-7,2.875,2.875,2.875,-4.3125,-4.3125,-4.3125,2.316016,3.036936,2.051512,6.986887,3.134957,5.669152,-0.1106213,-0.4810698,1.607295,0.2781316,-0.4451509,1.594517,0.1017558,0.3655978,1.683099,-0.06773591,-0.5022978,1.580375,0.3201853,-0.4232236,1.601643,0.08988363,-0.09413096,1.699121,0.08554224,-0.4160175,1.689349,-0.08572776,0.1035208,1.697496,0.003200565,-0.4077691,1.656347,-0.1244207,-0.1688144,1.699821,0.2920381,-0.159618,1.703638,NA,NA,NotTracked,NotTracked,
0.9365234,-0.3291016,-0.03662109,1.117676,0.4975586,0.3364258,-1,-1,-3,0,-2,-1,0,0,22,25,7,-10,-4,-5,-4,-6,8.3125,8.3125,8.3125,-10.4375,-10.4375,-10.4375,2.327819,3.03966,2.053247,6.753732,3.289055,5.877198,-0.1104761,-0.4797628,1.607041,0.2704175,-0.4334537,1.577351,0.1017194,0.3656268,1.682617,-0.0684142,-0.4708165,1.583246,0.3147965,-0.411703,1.580556,0.08988249,-0.09408589,1.698212,0.0855082,-0.4159486,1.688201,-0.08573804,0.1033949,1.696885,0.003111439,-0.4077376,1.655239,-0.1243257,-0.1686944,1.699147,0.2927485,-0.1582011,1.704861,NA,NA,NotTracked,NotTracked,
0.9370117,-0.3095703,-0.02734375,1.038574,1.056641,0.7363281,-2,0,-2,1,-1,0,1,-2,-1,-27,-14,-3,-2,-2,5,-11,6.125,6.125,6.125,61.3125,61.3125,61.3125,2.337821,3.041078,2.056675,6.603792,3.669968,6.139594,-0.1105524,-0.4807812,1.603082,0.2607021,-0.3985936,1.510184,0.1014357,0.3660938,1.681606,-0.06792071,-0.4626753,1.580467,0.2716807,-0.384205,1.464712,0.08950168,-0.09388446,1.696581,0.08485191,-0.4156895,1.686168,-0.08588677,0.1031282,1.69607,0.002395951,-0.4073433,1.653113,-0.1242923,-0.1687377,1.698305,0.2949768,-0.1517791,1.711996,NA,NA,NotTracked,Unknown,
