ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9350586,-0.3378906,-0.02148438,0.9150391,0.3374023,0.07275391,0,-2,-2,-2,0,-1,-2,0,-1,-3,-3,-2,-2,0,0,-1,-0.25,-0.25,-0.25,-1.4375,-1.4375,-1.4375,2.376768,3.042808,0.961457,7.156985,3.076771,4.109359,-0.07781047,-0.479259,1.681937,0.3068618,-0.4596937,1.668317,0.1151476,0.3606246,1.752343,-0.1198514,-0.4526102,1.6878,0.270186,-0.4648139,1.641006,0.1123476,-0.09518392,1.76653,0.1131202,-0.4142983,1.754752,-0.06635099,0.09979568,1.778524,0.03136847,-0.4088422,1.725491,-0.09563134,-0.1756266,1.776479,0.3177705,-0.1645539,1.765714,NA,NA,NotTracked,NotTracked,
0.9404297,-0.3344727,-0.02441406,0.9111328,0.3388672,0.07519531,-3,-2,1,0,-2,0,-1,-2,0,1,-1,0,-1,-1,0,-2,-1.0625,-1.0625,-1.0625,0.0625,0.0625,0.0625,2.377521,3.042901,0.960358,7.15674,3.07697,4.108911,-0.07749625,-0.4787257,1.68363,0.308394,-0.4571732,1.67067,0.1151029,0.3606353,1.752293,-0.1199274,-0.4858211,1.68256,0.2722244,-0.4549695,1.647968,0.1123187,-0.09517876,1.766572,0.1131139,-0.4143175,1.754777,-0.06650085,0.09967714,1.778674,0.03135559,-0.4088755,1.725532,-0.09566343,-0.1756734,1.776627,0.3177667,-0.1645961,1.76572,NA,NA,NotTracked,NotTracked,
0.9365234,-0.3339844,-0.02294922,0.9072266,0.3408203,0.06640625,-1,-1,0,-1,-1,-1,-1,0,-1,0,-1,-1,-3,0,0,0,-0.5,-0.5,-0.5,-0.125,-0.125,-0.125,2.377541,3.04258,0.9598117,7.15729,3.077084,4.108412,-0.07697733,-0.4811008,1.681087,0.3083516,-0.4566415,1.669621,0.1151039,0.3606881,1.752361,-0.1195441,-0.4817388,1.680585,0.271192,-0.4509807,1.64525,0.1123128,-0.09518342,1.766576,0.1131292,-0.4143199,1.754781,-0.06659076,0.09965788,1.778766,0.03137213,-0.408888,1.725536,-0.09557537,-0.1757033,1.776794,0.3177527,-0.1644477,1.76575,NA,NA,NotTracked,NotTracked,
0.9379883,-0.3354492,-0.02832031,0.9086914,0.3422852,0.07373047,-1,-2,-2,-1,-1,-2,-1,-1,-3,-1,-2,-1,0,-1,-2,-1,-1.4375,-1.4375,-1.4375,0.3125,0.3125,0.3125,2.377301,3.042981,0.9594999,7.15729,3.077084,4.108412,-0.07713915,-0.4816208,1.681283,0.3017578,-0.4664488,1.665867,0.1151034,0.3607272,1.752374,-0.1199378,-0.4753751,1.683296,0.2615789,-0.4599394,1.639902,0.1123169,-0.09513714,1.766595,0.1131986,-0.4142791,1.754798,-0.06658532,0.09960698,1.778744,0.0314409,-0.4088771,1.725564,-0.09554589,-0.1756787,1.776713,0.3178141,-0.1643914,1.765733,NA,NA,NotTracked,NotTracked,
0.9404297,-0.3256836,-0.02441406,0.909668,0.3427734,0.07177734,-1,-1,-1,-2,-1,-1,-2,0,-2,-3,-2,0,-1,0,-3,1,0.5,0.5,0.5,1.5,1.5,1.5,2.377614,3.043288,0.9585751,7.159004,3.076935,4.107675,-0.07728525,-0.4788385,1.683581,0.3073826,-0.457731,1.670369,0.1150176,0.3607838,1.752299,-0.1199171,-0.4849356,1.682417,0.2729785,-0.4739827,1.640917,0.1123882,-0.09511519,1.766615,0.1132883,-0.4142119,1.754797,-0.06664634,0.09961694,1.778788,0.03150445,-0.4088461,1.725569,-0.09561155,-0.1756599,1.776727,0.3178122,-0.1643575,1.765792,NA,NA,NotTracked,NotTracked,
0.9384766,-0.3330078,-0.02246094,0.9091797,0.3442383,0.06201172,-2,-1,-2,-2,0,-1,-1,-2,-1,0,-1,0,-1,-1,-2,-3,-0.125,-0.125,-0.125,1,1,1,2.377635,3.042967,0.9580297,7.163274,3.077582,4.105527,-0.07742509,-0.4819114,1.681414,0.3077872,-0.4584143,1.669843,0.1150052,0.3607447,1.752284,-0.1193462,-0.5057184,1.67555,0.2704348,-0.4553807,1.643972,0.1123276,-0.09513679,1.766608,0.1131353,-0.4142185,1.754781,-0.06664338,0.09963075,1.778772,0.0313379,-0.408818,1.72556,-0.09561992,-0.1756728,1.776748,0.3177952,-0.1644181,1.765826,NA,NA,NotTracked,NotTracked,
0.9423828,-0.3374023,-0.02099609,0.9116211,0.3481445,0.07421875,-1,-2,0,-1,0,0,-1,0,-2,-1,0,0,1,-2,-1,-1,0.125,0.125,0.125,2.75,2.75,2.75,2.377635,3.042967,0.9580297,7.164722,3.07732,4.106581,-0.07787818,-0.4810863,1.681985,0.3075079,-0.4578483,1.669537,0.1149627,0.3607562,1.752328,-0.1271484,-0.471171,1.7155,0.2726562,-0.4652973,1.641651,0.1123496,-0.09513864,1.766627,0.11318,-0.414238,1.754806,-0.06669004,0.09958883,1.778837,0.03139035,-0.4088544,1.725589,-0.09561234,-0.1759114,1.776736,0.3178157,-0.1644719,1.76583,NA,NA,NotTracked,NotTracked,
0.9428711,-0.331543,-0.02001953,0.9975586,0.503418,0.07470703,0,-2,-1,-1,-1,-1,0,-2,6,0,0,2,0,-1,0,19,1.125,1.125,1.125,123.625,123.625,123.625,2.381804,3.043126,0.9564013,7.244809,3.073801,4.161857,-0.07796472,-0.4796376,1.68349,0.2992702,-0.4685512,1.666774,0.1148143,0.3608356,1.752541,-0.1208926,-0.4580693,1.692923,0.2533214,-0.4662397,1.636289,0.1123608,-0.09511749,1.76665,0.1131985,-0.4142298,1.754829,-0.06676922,0.09958453,1.778954,0.0314003,-0.4088463,1.725606,-0.09580234,-0.1753587,1.77686,0.3178297,-0.1645193,1.765898,NA,NA,NotTracked,NotTracked,
0.909668,-0.3388672,-0.02392578,0.9365234,0.7963867,0.01464844,-1,-1,0,-1,-1,-1,-1,-1,-2,-2,-3,-4,-1,-3,-5,5,4.5625,4.5625,4.5625,19.8125,19.8125,19.8125,2.388344,3.045943,0.9568756,7.252746,3.18242,4.274718,-0.07868701,-0.4767193,1.683948,0.2990274,-0.4679106,1.660837,0.1146569,0.360918,1.752673,-0.1208437,-0.4767897,1.684687,0.2522902,-0.4413345,1.639711,0.1123471,-0.09507208,1.766719,0.1131911,-0.4141914,1.754872,-0.0670343,0.09956639,1.779204,0.03140083,-0.4088069,1.725636,-0.09578083,-0.1754463,1.776961,0.3185422,-0.1639224,1.765225,NA,NA,NotTracked,NotTracked,
0.9355469,-0.3173828,-0.02148438,1.001953,0.6982422,0.184082,-2,-1,0,0,-1,-1,-3,0,-19,-14,-4,-16,16,23,33,-23,3.9375,3.9375,3.9375,85.375,85.375,85.375,2.40071,3.048409,0.9532111,7.122115,3.427202,4.51604,-0.07846011,-0.4798583,1.682922,0.305913,-0.4559869,1.64195,0.1144117,0.3610145,1.753017,-0.1256819,-0.4662887,1.706,0.2588199,-0.4246609,1.648097,0.1122415,-0.09503932,1.766826,0.1131079,-0.4141829,1.755048,-0.06717678,0.09951875,1.779422,0.03134492,-0.4087738,1.725708,-0.09590946,-0.1756534,1.777084,0.3238347,-0.1598889,1.761701,NA,NA,NotTracked,NotTracked,
0.9345703,-0.3291016,-0.0078125,0.8061523,1.044922,0.2353516,-1,-1,2,-2,-2,0,1,-1,29,11,4,13,23,-28,2,58,-8.5625,-8.5625,-8.5625,-15.5,-15.5,-15.5,2.402619,3.046737,0.9423848,7.079121,3.922821,4.67872,-0.07783958,-0.4781615,1.682619,0.3162708,-0.3966051,1.578833,0.1140269,0.3610379,1.753314,-0.1266548,-0.4762965,1.709,0.2935034,-0.3754161,1.558195,0.1120317,-0.09499864,1.767092,0.1130489,-0.4142327,1.755198,-0.06731215,0.09950959,1.779605,0.03127456,-0.4088003,1.725728,-0.09601361,-0.175632,1.777164,0.3372074,-0.1432458,1.752124,NA,NA,NotTracked,Unknown,
0.9360352,-0.3623047,0,0.6147461,0.7558594,0.300293,-2,-4,1,0,-1,-1,-1,-1,-1,-5,-1,8,3,-38,-16,-23,-3.75,-3.75,-3.75,-53.1875,-53.1875,-53.1875,2.410897,3.050292,0.9170187,6.975255,4.335181,4.718941,-0.07751404,-0.481415,1.680652,0.3127088,-0.3301833,1.523795,0.1135259,0.3611739,1.753931,-0.1258362,-0.4942385,1.6984,0.3212715,-0.2754143,1.490817,0.1118842,-0.09501047,1.767239,0.1129804,-0.4142138,1.755227,-0.06755385,0.09930179,1.779881,0.0311494,-0.408736,1.725708,-0.09609277,-0.1756948,1.777128,0.3486285,-0.1176328,1.74411,NA,NA,NotTracked,Unknown,
