ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9399414,-0.309082,-0.03662109,0.9179688,0.3266602,0.08984375,-2,-3,-1,-1,-2,1,-1,-3,0,-1,-1,0,0,0,0,-1,1.5,1.5,1.5,0.4375,0.4375,0.4375,2.305258,3.014018,1.415948,7.061784,3.068891,4.683124,-0.1146471,-0.4679834,1.65238,0.2787682,-0.4533653,1.628278,0.09506371,0.370207,1.696855,-0.1585398,-0.4541691,1.656915,0.2385807,-0.4246585,1.620275,0.08529378,-0.09159036,1.720611,0.08504666,-0.4130588,1.720314,-0.09426293,0.1055578,1.714588,0.001696812,-0.4047862,1.68892,-0.1314451,-0.1670282,1.729084,0.2934694,-0.161761,1.723001,NA,NA,NotTracked,NotTracked,
0.9487305,-0.3198242,-0.03515625,0.9101563,0.3256836,0.08935547,-1,-1,-3,0,-1,-1,-2,-1,-1,0,0,-2,-1,0,1,1,0.625,0.625,0.625,0.5625,0.5625,0.5625,2.304845,3.013918,1.415821,7.063046,3.068775,4.683033,-0.114634,-0.4671413,1.652802,0.2789677,-0.4538046,1.627788,0.0950707,0.3701142,1.697051,-0.1585387,-0.4523955,1.656597,0.2383669,-0.4213872,1.619491,0.08529923,-0.09165911,1.720758,0.08510012,-0.4131026,1.720408,-0.09422701,0.1055521,1.714746,0.001748109,-0.4048607,1.689068,-0.1314045,-0.1670919,1.729163,0.2935258,-0.1619084,1.723092,NA,NA,NotTracked,NotTracked,
0.9462891,-0.3129883,-0.03515625,0.9165039,0.3227539,0.09277344,-1,-3,-1,-1,-1,-1,-1,-1,-2,0,-1,-5,-3,-1,-1,0,0.75,0.75,0.75,0.375,0.375,0.375,2.306648,3.014038,1.415444,7.062388,3.06868,4.683618,-0.1142509,-0.4663742,1.653788,0.2783419,-0.4539375,1.628873,0.09511977,0.370202,1.697142,-0.1561593,-0.4694982,1.651824,0.23824,-0.4163784,1.620772,0.08532921,-0.09151816,1.720877,0.08517897,-0.4129772,1.720523,-0.09408977,0.1056421,1.714951,0.001824233,-0.4046983,1.689182,-0.1311291,-0.166442,1.729649,0.2935382,-0.1617954,1.723251,NA,NA,NotTracked,NotTracked,
0.9506836,-0.3071289,-0.03466797,0.9135742,0.3208008,0.09716797,-3,-1,1,-1,1,0,-1,-2,0,1,0,-1,-1,0,-2,-1,1.1875,1.1875,1.1875,0.125,0.125,0.125,2.309527,3.013489,1.41413,7.062313,3.068431,4.683931,-0.114286,-0.4665155,1.653064,0.2783719,-0.4533456,1.628972,0.09512074,0.3703479,1.697182,-0.159216,-0.4427853,1.66125,0.2382083,-0.4294449,1.620199,0.08532587,-0.09145352,1.720903,0.0851922,-0.412932,1.720564,-0.09408037,0.1056927,1.714994,0.001831827,-0.4046397,1.689218,-0.1311154,-0.1664093,1.729679,0.2935862,-0.1615846,1.723309,NA,NA,NotTracked,NotTracked,
0.9467773,-0.3154297,-0.04003906,0.9145508,0.3291016,0.09179688,0,-2,0,-1,-1,1,1,-1,-1,-1,-1,-2,-1,0,-1,0,2.4375,2.4375,2.4375,0.5,0.5,0.5,2.310559,3.01346,1.415167,7.062338,3.068387,4.684718,-0.1141023,-0.4682825,1.653121,0.2797367,-0.4532964,1.628686,0.09501061,0.3702135,1.697403,-0.1592477,-0.454582,1.662947,0.2388644,-0.4210088,1.621652,0.08531264,-0.09155036,1.721048,0.08520193,-0.4130597,1.720705,-0.09407301,0.1055161,1.715225,0.001834474,-0.4048019,1.68939,-0.1310225,-0.1668882,1.730062,0.2935594,-0.1616104,1.723516,NA,NA,NotTracked,NotTracked,
0.9448242,-0.3208008,-0.03808594,0.9135742,0.324707,0.09619141,1,-1,-3,0,-1,-1,-1,1,-1,-2,-1,0,-1,1,0,-1,0,0,0,2.0625,2.0625,2.0625,2.310838,3.013732,1.416748,7.05935,3.069241,4.690025,-0.1142839,-0.4676757,1.653229,0.2798438,-0.4537716,1.629084,0.09497743,0.3700225,1.697513,-0.1592401,-0.4428432,1.6615,0.2404422,-0.4422187,1.6212,0.08535869,-0.09162834,1.721188,0.08527491,-0.4131188,1.720805,-0.09402979,0.1052997,1.715517,0.001922593,-0.404876,1.689486,-0.131009,-0.1668258,1.730169,0.2935511,-0.1616808,1.723565,NA,NA,NotTracked,NotTracked,
0.9399414,-0.3139648,-0.03857422,0.9116211,0.3300781,0.09375,-2,-2,-3,0,-2,-1,-1,-1,1,-1,-1,0,-2,-2,0,0,2.125,2.125,2.125,2.125,2.125,2.125,2.311825,3.01335,1.418083,7.058943,3.069099,4.694993,-0.113678,-0.4658341,1.654202,0.2789359,-0.4531815,1.628332,0.0949695,0.3701136,1.697713,-0.1577493,-0.4551184,1.657314,0.2383612,-0.4201976,1.621545,0.08545817,-0.09150493,1.721385,0.08540718,-0.4129822,1.720951,-0.0939669,0.1053722,1.715693,0.002027848,-0.404759,1.6896,-0.1309636,-0.1667981,1.730502,0.2935907,-0.1615894,1.723747,NA,NA,NotTracked,NotTracked,
0.9399414,-0.3256836,-0.02685547,0.9375,0.3344727,0.09326172,-2,-1,0,0,-1,-1,-1,-2,3,2,2,1,4,2,2,0,0.8125,0.8125,0.8125,2.875,2.875,2.875,2.31247,3.013557,1.418683,7.05836,3.069222,4.70036,-0.1142895,-0.4667358,1.654201,0.2793835,-0.4527696,1.628086,0.09495106,0.3701969,1.69778,-0.1589648,-0.449808,1.660802,0.2392409,-0.4223127,1.622715,0.08543554,-0.09139106,1.721638,0.08539638,-0.4128982,1.721145,-0.09390862,0.1055235,1.7159,0.001992859,-0.404659,1.689756,-0.130945,-0.1665208,1.730782,0.2936168,-0.1612587,1.723865,NA,NA,NotTracked,NotTracked,
0.9511719,-0.3129883,-0.03857422,1.043457,0.4213867,0.0859375,-1,1,-2,-3,0,-2,0,-1,-6,-6,-20,-6,-5,-5,-6,-7,2,2,2,-3.5,-3.5,-3.5,2.312174,3.013094,1.422024,7.018826,3.086013,4.740899,-0.1137967,-0.4664881,1.655156,0.2787291,-0.4521237,1.627489,0.09491322,0.3702782,1.69785,-0.1593677,-0.4432078,1.662833,0.2388461,-0.4247944,1.621774,0.08539028,-0.09137118,1.721799,0.08541109,-0.4128941,1.721304,-0.09400737,0.105521,1.716231,0.002009032,-0.404658,1.689888,-0.1309261,-0.1666191,1.730896,0.2937111,-0.1611402,1.724184,NA,NA,NotTracked,NotTracked,
0.9443359,-0.3217773,-0.03369141,1.17627,0.6518555,0.3974609,-1,-1,-2,-3,-1,-1,-2,-1,-21,-27,-50,-38,-13,-13,-13,-17,0.3125,0.3125,0.3125,-25.0625,-25.0625,-25.0625,2.312428,3.012751,1.422636,6.722552,3.269236,5.027966,-0.1140718,-0.4676235,1.655699,0.2773074,-0.432874,1.626242,0.0947583,0.3701388,1.698458,-0.1592066,-0.4439715,1.661991,0.2390783,-0.4259492,1.622727,0.08524991,-0.09145878,1.722218,0.08537982,-0.4129357,1.72151,-0.0940953,0.1053243,1.716726,0.001937698,-0.4047092,1.690116,-0.1308443,-0.1667776,1.731374,0.2944591,-0.1601686,1.726236,NA,NA,NotTracked,NotTracked,
