ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.8969727,0.3007813,-0.2016602,0.9228516,-0.3613281,-0.1162109,0,-1,-2,0,-2,-1,-3,0,-2,-1,-1,1,-1,0,-3,-4,-2.5,-2.5,-2.5,4.875,4.875,4.875,8.528253,3.130725,0.9358184,1.986442,3.125566,7.330105,-0.09324783,-0.4826557,1.629765,0.3000171,-0.498374,1.605767,0.1010116,0.3547417,1.729731,-0.03931429,-0.4695709,1.596354,0.3505659,-0.5000926,1.602825,0.1059451,-0.1046071,1.723062,0.1124827,-0.4304026,1.695943,-0.07268637,0.07902088,1.716638,0.03153484,-0.4230535,1.661251,-0.1144849,-0.1979547,1.718574,0.326832,-0.1896772,1.692256,NA,NA,NotTracked,NotTracked,
0.9038086,0.3007813,-0.1967773,0.9228516,-0.3613281,-0.1162109,0,-1,-2,-1,-1,-2,-2,-1,-2,-1,-1,1,-1,0,-3,-4,-4.3125,-4.3125,-4.3125,4.875,4.875,4.875,8.519517,3.132394,0.9333737,1.986442,3.125566,7.330105,-0.09263624,-0.4819923,1.629507,0.3001854,-0.4977991,1.606127,0.1008985,0.3547778,1.729634,-0.04062328,-0.4476592,1.598623,0.3497832,-0.4934211,1.602519,0.1059153,-0.1045784,1.723079,0.1124072,-0.4303816,1.696066,-0.07285057,0.07895241,1.716503,0.03145536,-0.4230564,1.661365,-0.1144558,-0.1982899,1.718672,0.3267532,-0.1893296,1.692356,NA,NA,NotTracked,NotTracked,
0.90625,0.3061523,-0.1987305,0.9228516,-0.3613281,-0.1162109,-3,-1,-1,0,0,-1,-1,-2,-2,-1,-1,1,-1,0,-3,-4,-3.0625,-3.0625,-3.0625,4.875,4.875,4.875,8.51404,3.13435,0.9323243,1.986442,3.125566,7.330105,-0.09313846,-0.4817328,1.629641,0.3005536,-0.498045,1.606292,0.1009014,0.354797,1.729605,-0.0387621,-0.4627502,1.596555,0.3499055,-0.4894078,1.603118,0.1058415,-0.1045033,1.723131,0.1123949,-0.4303376,1.696145,-0.07290937,0.07902368,1.716415,0.03145218,-0.4230339,1.66138,-0.1144659,-0.1982615,1.718661,0.3266554,-0.189156,1.692421,NA,NA,NotTracked,NotTracked,
0.8989258,0.3027344,-0.1962891,0.9228516,-0.3613281,-0.1162109,0,-1,-2,1,-2,-1,1,-3,-2,-1,-1,1,-1,0,-3,-4,-0.875,-0.875,-0.875,4.875,4.875,4.875,8.510451,3.13543,0.932314,1.986442,3.125566,7.330105,-0.09240792,-0.4822751,1.628542,0.3014326,-0.4972449,1.606419,0.1009611,0.3548783,1.729436,-0.03864995,-0.4693734,1.595948,0.3508943,-0.4937781,1.600144,0.1058057,-0.1045028,1.723127,0.1123409,-0.4303452,1.696162,-0.07291231,0.07907721,1.716346,0.03136891,-0.4230261,1.661394,-0.114488,-0.1981839,1.71872,0.3266339,-0.1891709,1.692427,NA,NA,NotTracked,NotTracked,
0.8999023,0.3027344,-0.1884766,0.9228516,-0.3613281,-0.1162109,1,-1,-1,-1,1,2,-1,1,-2,-1,-1,1,-1,0,-3,-4,0,0,0,4.875,4.875,4.875,8.507624,3.134638,0.9340811,1.986442,3.125566,7.330105,-0.09290186,-0.4825491,1.628636,0.301498,-0.4965543,1.605948,0.1009507,0.3548987,1.729389,-0.03958851,-0.4599224,1.596975,0.3497701,-0.4846466,1.601809,0.1058176,-0.1044976,1.723078,0.1123522,-0.4303536,1.696157,-0.07290944,0.0791115,1.716231,0.03138997,-0.4230503,1.661347,-0.1144421,-0.1980356,1.718544,0.3266049,-0.1892313,1.692406,NA,NA,NotTracked,NotTracked,
0.9038086,0.3032227,-0.1962891,0.9228516,-0.3613281,-0.1162109,-1,-1,-2,-1,-2,0,-2,-3,-2,-1,-1,1,-1,0,-3,-4,0.125,0.125,0.125,4.875,4.875,4.875,8.505859,3.134092,0.9352777,1.986442,3.125566,7.330105,-0.09286228,-0.4827565,1.628386,0.3012359,-0.4965105,1.605354,0.1009902,0.3549368,1.729297,-0.0385094,-0.4663978,1.595871,0.3494013,-0.4865119,1.599377,0.1058375,-0.104481,1.723051,0.1123507,-0.4303501,1.696158,-0.07288383,0.07911058,1.716055,0.03139174,-0.423052,1.66135,-0.1144125,-0.1981905,1.718445,0.3265992,-0.1891662,1.692399,NA,NA,NotTracked,NotTracked,
0.8959961,0.3051758,-0.2001953,0.9228516,-0.3613281,-0.1162109,-1,-1,-1,-1,-1,2,-1,-1,-2,-1,-1,1,-1,0,-3,-4,0.25,0.25,0.25,4.875,4.875,4.875,8.505733,3.13412,0.9345711,1.986442,3.125566,7.330105,-0.09196487,-0.4823507,1.627923,0.3018957,-0.4958425,1.60454,0.1010195,0.3550223,1.729173,-0.03780719,-0.4746552,1.594063,0.3496409,-0.4921415,1.599632,0.1058868,-0.1044763,1.722925,0.1123374,-0.4303653,1.696119,-0.07291114,0.07912407,1.715971,0.03138933,-0.4230615,1.66131,-0.1144312,-0.1977646,1.718189,0.3265939,-0.189174,1.692247,NA,NA,NotTracked,NotTracked,
0.8964844,0.3051758,-0.1870117,0.9228516,-0.3613281,-0.1162109,-2,0,0,0,-2,-2,0,0,-2,-1,-1,1,-1,0,-3,-4,0.8125,0.8125,0.8125,4.875,4.875,4.875,8.503583,3.133792,0.9364228,1.986442,3.125566,7.330105,-0.09230147,-0.4822666,1.628496,0.3017066,-0.49557,1.604215,0.1010166,0.3550533,1.72917,-0.04015353,-0.4552249,1.597675,0.3492319,-0.4874212,1.596732,0.1059088,-0.1044764,1.722905,0.1123464,-0.430362,1.696086,-0.07289596,0.07917662,1.715981,0.03140736,-0.4230703,1.66129,-0.1143819,-0.1978113,1.718213,0.3266583,-0.1888655,1.692274,NA,NA,NotTracked,NotTracked,
0.9321289,0.3256836,-0.2680664,0.9228516,-0.3613281,-0.1162109,13,4,-5,-1,-2,-4,-4,-5,-2,-1,-1,1,-1,0,-3,-4,-11.5625,-11.5625,-11.5625,4.875,4.875,4.875,8.494654,3.136061,0.9376857,1.986442,3.125566,7.330105,-0.09247121,-0.4820238,1.627003,0.3017626,-0.4949781,1.600637,0.1010377,0.3550041,1.729072,-0.04289782,-0.4413841,1.598236,0.3496232,-0.5005701,1.592287,0.1059011,-0.1045082,1.722843,0.1123274,-0.4304527,1.696009,-0.07287528,0.07921315,1.715924,0.03138041,-0.4231394,1.66121,-0.1142937,-0.1976859,1.718138,0.3267115,-0.1889467,1.692101,NA,NA,NotTracked,NotTracked,
0.831543,1.130859,-0.434082,0.9228516,-0.3613281,-0.1162109,-2,-9,13,10,0,0,-2,-1,-2,-1,-1,1,-1,0,-3,-4,-308.1875,-308.1875,-308.1875,4.875,4.875,4.875,8.050446,3.217154,1.073739,1.986442,3.125566,7.330105,-0.09205996,-0.4821879,1.626849,0.2947109,-0.4826882,1.581067,0.1010523,0.3549514,1.728959,-0.03710062,-0.4820342,1.592114,0.3403997,-0.4651509,1.554459,0.1059522,-0.1045382,1.722738,0.1123643,-0.4304778,1.695895,-0.07292426,0.07921576,1.715943,0.03141814,-0.4231578,1.660979,-0.1142857,-0.1977121,1.718104,0.3274637,-0.1872897,1.692809,NA,NA,NotTracked,NotTracked,
