ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9228516,-0.3681641,-0.08837891,0.8867188,0.3730469,-0.1352539,-1,2,0,-1,-1,-1,0,0,-2,1,-2,-2,-1,-2,0,0,-4,-4,-4,-0.25,-0.25,-0.25,2.072824,3.116655,5.775986,8.136992,3.193194,8.912395,-0.07368103,-0.4857512,1.634475,0.322243,-0.4741463,1.605567,0.1159502,0.3482498,1.713756,-0.02284393,-0.5058252,1.600308,0.3646528,-0.4730653,1.593393,0.123608,-0.104375,1.725286,0.1287949,-0.4270226,1.699771,-0.05395444,0.08230306,1.719657,0.04701658,-0.4187751,1.667642,-0.09311154,-0.1938533,1.727843,0.3443324,-0.1871267,1.697215,NA,NA,NotTracked,NotTracked,
0.9194336,-0.3588867,-0.09228516,0.8862305,0.3774414,-0.140625,-1,-2,1,-1,0,-1,0,-1,1,0,0,0,0,-2,-2,-2,-3.5625,-3.5625,-3.5625,-3.125,-3.125,-3.125,2.071408,3.11637,5.773469,8.137557,3.193439,8.906608,-0.07397997,-0.4856033,1.634643,0.3224503,-0.4746248,1.606518,0.1157558,0.3482586,1.713619,-0.02366982,-0.4767301,1.604883,0.3663492,-0.4644799,1.596476,0.1234818,-0.104345,1.725439,0.1286584,-0.4270089,1.700044,-0.05408486,0.08230502,1.719741,0.04690623,-0.4187905,1.667901,-0.09338415,-0.1939306,1.728035,0.3440451,-0.1869988,1.697375,NA,NA,NotTracked,NotTracked,
0.9213867,-0.3564453,-0.08837891,0.8818359,0.3789063,-0.1396484,-1,-1,-2,-1,-2,-2,0,-3,-2,-1,-1,-1,-1,-3,-1,-1,-1.75,-1.75,-1.75,-6.375,-6.375,-6.375,2.070133,3.11455,5.769185,8.134829,3.192829,8.895389,-0.07420021,-0.4856686,1.633138,0.3223794,-0.4745898,1.605667,0.1153955,0.3482415,1.713404,-0.02284179,-0.4984578,1.600949,0.3663233,-0.4649464,1.596743,0.123246,-0.1043708,1.725464,0.1283352,-0.4270586,1.700238,-0.05420867,0.08228421,1.719803,0.04655163,-0.4188103,1.668128,-0.09347404,-0.194003,1.728134,0.3437169,-0.1868493,1.697343,NA,NA,NotTracked,NotTracked,
0.9282227,-0.3574219,-0.09326172,0.8852539,0.3828125,-0.1367188,0,-1,-1,-1,0,-1,-2,1,0,0,0,0,0,1,1,0,-1.25,-1.25,-1.25,-7.0625,-7.0625,-7.0625,2.068394,3.113748,5.769608,8.129552,3.193685,8.886602,-0.0739198,-0.4861572,1.633657,0.3230755,-0.4746206,1.607174,0.1151761,0.3481715,1.713323,-0.02317205,-0.5062819,1.600135,0.36815,-0.4608811,1.6034,0.1231626,-0.1043748,1.725487,0.1281985,-0.42708,1.700361,-0.05434725,0.08229502,1.719847,0.04642801,-0.4188211,1.668248,-0.09354047,-0.1939497,1.728147,0.3434866,-0.187062,1.697476,NA,NA,NotTracked,NotTracked,
0.9277344,-0.355957,-0.09716797,0.8852539,0.3813477,-0.1293945,-1,0,-1,-1,-2,0,0,-2,-1,0,-1,0,-2,0,0,0,-0.6875,-0.6875,-0.6875,-3.5,-3.5,-3.5,2.068693,3.112943,5.76847,8.125793,3.193728,8.880049,-0.07412185,-0.4852737,1.633128,0.323014,-0.4749357,1.607325,0.1150551,0.3481607,1.713207,-0.02313564,-0.4936666,1.601579,0.3670025,-0.4683534,1.598916,0.1231396,-0.1044044,1.725482,0.1282137,-0.4271164,1.700383,-0.05451519,0.08210609,1.719812,0.04643815,-0.4188675,1.668261,-0.09361432,-0.1941193,1.728135,0.3433807,-0.1871385,1.697484,NA,NA,NotTracked,NotTracked,
0.9267578,-0.3520508,-0.08544922,0.8842773,0.3852539,-0.1220703,0,-2,1,0,-2,-1,-1,-1,-1,-1,-2,0,-2,0,0,-3,0.25,0.25,0.25,0.625,0.625,0.625,2.069113,3.112273,5.76786,8.123641,3.193228,8.878881,-0.07425137,-0.4857616,1.633554,0.3231553,-0.4739095,1.607979,0.1149276,0.348164,1.713036,-0.02511187,-0.4635476,1.605527,0.3686207,-0.444569,1.605286,0.1230953,-0.1043997,1.725469,0.1281356,-0.4270816,1.700385,-0.05463945,0.0822302,1.719893,0.04636391,-0.4188416,1.668302,-0.09365828,-0.1938585,1.728189,0.3430602,-0.1867546,1.69766,NA,NA,NotTracked,NotTracked,
0.9287109,-0.3520508,-0.09179688,0.8857422,0.3774414,-0.1274414,-1,1,1,-1,-1,-2,-4,-1,0,0,-2,-3,0,0,-2,-1,0.375,0.375,0.375,2.1875,2.1875,2.1875,2.067456,3.112288,5.77013,8.124213,3.192971,8.881207,-0.07433687,-0.4853199,1.632309,0.3227259,-0.4726582,1.605509,0.114685,0.3482015,1.712726,-0.02481062,-0.4617662,1.603698,0.3677305,-0.4544214,1.60187,0.1230181,-0.1044304,1.725387,0.1280703,-0.4270997,1.700354,-0.05476134,0.08224228,1.719905,0.04629378,-0.4188592,1.668252,-0.09370322,-0.193842,1.728079,0.342948,-0.1865772,1.697634,NA,NA,NotTracked,NotTracked,
0.9277344,-0.3544922,-0.09423828,0.8852539,0.3789063,-0.1318359,-2,-1,-1,-2,-1,-4,-1,0,-1,0,-2,1,-1,-2,1,0,0.9375,0.9375,0.9375,2.1875,2.1875,2.1875,2.066336,3.113636,5.77339,8.124093,3.193889,8.883212,-0.07400008,-0.4852862,1.632087,0.3217038,-0.4739475,1.605412,0.114485,0.3480827,1.712269,-0.02476601,-0.462732,1.604246,0.3678508,-0.453077,1.6023,0.1228959,-0.1044828,1.725289,0.127951,-0.4270917,1.700228,-0.04967916,0.08263366,1.722476,0.04616385,-0.4188699,1.668145,-0.09381744,-0.1937315,1.727966,0.3427387,-0.1867353,1.697435,NA,NA,NotTracked,NotTracked,
0.9233398,-0.3520508,-0.08935547,0.8896484,0.3754883,-0.144043,-1,0,-2,-1,-3,-1,-1,-2,-1,-2,0,-1,-1,-2,-1,-1,4.9375,4.9375,4.9375,-1.3125,-1.3125,-1.3125,2.068091,3.115686,5.779451,8.124389,3.194943,8.882529,-0.0741458,-0.4854216,1.633244,0.3218656,-0.4741881,1.605579,0.1144525,0.3481012,1.712266,-0.02413356,-0.4765572,1.603098,0.367657,-0.4541886,1.601501,0.1228497,-0.1044944,1.725283,0.1278726,-0.4271044,1.700234,-0.0509078,0.08261218,1.722113,0.04608881,-0.4188933,1.668195,-0.09386805,-0.1938661,1.728003,0.3426968,-0.1868499,1.697413,NA,NA,NotTracked,NotTracked,
0.9257813,-0.3544922,-0.09521484,0.8837891,0.3769531,-0.1362305,-1,-2,-2,-1,-3,-1,-1,-1,-1,-2,-2,-1,1,-1,2,0,6.6875,6.6875,6.6875,-2.25,-2.25,-2.25,2.070789,3.117374,5.784272,8.123384,3.195661,8.878781,-0.07389657,-0.4862077,1.633115,0.3226423,-0.4740862,1.604569,0.1144154,0.3481242,1.712152,-0.02481121,-0.4582848,1.604459,0.3674577,-0.4490609,1.600385,0.1226418,-0.1045821,1.725163,0.1277188,-0.4271609,1.700104,-0.05177394,0.08258931,1.721773,0.04595019,-0.4189391,1.668102,-0.0939469,-0.1938218,1.728123,0.3425929,-0.1869791,1.697301,NA,NA,NotTracked,NotTracked,
