ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9150391,-0.3828125,-0.09863281,0.8803711,0.4057617,-0.08349609,0,-2,-1,-2,-2,-1,1,1,0,0,-1,-1,-2,2,-2,0,-2.0625,-2.0625,-2.0625,-2.625,-2.625,-2.625,2.04151,3.126446,5.242672,7.80083,3.197338,8.937968,-0.08343469,-0.4737635,1.626815,0.2900608,-0.4704806,1.576432,0.1097608,0.3511656,1.720298,-0.03050325,-0.4216491,1.605923,0.3331461,-0.4744365,1.558074,0.1121402,-0.103843,1.721854,0.1142474,-0.4293855,1.69401,-0.06123256,0.0818731,1.714169,0.03254734,-0.4206009,1.663163,-0.1015519,-0.1927506,1.718809,0.3297022,-0.1806893,1.671214,NA,NA,NotTracked,NotTracked,
0.9228516,-0.3647461,-0.09277344,0.8764648,0.4013672,-0.09130859,-2,-1,-2,0,-1,0,-2,0,1,-1,0,-2,0,-1,0,-1,3.75,3.75,3.75,-2.0625,-2.0625,-2.0625,2.040154,3.129155,5.247921,7.794605,3.197275,8.938501,-0.08420347,-0.4731065,1.627386,0.2898753,-0.4704742,1.57585,0.1097415,0.3511448,1.720246,-0.03096177,-0.4516909,1.603819,0.3317438,-0.4683444,1.556976,0.1119979,-0.103816,1.721698,0.1140989,-0.4294166,1.693996,-0.06134383,0.0819627,1.71392,0.03241163,-0.4206405,1.663132,-0.1016157,-0.1927026,1.718839,0.3295994,-0.1808122,1.670759,NA,NA,NotTracked,NotTracked,
0.925293,-0.3515625,-0.09814453,0.8828125,0.4038086,-0.08789063,-4,-2,1,-1,1,0,-1,-2,-2,-2,0,1,-1,-1,-3,-1,1.875,1.875,1.875,-0.875,-0.875,-0.875,2.038995,3.128575,5.25249,7.794182,3.196914,8.938791,-0.0837615,-0.4732145,1.626315,0.2895116,-0.4701027,1.575233,0.1096705,0.3511586,1.72018,-0.03049917,-0.44712,1.603189,0.33135,-0.4635749,1.556564,0.1119269,-0.1037973,1.721594,0.1139834,-0.4294455,1.693985,-0.06139114,0.08201928,1.713595,0.03230021,-0.4206672,1.66311,-0.1017247,-0.1926334,1.718752,0.3294398,-0.1803822,1.670552,NA,NA,NotTracked,NotTracked,
0.9223633,-0.3676758,-0.1015625,0.8808594,0.402832,-0.08105469,0,-2,-5,-2,-3,-1,-2,-2,-1,0,-1,1,0,-2,-2,-1,-1.8125,-1.8125,-1.8125,0.5,0.5,0.5,2.036686,3.129059,5.253691,7.794008,3.196339,8.939186,-0.08462495,-0.4730217,1.627157,0.2894076,-0.4705055,1.575949,0.1096874,0.3512759,1.720291,-0.03183414,-0.4624317,1.603482,0.3317042,-0.4669054,1.556475,0.1119105,-0.1037643,1.721518,0.1139256,-0.4294138,1.694015,-0.0614664,0.08214751,1.713498,0.03224491,-0.4206708,1.663172,-0.1018226,-0.1926236,1.71875,0.3294457,-0.1803442,1.67052,NA,NA,NotTracked,NotTracked,
0.9282227,-0.359375,-0.09619141,0.8828125,0.40625,-0.0859375,-3,0,0,-1,-1,1,-3,-2,-2,-1,0,-2,-1,-1,-1,-2,-1.5,-1.5,-1.5,-0.1875,-0.1875,-0.1875,2.038146,3.127937,5.25135,7.794653,3.193855,8.939238,-0.08413085,-0.473185,1.62613,0.2891518,-0.4703618,1.575607,0.1097869,0.3513382,1.720325,-0.03047865,-0.4544713,1.602433,0.3316141,-0.466891,1.556297,0.1119175,-0.1037131,1.721451,0.1139007,-0.4294131,1.694018,-0.06145109,0.08239412,1.713275,0.03223249,-0.4206869,1.663125,-0.1019037,-0.191629,1.718647,0.3294265,-0.1803807,1.670404,NA,NA,NotTracked,NotTracked,
0.9223633,-0.3569336,-0.09521484,0.8857422,0.3989258,-0.07958984,-2,-1,-2,0,0,-2,-2,-1,-1,-1,-3,0,-2,-2,-2,-2,-2.0625,-2.0625,-2.0625,-3.125,-3.125,-3.125,2.042073,3.124695,5.244699,7.793007,3.192647,8.938171,-0.08450329,-0.4726376,1.626149,0.2892832,-0.4703882,1.57616,0.1098043,0.3514155,1.720303,-0.03120402,-0.4517367,1.603198,0.33174,-0.466899,1.556529,0.1118817,-0.1036743,1.7213,0.1138562,-0.429404,1.693993,-0.06142294,0.08237703,1.713335,0.03219837,-0.4206969,1.663085,-0.101952,-0.192104,1.718477,0.3293562,-0.1805581,1.670354,NA,NA,NotTracked,NotTracked,
0.9194336,-0.3618164,-0.09619141,0.887207,0.4003906,-0.07958984,-1,-1,-1,-2,0,-2,-2,-2,-1,-2,0,0,-1,-1,1,-1,-3.25,-3.25,-3.25,-4.5,-4.5,-4.5,2.044524,3.120644,5.236852,7.789269,3.191155,8.932292,-0.08312179,-0.4722935,1.626752,0.2896792,-0.4707859,1.576653,0.1098384,0.3515331,1.720297,-0.02973179,-0.4577633,1.602573,0.3314488,-0.4602377,1.558383,0.1118329,-0.1035847,1.721138,0.1138152,-0.4294156,1.693958,-0.06146173,0.08252592,1.712901,0.03214528,-0.4207314,1.66296,-0.1020405,-0.191995,1.718427,0.3292266,-0.1807104,1.670263,NA,NA,NotTracked,NotTracked,
0.9438477,-0.3994141,-0.1157227,0.9145508,0.4331055,-0.08300781,-1,-3,-1,0,-3,-3,-5,-5,-1,4,-5,-6,-3,-1,-2,0,-1.75,-1.75,-1.75,-1.875,-1.875,-1.875,2.060399,3.11817,5.213308,7.790084,3.193569,8.926256,-0.08258332,-0.4724348,1.625656,0.2901177,-0.4705778,1.577546,0.1099868,0.3518861,1.720727,-0.03101815,-0.4526993,1.603391,0.3318456,-0.4662091,1.557256,0.1117115,-0.1034666,1.721019,0.1138061,-0.4294018,1.693957,-0.06144398,0.08262169,1.712466,0.03213697,-0.4207215,1.662967,-0.1020875,-0.192061,1.718295,0.3292347,-0.180656,1.670215,NA,NA,NotTracked,NotTracked,
0.9345703,-0.4624023,-0.06103516,0.9833984,0.6523438,-0.07373047,0,-3,-4,-5,-1,-1,2,1,5,37,31,7,3,0,-2,-1,-39.3125,-39.3125,-39.3125,-55.625,-55.625,-55.625,2.127249,3.133721,5.106066,7.723948,3.221987,8.952,-0.07863964,-0.467857,1.618358,0.288395,-0.4693806,1.576168,0.109866,0.3524131,1.720969,-0.03013778,-0.4493002,1.603064,0.3316808,-0.4665958,1.558072,0.111635,-0.103275,1.720728,0.1137806,-0.429345,1.69395,-0.06140638,0.08294398,1.711826,0.0321182,-0.4206724,1.662968,-0.102309,-0.188522,1.717226,0.3291095,-0.1800868,1.67037,NA,NA,NotTracked,NotTracked,
0.9130859,-0.53125,0,1.100098,0.5927734,0.2832031,-2,-3,-2,-4,4,4,1,-1,5,3,2,1,6,5,2,2,-63.1875,-63.1875,-63.1875,-46.9375,-46.9375,-46.9375,2.153637,3.146684,5.040926,7.359666,3.316064,9.208185,-0.06509837,-0.4559619,1.595903,0.2744285,-0.4581074,1.556772,0.1096855,0.3529682,1.721236,-0.02049902,-0.4364358,1.59419,0.2898839,-0.4567392,1.511314,0.1115067,-0.1030154,1.720214,0.1138025,-0.4292444,1.69387,-0.06169754,0.08349852,1.711004,0.03211362,-0.4205615,1.662848,-0.1026681,-0.1825466,1.713557,0.3292654,-0.1759149,1.671544,NA,NA,NotTracked,NotTracked,
0.8100586,-0.6660156,0.08203125,0.8491211,0.9506836,0.4633789,-3,-2,-4,-3,-4,-6,-4,-3,1,10,35,9,2,-2,-1,1,-121.8125,-121.8125,-121.8125,49.8125,49.8125,49.8125,2.423377,3.390975,4.39829,7.009191,3.726522,9.722322,-0.03478844,-0.4278412,1.562193,0.2329705,-0.4125889,1.511518,0.1093384,0.3537477,1.721747,-0.004353586,-0.3916622,1.588188,0.222387,-0.4038116,1.466773,0.1115755,-0.1026432,1.719671,0.1143175,-0.4288528,1.69344,-0.06185284,0.08443608,1.708516,0.03239605,-0.4203843,1.662341,-0.1029378,-0.1696328,1.700602,0.3308372,-0.1601834,1.674635,NA,NA,Unknown,Closed,
