ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9121094,-0.3676758,-0.1455078,0.8818359,0.3974609,-0.08349609,-3,0,6,-1,-2,-3,-3,-3,-1,-1,-2,-2,-2,0,0,-1,-1.5625,-1.5625,-1.5625,2.4375,2.4375,2.4375,2.000482,3.196513,4.742517,7.813622,3.19373,9.022898,-0.06944253,-0.481697,1.624738,0.3152094,-0.4683037,1.605742,0.1220744,0.3495835,1.746264,-0.01967527,-0.460382,1.602759,0.2648689,-0.4443293,1.590345,0.1251003,-0.1054088,1.739156,0.1284625,-0.4293325,1.704959,-0.04970112,0.08098158,1.734804,0.04673107,-0.4204194,1.672345,-0.0914992,-0.1946894,1.722967,0.3436628,-0.1887488,1.704134,NA,NA,NotTracked,NotTracked,
0.9121094,-0.3676758,-0.1455078,0.8833008,0.3994141,-0.08837891,-3,0,6,-1,-2,-3,-3,-3,-1,-2,-2,0,-1,-1,0,1,-1.5625,-1.5625,-1.5625,2.875,2.875,2.875,2.000482,3.196513,4.742517,7.818198,3.189972,9.026903,-0.06927717,-0.4819528,1.623859,0.3150267,-0.4683687,1.605084,0.1222328,0.3495401,1.74597,-0.01968007,-0.462813,1.602069,0.2647519,-0.457324,1.589059,0.1251629,-0.1053725,1.739105,0.128491,-0.4293207,1.704924,-0.0496793,0.0809947,1.734776,0.04676523,-0.4204063,1.672308,-0.09143045,-0.1947369,1.722942,0.343706,-0.1887293,1.70406,NA,NA,NotTracked,NotTracked,
0.9121094,-0.3676758,-0.1455078,0.8813477,0.402832,-0.08642578,-3,0,6,-1,-2,-3,-3,-3,-2,-1,-2,-1,-1,-1,-2,-1,-1.5625,-1.5625,-1.5625,-0.25,-0.25,-0.25,2.000482,3.196513,4.742517,7.818656,3.188658,9.028577,-0.06930384,-0.4826648,1.62553,0.3149037,-0.4690753,1.606303,0.1223328,0.3495719,1.745938,-0.019486,-0.4635442,1.602418,0.2659509,-0.4434964,1.59093,0.1252793,-0.1053507,1.739075,0.1284969,-0.4293172,1.704923,-0.04959341,0.08097449,1.73476,0.04677508,-0.4204024,1.672321,-0.09132053,-0.1947985,1.723025,0.3437692,-0.1886799,1.704028,NA,NA,NotTracked,NotTracked,
0.9121094,-0.3676758,-0.1455078,0.8754883,0.3979492,-0.08837891,-3,0,6,-1,-2,-3,-3,-3,0,13,5,-4,-1,1,-1,1,-1.5625,-1.5625,-1.5625,-5,-5,-5,2.000482,3.196513,4.742517,7.814992,3.189383,9.026626,-0.06921723,-0.4821626,1.623395,0.3148436,-0.4691908,1.605089,0.1224099,0.3495884,1.74558,-0.01836373,-0.5082158,1.59285,0.2645985,-0.4536573,1.589297,0.1254174,-0.1053403,1.738951,0.12857,-0.4293185,1.704848,-0.04931725,0.08112419,1.734624,0.04687801,-0.4203904,1.672186,-0.09134123,-0.1944865,1.722803,0.3438497,-0.1889897,1.703786,NA,NA,NotTracked,NotTracked,
0.9121094,-0.3676758,-0.1455078,0.8852539,0.3974609,-0.08007813,-3,0,6,-1,-2,-3,-3,-3,0,-2,-3,-2,0,-1,-2,-1,-1.5625,-1.5625,-1.5625,-6.375,-6.375,-6.375,2.000482,3.196513,4.742517,7.806092,3.189948,9.024531,-0.06903359,-0.4820161,1.623187,0.3150523,-0.4691513,1.604837,0.1226839,0.3496398,1.745287,-0.017416,-0.4738092,1.598388,0.2648334,-0.4613432,1.589793,0.1255536,-0.1053546,1.738824,0.1286951,-0.4293153,1.704773,-0.04929249,0.08110386,1.734566,0.0470025,-0.4203668,1.67206,-0.09123372,-0.1947474,1.722626,0.3439193,-0.1890407,1.703636,NA,NA,NotTracked,NotTracked,
0.9121094,-0.3676758,-0.1455078,0.8823242,0.3974609,-0.08447266,-3,0,6,-1,-2,-3,-3,-3,-2,-1,1,0,0,-1,0,-2,-1.5625,-1.5625,-1.5625,-2.6875,-2.6875,-2.6875,2.000482,3.196513,4.742517,7.804444,3.189093,9.017968,-0.06931596,-0.4818975,1.623896,0.3150744,-0.4692813,1.60561,0.1228812,0.3496028,1.745201,-0.01885492,-0.4618707,1.601284,0.2642756,-0.474448,1.589162,0.1256412,-0.1053287,1.738707,0.1287978,-0.4292496,1.704582,-0.04922333,0.08113909,1.734445,0.04713221,-0.4202611,1.671754,-0.09110396,-0.1948424,1.722431,0.3440562,-0.1888236,1.703663,NA,NA,NotTracked,NotTracked,
0.9121094,-0.3676758,-0.1455078,0.8803711,0.4018555,-0.07470703,-3,0,6,-1,-2,-3,-3,-3,0,0,-2,-1,-2,1,0,0,-1.5625,-1.5625,-1.5625,0.5,0.5,0.5,2.000482,3.196513,4.742517,7.803202,3.189224,9.017651,-0.06948262,-0.4820504,1.622797,0.3149841,-0.469005,1.604932,0.1230338,0.3497054,1.74483,-0.01910453,-0.4624883,1.600642,0.2649352,-0.4623945,1.589484,0.1257778,-0.1052716,1.738494,0.1288687,-0.4291885,1.704407,-0.04906485,0.08117981,1.734226,0.04718846,-0.420223,1.671547,-0.0909754,-0.1947846,1.722029,0.3441026,-0.1887489,1.703583,NA,NA,NotTracked,NotTracked,
0.9121094,-0.3676758,-0.1455078,0.8974609,0.4106445,-0.07080078,-3,0,6,-1,-2,-3,-3,-3,0,-45,-19,-6,-2,-1,-2,-1,-1.5625,-1.5625,-1.5625,5.4375,5.4375,5.4375,2.000482,3.196513,4.742517,7.804995,3.189109,9.021975,-0.069203,-0.4818861,1.622798,0.3144138,-0.4689528,1.604603,0.1231361,0.3496952,1.744707,-0.01799835,-0.466166,1.599792,0.266193,-0.4437082,1.589934,0.1258762,-0.1052635,1.73841,0.1290381,-0.4291856,1.704306,-0.04902525,0.08116943,1.734031,0.04738173,-0.4202114,1.671379,-0.09089939,-0.1948544,1.721922,0.3441045,-0.1887419,1.703562,NA,NA,NotTracked,NotTracked,
0.9121094,-0.3676758,-0.1455078,1.050293,0.7924805,-0.09716797,-3,0,6,-1,-2,-3,-3,-3,16,47,13,8,5,2,2,-34,-1.5625,-1.5625,-1.5625,-51.5,-51.5,-51.5,2.000482,3.196513,4.742517,7.725997,3.254421,9.069267,-0.06914448,-0.4817734,1.622605,0.3050351,-0.4589802,1.594889,0.1231647,0.3497246,1.744669,-0.01774965,-0.4604533,1.600151,0.2622427,-0.4292471,1.588269,0.1259011,-0.1052776,1.738339,0.129067,-0.4291998,1.704277,-0.0490222,0.08117159,1.733938,0.04740212,-0.4202247,1.671344,-0.09083582,-0.194799,1.721717,0.344388,-0.1875414,1.704249,NA,NA,NotTracked,NotTracked,
0.9121094,-0.3676758,-0.1455078,1.06543,0.7753906,0.347168,-3,0,6,-1,-2,-3,-3,-3,0,-1,-5,-8,-2,0,-1,4,-1.5625,-1.5625,-1.5625,-133.25,-133.25,-133.25,2.000482,3.196513,4.742517,7.267923,3.39551,9.324228,-0.06918211,-0.481714,1.622657,0.2822398,-0.4325929,1.548155,0.1231914,0.3497317,1.744406,-0.01877532,-0.4615795,1.600682,0.2660437,-0.4745463,1.573812,0.1256227,-0.1051595,1.738147,0.1279805,-0.4289143,1.703938,-0.04915298,0.08123623,1.733592,0.04607492,-0.4196099,1.670619,-0.09082102,-0.1947284,1.721544,0.3444852,-0.1805988,1.708825,NA,NA,NotTracked,NotTracked,
