ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.9311523,-0.3969727,-0.09716797,-0.9550781,0.2734375,-0.02148438,-2,0,0,-1,-2,1,48,0,-3,0,0,0,0,1,-1,-3,2.75,2.75,2.75,-0.25,-0.25,-0.25,2.222406,6.858725,6.24832,7.563198,7.054887,7.146091,-0.1156056,-0.4160585,1.592083,0.2823074,-0.4237348,1.5363,0.09694288,0.4713046,1.696691,-0.07211866,-0.4009623,1.556264,0.3245308,-0.4280106,1.528961,0.09386151,-0.002556015,1.682348,0.09383154,-0.331181,1.65918,-0.08772759,0.1730641,1.683959,0.01298676,-0.324416,1.626517,-0.1248817,-0.09511689,1.694649,0.2969013,-0.09340304,1.651578,NA,NA,NotTracked,NotTracked,
-0.9321289,-0.3979492,-0.09472656,-0.9648438,0.2729492,-0.02539063,2,0,0,-4,0,-1,-1,-1,2,-2,0,2,-1,0,-2,-2,2.4375,2.4375,2.4375,-1.5,-1.5,-1.5,2.227652,6.858272,6.249907,7.562294,7.054965,7.147148,-0.1143831,-0.4130394,1.59326,0.2823162,-0.4233591,1.535867,0.0972235,0.4713666,1.696614,-0.07208924,-0.4007508,1.558203,0.3249967,-0.4256291,1.529085,0.09412012,-0.002444825,1.682472,0.09414063,-0.3310334,1.659293,-0.08761036,0.1732293,1.684136,0.01331053,-0.3242405,1.626579,-0.1245524,-0.09497625,1.694889,0.2970495,-0.0933129,1.651696,NA,NA,NotTracked,NotTracked,
-0.9355469,-0.3994141,-0.09228516,-0.9648438,0.2709961,-0.02246094,0,0,1,-2,-1,-2,-2,-3,-1,-2,-1,-1,-2,0,-1,-2,-0.25,-0.25,-0.25,-0.4375,-0.4375,-0.4375,2.229597,6.859142,6.252461,7.564255,7.055123,7.148971,-0.1139051,-0.4120154,1.592871,0.2826146,-0.423347,1.535693,0.09753123,0.471363,1.696524,-0.07174929,-0.4041579,1.556221,0.325198,-0.4267959,1.528589,0.09437911,-0.002387694,1.682467,0.09440631,-0.3309263,1.65923,-0.08745913,0.1732882,1.684235,0.0135726,-0.324132,1.626482,-0.1238737,-0.09500429,1.694886,0.2973472,-0.0933319,1.651742,NA,NA,NotTracked,NotTracked,
-0.9355469,-0.3974609,-0.09472656,-0.9609375,0.2724609,-0.02490234,1,-1,-1,-2,0,-2,-2,0,1,0,-3,-2,-3,-1,-1,-2,-3.0625,-3.0625,-3.0625,-0.875,-0.875,-0.875,2.231172,6.859121,6.258926,7.565,7.055273,7.149719,-0.1136564,-0.4161808,1.592349,0.2834081,-0.4238222,1.536418,0.09796735,0.4712146,1.69668,-0.0679907,-0.4297486,1.5553,0.3292634,-0.4319416,1.534619,0.09461875,-0.002457607,1.682627,0.09472394,-0.3309566,1.659384,-0.08726165,0.1733111,1.684612,0.01391945,-0.3242081,1.626702,-0.1233414,-0.09505773,1.694994,0.2976304,-0.09331155,1.652004,NA,NA,NotTracked,NotTracked,
-0.9384766,-0.3920898,-0.09130859,-0.9658203,0.2705078,-0.02783203,1,-1,-1,1,1,-1,-1,1,1,1,-2,-2,-1,-2,2,-1,-3.25,-3.25,-3.25,-0.625,-0.625,-0.625,2.23044,6.859961,6.264812,7.568337,7.056064,7.15419,-0.1133847,-0.4157997,1.592966,0.283639,-0.4236357,1.535343,0.09844653,0.4710453,1.696763,-0.06917895,-0.4191727,1.555688,0.3295276,-0.4337595,1.534845,0.09511995,-0.002628544,1.68282,0.09509574,-0.3310787,1.65955,-0.08704405,0.173215,1.684853,0.01437805,-0.3243468,1.626978,-0.1228259,-0.09519059,1.695259,0.2979073,-0.09343819,1.652085,NA,NA,NotTracked,NotTracked,
-0.9379883,-0.3955078,-0.08837891,-0.965332,0.2734375,-0.02929688,0,0,-2,-1,-1,-2,-5,-2,-2,-3,-3,0,-2,-2,-1,0,-0.5,-0.5,-0.5,1.3125,1.3125,1.3125,2.226091,6.859158,6.266722,7.56401,7.05448,7.148435,-0.1131727,-0.4163383,1.591977,0.2836781,-0.4230464,1.534472,0.09877966,0.4710379,1.696809,-0.06886013,-0.4166515,1.555901,0.3269149,-0.430154,1.530389,0.09552916,-0.002637834,1.682822,0.09531981,-0.3311089,1.659528,-0.08670452,0.1732744,1.685008,0.01457335,-0.3243627,1.626995,-0.1222918,-0.09518041,1.695222,0.2981889,-0.09349939,1.652049,NA,NA,NotTracked,NotTracked,
-0.9521484,-0.4077148,-0.1020508,-1.087891,0.3188477,-0.004882813,-2,0,-1,2,3,8,-6,-19,11,43,14,1,-2,1,4,4,-1.3125,-1.3125,-1.3125,-14.25,-14.25,-14.25,2.225513,6.856083,6.267156,7.464324,7.025611,7.046808,-0.1122744,-0.4163637,1.590176,0.2840431,-0.4226379,1.534019,0.09908655,0.4710442,1.696746,-0.06886822,-0.399152,1.555297,0.327083,-0.4291086,1.530778,0.09592385,-0.00242089,1.682863,0.09574071,-0.3308068,1.659576,-0.08622296,0.1737788,1.684968,0.01499348,-0.3240249,1.627005,-0.1216365,-0.09467345,1.695474,0.2986964,-0.09319766,1.652246,NA,NA,NotTracked,NotTracked,
-1.336426,-0.6625977,-0.1015625,-1.311035,0.3305664,0.002929688,34,7,3,26,12,0,66,3,-3,44,17,-12,-5,-1,7,4,-8.75,-8.75,-8.75,29.25,29.25,29.25,2.312604,6.798044,6.377282,7.149858,6.897618,6.693735,-0.1084614,-0.406794,1.577902,0.2771434,-0.4117887,1.520894,0.09944658,0.4711014,1.696812,-0.06570682,-0.3981172,1.554613,0.3198535,-0.4272962,1.510235,0.09633061,-0.002270695,1.682917,0.09613635,-0.3305756,1.659652,-0.08580983,0.1739759,1.685202,0.01536493,-0.3237712,1.6269,-0.1218532,-0.09408117,1.698314,0.3034637,-0.09085704,1.657699,NA,NA,NotTracked,NotTracked,
-1.427246,-0.8291016,-0.1264648,-1.396973,1.108887,0.2763672,119,65,-9,17,-25,0,-19,3,5,8,4,6,8,4,25,17,-23.5625,-23.5625,-23.5625,63,63,63,2.510617,6.623677,6.635189,6.987903,6.511926,6.367527,-0.1006847,-0.3416789,1.551776,0.238137,-0.3289702,1.478925,0.0999711,0.4708217,1.69636,-0.06645221,-0.3436044,1.522909,0.2576593,-0.3817715,1.4678,0.09674186,-0.002073555,1.682071,0.09626549,-0.3299634,1.6587,-0.08560126,0.174052,1.6853,0.01525695,-0.3227782,1.625883,-0.1257453,-0.0908993,1.714385,0.3155876,-0.08067933,1.670607,NA,NA,NotTracked,Unknown,
-0.7885742,-1.328613,0.08398438,-0.5068359,0.8496094,0.390625,20,-18,1,-19,-17,-11,89,-32,-18,42,-7,-11,-10,-7,-15,2,147.375,147.375,147.375,-40.625,-40.625,-40.625,2.733964,5.628938,7.06573,6.873077,5.809039,6.176342,-0.06463633,-0.2611375,1.510482,0.1849879,-0.1837128,1.482383,0.1010206,0.4701814,1.694573,-0.04097426,-0.3235739,1.537971,0.1889574,-0.2435214,1.517486,0.09792491,-0.001580064,1.680685,0.09822078,-0.3278914,1.657016,-0.08515057,0.1751654,1.686193,0.01688116,-0.3213552,1.624491,-0.1334966,-0.06532351,1.738255,0.34011,-0.04509993,1.684054,NA,NA,NotTracked,Unknown,
