ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.9521484,-0.3823242,-0.04736328,-0.9775391,0.2182617,-0.04541016,0,9,4,3,-2,-2,-5,-2,2,-2,-4,1,-2,0,-2,0,-1.0625,-1.0625,-1.0625,-2.625,-2.625,-2.625,2.400296,6.882441,7.229139,7.799984,7.122346,7.177301,-0.06187085,-0.3865038,1.614958,0.3378905,-0.3824576,1.553241,0.1497705,0.4658394,1.705307,-0.09595592,-0.3847149,1.633923,0.2948891,-0.3641036,1.538856,0.1531919,-0.004519214,1.688255,0.1578295,-0.3306973,1.664637,-0.0326234,0.1669973,1.690781,0.07498132,-0.3244224,1.634448,-0.06228022,-0.1027967,1.694087,0.3629611,-0.0942925,1.659258,NA,NA,NotTracked,NotTracked,
-0.9428711,-0.3842773,-0.04638672,-0.9790039,0.222168,-0.04589844,4,7,1,2,-1,2,6,0,-1,2,0,-2,-1,0,0,-2,-2.375,-2.375,-2.375,-0.5,-0.5,-0.5,2.399327,6.883219,7.230948,7.799984,7.122346,7.177301,-0.06202646,-0.3868437,1.616458,0.338224,-0.3827155,1.554863,0.1495196,0.465845,1.705385,-0.09435983,-0.3919945,1.633283,0.2937879,-0.3782383,1.532853,0.1531564,-0.004520156,1.688294,0.1577531,-0.3307198,1.664719,-0.03272627,0.1670269,1.690882,0.07491572,-0.3244462,1.634523,-0.06252169,-0.1027291,1.694444,0.3629557,-0.09438447,1.659245,NA,NA,NotTracked,NotTracked,
-0.9360352,-0.3867188,-0.04736328,-0.9765625,0.2373047,-0.04980469,4,10,-1,1,-1,2,-3,-2,-2,2,-2,0,-1,-1,-3,-1,-1.3125,-1.3125,-1.3125,-1.125,-1.125,-1.125,2.398898,6.883483,7.232002,7.798033,7.122782,7.175784,-0.06181731,-0.3868992,1.616039,0.3380212,-0.3827131,1.554133,0.1493195,0.4658352,1.705358,-0.09228283,-0.404437,1.625909,0.2946051,-0.3651214,1.539841,0.1529757,-0.004548946,1.688384,0.1576591,-0.3307496,1.664841,-0.03282083,0.167039,1.690917,0.07484786,-0.3244611,1.634632,-0.0625194,-0.102728,1.694476,0.362871,-0.09454393,1.659167,NA,NA,NotTracked,NotTracked,
-0.9394531,-0.3881836,-0.05322266,-0.9692383,0.2260742,-0.05322266,2,-4,-1,12,-1,-2,-1,2,-3,-2,1,-1,-1,-2,-1,-1,0.1875,0.1875,0.1875,-2.9375,-2.9375,-2.9375,2.398726,6.883599,7.23193,7.794832,7.124503,7.175457,-0.06240309,-0.38363,1.619097,0.3380046,-0.3829985,1.55501,0.149159,0.4658194,1.705362,-0.09342959,-0.380078,1.635111,0.2949696,-0.3635864,1.541768,0.1529057,-0.00453205,1.688449,0.1575592,-0.330758,1.664976,-0.03291057,0.1670268,1.691003,0.07476612,-0.3244631,1.634727,-0.06249046,-0.1027498,1.694598,0.362664,-0.09473694,1.659152,NA,NA,NotTracked,NotTracked,
-0.9379883,-0.3774414,-0.05615234,-0.9726563,0.2275391,-0.05517578,7,6,12,58,1,-2,-1,2,-5,3,-2,0,-1,-1,-1,-1,0.625,0.625,0.625,-0.5625,-0.5625,-0.5625,2.396132,6.885273,7.230219,7.791574,7.125297,7.173339,-0.06142117,-0.3832818,1.617947,0.3378666,-0.383006,1.554609,0.1488819,0.4658108,1.705258,-0.09212498,-0.3909061,1.627798,0.2939955,-0.3634714,1.539411,0.1528076,-0.004529574,1.688462,0.1573571,-0.3307757,1.665107,-0.03296103,0.1670444,1.691025,0.07461365,-0.3244687,1.634817,-0.06251067,-0.1027302,1.694682,0.3625784,-0.09475097,1.659145,NA,NA,NotTracked,NotTracked,
-0.9501953,-0.3867188,-0.05371094,-0.9707031,0.2353516,-0.05566406,0,-5,-3,8,1,-2,4,0,0,-1,-2,-2,-2,-2,-2,-1,-0.75,-0.75,-0.75,0.3125,0.3125,0.3125,2.395004,6.885715,7.230301,7.791469,7.125115,7.17337,-0.06198707,-0.383464,1.618778,0.3379431,-0.3830708,1.555153,0.1486339,0.4656863,1.705163,-0.09334372,-0.3905607,1.631323,0.2951469,-0.3760553,1.531081,0.1526861,-0.004546025,1.688481,0.1572247,-0.3307752,1.665222,-0.03308497,0.1669852,1.691059,0.07444794,-0.3244618,1.634992,-0.06254154,-0.1027868,1.694854,0.3625186,-0.094745,1.659139,NA,NA,NotTracked,NotTracked,
-0.9467773,-0.3901367,-0.05126953,-0.9731445,0.2329102,-0.05761719,-3,-9,-2,-18,0,2,-7,-1,-1,-1,0,-1,-1,-1,-2,-1,-0.125,-0.125,-0.125,-1.5625,-1.5625,-1.5625,2.393873,6.886157,7.230384,7.792807,7.125196,7.175414,-0.062254,-0.3865094,1.616781,0.3373716,-0.3829146,1.553858,0.1483484,0.4657073,1.705074,-0.0941452,-0.3787135,1.634158,0.29469,-0.3648621,1.540628,0.1526133,-0.004542422,1.688475,0.1571275,-0.3307727,1.665259,-0.03317292,0.166937,1.691087,0.07431114,-0.324463,1.635097,-0.06262642,-0.102834,1.694889,0.3624334,-0.09473761,1.659088,NA,NA,NotTracked,NotTracked,
-0.9433594,-0.3813477,-0.05322266,-0.9697266,0.2211914,-0.05029297,0,-8,-2,2,-2,-3,0,1,0,1,1,0,-2,-2,-1,-1,-0.25,-0.25,-0.25,-0.375,-0.375,-0.375,2.394508,6.886744,7.231549,7.792807,7.125196,7.175414,-0.0630078,-0.386547,1.616622,0.3373708,-0.383122,1.554315,0.1481108,0.4656584,1.704873,-0.09388917,-0.388517,1.632574,0.2945665,-0.3688214,1.537107,0.1524737,-0.004517305,1.688469,0.1569656,-0.3307242,1.665309,-0.03325638,0.1669572,1.691071,0.07413843,-0.3244049,1.635145,-0.06266978,-0.1028187,1.69487,0.3619429,-0.09571442,1.658927,NA,NA,NotTracked,NotTracked,
-0.9335938,-0.3828125,-0.0546875,-0.9746094,0.2231445,-0.046875,-4,-10,1,-3,-1,1,1,-1,2,-1,-2,-2,0,-1,-1,0,-1.1875,-1.1875,-1.1875,1.0625,1.0625,1.0625,2.392575,6.887694,7.231466,7.794652,7.125968,7.176579,-0.06259427,-0.3868613,1.618362,0.337142,-0.3832023,1.555496,0.1478552,0.4656617,1.70481,-0.0935147,-0.3878968,1.632269,0.294735,-0.3668267,1.540304,0.1522886,-0.004523328,1.688494,0.1568042,-0.3306955,1.665423,-0.03345155,0.1669471,1.691108,0.07394709,-0.3243699,1.635346,-0.06273499,-0.1028392,1.694946,0.3618435,-0.09565764,1.658929,NA,NA,NotTracked,NotTracked,
-0.9404297,-0.3828125,-0.0546875,-0.9794922,0.2285156,-0.05078125,-2,-6,-2,1,-1,0,1,0,0,-2,-1,-1,-1,-1,-1,0,-0.5625,-0.5625,-0.5625,1,1,1,2.392171,6.888525,7.232956,7.796113,7.126046,7.176766,-0.06238213,-0.386451,1.616204,0.3372015,-0.3827387,1.553948,0.1475837,0.4656683,1.704577,-0.09434509,-0.412657,1.6305,0.2944905,-0.3691087,1.537364,0.1521998,-0.00453267,1.688435,0.1567662,-0.3306974,1.665433,-0.03369106,0.1668565,1.691079,0.07390156,-0.3243777,1.635384,-0.06281989,-0.1029344,1.695047,0.3616535,-0.0954423,1.658859,NA,NA,NotTracked,NotTracked,
