ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.9384766,-0.2919922,-0.2407227,-0.8525391,0.5239258,-0.003417969,0,-2,1,-1,-2,-1,0,0,-1,-2,-1,-4,-2,0,1,-2,1.1875,1.1875,1.1875,0.3125,0.3125,0.3125,1.478541,6.91765,1.424898,7.408174,6.633219,6.856867,-0.003920968,-0.3957478,1.55295,0.3386287,-0.4113541,1.534011,0.1715266,0.4645269,1.714023,-0.04580521,-0.4058843,1.563211,0.2958146,-0.4085159,1.512708,0.1717159,-0.00895934,1.692087,0.1770999,-0.3373943,1.663601,-0.01475981,0.1692577,1.703377,0.09246662,-0.3309884,1.633653,-0.04474162,-0.08249367,1.687554,0.3692778,-0.09201196,1.651997,NA,NA,Unknown,NotTracked,
-0.9350586,-0.2880859,-0.2397461,-0.8603516,0.5263672,0.02099609,0,-2,-1,0,0,-1,0,2,-4,-1,-3,-5,-2,-3,-1,-1,2.75,2.75,2.75,-4,-4,-4,1.484158,6.917938,1.427582,7.410783,6.631036,6.863859,-0.007121239,-0.3818405,1.559568,0.3390761,-0.4116763,1.535665,0.1717685,0.4645179,1.714335,-0.04702223,-0.4024136,1.5733,0.295509,-0.4092228,1.514733,0.1718507,-0.0089415,1.692363,0.1772623,-0.3373542,1.663842,-0.01454735,0.1693206,1.703912,0.09262809,-0.3309408,1.633873,-0.04458106,-0.08243251,1.687959,0.3694141,-0.09208619,1.6523,NA,NA,NotTracked,NotTracked,
-0.9326172,-0.2924805,-0.2412109,-0.8505859,0.5185547,0.02636719,2,-1,0,-2,0,-2,-2,-2,-1,-4,-4,-4,-2,-1,0,-1,-0.5625,-0.5625,-0.5625,-0.1875,-0.1875,-0.1875,1.49088,6.916462,1.434438,7.41244,6.628322,6.867986,-0.009216126,-0.3773148,1.560631,0.3387154,-0.4147335,1.534801,0.1718877,0.464472,1.714746,-0.04713757,-0.393403,1.569333,0.2953427,-0.4102771,1.514285,0.1721091,-0.008938498,1.692681,0.1774074,-0.337289,1.664053,-0.01465354,0.169384,1.701269,0.0927661,-0.3308806,1.634103,-0.04401548,-0.0824807,1.688884,0.3696173,-0.09188937,1.652664,NA,NA,NotTracked,NotTracked,
-0.9375,-0.2939453,-0.2421875,-0.8564453,0.5073242,0.03466797,-3,-1,-3,0,1,0,0,1,-2,0,5,20,3,-1,0,0,-3.25,-3.25,-3.25,-3,-3,-3,1.491841,6.915588,1.439303,7.409205,6.626318,6.869723,-0.01360111,-0.3618527,1.568239,0.3391046,-0.4115343,1.535668,0.17206,0.464509,1.715037,-0.04548934,-0.4029948,1.565003,0.2953342,-0.4088968,1.514316,0.1723803,-0.008889366,1.693053,0.1776085,-0.3372014,1.664365,-0.01407992,0.1693958,1.702917,0.09295336,-0.3307956,1.634401,-0.04403967,-0.08123643,1.689656,0.3699172,-0.09158882,1.653006,NA,NA,NotTracked,NotTracked,
-0.9321289,-0.2924805,-0.2421875,-0.8540039,0.543457,0.001953125,1,-1,-1,-1,-1,-1,-2,0,-2,-3,-8,-11,-2,-1,-2,-1,-4.4375,-4.4375,-4.4375,-3.9375,-3.9375,-3.9375,1.493399,6.915061,1.451348,7.409624,6.622839,6.876779,-0.01423589,-0.358172,1.571133,0.3396315,-0.415072,1.535277,0.172307,0.4644514,1.715364,-0.04847674,-0.3954253,1.579,0.2954296,-0.409147,1.515847,0.1725687,-0.008929909,1.69338,0.1778662,-0.3372332,1.664726,-0.0136099,0.1695262,1.704368,0.09323538,-0.3308167,1.634833,-0.04366787,-0.081259,1.690221,0.3701942,-0.0911936,1.6531,NA,NA,NotTracked,NotTracked,
-0.9423828,-0.293457,-0.2368164,-0.8676758,0.5302734,0.0390625,10,-1,-1,0,-1,0,0,0,-6,-3,-3,-3,-2,-1,0,-1,-2.625,-2.625,-2.625,-4.6875,-4.6875,-4.6875,1.494922,6.913002,1.463483,7.405447,6.619558,6.880846,-0.01337956,-0.3614038,1.569014,0.3392963,-0.414674,1.534659,0.1725214,0.464274,1.71575,-0.04540685,-0.4048004,1.56991,0.2950221,-0.4064918,1.52041,0.1728165,-0.008977952,1.693554,0.178101,-0.3372197,1.664859,-0.01328059,0.1694864,1.705176,0.09344267,-0.3308017,1.63499,-0.04353188,-0.08124474,1.690484,0.3705349,-0.09066445,1.6532,NA,NA,NotTracked,NotTracked,
-0.9477539,-0.2910156,-0.2348633,-0.9790039,0.5649414,0.008300781,14,4,1,2,4,2,4,14,-53,-63,-26,-12,-8,-11,-33,-10,-5.1875,-5.1875,-5.1875,-11.1875,-11.1875,-11.1875,1.482835,6.912546,1.458943,7.384706,6.612047,6.864386,-0.006079597,-0.3885065,1.556885,0.339655,-0.4152527,1.535367,0.17273,0.4641519,1.7162,-0.04665988,-0.402302,1.568917,0.2953817,-0.4088048,1.517194,0.1732843,-0.009080491,1.694128,0.1785493,-0.337195,1.665297,-0.01287443,0.1694384,1.706401,0.09383668,-0.3308096,1.635373,-0.04332015,-0.08087102,1.691097,0.3711792,-0.09098972,1.653534,NA,NA,Unknown,NotTracked,
-0.9570313,-0.3129883,-0.2905273,-0.9448242,0.6162109,-0.1386719,-64,-7,-2,-2,-1,8,27,0,-2,-17,7,-4,-2,-1,-13,-24,-11.8125,-11.8125,-11.8125,-65.0625,-65.0625,-65.0625,1.456304,6.910193,1.441071,7.30838,6.541406,6.857202,-0.007788634,-0.388601,1.55238,0.3412066,-0.4136891,1.528194,0.1730314,0.4641035,1.716793,-0.04936795,-0.4015133,1.568136,0.2953532,-0.4070457,1.51529,0.1736735,-0.008899003,1.694623,0.1789002,-0.3370403,1.66566,-0.0126874,0.1696685,1.707177,0.09418369,-0.3306301,1.635786,-0.04303447,-0.0808038,1.691882,0.3720533,-0.08999948,1.654507,NA,NA,Unknown,NotTracked,
-1.128418,-0.855957,-0.6040039,-1.041504,1.163574,0.05371094,23,-7,0,1,0,0,-12,-6,-9,-50,-60,-19,39,41,19,-16,34.4375,34.4375,34.4375,31.3125,31.3125,31.3125,1.479248,6.706664,1.508164,7.254994,6.285649,6.844144,-0.01749215,-0.3684829,1.516536,0.3358337,-0.3749007,1.474584,0.17326,0.464282,1.717362,-0.06405658,-0.3785168,1.520333,0.2875323,-0.3785165,1.464704,0.1738941,-0.008827359,1.694744,0.1790911,-0.3369737,1.665974,-0.01268372,0.1699101,1.707866,0.09435759,-0.3306538,1.636144,-0.0442896,-0.08116946,1.695678,0.3781075,-0.08808658,1.659668,NA,NA,Unknown,NotTracked,
-1.10498,-0.9423828,-0.8027344,-0.5405273,1.250488,0.1020508,-8,-114,-15,1,-1,-3,-3,29,57,60,29,1,-15,-46,-90,-23,123.5,123.5,123.5,-32.0625,-32.0625,-32.0625,1.72646,6.455978,1.627048,7.290564,5.641863,6.877468,-0.03869332,-0.2712474,1.466869,0.3278165,-0.257495,1.411892,0.173484,0.4642238,1.717339,-0.05916711,-0.2665061,1.414787,0.2763126,-0.2897865,1.463333,0.1738863,-0.008858813,1.694865,0.1786189,-0.3371422,1.666965,-0.0125328,0.1700789,1.708196,0.0936932,-0.3309355,1.637268,-0.05621227,-0.06847768,1.710858,0.3882386,-0.07382352,1.67199,NA,NA,Unknown,Unknown,
