ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.9360352,-0.3383789,-0.203125,-0.9291992,0.3476563,-0.07275391,1,-2,0,0,-2,0,2,-2,-3,0,0,0,-2,-2,-2,-2,-7.9375,-7.9375,-7.9375,-1.875,-1.875,-1.875,1.604845,6.883362,1.044449,7.754147,6.929287,4.177413,-0.09741475,-0.4089885,1.561493,0.2995169,-0.4118093,1.525502,0.1095544,0.4711844,1.675278,-0.1410155,-0.4047376,1.56565,0.2450277,-0.4029466,1.507071,0.1068487,-0.00526636,1.655632,0.1063495,-0.3363696,1.632304,-0.07791908,0.1749548,1.657818,0.02062298,-0.32872,1.598389,-0.1133624,-0.08678409,1.657735,0.3121929,-0.0961378,1.635041,NA,NA,NotTracked,NotTracked,
-0.9487305,-0.331543,-0.1962891,-0.9306641,0.3447266,-0.06591797,-1,-4,-2,0,0,-1,-2,-3,-2,-1,0,-1,0,0,-1,1,-8.25,-8.25,-8.25,-0.8125,-0.8125,-0.8125,1.600094,6.882227,1.048519,7.758399,6.928895,4.181793,-0.0978945,-0.4090998,1.563138,0.2995267,-0.4116415,1.525397,0.1095445,0.4711735,1.675282,-0.1446977,-0.4117702,1.574866,0.2444894,-0.3984526,1.507867,0.1069695,-0.005273554,1.655648,0.106547,-0.33634,1.632306,-0.07790815,0.1749618,1.657942,0.0208409,-0.3286747,1.598319,-0.1132236,-0.08690485,1.65796,0.3123051,-0.09619282,1.634972,NA,NA,NotTracked,NotTracked,
-0.9614258,-0.3310547,-0.1923828,-0.9213867,0.3564453,-0.06738281,0,3,0,-1,-2,-1,-1,-1,-3,-1,-1,-1,-1,-1,0,-1,-8.875,-8.875,-8.875,2.125,2.125,2.125,1.598616,6.881934,1.052065,7.773373,6.927223,4.196128,-0.09917074,-0.40716,1.564232,0.299657,-0.4115131,1.523726,0.1095378,0.4711739,1.675279,-0.1417631,-0.4054173,1.568837,0.2449837,-0.4023637,1.507193,0.1070843,-0.005305093,1.655637,0.106713,-0.3363739,1.6323,-0.0779222,0.1748489,1.658085,0.02099588,-0.3287143,1.598285,-0.1131515,-0.08691236,1.658243,0.3125071,-0.09618691,1.634716,NA,NA,NotTracked,NotTracked,
-0.9633789,-0.3276367,-0.1835938,-0.925293,0.3452148,-0.06103516,1,2,1,-1,0,-2,-1,-2,-1,-3,-1,-1,-1,-2,-1,-1,-8.375,-8.375,-8.375,1.375,1.375,1.375,1.599415,6.88108,1.062701,7.794186,6.927958,4.215871,-0.09900293,-0.4082905,1.56543,0.2995976,-0.4115946,1.523172,0.1095707,0.4711278,1.675272,-0.142638,-0.4078442,1.567085,0.2454333,-0.4073741,1.504432,0.1071076,-0.005314136,1.655646,0.1067206,-0.3363719,1.632302,-0.07801045,0.1748278,1.658207,0.02100935,-0.3287035,1.598288,-0.1132448,-0.08668488,1.658544,0.3127064,-0.09614286,1.634488,NA,NA,NotTracked,NotTracked,
-0.9550781,-0.3198242,-0.1826172,-0.9282227,0.3369141,-0.05615234,2,2,-1,-1,-1,-1,-2,-2,-2,1,0,1,-2,0,-2,-2,-6.5,-6.5,-6.5,2.125,2.125,2.125,1.604784,6.880163,1.076074,7.804562,6.928588,4.226097,-0.1001862,-0.4083582,1.568026,0.2992862,-0.4115088,1.523523,0.1096256,0.471038,1.675285,-0.1473722,-0.4237661,1.56825,0.2450157,-0.4026214,1.506925,0.1071162,-0.005301185,1.655691,0.1067177,-0.3363484,1.632343,-0.0781735,0.1748622,1.658567,0.02102791,-0.3286709,1.59836,-0.1132797,-0.08669161,1.659061,0.3127995,-0.09614787,1.634401,NA,NA,NotTracked,NotTracked,
-0.9321289,-0.3081055,-0.2021484,-0.9443359,0.347168,-0.06494141,-1,-1,0,-1,-2,-2,-1,-1,0,-1,-1,-3,0,-2,0,-2,-7.3125,-7.3125,-7.3125,5.0625,5.0625,5.0625,1.606626,6.879402,1.086426,7.838117,6.93119,4.253424,-0.1018304,-0.408404,1.569275,0.2994368,-0.4112584,1.522741,0.1096716,0.4709661,1.675276,-0.1460508,-0.4378179,1.564455,0.2453276,-0.3992571,1.507269,0.1071681,-0.005316009,1.655716,0.1067868,-0.3363651,1.63234,-0.07816805,0.1748104,1.658723,0.02109223,-0.3286887,1.598356,-0.1133794,-0.08668195,1.659334,0.3129207,-0.09608134,1.634116,NA,NA,NotTracked,NotTracked,
-0.9335938,-0.3095703,-0.2109375,-0.9516602,0.3486328,-0.06542969,-1,-3,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-2,-3,-7.375,-7.375,-7.375,0.375,0.375,0.375,1.603936,6.878905,1.09307,7.85046,6.931297,4.2652,-0.1030522,-0.4088659,1.569786,0.298977,-0.4114723,1.521946,0.1096831,0.4707626,1.675295,-0.1498378,-0.3983938,1.578522,0.2453736,-0.4069062,1.50465,0.107225,-0.005378055,1.655759,0.1067706,-0.3363984,1.632356,-0.07816339,0.1747923,1.658856,0.02107861,-0.3287089,1.598383,-0.1135602,-0.08701125,1.659549,0.3130256,-0.09616341,1.633869,NA,NA,NotTracked,NotTracked,
-0.9311523,-0.3095703,-0.2158203,-0.9467773,0.3447266,-0.07128906,-1,-1,1,-1,0,-1,0,0,-2,-1,-2,-2,-2,-1,-2,0,-7.1875,-7.1875,-7.1875,-1,-1,-1,1.597422,6.879166,1.094957,7.852501,6.93114,4.268441,-0.1037779,-0.4099214,1.570125,0.2990076,-0.4090846,1.521166,0.1098039,0.4705273,1.67528,-0.1525311,-0.4180462,1.5755,0.2456823,-0.3916295,1.506718,0.1072845,-0.005458257,1.655771,0.1067751,-0.3364165,1.632335,-0.07816863,0.1748265,1.658978,0.02108404,-0.3287172,1.598376,-0.113656,-0.08709984,1.65977,0.313051,-0.09609836,1.633537,NA,NA,NotTracked,NotTracked,
-0.9306641,-0.3095703,-0.21875,-0.9575195,0.3442383,-0.07275391,0,2,-1,1,0,-2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-8.8125,-8.8125,-8.8125,-0.8125,-0.8125,-0.8125,1.591427,6.879411,1.094063,7.851025,6.930551,4.267559,-0.104876,-0.4089212,1.572157,0.2990968,-0.4095117,1.521811,0.1098518,0.470349,1.675328,-0.1497332,-0.4110827,1.573707,0.2453093,-0.3984943,1.506572,0.1073096,-0.005467721,1.655799,0.1067792,-0.3364136,1.632332,-0.07824411,0.1749093,1.659216,0.02109721,-0.3287079,1.598368,-0.1138684,-0.087262,1.660135,0.3133522,-0.09605366,1.633028,NA,NA,NotTracked,NotTracked,
-0.9238281,-0.3203125,-0.2128906,-0.9746094,0.3544922,-0.07421875,0,-2,0,-2,-1,0,-1,-3,0,-1,0,-2,-2,-2,-1,-2,-7.75,-7.75,-7.75,-0.6875,-0.6875,-0.6875,1.579127,6.879396,1.090954,7.830337,6.925132,4.247169,-0.1049813,-0.4096109,1.571652,0.299496,-0.4094283,1.52195,0.1098972,0.4701478,1.675375,-0.1534183,-0.4199941,1.572455,0.2453337,-0.4110715,1.501743,0.1073517,-0.005506021,1.655838,0.1067829,-0.3364227,1.63233,-0.07836983,0.1749135,1.659559,0.02110893,-0.3287151,1.598364,-0.1141112,-0.08728211,1.660767,0.3134606,-0.09612016,1.632661,NA,NA,NotTracked,NotTracked,
