ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.9682617,-0.3198242,-0.2666016,-0.9487305,0.3603516,-0.07568359,-1,1,0,-3,0,-1,0,1,0,0,0,-1,0,0,0,-2,26.8125,26.8125,26.8125,6,6,6,1.325515,6.937524,0.7572669,7.658805,6.894938,6.933909,-0.07146171,-0.4003628,1.520666,0.3043551,-0.4215006,1.451086,0.1205347,0.4750249,1.626758,-0.03064364,-0.4079217,1.4812,0.3435473,-0.425106,1.440684,0.1256574,-0.003607595,1.611801,0.1266397,-0.337152,1.590309,-0.05648327,0.1769895,1.631884,0.04261402,-0.3296553,1.561102,-0.08768029,-0.09150958,1.625709,0.3315552,-0.0864952,1.561469,NA,NA,NotTracked,NotTracked,
-0.9604492,-0.2631836,-0.2724609,-0.9003906,0.3637695,-0.07568359,-1,0,-1,-1,0,-1,-1,-2,-1,-1,-1,-3,-2,-1,-1,-2,39.1875,39.1875,39.1875,-2.0625,-2.0625,-2.0625,1.360248,6.95632,0.6995227,7.664577,6.894816,6.937233,-0.07049007,-0.398154,1.522361,0.3047317,-0.4216838,1.455743,0.121089,0.4748791,1.626755,-0.1087676,-0.408199,1.5372,0.3468811,-0.4206357,1.45,0.1261976,-0.003842926,1.612208,0.1272695,-0.3374534,1.591011,-0.05625797,0.1769339,1.631867,0.04313605,-0.3298687,1.561626,-0.08693992,-0.09097646,1.625633,0.3323365,-0.08775936,1.563474,NA,NA,NotTracked,NotTracked,
-0.925293,-0.25,-0.2739258,-0.9233398,0.359375,-0.03613281,-2,-1,-3,-1,0,-1,0,1,1,-2,-2,-2,-1,0,0,-1,8.75,8.75,8.75,0.8125,0.8125,0.8125,1.353943,6.961867,0.6604457,7.666134,6.892001,6.938089,-0.07146119,-0.3914657,1.526852,0.3052653,-0.4205448,1.456783,0.1215271,0.4746349,1.627055,-0.1093619,-0.4041378,1.539088,0.3477396,-0.4242972,1.451833,0.12659,-0.003963775,1.612686,0.1278208,-0.3375858,1.591623,-0.05600918,0.1769201,1.631953,0.04359823,-0.3300331,1.562083,-0.08673687,-0.09119751,1.625766,0.3325723,-0.08788567,1.565364,NA,NA,NotTracked,NotTracked,
-0.9326172,-0.2700195,-0.2734375,-0.9404297,0.3730469,-0.009277344,0,-2,0,-1,0,-1,0,-3,-2,-2,0,-1,-2,-2,-1,-2,-18.6875,-18.6875,-18.6875,-3.125,-3.125,-3.125,1.339393,6.95366,0.6662083,7.659609,6.891801,6.934287,-0.07192188,-0.3955608,1.52615,0.3049698,-0.4213191,1.457272,0.1218942,0.4744541,1.627575,-0.1141493,-0.4267373,1.5402,0.3458544,-0.4262959,1.448097,0.1269417,-0.004249101,1.613274,0.1281554,-0.3378968,1.592302,-0.05576663,0.1766647,1.632344,0.04391385,-0.3303257,1.562685,-0.08646988,-0.09117176,1.62593,0.3329135,-0.0884687,1.566925,NA,NA,NotTracked,NotTracked,
-0.9472656,-0.2763672,-0.2470703,-0.9277344,0.3789063,-0.02246094,0,-2,0,-1,-2,-1,-2,-1,-1,1,-1,-2,-3,0,-1,0,-15.625,-15.625,-15.625,-6.3125,-6.3125,-6.3125,1.331221,6.946331,0.6904426,7.64598,6.89503,6.934152,-0.07280137,-0.3858109,1.531638,0.3056363,-0.421355,1.457327,0.1221783,0.4743326,1.628455,-0.1114969,-0.3797207,1.549143,0.3476117,-0.420579,1.452376,0.1273245,-0.0044782,1.613986,0.1287063,-0.3380481,1.593116,-0.05555839,0.1763076,1.633109,0.04452126,-0.3305459,1.563539,-0.0860443,-0.09109372,1.627067,0.3331211,-0.08830099,1.567982,NA,NA,NotTracked,NotTracked,
-0.9462891,-0.265625,-0.2578125,-0.9272461,0.3813477,-0.03076172,-1,-1,0,-2,-1,-1,0,-1,-1,-1,1,0,-2,-1,0,0,-12.6875,-12.6875,-12.6875,-5.4375,-5.4375,-5.4375,1.306543,6.942106,0.7014128,7.633357,6.896501,6.932202,-0.07125975,-0.3979179,1.527809,0.3049648,-0.4209709,1.456671,0.1223282,0.4740994,1.629008,-0.1073004,-0.4194987,1.532695,0.3459767,-0.4316959,1.449926,0.127499,-0.004659059,1.614512,0.1289624,-0.3381858,1.593643,-0.05547522,0.1762373,1.633873,0.04476516,-0.3306825,1.564067,-0.08556941,-0.09117881,1.628225,0.3331718,-0.08809925,1.568441,NA,NA,NotTracked,NotTracked,
-0.9404297,-0.2509766,-0.2758789,-0.9179688,0.3833008,-0.046875,0,-3,-2,-1,-1,-2,0,0,0,-1,0,-1,0,-1,-2,-1,-7.75,-7.75,-7.75,-7.5625,-7.5625,-7.5625,1.29829,6.93952,0.7073673,7.625659,6.895549,6.935786,-0.06922515,-0.4014809,1.527279,0.3047336,-0.4206617,1.456232,0.1223811,0.4742011,1.629788,-0.1079354,-0.4247723,1.528286,0.3474242,-0.4288413,1.452378,0.1277874,-0.004689215,1.615216,0.1293468,-0.3381985,1.594415,-0.05547038,0.1761843,1.634843,0.04522055,-0.3307801,1.565017,-0.08498652,-0.09127457,1.629422,0.3332153,-0.08805113,1.568662,NA,NA,NotTracked,NotTracked,
-0.9458008,-0.2509766,-0.2563477,-0.9477539,0.4003906,-0.02832031,-4,2,-1,0,-1,4,3,-3,-1,-3,-2,-1,-2,0,-1,-2,-7.3125,-7.3125,-7.3125,-1.5625,-1.5625,-1.5625,1.289546,6.935359,0.7142062,7.625101,6.892671,6.942267,-0.07109223,-0.3984953,1.530819,0.3042674,-0.4204633,1.455554,0.1221761,0.4741218,1.630551,-0.1091027,-0.4153545,1.537104,0.346546,-0.4275631,1.450297,0.1279053,-0.004649917,1.616197,0.1295419,-0.3381505,1.59519,-0.05562156,0.1759802,1.636431,0.04544725,-0.3308198,1.565977,-0.08431248,-0.09075324,1.630764,0.3332307,-0.08815372,1.568936,NA,NA,NotTracked,NotTracked,
-1.147461,-0.8598633,-0.5292969,-0.9541016,0.3945313,-0.02832031,-11,-4,1,1,-4,-13,-15,-4,0,-3,-1,-2,-1,0,-1,-1,72.125,72.125,72.125,-7.6875,-7.6875,-7.6875,1.459906,6.836188,0.8550223,7.619869,6.890113,6.945376,-0.07030115,-0.3936475,1.531624,0.2981421,-0.3984935,1.436078,0.1220934,0.4740026,1.631145,-0.1095288,-0.3856539,1.54928,0.3377769,-0.430749,1.431889,0.127895,-0.004649894,1.616447,0.1294373,-0.3381106,1.595434,-0.05565988,0.1758195,1.63755,0.0453178,-0.3307535,1.56627,-0.08420852,-0.0906978,1.631514,0.3350117,-0.0867791,1.57329,NA,NA,NotTracked,Unknown,
-1.1875,-0.15625,-0.7294922,-0.9736328,0.3681641,-0.04882813,-1,-33,2,-3,2,-14,-3,4,-2,-2,0,0,-1,-2,-1,-2,89.75,89.75,89.75,-2.4375,-2.4375,-2.4375,1.74468,6.655617,1.076394,7.613562,6.891365,6.949134,-0.07081655,-0.3988928,1.529927,0.2564963,-0.2903118,1.383022,0.1223094,0.4735186,1.631173,-0.1122169,-0.3899576,1.555875,0.3110896,-0.241326,1.367878,0.1271797,-0.00461495,1.616799,0.1255783,-0.3371648,1.596202,-0.0555574,0.1759582,1.638171,0.04085704,-0.3292611,1.567028,-0.08404443,-0.08958302,1.63267,0.3466822,-0.06918627,1.59182,NA,NA,NotTracked,Closed,
