ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.9428711,-0.3208008,-0.1845703,-0.9350586,0.3618164,-0.08740234,-5,-4,-1,-2,0,0,0,0,-9,-3,0,2,-2,0,1,-5,-0.375,-0.375,-0.375,6.0625,6.0625,6.0625,1.64056,6.895006,2.313985,7.810122,6.967512,0.3210127,-0.09947833,-0.4107443,1.544209,0.2884264,-0.4111007,1.494675,0.1001007,0.4734721,1.637005,-0.05706903,-0.3910881,1.498853,0.3407896,-0.4238409,1.494439,0.09852696,5.239762E-05,1.630594,0.09710704,-0.3302506,1.611915,-0.0871899,0.1815642,1.639079,0.01192104,-0.3231074,1.578234,-0.1163633,-0.08124702,1.640312,0.3040237,-0.08743017,1.604726,NA,NA,NotTracked,NotTracked,
-0.9404297,-0.3222656,-0.1865234,-0.9335938,0.3769531,-0.07177734,-1,-2,-2,1,-1,-2,-2,-1,7,-1,-3,-1,1,0,-1,2,-0.0625,-0.0625,-0.0625,-5.8125,-5.8125,-5.8125,1.640633,6.895384,2.313984,7.80433,6.965765,0.3181926,-0.0997762,-0.4106334,1.543387,0.2884743,-0.4113518,1.493934,0.1005602,0.4734268,1.636888,-0.05813828,-0.3857789,1.500818,0.3409206,-0.4245323,1.4948,0.09877244,4.837815E-05,1.630537,0.09737285,-0.3302981,1.611696,-0.08704608,0.1815397,1.639063,0.01221585,-0.3231477,1.577979,-0.1156738,-0.08147699,1.64018,0.3043426,-0.08739872,1.604625,NA,NA,NotTracked,NotTracked,
-0.9438477,-0.3203125,-0.1860352,-0.956543,0.3066406,-0.05664063,-2,-1,-1,0,-2,-2,0,-2,1,-1,-2,-2,-2,-2,-1,-2,0.3125,0.3125,0.3125,-19.1875,-19.1875,-19.1875,1.640706,6.895374,2.31394,7.786903,6.967862,0.3214267,-0.09995998,-0.4099304,1.543635,0.2887222,-0.4110997,1.494405,0.100915,0.4734004,1.636876,-0.05817566,-0.3862145,1.500695,0.3414195,-0.4270428,1.497231,0.09912457,-1.00268E-06,1.630468,0.09760278,-0.3303566,1.611583,-0.08666877,0.1815462,1.638954,0.01241605,-0.3231743,1.577892,-0.1150839,-0.0819464,1.640181,0.3046058,-0.08740513,1.604459,NA,NA,NotTracked,NotTracked,
-0.9418945,-0.3242188,-0.190918,-0.9609375,0.2539063,-0.06152344,2,-1,-2,-2,0,1,-1,1,1,1,1,-1,-3,0,-3,-1,-1.875,-1.875,-1.875,-0.3125,-0.3125,-0.3125,1.641596,6.895374,2.316126,7.784606,6.971773,0.3269611,-0.09945534,-0.4103255,1.544019,0.2887185,-0.4111085,1.493866,0.1012975,0.4734526,1.636862,-0.05805636,-0.3856327,1.50088,0.342157,-0.4368404,1.492222,0.0995004,-1.793827E-05,1.630324,0.09773675,-0.3303771,1.611443,-0.08650177,0.1815427,1.638945,0.01257559,-0.3231849,1.577724,-0.1150368,-0.08193886,1.640149,0.3048295,-0.08740158,1.604318,NA,NA,NotTracked,NotTracked,
-0.9399414,-0.3222656,-0.1835938,-0.9570313,0.2910156,-0.05908203,1,1,0,-2,0,-2,0,0,5,1,-2,0,-1,-1,-3,2,-1.3125,-1.3125,-1.3125,9.875,9.875,9.875,1.643136,6.895537,2.319689,7.78611,6.971885,0.3233982,-0.09930649,-0.4096224,1.545051,0.2891247,-0.4111299,1.494186,0.1016674,0.4734764,1.636933,-0.05614803,-0.3970751,1.497895,0.3424143,-0.44841,1.495,0.09968807,-5.952277E-05,1.63028,0.09787537,-0.3304225,1.611353,-0.0861403,0.1816566,1.638931,0.01271827,-0.3231964,1.577653,-0.1149884,-0.0818967,1.640059,0.3049772,-0.08735686,1.604271,NA,NA,NotTracked,NotTracked,
-0.9438477,-0.3217773,-0.1875,-0.9370117,0.3618164,-0.06591797,2,-1,-2,-1,-1,-1,-2,0,1,-1,-1,-1,-1,-2,-1,0,-2,-2,-2,2.875,2.875,2.875,1.643399,6.896374,2.320992,7.790343,6.968517,0.3206529,-0.09914167,-0.4094947,1.544885,0.289378,-0.4113313,1.493974,0.1019648,0.4735561,1.636953,-0.05761111,-0.3883252,1.500226,0.3435239,-0.4236172,1.496066,0.09996942,-5.915812E-05,1.630225,0.09802833,-0.3304364,1.611261,-0.08591241,0.18176,1.63899,0.01289851,-0.3231831,1.577497,-0.1146798,-0.08176368,1.640151,0.3052644,-0.08722809,1.604125,NA,NA,NotTracked,NotTracked,
-0.9433594,-0.3271484,-0.1816406,-0.9365234,0.3276367,-0.06738281,2,-1,0,0,0,-2,0,-1,-1,-1,-1,-1,-1,0,-1,0,-3.1875,-3.1875,-3.1875,-8.6875,-8.6875,-8.6875,1.64375,6.896298,2.323101,7.783706,6.967673,0.3215044,-0.09823954,-0.4097527,1.544758,0.289327,-0.4112675,1.493909,0.1024038,0.4736323,1.637021,-0.05673052,-0.3831757,1.500594,0.3459265,-0.4440641,1.500833,0.100378,-6.255785E-05,1.63011,0.09825747,-0.33044,1.61114,-0.08552232,0.1817798,1.639058,0.01309537,-0.3231506,1.577374,-0.1145467,-0.08159512,1.640154,0.305595,-0.08727305,1.603892,NA,NA,NotTracked,NotTracked,
-0.9379883,-0.3208008,-0.1850586,-0.9404297,0.3076172,-0.06103516,-4,-3,-1,-1,0,0,-2,-2,-2,-1,1,-1,-1,-1,-3,-1,-1.75,-1.75,-1.75,-2.3125,-2.3125,-2.3125,1.645284,6.896966,2.327303,7.782807,6.968546,0.325163,-0.09823573,-0.4120559,1.54377,0.2898982,-0.4110609,1.493454,0.1028204,0.4736883,1.637037,-0.0560703,-0.393543,1.49867,0.345296,-0.4278939,1.49861,0.1007368,-4.056163E-05,1.629978,0.09847306,-0.3304395,1.61097,-0.08520552,0.1818464,1.639037,0.01332559,-0.3231039,1.577183,-0.1143455,-0.08163579,1.640093,0.3059121,-0.08717645,1.603684,NA,NA,NotTracked,NotTracked,
-0.9536133,-0.3193359,-0.1821289,-0.9487305,0.3125,-0.06201172,1,1,0,-1,-1,-2,-1,1,-2,-2,-1,0,-2,-2,-1,0,-1.5625,-1.5625,-1.5625,-0.0625,-0.0625,-0.0625,1.64851,6.897583,2.332253,7.783354,6.968882,0.3255016,-0.09802071,-0.412003,1.544232,0.2900508,-0.4111581,1.493331,0.1032719,0.4737292,1.637052,-0.05723671,-0.388704,1.500018,0.344352,-0.425487,1.496783,0.1010255,-4.385466E-05,1.629907,0.09858598,-0.3304405,1.610909,-0.08478902,0.1819516,1.639014,0.01345044,-0.3230762,1.577111,-0.1139376,-0.08206953,1.640103,0.3063237,-0.08691242,1.603344,NA,NA,NotTracked,NotTracked,
-0.9536133,-0.3183594,-0.1855469,-0.9487305,0.3232422,-0.06103516,0,0,-1,-1,-1,-1,0,-1,1,-2,-2,-2,-2,-2,-1,-2,-3.0625,-3.0625,-3.0625,-0.0625,-0.0625,-0.0625,1.648889,6.898405,2.334257,7.783415,6.968625,0.3258633,-0.09775139,-0.4126678,1.543551,0.2902704,-0.4110143,1.493098,0.1036968,0.4737778,1.637021,-0.05719604,-0.3883144,1.49994,0.3442645,-0.4312432,1.496933,0.101401,5.133264E-05,1.629796,0.09890297,-0.3303161,1.610744,-0.08427574,0.18211,1.638991,0.01381723,-0.3229552,1.576943,-0.1138089,-0.0817232,1.640027,0.3064926,-0.08694882,1.603227,NA,NA,NotTracked,NotTracked,
-0.9443359,-0.3212891,-0.1806641,-0.9467773,0.328125,-0.06396484,0,1,-1,0,-2,-1,0,-1,-1,-2,-1,-2,0,-1,-1,-1,-3.125,-3.125,-3.125,-2.125,-2.125,-2.125,1.649656,6.898764,2.339063,7.782536,6.96761,0.326771,-0.0975922,-0.4118705,1.544152,0.2904689,-0.4113397,1.492885,0.1041457,0.4738364,1.636946,-0.05671544,-0.3863907,1.499888,0.3438283,-0.4226289,1.494444,0.1019329,0.0001175982,1.629622,0.0996711,-0.3302045,1.610382,-0.08378574,0.1821974,1.639068,0.01446297,-0.3228592,1.57659,-0.1136519,-0.08172328,1.639917,0.3066227,-0.08694699,1.603051,NA,NA,NotTracked,NotTracked,
-0.9458008,-0.3222656,-0.1894531,-0.9389648,0.3144531,-0.05664063,-4,-5,-1,-2,-2,-2,-1,1,-8,-3,-1,-1,-1,-2,-2,-7,-0.6875,-0.6875,-0.6875,-1.9375,-1.9375,-1.9375,1.65085,6.899121,2.341124,7.780158,6.967896,0.3282677,-0.09733484,-0.4124824,1.544539,0.2907996,-0.4110175,1.493196,0.1050128,0.4737103,1.636897,-0.05583317,-0.3802559,1.499954,0.3441639,-0.4315317,1.496917,0.1026006,3.073207E-05,1.62935,0.1002974,-0.3301936,1.609893,-0.0830632,0.182305,1.639182,0.0150334,-0.3228014,1.576066,-0.1132462,-0.08167949,1.639947,0.3070169,-0.08681633,1.602917,NA,NA,NotTracked,NotTracked,
-0.9492188,-0.3198242,-0.1821289,-0.9433594,0.3232422,-0.06152344,-4,0,-1,-2,0,1,-1,-1,1,-1,0,-1,-1,-1,0,-1,-0.6875,-0.6875,-0.6875,-1,-1,-1,1.651659,6.899656,2.342466,7.780219,6.967639,0.3286297,-0.09745345,-0.409983,1.546343,0.2910261,-0.4112332,1.493994,0.1053836,0.4737237,1.636922,-0.0545054,-0.4080571,1.498129,0.3440976,-0.4231402,1.496893,0.1029761,-2.734123E-06,1.629299,0.1005093,-0.3302135,1.609846,-0.08268813,0.1823211,1.63932,0.01523348,-0.3227876,1.576044,-0.112851,-0.08134419,1.6403,0.3071608,-0.0868051,1.602894,NA,NA,NotTracked,NotTracked,
-0.9477539,-0.3232422,-0.1875,-0.9433594,0.3266602,-0.05566406,1,-3,0,-1,-1,-1,-2,0,0,0,0,-1,-1,-2,-2,2,-0.3125,-0.3125,-0.3125,1.0625,1.0625,1.0625,1.651659,6.899656,2.342466,7.782826,6.968688,0.3299566,-0.09673899,-0.4094962,1.544891,0.2909365,-0.4106315,1.492713,0.1056677,0.4736879,1.636871,-0.05375824,-0.4104815,1.496464,0.3438308,-0.4285347,1.49575,0.1031727,-3.926075E-05,1.629224,0.1006392,-0.3302658,1.609795,-0.0824908,0.182268,1.639348,0.01532749,-0.3228161,1.575998,-0.1126534,-0.0813762,1.640356,0.3072642,-0.08676998,1.602825,NA,NA,NotTracked,NotTracked,
