ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.5517578,-1.696289,-0.07080078,-0.8867188,0.3359375,-0.02880859,-4,1,-5,12,-1,-13,-1,-1,-1,0,-2,-2,-2,-1,0,-1,23.5625,23.5625,23.5625,23.875,23.875,23.875,2.42309,5.808459,8.607937,7.77071,6.959635,4.802493,-0.1013085,-0.4157155,1.53374,0.1870299,-0.1777997,1.402397,0.1019812,0.4661889,1.631816,-0.06250061,-0.3901065,1.484961,0.2389537,-0.1483425,1.350415,0.1038946,-0.006791073,1.616129,0.1007953,-0.3351581,1.589598,-0.08395164,0.1680247,1.634476,0.01565582,-0.3272659,1.559373,-0.1135398,-0.09214237,1.626395,0.3415298,-0.05052385,1.595433,NA,NA,NotTracked,Lasso,
-0.4726563,-1.249512,-0.2128906,-0.8999023,0.3662109,-0.02734375,-14,-7,-14,8,14,6,-1,-2,-2,0,-1,-1,-2,-1,-1,0,84.4375,84.4375,84.4375,26.5625,26.5625,26.5625,2.529053,5.410601,8.689609,7.799407,6.959659,4.80252,-0.1016278,-0.4155381,1.534242,0.1854579,-0.1019726,1.390467,0.1022615,0.4660164,1.630855,-0.06188836,-0.3824712,1.48408,0.2292984,-0.09895662,1.3435,0.1039173,-0.006767909,1.616069,0.1008247,-0.3350234,1.589636,-0.08362271,0.16804,1.6336,0.01571422,-0.3271959,1.559453,-0.1133732,-0.0932568,1.625605,0.3594248,-0.04346021,1.593766,NA,NA,NotTracked,Lasso,
-0.3149414,-0.8706055,0.07666016,-0.9326172,0.3457031,-0.046875,-14,-3,-6,-4,0,0,1,-3,0,0,-1,-1,0,-1,-3,0,28.875,28.875,28.875,17.6875,17.6875,17.6875,2.591072,4.992491,8.788103,7.83415,6.96068,4.816363,-0.1021838,-0.4151646,1.535175,0.1737078,-0.03184918,1.398651,0.1028171,0.4659135,1.629555,-0.06238416,-0.3893403,1.484322,0.212327,-0.01450888,1.349917,0.1038925,-0.006640178,1.616009,0.1007906,-0.3345974,1.589785,-0.08314121,0.1682217,1.632644,0.01577,-0.3268444,1.559632,-0.1133698,-0.0928673,1.625307,0.36897,-0.03828312,1.568068,NA,NA,NotTracked,Lasso,
0.07080078,-0.6000977,0.01025391,-0.956543,0.3232422,-0.05761719,-17,-18,-19,5,0,6,0,-9,-1,-1,-1,-1,-1,-2,-2,-3,-4.6875,-4.6875,-4.6875,15.8125,15.8125,15.8125,2.575469,4.577061,8.913665,7.850159,6.962578,4.824099,-0.1026417,-0.4155621,1.535264,0.1677928,0.04082668,1.414984,0.1034264,0.46571,1.628453,-0.06199234,-0.3906761,1.482561,0.20359,0.04407853,1.354571,0.1039354,-0.006604918,1.615949,0.1007831,-0.3344393,1.589819,-0.08246042,0.1687893,1.631015,0.01580914,-0.3267364,1.559729,-0.1132452,-0.09074759,1.624529,0.3645634,-0.03515934,1.539477,NA,NA,NotTracked,Unknown,
0.3833008,-0.4799805,-0.09521484,-0.9770508,0.324707,-0.06738281,2,5,9,17,10,12,17,0,-2,0,-1,-1,0,0,0,0,-40.3125,-40.3125,-40.3125,21,21,21,2.462027,4.190737,9.096415,7.877611,6.964283,4.829743,-0.1037351,-0.4147093,1.5362,0.1498179,0.1232372,1.409241,0.1044336,0.4653554,1.626834,-0.06219045,-0.3909946,1.48323,0.1649315,0.1140959,1.354625,0.1040322,-0.006592825,1.615895,0.1009289,-0.3342964,1.589827,-0.08236428,0.1691011,1.63046,0.01588473,-0.3266906,1.559791,-0.113314,-0.0897347,1.623552,0.3661934,-0.03103944,1.531465,NA,NA,NotTracked,Unknown,
0.5830078,-0.6196289,0.06054688,-0.9609375,0.2954102,-0.08837891,-26,5,13,3,-2,2,8,-10,-1,0,0,-2,-1,0,0,-2,-41,-41,-41,12.6875,12.6875,12.6875,2.291466,3.883072,9.3132,7.880059,6.960396,4.804015,-0.1045078,-0.4159212,1.534975,0.1731306,0.1607645,1.427471,0.1055614,0.4645182,1.625153,-0.06214491,-0.3908512,1.482761,0.1718532,0.1708218,1.375373,0.104127,-0.006827621,1.615831,0.1009588,-0.3343575,1.589809,-0.08306544,0.1689832,1.630902,0.01589025,-0.3269743,1.560077,-0.1132949,-0.08949707,1.622832,0.3709815,-0.02513354,1.522511,NA,NA,NotTracked,Unknown,
0.5820313,-0.3242188,-0.02197266,-0.9575195,0.2890625,-0.06982422,-15,-4,7,-3,0,13,-21,-28,-1,-1,-2,-1,-1,-1,-2,-2,-58.3125,-58.3125,-58.3125,15.75,15.75,15.75,2.062443,3.652509,9.563289,7.871895,6.957448,4.786787,-0.1042633,-0.415348,1.534016,0.169514,0.1958264,1.452627,0.1060765,0.463875,1.624229,-0.06214112,-0.3910247,1.482773,0.172613,0.2192162,1.396816,0.1032994,-0.007099455,1.615399,0.1012269,-0.3348426,1.589621,-0.08292652,0.1691892,1.630198,0.01595488,-0.3277006,1.560343,-0.1134361,-0.08932431,1.622437,0.3827204,-0.009393065,1.500161,NA,NA,NotTracked,Unknown,
0.5039063,-0.3735352,0.0004882813,-0.9208984,0.3286133,-0.04980469,1,5,11,12,-3,-7,-7,8,-1,0,0,0,-1,0,0,-1,-47.3125,-47.3125,-47.3125,16.8125,16.8125,16.8125,1.94254,3.574627,9.686603,7.8499,6.948459,4.74258,-0.1039715,-0.4129841,1.529032,0.1600377,0.2697323,1.461801,0.1083596,0.4612917,1.621239,-0.06192759,-0.3898255,1.482345,0.1723127,0.2601648,1.407778,0.1026295,-0.007826878,1.613575,0.1015752,-0.3357701,1.589193,-0.08223522,0.1692167,1.628824,0.01587774,-0.3287543,1.560629,-0.1136368,-0.08943801,1.620853,0.383307,0.0121116,1.465254,NA,NA,NotTracked,Unknown,
0.4262695,-0.3740234,-0.109375,-0.9423828,0.3496094,-0.05078125,31,3,-8,-5,-5,0,-4,20,-1,-1,-1,-1,-2,-2,-1,-1,-19.1875,-19.1875,-19.1875,4.9375,4.9375,4.9375,1.64907,3.469438,9.979655,7.822536,6.937066,4.704543,-0.1036999,-0.4121202,1.527722,0.1896217,0.2508387,1.454222,0.1096995,0.4605593,1.620109,-0.06185551,-0.3898408,1.479598,0.213156,0.1992072,1.534027,0.1023336,-0.00783013,1.613294,0.1015925,-0.3359538,1.589082,-0.08105578,0.1698043,1.627571,0.01578267,-0.328904,1.560632,-0.1136543,-0.08911069,1.62026,0.3827621,0.01992267,1.455143,NA,NA,NotTracked,Unknown,
0.4179688,-0.4277344,-0.1474609,-0.9345703,0.3291016,-0.0625,4,9,3,3,1,4,4,3,-2,-2,-2,-2,-2,0,0,-4,-9.9375,-9.9375,-9.9375,-8.1875,-8.1875,-8.1875,1.60741,3.471233,0.02649944,7.793474,6.928486,4.679228,-0.1032938,-0.4120919,1.525151,0.16266,0.2820175,1.454806,0.1106413,0.4603878,1.619466,-0.0618644,-0.3910804,1.482042,0.163322,0.2470111,1.5348,0.1022242,-0.007826914,1.613108,0.1017409,-0.3361791,1.588923,-0.08020493,0.1701205,1.626922,0.01579346,-0.32905,1.560634,-0.1135916,-0.08868874,1.619558,0.3813642,0.02986491,1.443677,NA,NA,NotTracked,Unknown,
0.3242188,-0.4443359,-0.2192383,-0.9394531,0.3154297,-0.06054688,-6,-13,-8,-6,-8,1,-7,-12,-1,-2,0,-2,-2,0,0,-1,-4.5,-4.5,-4.5,-14.9375,-14.9375,-14.9375,1.588928,3.505168,0.04243728,7.763058,6.922263,4.662201,-0.102895,-0.41408,1.522211,0.1276444,0.334241,1.489827,0.1111401,0.4605263,1.619047,-0.05894077,-0.4077971,1.4766,0.09701815,0.3136166,1.528637,0.1019712,-0.007849525,1.612921,0.1017036,-0.3364118,1.588789,-0.07987128,0.1702455,1.626766,0.01565944,-0.3292765,1.560639,-0.1136149,-0.08826583,1.61899,0.3803994,0.03611948,1.437135,NA,NA,NotTracked,Unknown,
0.2900391,-0.7558594,-0.109375,-0.9321289,0.3217773,-0.06542969,11,-15,-12,-33,0,-3,-1,-4,2,-1,-1,-1,-1,-2,-1,-2,-9.25,-9.25,-9.25,-19,-19,-19,1.641452,3.55922,9.97436,7.744935,6.918529,4.654295,-0.1014725,-0.4120701,1.518709,0.1799156,0.2573552,1.431965,0.1112735,0.4606114,1.619027,-0.05912567,-0.3925255,1.475833,0.213514,0.2175383,1.522667,0.1017157,-0.007861847,1.612561,0.1017989,-0.3366907,1.588313,-0.07965643,0.1703693,1.626646,0.01560013,-0.3294667,1.560515,-0.1136602,-0.08790951,1.618539,0.3800786,0.03917089,1.433756,NA,NA,NotTracked,Unknown,
0.4438477,-0.8491211,-0.046875,-0.9663086,0.3300781,-0.07617188,1,0,7,18,12,15,1,-11,-1,0,-2,-1,-2,-2,-1,-1,37,37,37,-33.75,-33.75,-33.75,1.740619,3.594465,9.901848,7.703392,6.911674,4.644611,-0.1011749,-0.4122117,1.515619,0.1798607,0.2527424,1.433651,0.1112816,0.4605988,1.61901,-0.05833748,-0.3993464,1.47461,0.2014458,0.2176157,1.52,0.1013091,-0.007893263,1.612099,0.1017765,-0.3369635,1.587763,-0.07955978,0.1705001,1.62667,0.01545786,-0.3297196,1.560287,-0.11353,-0.0880529,1.618211,0.3805365,0.0397132,1.433339,NA,NA,NotTracked,Unknown,
0.7011719,-0.7871094,-0.1137695,-0.9609375,0.2856445,-0.06982422,39,12,-1,-1,-8,-9,-9,11,0,-2,0,-1,1,-1,-1,0,72.1875,72.1875,72.1875,-38,-38,-38,1.8023,3.6019,9.881492,7.657189,6.908185,4.639339,-0.1001659,-0.4118514,1.514061,0.1829191,0.2500892,1.444012,0.1111482,0.4604474,1.619056,-0.05701136,-0.4000997,1.473116,0.1906239,0.218333,1.520238,0.1009157,-0.007985788,1.611854,0.1016309,-0.3372399,1.587538,-0.07970847,0.170573,1.627072,0.01524723,-0.3300237,1.560235,-0.1135396,-0.08805297,1.618165,0.3812417,0.03946867,1.433754,NA,NA,NotTracked,Unknown,
1.168457,-0.4882813,-0.2109375,-0.9550781,0.2714844,-0.06152344,13,3,4,11,9,11,14,21,-3,-1,-2,-1,-1,0,-3,-1,37.75,37.75,37.75,-29.3125,-29.3125,-29.3125,1.855103,3.546214,9.883314,7.637101,6.908004,4.634981,-0.09851144,-0.4112109,1.513037,0.1832365,0.252957,1.456766,0.1109828,0.4601518,1.619074,-0.05568544,-0.3829758,1.4746,0.1924196,0.217012,1.529077,0.1005876,-0.007952573,1.61156,0.1015493,-0.3373036,1.587195,-0.07970832,0.1707617,1.627295,0.01512856,-0.3301142,1.560135,-0.1137119,-0.08778657,1.618128,0.3825293,0.0386503,1.435355,NA,NA,NotTracked,Unknown,
1.154785,-0.2993164,-0.3969727,-0.9291992,0.3393555,-0.004394531,-9,-1,0,-5,-10,-5,-5,-3,0,-1,-1,-1,-2,-1,0,0,11.875,11.875,11.875,10.6875,10.6875,10.6875,1.808015,3.46482,9.961856,7.61602,6.911293,4.613024,-0.09878848,-0.411793,1.513181,0.1886051,0.2489169,1.479397,0.1107094,0.4594257,1.619106,-0.05714355,-0.3933783,1.475164,0.1708723,0.2115154,1.534495,0.1007097,-0.00812463,1.611308,0.1015147,-0.3373684,1.586974,-0.07974717,0.1707699,1.627447,0.01504119,-0.3302244,1.560014,-0.1138073,-0.08741372,1.618482,0.3833107,0.03791524,1.436641,NA,NA,NotTracked,Unknown,
1.057129,-0.2685547,-0.4492188,-0.8955078,0.4301758,0.01367188,-30,-8,-7,7,5,-2,-12,-6,0,0,0,0,-1,0,0,-1,-2.1875,-2.1875,-2.1875,31.6875,31.6875,31.6875,1.744724,3.427655,0.02957634,7.638142,6.917383,4.6039,-0.09815662,-0.4119099,1.513148,0.1891901,0.2530672,1.484975,0.1106213,0.4587372,1.618841,-0.05730712,-0.3921854,1.474749,0.1717124,0.2118202,1.534549,0.1010188,-0.008094035,1.61094,0.1015139,-0.3373016,1.586671,-0.07972884,0.1708218,1.627468,0.01500293,-0.3302417,1.559865,-0.1137252,-0.0871501,1.618654,0.3834903,0.03782051,1.437174,NA,NA,NotTracked,Unknown,
0.8598633,-0.3432617,-0.4785156,-0.8901367,0.3959961,-0.008789063,-1,9,1,-7,-1,-3,7,15,-2,0,-1,-1,-2,1,-1,-1,-12.8125,-12.8125,-12.8125,21.6875,21.6875,21.6875,1.617725,3.390463,0.1529897,7.694407,6.930939,4.635221,-0.09792707,-0.4128116,1.516705,0.1901002,0.2545481,1.486783,0.1106904,0.4585871,1.618749,-0.05650318,-0.390609,1.475373,0.1735085,0.2078872,1.535403,0.1013166,-0.008044098,1.610826,0.1014906,-0.3372945,1.58662,-0.07964344,0.1708701,1.627545,0.01498345,-0.3302504,1.559841,-0.1138664,-0.08652326,1.619009,0.3850179,0.03636315,1.437111,NA,NA,NotTracked,Unknown,
0.7080078,-0.1069336,-0.3618164,-0.9140625,0.3515625,-0.05957031,-16,-7,-8,-4,17,-2,-3,-6,-1,-3,-2,-2,0,-1,-1,-1,-22.0625,-22.0625,-22.0625,6.625,6.625,6.625,1.542337,3.403148,0.2034009,7.771736,6.948274,4.70516,-0.09887182,-0.4138432,1.520566,0.1883945,0.2565774,1.473335,0.110968,0.4584088,1.618539,-0.05464257,-0.4056796,1.470588,0.1933373,0.2117583,1.538479,0.1012552,-0.00802448,1.61079,0.1014558,-0.3373505,1.586541,-0.07958455,0.170876,1.627563,0.01492578,-0.3303077,1.55981,-0.1138299,-0.08642546,1.619092,0.3853887,0.03625894,1.43602,NA,NA,NotTracked,Unknown,
0.4526367,-0.6972656,-0.2963867,-0.9394531,0.3334961,-0.1005859,9,7,4,-2,-8,-17,-22,-9,-1,-2,-1,-2,-2,-1,0,-2,-36.9375,-36.9375,-36.9375,-8.375,-8.375,-8.375,1.592773,3.484278,0.1023188,7.840095,6.959347,4.783625,-0.09949347,-0.4136113,1.525488,0.1728679,0.2725071,1.453447,0.1111097,0.4585383,1.61849,-0.05699869,-0.3943548,1.474268,0.1945167,0.2258164,1.538875,0.1011729,-0.007997032,1.610725,0.1014243,-0.33742,1.586464,-0.07942808,0.1709935,1.627658,0.01486863,-0.3303688,1.559796,-0.1137872,-0.08642742,1.619109,0.3851464,0.03695065,1.434554,NA,NA,NotTracked,Unknown,
0.3647461,-1.001953,-0.03027344,-0.9951172,0.3188477,-0.1254883,25,8,9,19,8,3,8,13,0,-1,0,-1,-2,-1,-3,0,2.5625,2.5625,2.5625,-18.6875,-18.6875,-18.6875,1.68142,3.55194,9.989377,7.878665,6.963266,4.841647,-0.1016001,-0.4150841,1.529759,0.1758734,0.260781,1.443018,0.1112598,0.458851,1.618633,-0.05899943,-0.3890984,1.474127,0.1881265,0.2248741,1.530839,0.1006317,-0.007966402,1.610596,0.1010697,-0.3376719,1.586376,-0.07921012,0.1712319,1.627814,0.0144282,-0.3306034,1.559844,-0.1137166,-0.08644446,1.619049,0.3844599,0.03825301,1.432071,NA,NA,NotTracked,Unknown,
0.918457,-0.7387695,-0.1416016,-0.9995117,0.2871094,-0.1137695,73,12,0,-71,-30,-14,10,24,-3,-1,0,-1,-1,-1,-2,-1,61.5,61.5,61.5,-20.3125,-20.3125,-20.3125,1.773505,3.559412,9.970929,7.878119,6.964024,4.852822,-0.1040103,-0.4161036,1.531987,0.1765963,0.2636296,1.454605,0.111357,0.4587844,1.618688,-0.06095678,-0.3859458,1.478414,0.189831,0.2226444,1.532256,0.1004278,-0.007973047,1.610522,0.1009519,-0.3377995,1.58629,-0.07918201,0.1712758,1.627859,0.01427723,-0.3307174,1.559766,-0.113685,-0.08654445,1.619076,0.3847647,0.03799676,1.432093,NA,NA,NotTracked,Unknown,
1.070801,-0.5488281,-0.2026367,-0.9692383,0.262207,-0.04882813,6,-4,-6,-9,-1,9,3,-20,-1,-1,-2,0,-1,-1,1,0,34.25,34.25,34.25,-0.9375,-0.9375,-0.9375,1.776647,3.532555,9.992532,7.859069,6.965589,4.84217,-0.1038701,-0.4159944,1.532252,0.1871801,0.2533695,1.478032,0.111525,0.4586658,1.618662,-0.06087445,-0.3852037,1.478494,0.1772944,0.2117041,1.536733,0.1002687,-0.007960524,1.610538,0.1007477,-0.3378573,1.586352,-0.07917071,0.1713082,1.627896,0.01407216,-0.3307661,1.559883,-0.1137057,-0.08644255,1.61923,0.385054,0.0377151,1.432148,NA,NA,NotTracked,Unknown,
