ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9262695,-0.3452148,-0.1162109,0.9873047,0.5151367,-0.1499023,0,-2,9,1,0,0,0,-1,2,6,0,-3,-2,-4,1,-3,-7.875,-7.875,-7.875,-75.75,-75.75,-75.75,1.82416,3.09706,9.287038,7.988925,3.264552,1.860104,-0.1524338,-0.4271951,1.140171,0.3075615,-0.4259968,1.093843,0.06734563,0.399706,1.167772,-0.2006522,-0.4242079,1.134619,0.2778347,-0.4396095,1.111583,0.06682397,-0.03954274,1.208654,0.06570616,-0.3654577,1.192656,-0.1210298,0.1446945,1.203941,-0.02502645,-0.35338,1.164137,-0.1591951,-0.125248,1.211818,0.3055334,-0.1315263,1.193187,NA,NA,NotTracked,NotTracked,
0.9262695,-0.3452148,-0.1162109,0.9155273,0.7324219,0.08154297,0,-2,9,1,0,0,0,-1,-3,1,-1,28,0,1,-3,5,-7.875,-7.875,-7.875,-31,-31,-31,1.82416,3.09706,9.287038,7.589032,3.439286,2.175129,-0.1519848,-0.4268516,1.13833,0.2989087,-0.4115301,1.058359,0.06735978,0.3997023,1.167661,-0.1983644,-0.416916,1.130069,0.2763705,-0.4252317,1.089917,0.06675218,-0.03959107,1.20848,0.06559525,-0.3654399,1.192448,-0.1211812,0.1445007,1.204512,-0.02517077,-0.3533205,1.163803,-0.1591655,-0.1252845,1.211703,0.3064289,-0.1299927,1.196209,NA,NA,NotTracked,NotTracked,
0.9262695,-0.3452148,-0.1162109,0.7998047,0.8862305,0.1972656,0,-2,9,1,0,0,0,-1,-1,-4,-6,4,-2,-3,0,11,-7.875,-7.875,-7.875,15.0625,15.0625,15.0625,1.82416,3.09706,9.287038,7.374032,3.692008,2.450669,-0.1532977,-0.4272276,1.139777,0.2781245,-0.3683309,1.009592,0.06756558,0.3996654,1.16758,-0.2036528,-0.4295547,1.133149,0.2736226,-0.3882709,1.046333,0.06674933,-0.03958533,1.20846,0.06558224,-0.3653628,1.192377,-0.1206108,0.1449269,1.203302,-0.02517681,-0.3532165,1.163563,-0.1592049,-0.1252493,1.211556,0.3068025,-0.1258987,1.199232,NA,NA,NotTracked,NotTracked,
0.9262695,-0.3452148,-0.1162109,0.6445313,0.8554688,0.2666016,0,-2,9,1,0,0,0,-1,-4,-5,-2,-1,0,0,0,-4,-7.875,-7.875,-7.875,8.625,8.625,8.625,1.82416,3.09706,9.287038,7.226029,4.010084,2.692885,-0.1533402,-0.4274804,1.138801,0.2432719,-0.3007974,0.9605027,0.06832345,0.3993687,1.167398,-0.2015599,-0.4252832,1.133798,0.2691862,-0.355288,0.9877,0.06593302,-0.03997559,1.206997,0.06440818,-0.3650664,1.191825,-0.1205983,0.1448762,1.203289,-0.02655101,-0.3526201,1.162582,-0.1592656,-0.125165,1.211194,0.3070185,-0.1163121,1.198292,NA,NA,NotTracked,Unknown,
0.9262695,-0.3452148,-0.1162109,0.5317383,0.9145508,0.3266602,0,-2,9,1,0,0,0,-1,-6,-1,1,-2,-1,-1,-1,-5,-7.875,-7.875,-7.875,9.3125,9.3125,9.3125,1.82416,3.09706,9.287038,7.115007,4.448116,2.982188,-0.1524219,-0.4277202,1.137254,0.1931128,-0.2102828,0.9273428,0.06972934,0.3992614,1.16743,-0.1998898,-0.4294831,1.128941,0.1551084,-0.2449971,0.9853333,0.06552124,-0.03993582,1.206889,0.06051809,-0.3647108,1.189977,-0.1205512,0.14488,1.203279,-0.03009358,-0.3518729,1.160606,-0.1592944,-0.1249899,1.210405,0.3094285,-0.09077395,1.185195,NA,NA,NotTracked,Unknown,
0.9262695,-0.3452148,-0.1162109,0.3188477,0.9912109,0.3061523,0,-2,9,1,0,0,0,-1,-1,-9,-18,-21,-9,-5,-1,11,-7.875,-7.875,-7.875,-9.3125,-9.3125,-9.3125,1.82416,3.09706,9.287038,7.067743,4.770427,3.194877,-0.1527565,-0.4239635,1.134764,0.1464908,-0.1277697,0.9278979,0.07190125,0.3991931,1.167747,-0.2001108,-0.4242915,1.130876,0.09952866,-0.1355531,0.9865555,0.0654908,-0.03991089,1.206905,0.06021725,-0.3645777,1.18981,-0.1202922,0.1450277,1.203307,-0.03033092,-0.3516906,1.160317,-0.1594028,-0.1246125,1.209786,0.3136604,-0.08345741,1.167372,NA,NA,NotTracked,Unknown,
0.9262695,-0.3452148,-0.1162109,-0.02978516,0.8745117,0.3188477,0,-2,9,1,0,0,0,-1,-10,-5,-7,-7,-4,-4,-2,-20,-7.875,-7.875,-7.875,-17.125,-17.125,-17.125,1.82416,3.09706,9.287038,7.041033,5.206876,3.507069,-0.1518907,-0.4228445,1.133698,0.1047922,-0.0491461,0.9468777,0.07379884,0.3993415,1.168421,-0.1990506,-0.4235074,1.127233,0.07655463,-0.0253783,1,0.06547306,-0.03966983,1.20648,0.06015471,-0.3634726,1.189887,-0.1197271,0.1452971,1.20352,-0.03019441,-0.3506253,1.16019,-0.159527,-0.1240272,1.209004,0.3133802,-0.08269484,1.152287,NA,NA,NotTracked,Unknown,
0.9262695,-0.3452148,-0.1162109,-0.3447266,0.8334961,0.2797852,0,-2,9,1,0,0,0,-1,-28,-22,-24,-21,-7,-4,-8,-14,-7.875,-7.875,-7.875,-4.125,-4.125,-4.125,1.82416,3.09706,9.287038,7.098124,5.520659,3.782343,-0.1518463,-0.4251246,1.132079,0.06337857,0.02533898,0.9749271,0.07587902,0.3993629,1.169452,-0.2012613,-0.4262213,1.128347,0.0556905,0.07382784,1.0052,0.06576543,-0.03933514,1.206053,0.06034875,-0.3614818,1.189784,-0.1183135,0.1467542,1.203126,-0.02957538,-0.3486673,1.160563,-0.1594827,-0.1235117,1.208544,0.3059362,-0.08031263,1.134527,NA,NA,NotTracked,Unknown,
0.9262695,-0.3452148,-0.1162109,-0.2548828,0.7167969,0.2290039,0,-2,9,1,0,0,0,-1,-11,-11,-24,-40,-14,-7,11,25,-7.875,-7.875,-7.875,-13.125,-13.125,-13.125,1.82416,3.09706,9.287038,7.160401,5.699001,3.98751,-0.1514938,-0.425626,1.133287,0.04978628,0.06842636,1.018544,0.07870318,0.3995443,1.170764,-0.1980225,-0.4227827,1.125512,0.03037418,0.03311436,1.063636,0.06607059,-0.03954815,1.205456,0.06040066,-0.3613647,1.189494,-0.1140404,0.1477051,1.197867,-0.02951172,-0.3485649,1.160605,-0.1594445,-0.1226395,1.208273,0.3114108,-0.08911721,1.099379,NA,NA,NotTracked,Unknown,
0.9262695,-0.3452148,-0.1162109,-0.2558594,0.7026367,0.1582031,0,-2,9,1,0,0,0,-1,-12,1,0,-1,-5,-4,-5,-19,-7.875,-7.875,-7.875,-10.0625,-10.0625,-10.0625,1.82416,3.09706,9.287038,7.296393,5.901905,4.318738,-0.1514255,-0.4251009,1.132039,0.05045148,0.08870262,1.048623,0.08178106,0.3992122,1.171086,-0.1994453,-0.4247921,1.127389,0.0424122,0.05682325,1.058667,0.06709813,-0.03968715,1.20553,0.06049715,-0.3618497,1.188617,-0.1095632,0.1483086,1.193066,-0.02950574,-0.3487628,1.160098,-0.1589499,-0.121278,1.207267,0.2882984,-0.07587248,1.094133,NA,NA,NotTracked,Unknown,
