ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9213867,-0.3803711,0.03027344,0.8540039,0.4433594,-0.1572266,-2,-2,-1,0,-1,0,0,-2,0,0,-1,-1,0,-1,1,-1,6.8125,6.8125,6.8125,-12.4375,-12.4375,-12.4375,2.569469,3.129899,3.899983,8.062572,3.384596,8.62965,-0.1485641,-0.4426266,1.134525,0.3670408,-0.43505,1.078623,0.05875572,0.4023933,1.175998,-0.1935138,-0.4345515,1.125479,0.3984747,-0.4178994,1.053875,0.06510809,-0.03744147,1.213999,0.06342789,-0.3627649,1.199581,-0.1196235,0.1473301,1.215038,-0.02694679,-0.3511369,1.172904,-0.1552448,-0.1288397,1.217601,0.3147932,-0.130689,1.195952,NA,NA,NotTracked,Lasso,
0.9213867,-0.3803711,0.03027344,0.8505859,0.4609375,-0.1660156,-2,-2,-1,0,-1,0,0,-2,-2,0,0,-1,0,-2,0,-1,6.8125,6.8125,6.8125,11.6875,11.6875,11.6875,2.569469,3.129899,3.899983,8.06113,3.378959,8.640594,-0.1483664,-0.4422366,1.134986,0.3630869,-0.4328273,1.077715,0.05558022,0.4027607,1.176582,-0.1907742,-0.4412546,1.120182,0.3974439,-0.4158114,1.054063,0.06394816,-0.03741894,1.213889,0.06269901,-0.3627639,1.19922,-0.1199161,0.147074,1.214966,-0.02770905,-0.3512925,1.172841,-0.1552082,-0.1292697,1.217641,0.3152558,-0.1311749,1.194226,NA,NA,NotTracked,Lasso,
0.9213867,-0.3803711,0.03027344,0.8486328,0.4819336,-0.1679688,-2,-2,-1,0,-1,0,0,-2,-2,-1,0,0,1,0,-1,-1,6.8125,6.8125,6.8125,6.1875,6.1875,6.1875,2.569469,3.129899,3.899983,8.056238,3.374957,8.656712,-0.1482597,-0.4432959,1.135046,0.3589796,-0.4331743,1.076128,0.05333424,0.4024825,1.177053,-0.1906724,-0.4240019,1.123547,0.3962383,-0.4183821,1.057533,0.06308877,-0.03741219,1.213803,0.06212392,-0.3627111,1.19894,-0.1195003,0.1478245,1.214341,-0.02822612,-0.3513099,1.172778,-0.155064,-0.1302091,1.217883,0.3152767,-0.131282,1.193236,NA,NA,NotTracked,Lasso,
0.9213867,-0.3803711,0.03027344,0.8378906,0.4731445,-0.1699219,-2,-2,-1,0,-1,0,0,-2,0,0,-1,-1,-3,-2,-1,0,6.8125,6.8125,6.8125,-0.875,-0.875,-0.875,2.569469,3.129899,3.899983,8.035577,3.364952,8.675307,-0.1476175,-0.4430622,1.135062,0.3536041,-0.4321277,1.076836,0.05098746,0.402428,1.177412,-0.1940365,-0.4291146,1.13228,0.3887674,-0.415529,1.05495,0.06246715,-0.03742504,1.213771,0.061816,-0.3627309,1.198689,-0.1208211,0.1460919,1.215452,-0.02853332,-0.3514366,1.172732,-0.1550345,-0.1303985,1.217976,0.3149775,-0.1321607,1.19206,NA,NA,NotTracked,Lasso,
0.9213867,-0.3803711,0.03027344,0.855957,0.4819336,-0.1904297,-2,-2,-1,0,-1,0,0,-2,-4,0,-1,-1,-2,-2,1,6,6.8125,6.8125,6.8125,-2,-2,-2,2.569469,3.129899,3.899983,8.025848,3.355028,8.68611,-0.1477726,-0.4430696,1.13531,0.3503781,-0.4322155,1.077023,0.04919072,0.4022774,1.177699,-0.192278,-0.4426037,1.114,0.3851744,-0.4164011,1.054875,0.06205121,-0.037506,1.213732,0.06159959,-0.3628118,1.198524,-0.1231861,0.1426529,1.217828,-0.02875625,-0.3516636,1.172795,-0.1549221,-0.1309779,1.218176,0.3143263,-0.1327334,1.19112,NA,NA,NotTracked,NotTracked,
0.9213867,-0.3803711,0.03027344,0.8510742,0.5131836,-0.1782227,-2,-2,-1,0,-1,0,0,-2,4,0,-2,0,-2,-2,-1,-1,6.8125,6.8125,6.8125,14.375,14.375,14.375,2.569469,3.129899,3.899983,8.025886,3.351511,8.704988,-0.1484286,-0.4451321,1.134858,0.3489452,-0.4328152,1.075088,0.04787889,0.40241,1.178065,-0.1916346,-0.443784,1.119881,0.3848802,-0.4174245,1.06105,0.06158156,-0.03748951,1.213673,0.06128643,-0.3627644,1.198308,-0.1216111,0.1451931,1.216224,-0.02899775,-0.3516729,1.172778,-0.1548585,-0.1314045,1.218312,0.3139105,-0.1327772,1.190737,NA,NA,NotTracked,NotTracked,
0.9213867,-0.3803711,0.03027344,0.875,0.5512695,-0.2177734,-2,-2,-1,0,-1,0,0,-2,7,0,-5,-5,-1,-3,-7,-3,6.8125,6.8125,6.8125,-19.25,-19.25,-19.25,2.569469,3.129899,3.899983,7.995831,3.365556,8.733618,-0.1480262,-0.4447922,1.133564,0.3463864,-0.4300467,1.072717,0.04706288,0.4023753,1.178226,-0.1929571,-0.4344548,1.124773,0.3850697,-0.4193135,1.05562,0.06117636,-0.03750593,1.213628,0.06107485,-0.3627878,1.198155,-0.1223682,0.1444893,1.216689,-0.0291992,-0.3517591,1.172727,-0.1549222,-0.1318438,1.21835,0.3134757,-0.1328587,1.190354,NA,NA,NotTracked,NotTracked,
0.9213867,-0.3803711,0.03027344,0.9677734,0.7905273,-0.2026367,-2,-2,-1,0,-1,0,0,-2,3,0,8,1,0,1,9,15,6.8125,6.8125,6.8125,-70.625,-70.625,-70.625,2.569469,3.129899,3.899983,7.783038,3.490037,8.856091,-0.1475675,-0.4441111,1.133629,0.3463598,-0.4202055,1.05832,0.04641806,0.4023998,1.178469,-0.192186,-0.4368702,1.122829,0.3661258,-0.417723,1.005867,0.06089952,-0.03743175,1.213639,0.06086351,-0.3626495,1.198065,-0.1213657,0.1463329,1.2155,-0.02939967,-0.3516677,1.172742,-0.1548269,-0.1323088,1.218394,0.3134576,-0.1320483,1.190693,NA,NA,NotTracked,NotTracked,
0.9213867,-0.3803711,0.03027344,0.8330078,1.202148,-0.01025391,-2,-2,-1,0,-1,0,0,-2,3,-19,-26,-16,-3,1,-5,8,6.8125,6.8125,6.8125,-24.4375,-24.4375,-24.4375,2.569469,3.129899,3.899983,7.578358,3.753712,9.053261,-0.1488733,-0.444465,1.132885,0.3669217,-0.3680138,1.008278,0.0462829,0.4023134,1.178474,-0.1927919,-0.436469,1.122395,0.3364488,-0.3487973,0.9606364,0.06047913,-0.03736381,1.213704,0.06047864,-0.3624643,1.198023,-0.122104,0.1457692,1.215933,-0.02982447,-0.3515942,1.172679,-0.1551568,-0.1329192,1.218465,0.3146394,-0.1231348,1.195065,NA,NA,NotTracked,Lasso,
0.9213867,-0.3803711,0.03027344,0.644043,1.335449,0.05419922,-2,-2,-1,0,-1,0,0,-2,-25,3,0,6,-2,0,7,-34,6.8125,6.8125,6.8125,-22.3125,-22.3125,-22.3125,2.569469,3.129899,3.899983,7.4406,4.174807,9.211836,-0.1518638,-0.4442592,1.134084,0.3935894,-0.2602335,0.9414187,0.04651644,0.402216,1.178605,-0.1954595,-0.4565207,1.11575,0.3601964,-0.2232274,0.8927085,0.05991487,-0.0374468,1.213816,0.05993687,-0.3624944,1.19797,-0.1240968,0.1427533,1.217402,-0.03053633,-0.3517565,1.172504,-0.1557482,-0.1331126,1.218291,0.317081,-0.1077628,1.199752,NA,NA,NotTracked,Unknown,
