ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9379883,-0.2958984,0.1298828,0.9526367,0.2685547,-0.007324219,0,-2,-5,-3,0,0,-1,-1,-2,-2,-2,-2,-1,0,1,-24,1.5625,1.5625,1.5625,-1.375,-1.375,-1.375,3.003617,3.025015,8.492306,7.510144,2.944269,0.2561616,-0.1501369,-0.4320292,1.375827,0.3214848,-0.4281878,1.369863,0.08907773,0.3901324,1.391924,-0.1927516,-0.4236933,1.352206,0.278389,-0.4485283,1.358725,0.08847391,-0.0420966,1.454091,0.0957959,-0.3428081,1.45285,-0.1001047,0.1419086,1.445657,0.02681933,-0.3345924,1.414699,-0.140481,-0.1187426,1.464764,0.3071791,-0.1112432,1.456206,NA,NA,NotTracked,NotTracked,
0.9291992,-0.3076172,0.121582,0.9467773,0.2753906,-0.01025391,0,0,-4,0,0,-1,-3,-2,-1,-2,-2,-3,0,-1,2,3,-0.625,-0.625,-0.625,-1.3125,-1.3125,-1.3125,3.00025,3.020293,8.498422,7.513271,2.943701,0.2513619,-0.1489948,-0.431156,1.376331,0.3216962,-0.4284921,1.370062,0.08925229,0.3901989,1.392334,-0.1907093,-0.4487593,1.3528,0.2774055,-0.4488371,1.358892,0.08860457,-0.04206983,1.454344,0.09592894,-0.3427742,1.452919,-0.09991389,0.1419355,1.44594,0.02693222,-0.3345622,1.414725,-0.1403893,-0.1187314,1.464839,0.3072957,-0.111329,1.456485,NA,NA,NotTracked,NotTracked,
0.9272461,-0.3222656,0.1210938,0.9492188,0.2749023,-0.002929688,-2,-1,0,-2,-1,0,-1,2,0,-4,-3,-2,-2,-1,1,4,-1,-1,-1,-0.5,-0.5,-0.5,2.991925,3.017055,8.505359,7.517797,2.939731,0.2438836,-0.149352,-0.4316564,1.378725,0.3220304,-0.4281742,1.371096,0.0896487,0.3901389,1.392871,-0.1891758,-0.4243171,1.352733,0.2726915,-0.4156863,1.358172,0.08875608,-0.0420682,1.454571,0.09607106,-0.3427597,1.453094,-0.09964121,0.1419629,1.446202,0.02707233,-0.3345354,1.414867,-0.1401688,-0.1187165,1.464965,0.307696,-0.1117216,1.456817,NA,NA,NotTracked,NotTracked,
0.9306641,-0.3134766,0.1152344,0.9604492,0.28125,0.00390625,2,-1,1,1,-2,0,0,-2,-1,-1,-2,1,-1,0,0,7,1.25,1.25,1.25,0.9375,0.9375,0.9375,2.982966,3.016059,8.517449,7.519994,2.937495,0.242144,-0.1500443,-0.4317744,1.378756,0.3223023,-0.4298283,1.371318,0.09014127,0.3901855,1.393479,-0.1921938,-0.4234119,1.349609,0.2734295,-0.4199115,1.358409,0.08895878,-0.04206805,1.455054,0.09623013,-0.3427715,1.453304,-0.09932787,0.1420033,1.44638,0.02724137,-0.3345475,1.415068,-0.1399901,-0.1186497,1.465173,0.3075766,-0.1114103,1.457044,NA,NA,NotTracked,NotTracked,
0.9365234,-0.3173828,0.1201172,0.9648438,0.2724609,-0.001464844,-4,-2,0,0,1,-1,0,-1,-1,0,-2,0,0,0,-1,-4,-0.625,-0.625,-0.625,1.6875,1.6875,1.6875,2.976194,3.019155,8.525326,7.516674,2.934708,0.2475334,-0.1527434,-0.4322957,1.378771,0.3227222,-0.4290656,1.372864,0.09056819,0.3902384,1.393985,-0.1907403,-0.4236606,1.352181,0.2831354,-0.4440311,1.367955,0.08916838,-0.04200527,1.455577,0.09641591,-0.3426968,1.453723,-0.09893993,0.1421577,1.44698,0.02745114,-0.3344052,1.415553,-0.139925,-0.1185028,1.465384,0.3079932,-0.1120859,1.457664,NA,NA,NotTracked,NotTracked,
0.9370117,-0.3081055,0.1152344,0.9619141,0.2739258,0.002929688,-1,-5,-2,-1,-2,-3,-1,1,-2,-1,-3,-2,-2,-2,-2,0,-1.0625,-1.0625,-1.0625,3.5625,3.5625,3.5625,2.969795,3.022663,8.531526,7.510476,2.932338,0.2590009,-0.1521991,-0.4314291,1.377524,0.322321,-0.4295354,1.3721,0.09084786,0.3902136,1.394169,-0.1964811,-0.4225894,1.367174,0.2860966,-0.4420032,1.370408,0.08926179,-0.0419653,1.455798,0.09655391,-0.3426946,1.453943,-0.09874556,0.1421769,1.447035,0.02756776,-0.3344221,1.415706,-0.1399014,-0.1184524,1.465462,0.3078661,-0.1116668,1.457701,NA,NA,NotTracked,NotTracked,
0.9267578,-0.2983398,0.1088867,0.9555664,0.269043,-0.008789063,0,0,1,0,-1,-2,-1,-4,-1,0,-1,-1,0,-2,-1,3,0.6875,0.6875,0.6875,4.3125,4.3125,4.3125,2.965164,3.027282,8.537069,7.505093,2.93107,0.274894,-0.1517058,-0.4312118,1.379067,0.3216879,-0.4287467,1.371976,0.09109782,0.3902126,1.394282,-0.1973396,-0.4164202,1.370125,0.2745746,-0.4202722,1.360888,0.08942864,-0.04189401,1.456102,0.09673361,-0.3426401,1.454321,-0.09843953,0.142305,1.44729,0.02772219,-0.334371,1.415956,-0.1398865,-0.1183033,1.465549,0.3080097,-0.1117044,1.457885,NA,NA,NotTracked,NotTracked,
0.9233398,-0.300293,0.1157227,0.9492188,0.2768555,-0.015625,-1,1,-2,-1,1,-3,-1,0,-1,0,-2,-1,-1,-1,-4,-1,-0.75,-0.75,-0.75,1.75,1.75,1.75,2.96621,3.028572,8.536861,7.50545,2.932711,0.2794824,-0.1520261,-0.4317431,1.378763,0.3212091,-0.4289331,1.371211,0.09132466,0.3901403,1.394467,-0.1944643,-0.4215746,1.357325,0.2932965,-0.3834999,1.397143,0.08957527,-0.04187257,1.456388,0.09677988,-0.342635,1.454466,-0.09835041,0.14235,1.447445,0.02777068,-0.3343751,1.416152,-0.1399003,-0.118232,1.465764,0.3078903,-0.1113923,1.457924,NA,NA,NotTracked,NotTracked,
0.9145508,-0.2954102,0.1118164,0.953125,0.2695313,-0.002441406,-1,0,-1,2,-3,-3,-4,1,-1,-1,-1,-2,0,-2,-6,11,-0.125,-0.125,-0.125,0.4375,0.4375,0.4375,2.965691,3.028419,8.539875,7.507327,2.936906,0.2783817,-0.1516296,-0.43091,1.379339,0.3208134,-0.4284619,1.371196,0.09146245,0.3901138,1.394601,-0.1939888,-0.4243789,1.354365,0.2792956,-0.4325162,1.365806,0.08968154,-0.04187013,1.456554,0.09682849,-0.3426323,1.454538,-0.09815221,0.1423442,1.447759,0.0278123,-0.3343827,1.416209,-0.1399517,-0.1182251,1.46588,0.3079197,-0.1114573,1.458025,NA,NA,NotTracked,NotTracked,
0.9296875,-0.3071289,0.1201172,0.9428711,0.2758789,-0.004882813,-2,-2,0,0,-1,-3,-2,0,-1,1,0,4,3,-8,-5,-7,0,0,0,-1.0625,-1.0625,-1.0625,2.960335,3.024872,8.544209,7.516176,2.946094,0.2671245,-0.1519128,-0.4317439,1.380359,0.3214472,-0.4279993,1.370659,0.09163672,0.3900828,1.394825,-0.195827,-0.4245362,1.360271,0.2763278,-0.4303395,1.362013,0.08972558,-0.04184842,1.456628,0.09683699,-0.3426231,1.454548,-0.09801915,0.1424319,1.447927,0.02782155,-0.3343782,1.41622,-0.1398987,-0.1181364,1.465971,0.3078671,-0.1111697,1.457969,NA,NA,NotTracked,NotTracked,
