ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.8955078,0.4038086,-0.1547852,0.9208984,-0.3305664,-0.06835938,0,-2,-1,-1,-2,0,-1,-1,-1,-2,1,1,0,0,0,-1,-0.1875,-0.1875,-0.1875,-0.25,-0.25,-0.25,8.083575,3.213636,7.315889E-05,2.06058,3.065074,7.833749,-0.1929581,-0.4341402,1.338551,0.2580222,-0.4178452,1.306741,0.03837127,0.4023785,1.369115,-0.2404027,-0.4319128,1.326072,0.2754031,-0.4294941,1.271279,0.03005712,-0.03787299,1.406338,0.02583945,-0.3605494,1.392091,-0.1608929,0.1434169,1.40117,-0.06205,-0.3514486,1.358237,-0.2021156,-0.1225778,1.411996,0.2613826,-0.1180199,1.398423,NA,NA,NotTracked,NotTracked,
0.8925781,0.4038086,-0.1489258,0.9208984,-0.3305664,-0.06835938,0,-1,-1,-3,-6,-3,-2,0,-1,-2,1,1,0,0,0,-1,-0.1875,-0.1875,-0.1875,-0.25,-0.25,-0.25,8.083117,3.21352,0.0004233221,2.06058,3.065074,7.833749,-0.1930185,-0.434007,1.337994,0.2580354,-0.4171977,1.305846,0.03837478,0.4023551,1.368912,-0.241482,-0.430484,1.330518,0.2744648,-0.4291311,1.269618,0.03000434,-0.03790499,1.406291,0.02581427,-0.3605654,1.392076,-0.16299,0.1424799,1.399163,-0.06208276,-0.3514697,1.35819,-0.2023607,-0.1227073,1.411779,0.2612271,-0.1180455,1.398458,NA,NA,NotTracked,NotTracked,
0.8930664,0.4057617,-0.1513672,0.9208984,-0.3305664,-0.06835938,-2,-1,0,-1,0,-1,0,0,-1,-2,1,1,0,0,0,-1,-0.1875,-0.1875,-0.1875,-0.25,-0.25,-0.25,8.082634,3.213912,0.0007177031,2.06058,3.065074,7.833749,-0.1934492,-0.4343812,1.337797,0.2577178,-0.4173303,1.306275,0.03836078,0.4020267,1.368678,-0.2406411,-0.4311659,1.326829,0.2943715,-0.4190711,1.297714,0.02995548,-0.03794512,1.406258,0.02576613,-0.3605809,1.392068,-0.1620138,0.1429305,1.40027,-0.06214556,-0.351483,1.358182,-0.2025317,-0.1228167,1.411734,0.2611164,-0.1181475,1.398486,NA,NA,NotTracked,NotTracked,
0.8911133,0.3969727,-0.1542969,0.9208984,-0.3305664,-0.06835938,0,-1,-1,0,1,-1,0,-1,-1,-2,1,1,0,0,0,-1,-0.1875,-0.1875,-0.1875,-0.25,-0.25,-0.25,8.082794,3.213734,0.0007361796,2.06058,3.065074,7.833749,-0.1934638,-0.4334236,1.337978,0.2576728,-0.4173508,1.306055,0.03839318,0.4020284,1.368575,-0.2410549,-0.4262199,1.32927,0.2734279,-0.4283191,1.269549,0.02992016,-0.03799205,1.40621,0.02571717,-0.3606058,1.392032,-0.163174,0.1427321,1.399731,-0.06220836,-0.3515124,1.35811,-0.2025782,-0.1229277,1.411715,0.261052,-0.1181416,1.398512,NA,NA,NotTracked,NotTracked,
0.8964844,0.4042969,-0.1518555,0.9208984,-0.3305664,-0.06835938,0,-1,-2,-1,0,-1,0,0,-1,-2,1,1,0,0,0,-1,-0.5625,-0.5625,-0.5625,-0.25,-0.25,-0.25,8.082634,3.213912,0.0007177031,2.06058,3.065074,7.833749,-0.193342,-0.4336131,1.338676,0.2574988,-0.4174695,1.307042,0.038354,0.4019844,1.368577,-0.241497,-0.4301839,1.330648,0.2948016,-0.4111408,1.30345,0.02985009,-0.03802251,1.40618,0.02569265,-0.3606273,1.392052,-0.1662332,0.1414922,1.396941,-0.06222379,-0.3515543,1.358102,-0.2026248,-0.1226329,1.41162,0.2609017,-0.1183093,1.398577,NA,NA,NotTracked,NotTracked,
0.887207,0.4052734,-0.1489258,0.9208984,-0.3305664,-0.06835938,-1,0,-1,-4,-5,-3,-1,0,-1,-2,1,1,0,0,0,-1,0.3125,0.3125,0.3125,-0.25,-0.25,-0.25,8.082634,3.213912,0.0007177031,2.06058,3.065074,7.833749,-0.1935842,-0.4343797,1.337806,0.257217,-0.4169978,1.30634,0.03831032,0.4019312,1.368589,-0.2436375,-0.4447812,1.329615,0.294355,-0.4127129,1.300353,0.02977671,-0.03806413,1.40613,0.02557888,-0.3606842,1.391977,-0.1650141,0.1423453,1.398867,-0.06239592,-0.3516245,1.35796,-0.2026073,-0.1225986,1.411581,0.260812,-0.1183657,1.398594,NA,NA,NotTracked,NotTracked,
0.8994141,0.4663086,-0.1899414,0.9208984,-0.3305664,-0.06835938,20,36,16,2,-6,-1,2,5,-1,-2,1,1,0,0,0,-1,-6.375,-6.375,-6.375,-0.25,-0.25,-0.25,8.080761,3.21994,9.998851,2.06058,3.065074,7.833749,-0.193698,-0.434621,1.338386,0.2572615,-0.4164265,1.305892,0.03828972,0.4017155,1.368464,-0.2409037,-0.4310411,1.327148,0.2741411,-0.4287209,1.26929,0.02971151,-0.0381296,1.406109,0.02553523,-0.3607408,1.391933,-0.1645376,0.1424309,1.399612,-0.06244197,-0.3516888,1.357901,-0.2026044,-0.1225301,1.411551,0.2607897,-0.118233,1.398644,NA,NA,NotTracked,NotTracked,
0.9819336,0.519043,-0.3071289,0.9208984,-0.3305664,-0.06835938,-9,-8,-10,1,6,2,1,0,-1,-2,1,1,0,0,0,-1,-47.0625,-47.0625,-47.0625,-0.25,-0.25,-0.25,8.017373,3.26662,0.01036437,2.06058,3.065074,7.833749,-0.1937949,-0.4341311,1.337617,0.2559063,-0.4077415,1.295404,0.03829449,0.4016454,1.368526,-0.2419774,-0.4234338,1.333743,0.2957952,-0.4113629,1.295605,0.02964446,-0.03810578,1.406103,0.02544913,-0.3606913,1.391896,-0.1633492,0.1428652,1.401111,-0.06252732,-0.3516332,1.357858,-0.2026163,-0.1224998,1.411565,0.2612028,-0.1179222,1.399791,NA,NA,NotTracked,NotTracked,
1.070801,0.7138672,-0.1401367,0.9208984,-0.3305664,-0.06835938,-4,-6,1,0,5,6,1,2,-1,-2,1,1,0,0,0,-1,-30,-30,-30,-0.25,-0.25,-0.25,7.700915,3.485498,0.2524806,2.06058,3.065074,7.833749,-0.1944168,-0.4337553,1.337613,0.2473516,-0.3765444,1.264442,0.03826269,0.4016636,1.368576,-0.2409827,-0.4307027,1.326481,0.2589109,-0.3741886,1.22096,0.02962202,-0.03810166,1.406102,0.02535877,-0.3606592,1.391888,-0.1647713,0.142513,1.39973,-0.06261525,-0.3515663,1.357805,-0.2026275,-0.122546,1.411574,0.265236,-0.1136227,1.408099,NA,NA,NotTracked,NotTracked,
1.083496,1.204102,0.1254883,0.9208984,-0.3305664,-0.06835938,4,-7,-15,-5,-9,-1,5,6,-1,-2,1,1,0,0,0,-1,-6.9375,-6.9375,-6.9375,-0.25,-0.25,-0.25,7.531501,3.825601,0.4689545,2.06058,3.065074,7.833749,-0.195777,-0.4337545,1.33823,0.2208847,-0.2884089,1.240938,0.03829799,0.4016087,1.368554,-0.2441693,-0.4317954,1.331183,0.2705787,-0.2699479,1.196643,0.02924675,-0.03826065,1.406003,0.02400595,-0.3609385,1.391511,-0.1629636,0.1431027,1.401376,-0.0641318,-0.3516351,1.357185,-0.2026808,-0.1229164,1.411818,0.2733719,-0.09617282,1.4259,NA,NA,NotTracked,Unknown,
0.2319336,0.9433594,0.1420898,0.9208984,-0.3305664,-0.06835938,13,-1,-15,7,3,5,1,-1,-1,-2,1,1,0,0,0,-1,-71.375,-71.375,-71.375,-0.25,-0.25,-0.25,7.286546,4.436858,0.6689675,2.06058,3.065074,7.833749,-0.1972952,-0.4346506,1.339116,0.2241698,-0.1732296,1.19736,0.03859515,0.4012945,1.368506,-0.2463526,-0.4269566,1.330521,0.1730087,-0.2207104,1.238444,0.02886189,-0.03832497,1.405822,0.02251985,-0.3609611,1.391135,-0.1617838,0.1435606,1.402058,-0.06558927,-0.3515258,1.356525,-0.2033946,-0.1219308,1.412114,0.281343,-0.07296219,1.436457,NA,NA,NotTracked,Unknown,
-0.04150391,0.8686523,0.2172852,0.9208984,-0.3305664,-0.06835938,-48,-30,-9,-11,-10,-8,-7,-6,-1,-2,1,1,0,0,0,-1,-29.3125,-29.3125,-29.3125,-0.25,-0.25,-0.25,7.18316,4.939887,0.7757179,2.06058,3.065074,7.833749,-0.1984484,-0.4344828,1.339984,0.2122968,-0.04448917,1.195232,0.03924587,0.4009466,1.368321,-0.246147,-0.4290501,1.329014,0.1594097,-0.04012741,1.235727,0.02847441,-0.03861071,1.405762,0.02149958,-0.3612042,1.391105,-0.1612271,0.1437042,1.402272,-0.06651968,-0.3517182,1.356555,-0.2035806,-0.1215595,1.41202,0.3051829,-0.06083676,1.41464,NA,NA,NotTracked,Unknown,
-0.2773438,0.7983398,0.1821289,0.9208984,-0.3305664,-0.06835938,14,7,3,3,3,-2,-4,-12,-1,-2,1,1,0,0,0,-1,-37.3125,-37.3125,-37.3125,-0.25,-0.25,-0.25,7.133555,5.428054,0.8859117,2.06058,3.065074,7.833749,-0.1972964,-0.4342149,1.33955,0.212933,0.07155138,1.210094,0.04004033,0.4001187,1.368163,-0.2443358,-0.4245763,1.325225,0.1639237,0.08567889,1.241857,0.02821021,-0.03919606,1.405893,0.02093093,-0.3619701,1.391358,-0.1597078,0.1440293,1.402345,-0.06711342,-0.352465,1.35694,-0.2043377,-0.1202398,1.411604,0.2930425,-0.06591004,1.398226,NA,NA,NotTracked,Unknown,
-0.5214844,0.6660156,0.08349609,0.9208984,-0.3305664,-0.06835938,-23,-26,-5,3,3,-2,-5,-3,-1,-2,1,1,0,0,0,-1,18.8125,18.8125,18.8125,-0.25,-0.25,-0.25,7.191444,5.864325,1.028898,2.06058,3.065074,7.833749,-0.1957862,-0.433418,1.337474,0.2137987,0.1556666,1.232977,0.04028953,0.3998663,1.368109,-0.2447977,-0.4239319,1.334519,0.1754832,0.1468151,1.294111,0.0281032,-0.03946458,1.405893,0.02011378,-0.3624632,1.390985,-0.1593811,0.1440831,1.402289,-0.06828602,-0.3526088,1.356437,-0.2045485,-0.1188877,1.410895,0.3093429,-0.05645388,1.371433,NA,NA,NotTracked,Unknown,
-0.5410156,0.699707,0.1816406,0.9208984,-0.3305664,-0.06835938,-10,-22,-3,3,2,3,2,13,-1,-2,1,1,0,0,0,-1,50,50,50,-0.25,-0.25,-0.25,7.372457,6.204638,1.190791,2.06058,3.065074,7.833749,-0.1955757,-0.4319743,1.333337,0.2173021,0.1984504,1.244201,0.04077151,0.3993396,1.368283,-0.2422941,-0.422998,1.327831,0.1719011,0.1883565,1.252208,0.02868541,-0.03926229,1.404646,0.01960139,-0.3609552,1.390303,-0.161963,0.1433725,1.398554,-0.06917115,-0.3504973,1.355169,-0.205239,-0.1168475,1.409564,0.3272341,-0.0416027,1.338662,NA,NA,NotTracked,Unknown,
-0.5976563,0.5712891,0.03076172,0.9208984,-0.3305664,-0.06835938,4,-4,-7,-6,-5,0,6,27,-1,-2,1,1,0,0,0,-1,25.3125,25.3125,25.3125,-0.25,-0.25,-0.25,7.698351,6.462223,1.543255,2.06058,3.065074,7.833749,-0.1956559,-0.4292377,1.328683,0.213069,0.220935,1.250946,0.04175038,0.3985887,1.368518,-0.240695,-0.4295861,1.320549,0.1904411,0.2008606,1.268444,0.02926879,-0.03834782,1.404731,0.01889758,-0.3585145,1.38952,-0.1583746,0.1443714,1.39939,-0.07028852,-0.3471608,1.353705,-0.2056583,-0.1154359,1.408534,0.3414899,-0.02318194,1.312494,NA,NA,NotTracked,Unknown,
-0.6020508,0.4682617,-0.08740234,0.9208984,-0.3305664,-0.06835938,-16,11,1,-3,-1,-1,3,8,-1,-2,1,1,0,0,0,-1,19.4375,19.4375,19.4375,-0.25,-0.25,-0.25,7.937158,6.546559,1.798077,2.06058,3.065074,7.833749,-0.1961662,-0.4292412,1.325537,0.1286983,0.3572804,1.288421,0.04312357,0.397985,1.369172,-0.2397902,-0.4355372,1.311361,0.1160646,0.3398491,1.298938,0.03010662,-0.03754571,1.404892,0.01866859,-0.3570717,1.389193,-0.1560934,0.1452282,1.400283,-0.07074291,-0.3452314,1.353364,-0.2058775,-0.1149363,1.407912,0.3546384,-0.005283273,1.287987,NA,NA,NotTracked,Unknown,
-0.6606445,0.4726563,-0.1547852,0.9208984,-0.3305664,-0.06835938,15,9,-3,-6,-6,-3,-2,10,-1,-2,1,1,0,0,0,-1,10.25,10.25,10.25,-0.25,-0.25,-0.25,8.106021,6.560925,1.979517,2.06058,3.065074,7.833749,-0.1967905,-0.4286576,1.325736,0.1857764,0.2611747,1.261461,0.04383448,0.3973256,1.369699,-0.2439709,-0.4282731,1.323594,0.155786,0.2396697,1.317095,0.03067602,-0.03686469,1.40501,0.01836405,-0.3552544,1.388795,-0.1548716,0.1454839,1.401384,-0.07112338,-0.3433852,1.353378,-0.2060188,-0.1146674,1.407833,0.3600653,0.008390516,1.276984,NA,NA,NotTracked,Unknown,
-0.7451172,0.5014648,-0.1787109,0.9208984,-0.3305664,-0.06835938,-10,-4,-2,-2,-5,-4,-6,-24,-1,-2,1,1,0,0,0,-1,-4.375,-4.375,-4.375,-0.25,-0.25,-0.25,8.206149,6.550333,2.100048,2.06058,3.065074,7.833749,-0.1973499,-0.431116,1.328097,0.1846021,0.2604657,1.259188,0.04403219,0.3967693,1.370007,-0.2445196,-0.4219806,1.328833,0.1548973,0.2396511,1.314737,0.03095911,-0.0366783,1.404997,0.01830468,-0.3544518,1.388474,-0.153883,0.1454851,1.402697,-0.07127024,-0.3427287,1.353408,-0.2062172,-0.11446,1.407948,0.3623153,0.01726955,1.26984,NA,NA,NotTracked,Unknown,
-0.7597656,0.4804688,-0.2626953,0.9208984,-0.3305664,-0.06835938,17,0,-2,-4,-2,0,0,7,-1,-2,1,1,0,0,0,-1,2.8125,2.8125,2.8125,-0.25,-0.25,-0.25,8.253146,6.540691,2.16181,2.06058,3.065074,7.833749,-0.1986403,-0.4323496,1.332143,0.1810229,0.2600042,1.257962,0.04398487,0.3964684,1.370217,-0.2478368,-0.4495499,1.330572,0.1579418,0.2355852,1.299616,0.03115841,-0.03651787,1.405018,0.01820594,-0.3540486,1.388265,-0.1532766,0.1453062,1.403954,-0.07140804,-0.3424411,1.353534,-0.2060049,-0.1145347,1.408692,0.3624827,0.02024712,1.266779,NA,NA,NotTracked,Lasso,
-0.8154297,0.5078125,-0.2827148,0.9208984,-0.3305664,-0.06835938,4,-3,-1,2,0,-2,-1,-4,-1,-2,1,1,0,0,0,-1,3.875,3.875,3.875,-0.25,-0.25,-0.25,8.266406,6.542862,2.17997,2.06058,3.065074,7.833749,-0.1990148,-0.4331562,1.336267,0.1812577,0.2607427,1.256786,0.04379366,0.3961771,1.370349,-0.2437456,-0.4253305,1.333379,0.1562868,0.2380608,1.31092,0.0314809,-0.03700909,1.403579,0.01801615,-0.353932,1.388001,-0.1599361,0.1428797,1.399138,-0.0716306,-0.3424345,1.353557,-0.2059295,-0.1145383,1.409474,0.3624066,0.02340193,1.265117,NA,NA,NotTracked,Unknown,
