ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9125977,0.3754883,-0.1298828,0.9394531,-0.296875,-0.04003906,0,-2,-1,-2,-1,0,-1,-1,-3,-1,-1,0,-2,-1,-1,-2,0.5625,0.5625,0.5625,0.4375,0.4375,0.4375,8.043868,3.145706,9.665711,2.161451,2.998631,9.175709,-0.1803602,-0.4370279,1.337699,0.2680245,-0.4440498,1.311448,0.03423426,0.4172267,1.377038,-0.2280675,-0.4279082,1.336249,0.2240351,-0.42223,1.291834,0.03032187,-0.03039805,1.405074,0.02959581,-0.3572384,1.393739,-0.1563691,0.1481906,1.391715,-0.05793115,-0.347654,1.35964,-0.204062,-0.1240354,1.40899,0.2707052,-0.1279824,1.393443,NA,NA,NotTracked,NotTracked,
0.9106445,0.3808594,-0.1259766,0.9287109,-0.3022461,-0.03759766,-1,0,0,-2,-1,1,-1,0,-2,-1,0,0,1,-2,-2,0,2.4375,2.4375,2.4375,0.9375,0.9375,0.9375,8.043633,3.145154,9.669246,2.16457,2.998199,9.175426,-0.1803741,-0.4370764,1.338404,0.2679854,-0.4433395,1.311362,0.03415987,0.4171881,1.376974,-0.2234316,-0.4552424,1.327091,0.2302297,-0.4406916,1.32585,0.03024091,-0.03053863,1.405038,0.02955486,-0.3573359,1.393713,-0.156798,0.1477556,1.392053,-0.05798673,-0.3477739,1.359614,-0.2039688,-0.1242385,1.409007,0.2705612,-0.1280721,1.393534,NA,NA,NotTracked,NotTracked,
0.9086914,0.3754883,-0.1342773,0.9350586,-0.2993164,-0.03564453,-1,-1,0,0,0,-1,-1,0,-3,-1,0,0,0,-2,0,-3,1.4375,1.4375,1.4375,0.625,0.625,0.625,8.04506,3.146799,9.670795,2.166486,2.999075,9.175941,-0.1805744,-0.4371768,1.337624,0.2681221,-0.4432005,1.310819,0.03400856,0.4171284,1.376975,-0.2286251,-0.4516948,1.3326,0.2268116,-0.4239013,1.307044,0.03022332,-0.03060583,1.405034,0.02952637,-0.3573734,1.393685,-0.1568635,0.1475755,1.392128,-0.05802528,-0.3478205,1.359599,-0.2039844,-0.1242369,1.408993,0.2704976,-0.1279798,1.39356,NA,NA,NotTracked,NotTracked,
0.9111328,0.3706055,-0.1303711,0.9345703,-0.296875,-0.03857422,-3,-1,-2,-3,-1,0,-1,0,0,-1,0,-1,-1,-1,-1,-2,0.8125,0.8125,0.8125,0.875,0.875,0.875,8.047605,3.149246,9.67122,2.17013,2.999225,9.174978,-0.1802749,-0.4370142,1.33758,0.2684264,-0.4427944,1.31063,0.033868,0.4169016,1.376778,-0.2259513,-0.4209887,1.332258,0.2287985,-0.4259827,1.32275,0.03013767,-0.03073839,1.405018,0.0294596,-0.3575072,1.393674,-0.1569077,0.1473732,1.392277,-0.05811897,-0.3479828,1.359604,-0.2040099,-0.1242535,1.408987,0.2704208,-0.1280119,1.393546,NA,NA,NotTracked,NotTracked,
0.9140625,0.3657227,-0.1279297,0.9355469,-0.2998047,-0.03759766,0,1,0,-2,-1,-2,1,-1,-2,-1,0,-4,0,-1,0,-1,-0.125,-0.125,-0.125,1.625,1.625,1.625,8.047605,3.149246,9.67122,2.170798,2.998404,9.177312,-0.1802956,-0.436997,1.338767,0.2690561,-0.4436471,1.31047,0.0335695,0.4167567,1.376764,-0.2257028,-0.4526704,1.330571,0.2293186,-0.4260562,1.321273,0.0301075,-0.03078285,1.405026,0.02943208,-0.3575519,1.393674,-0.1570433,0.1472141,1.39237,-0.05814787,-0.3480174,1.35959,-0.204021,-0.1242856,1.409003,0.2703343,-0.1280172,1.393528,NA,NA,NotTracked,NotTracked,
0.9165039,0.3710938,-0.1269531,0.9389648,-0.3071289,-0.04296875,-1,-1,-1,-2,-2,-1,-1,0,2,1,-1,-2,-1,-1,0,-1,-0.4375,-0.4375,-0.4375,0.6875,0.6875,0.6875,8.04705,3.148935,9.671823,2.168486,2.997821,9.182152,-0.1803461,-0.4371639,1.33815,0.2683821,-0.4432389,1.309669,0.03340073,0.4166468,1.376643,-0.2271969,-0.4178771,1.336067,0.2268595,-0.4282444,1.320597,0.03008118,-0.03086491,1.40496,0.02941275,-0.3576222,1.393606,-0.1572436,0.1471432,1.392444,-0.05817823,-0.3481063,1.359542,-0.2041455,-0.1242973,1.408989,0.2702329,-0.1279526,1.393526,NA,NA,NotTracked,NotTracked,
1.060547,0.4301758,-0.1733398,0.9311523,-0.3085938,-0.03857422,1,4,5,-1,-1,0,-1,1,0,0,0,-2,-2,-3,-2,-1,-22.3125,-22.3125,-22.3125,-0.1875,-0.1875,-0.1875,7.979671,3.167475,9.722559,2.169198,2.998408,9.182597,-0.1804631,-0.4368422,1.337077,0.2683022,-0.4426234,1.307987,0.03318479,0.4163547,1.376555,-0.2290375,-0.4261034,1.34125,0.2227305,-0.4024383,1.2857,0.02999423,-0.0309681,1.404893,0.0293478,-0.3577035,1.393548,-0.1568144,0.1474991,1.392124,-0.05827364,-0.348202,1.359497,-0.2041906,-0.1243357,1.409033,0.2701961,-0.127966,1.393513,NA,NA,NotTracked,NotTracked,
1.181152,0.5566406,-0.02832031,0.9838867,-0.3798828,-0.05029297,2,21,35,7,3,2,3,2,-1,0,-1,-1,0,-4,7,-3,19.625,19.625,19.625,10.9375,10.9375,10.9375,7.708865,3.266612,0.02356547,2.187759,3.008113,9.172073,-0.180248,-0.4364379,1.33622,0.2612208,-0.4322608,1.294103,0.0329215,0.4162718,1.376516,-0.2280187,-0.4198069,1.337939,0.228815,-0.4243096,1.32004,0.02995335,-0.03105918,1.404833,0.02931804,-0.3577567,1.393517,-0.1571115,0.1473571,1.392248,-0.05832167,-0.3483056,1.359512,-0.2041949,-0.124347,1.409072,0.2704102,-0.1271743,1.394532,NA,NA,NotTracked,NotTracked,
1.159668,1.010254,0.215332,1.033691,-0.421875,0.02148438,-3,22,42,2,1,0,0,-3,1,2,2,11,2,-2,-11,-4,28.6875,28.6875,28.6875,13.375,13.375,13.375,7.368475,3.532845,0.4772016,2.405873,3.066432,8.993537,-0.1769377,-0.4310088,1.321097,0.2338093,-0.3891422,1.249042,0.03275999,0.4160602,1.376307,-0.2147386,-0.4377745,1.2865,0.2064654,-0.4008837,1.271739,0.02984263,-0.03112758,1.404736,0.02912288,-0.3577592,1.393391,-0.1572879,0.1471134,1.392193,-0.05859806,-0.34834,1.359402,-0.2044439,-0.1238619,1.409607,0.2722311,-0.1208313,1.403094,NA,NA,NotTracked,NotTracked,
0.5253906,0.9794922,0.3266602,1.000488,-0.6113281,0.2363281,-14,-29,-3,-15,-10,-1,-5,-4,0,1,-4,13,4,0,4,-1,-26.1875,-26.1875,-26.1875,-42.3125,-42.3125,-42.3125,7.06247,4.122545,0.893751,2.704906,3.20394,8.629717,-0.1666156,-0.4071505,1.283632,0.1732362,-0.2977698,1.224812,0.03270613,0.4158638,1.375852,-0.1965146,-0.4153515,1.238822,0.1708065,-0.3761507,1.242,0.02896852,-0.03129119,1.403523,0.02641769,-0.3572813,1.391237,-0.1573814,0.1470345,1.392208,-0.0616512,-0.347406,1.357329,-0.2044538,-0.1205933,1.411202,0.2761571,-0.09857477,1.416024,NA,NA,NotTracked,Unknown,
