ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.8852539,-0.4379883,-0.02929688,0.8974609,0.3876953,-0.1367188,-3,-4,-8,-2,1,-1,1,0,-2,-2,0,0,-4,-2,-1,0,-0.4375,-0.4375,-0.4375,-0.0625,-0.0625,-0.0625,2.317117,3.227336,7.954443,8.035682,3.187487,0.2093472,-0.1764275,-0.4265231,1.257375,0.2874362,-0.4252148,1.232413,0.06060461,0.3994695,1.274728,-0.2256593,-0.4224457,1.252126,0.3356979,-0.4187443,1.228448,0.05536231,-0.0410018,1.316843,0.05309039,-0.3652889,1.302713,-0.1341756,0.1403604,1.315783,-0.03549004,-0.3540727,1.272795,-0.1737425,-0.1224754,1.331501,0.2882232,-0.1270279,1.309992,NA,NA,NotTracked,NotTracked,
0.8876953,-0.4389648,-0.03125,0.9013672,0.3881836,-0.1420898,-1,1,2,-1,0,-2,0,-2,-1,-1,-1,-3,-3,-1,-1,0,-0.3125,-0.3125,-0.3125,0.3125,0.3125,0.3125,2.315586,3.227032,7.956956,8.035723,3.187159,0.2095577,-0.176209,-0.4269295,1.258054,0.2866812,-0.4263898,1.232164,0.06057879,0.3994469,1.27462,-0.224164,-0.4117903,1.256023,0.3317069,-0.4212703,1.219328,0.05534947,-0.04109078,1.316698,0.05308443,-0.3653405,1.302644,-0.1343177,0.1403901,1.315766,-0.03549929,-0.3541526,1.272728,-0.1737117,-0.1224786,1.331487,0.2883476,-0.1267928,1.309965,NA,NA,NotTracked,NotTracked,
0.8847656,-0.4355469,-0.03125,0.9042969,0.3837891,-0.1328125,0,3,2,0,0,-1,0,1,-2,-4,-3,0,0,-1,-3,-1,-1.0625,-1.0625,-1.0625,0.375,0.375,0.375,2.314806,3.227345,7.957309,8.035174,3.187378,0.2097663,-0.1757541,-0.4250287,1.25695,0.2855102,-0.426149,1.231182,0.06060336,0.3993637,1.274291,-0.2251126,-0.4183398,1.253139,0.3327346,-0.4285123,1.228079,0.05535211,-0.04109461,1.316562,0.05308297,-0.365335,1.30263,-0.1343466,0.1403981,1.315642,-0.03549815,-0.3541357,1.272714,-0.1736747,-0.1223851,1.33138,0.2883514,-0.1267579,1.309954,NA,NA,NotTracked,NotTracked,
0.8881836,-0.4394531,-0.03173828,0.9023438,0.3867188,-0.1386719,-1,1,0,-1,0,0,0,1,-4,-1,-1,-1,2,0,0,0,-0.9375,-0.9375,-0.9375,0.3125,0.3125,0.3125,2.314376,3.228101,7.956497,8.035521,3.186838,0.2096519,-0.1762579,-0.4279028,1.255953,0.2861663,-0.42591,1.231602,0.06065581,0.3993305,1.2738,-0.2247791,-0.4191899,1.251168,0.3333114,-0.4215116,1.22653,0.05535559,-0.04114223,1.316465,0.05308475,-0.3653476,1.302576,-0.1344322,0.1403731,1.315509,-0.03550482,-0.3541425,1.272651,-0.1736402,-0.1224044,1.331333,0.2883266,-0.1267018,1.309927,NA,NA,NotTracked,NotTracked,
0.8862305,-0.4282227,-0.03027344,0.8994141,0.390625,-0.1342773,-2,-2,4,-1,1,-1,0,-3,-1,0,0,-1,-3,0,-2,-1,-0.4375,-0.4375,-0.4375,0.0625,0.0625,0.0625,2.313362,3.227324,7.95806,8.035628,3.186961,0.2094908,-0.1759696,-0.428917,1.255503,0.2869826,-0.4243892,1.231531,0.06064577,0.3992324,1.273419,-0.2249616,-0.4214081,1.251894,0.3342968,-0.4255614,1.231683,0.05535813,-0.04115802,1.316306,0.05312235,-0.3653477,1.302507,-0.1345028,0.1403308,1.3154,-0.03546431,-0.3541288,1.272586,-0.1736224,-0.1224587,1.331258,0.2882549,-0.1267104,1.309785,NA,NA,NotTracked,NotTracked,
0.8891602,-0.4291992,-0.03564453,0.9023438,0.3916016,-0.1391602,-1,-1,-4,-1,-1,0,-2,0,-1,-2,-3,-1,-2,0,-1,-1,-0.125,-0.125,-0.125,0.5,0.5,0.5,2.311759,3.226618,7.960348,8.035934,3.186749,0.2091657,-0.1762812,-0.4287812,1.255393,0.2856894,-0.4257939,1.231101,0.06063667,0.3991212,1.273053,-0.2252576,-0.418684,1.252862,0.3293461,-0.4222328,1.219791,0.05539336,-0.04135394,1.316014,0.05310113,-0.3654806,1.302371,-0.1344944,0.1401955,1.315083,-0.0355007,-0.3542584,1.272477,-0.1736097,-0.1225318,1.331016,0.2882768,-0.128354,1.309868,NA,NA,NotTracked,NotTracked,
0.8886719,-0.4267578,-0.02636719,0.9008789,0.3808594,-0.1396484,-5,-1,-2,-2,-2,0,1,-3,-1,-1,1,1,-1,-2,-1,0,0.6875,0.6875,0.6875,-0.125,-0.125,-0.125,2.30889,3.224857,7.965603,8.036389,3.186332,0.2088899,-0.1759878,-0.4288077,1.256489,0.2855032,-0.4270306,1.231341,0.06060476,0.3989341,1.272557,-0.224772,-0.4183846,1.251959,0.326432,-0.4432396,1.206316,0.05531813,-0.04136708,1.315902,0.05307882,-0.3654406,1.302349,-0.1346214,0.1403314,1.314988,-0.035525,-0.3541865,1.272456,-0.1736119,-0.122551,1.330913,0.288213,-0.128411,1.309816,NA,NA,NotTracked,NotTracked,
0.8818359,-0.4311523,-0.02978516,1.020996,0.3979492,-0.1704102,0,-2,0,-2,1,3,7,2,-42,-18,-4,6,1,-1,-5,-40,0.5,0.5,0.5,-2.3125,-2.3125,-2.3125,2.305533,3.222836,7.971876,8.036633,3.186239,0.2074203,-0.1755145,-0.4280711,1.256124,0.2865738,-0.4259096,1.230981,0.06054485,0.3987898,1.271994,-0.2249109,-0.4217139,1.252027,0.3314819,-0.4193697,1.224247,0.05531917,-0.04138258,1.315776,0.05307607,-0.3654392,1.302318,-0.1347575,0.1403245,1.314745,-0.03552913,-0.3541825,1.272447,-0.1736408,-0.1225023,1.330847,0.2881439,-0.1281378,1.309546,NA,NA,NotTracked,NotTracked,
1.037109,-0.4355469,-0.03808594,1.077637,0.3833008,-0.3691406,0,1,0,6,-6,3,-57,-1,-7,-3,-3,-1,-1,1,2,-10,-8.375,-8.375,-8.375,-32.125,-32.125,-32.125,2.304836,3.221846,7.97015,7.936036,3.207348,0.2955663,-0.1769785,-0.4285447,1.256164,0.2844904,-0.4248969,1.227807,0.06040839,0.3983522,1.27138,-0.2245121,-0.4208597,1.247561,0.3342717,-0.4079817,1.229,0.0552409,-0.04140456,1.315459,0.05308993,-0.3654171,1.302194,-0.1349222,0.1401854,1.314516,-0.03551796,-0.3541497,1.272324,-0.1736441,-0.1225039,1.330845,0.2882077,-0.1279966,1.309533,NA,NA,NotTracked,NotTracked,
1.119141,-0.4887695,-0.03027344,1.083496,0.6845703,0.1430664,1,0,-1,-5,6,4,-28,-2,-5,-6,-14,-34,-8,-3,-1,3,23.5,23.5,23.5,-8.5,-8.5,-8.5,2.462907,3.248963,7.818168,7.559569,3.314391,0.7029321,-0.169716,-0.4207146,1.243565,0.2784318,-0.4077555,1.206785,0.06035427,0.3983443,1.270954,-0.2129757,-0.4196656,1.218306,0.2755014,-0.3920976,1.153125,0.05519442,-0.04152508,1.315073,0.05308891,-0.3654048,1.302128,-0.1351671,0.1401316,1.314288,-0.03552398,-0.3541246,1.272207,-0.1739273,-0.1225119,1.332395,0.2910614,-0.125441,1.315068,NA,NA,NotTracked,NotTracked,
