ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.8911133,-0.4135742,-0.04882813,0.8994141,0.3901367,-0.1386719,0,0,2,-2,-4,-5,-3,-1,-3,-2,0,-2,-3,-2,-6,0,0.5625,0.5625,0.5625,-0.1875,-0.1875,-0.1875,2.198165,3.199826,7.510046,8.077942,3.185704,0.7650476,-0.1636696,-0.4202228,1.260442,0.2773152,-0.4259259,1.226698,0.05337017,0.3979232,1.303873,-0.2133934,-0.4245277,1.248793,0.2397921,-0.4249088,1.206621,0.0536116,-0.04312247,1.339237,0.05049762,-0.3673223,1.321262,-0.1355043,0.1402925,1.341202,-0.03775003,-0.3564927,1.289175,-0.1767339,-0.1227868,1.336995,0.2815433,-0.1320339,1.312906,NA,NA,NotTracked,NotTracked,
0.8920898,-0.4125977,-0.05175781,0.9003906,0.4033203,-0.1411133,-1,-3,-2,-2,-3,-4,-2,-1,-3,-3,-2,-1,-3,-1,-6,-21,1.25,1.25,1.25,2,2,2,2.200931,3.198302,7.513242,8.077445,3.186165,0.7665949,-0.1636364,-0.4199444,1.260112,0.2768514,-0.4255439,1.225947,0.05335081,0.3978586,1.303749,-0.2129869,-0.4212235,1.250202,0.2376283,-0.4137548,1.239191,0.05391429,-0.04304637,1.338685,0.05058142,-0.3673072,1.321165,-0.1354798,0.1402293,1.341189,-0.03766851,-0.3565027,1.289053,-0.1766383,-0.1230479,1.336665,0.2814481,-0.1319972,1.312853,NA,NA,NotTracked,NotTracked,
0.8930664,-0.4199219,-0.05761719,0.8974609,0.3989258,-0.1435547,-1,-3,-2,0,-3,-4,0,0,1,-1,-1,-1,-1,0,1,4,0,0,0,1.9375,1.9375,1.9375,2.201695,3.198068,7.51447,8.07463,3.188481,0.773129,-0.1631374,-0.420653,1.259845,0.2770995,-0.4255947,1.226486,0.05336354,0.3978868,1.303663,-0.212881,-0.4257176,1.247288,0.2371822,-0.3820191,1.206333,0.05391216,-0.04305065,1.338697,0.05056847,-0.3672988,1.321155,-0.1354867,0.1402183,1.341202,-0.03767224,-0.3565025,1.289061,-0.1765889,-0.1227909,1.336407,0.2813966,-0.1320232,1.312894,NA,NA,NotTracked,NotTracked,
0.894043,-0.4145508,-0.05224609,0.894043,0.4003906,-0.1474609,0,-2,-2,-2,-1,0,-2,-1,0,-2,-2,-1,-5,-2,-7,-2,-1.3125,-1.3125,-1.3125,2.625,2.625,2.625,2.202808,3.198642,7.513343,8.072674,3.192131,0.7788106,-0.1632291,-0.4199158,1.25897,0.276728,-0.4252702,1.224583,0.05337604,0.3978061,1.30361,-0.2131971,-0.4239016,1.249211,0.2354801,-0.4252246,1.210314,0.05391131,-0.04306852,1.338673,0.05057171,-0.3673036,1.321061,-0.1354663,0.1401593,1.341154,-0.03766336,-0.3565195,1.288952,-0.1765819,-0.1227231,1.336232,0.2812936,-0.1320422,1.312735,NA,NA,NotTracked,NotTracked,
0.8935547,-0.409668,-0.05664063,0.8930664,0.3979492,-0.1542969,-2,-1,-2,-1,-1,-1,-1,-1,-1,-2,-2,0,3,-1,-3,2,-0.5,-0.5,-0.5,2.9375,2.9375,2.9375,2.203125,3.200207,7.512286,8.071342,3.195918,0.7851529,-0.1633319,-0.4199972,1.259458,0.2770775,-0.4255444,1.224175,0.05335337,0.397735,1.303623,-0.2136074,-0.4233686,1.25174,0.2369201,-0.4209695,1.208407,0.05390385,-0.04307688,1.338671,0.05057877,-0.367312,1.321029,-0.1355938,0.1411184,1.336476,-0.0376619,-0.3565194,1.288951,-0.176527,-0.1228137,1.336105,0.2811687,-0.1320397,1.312547,NA,NA,NotTracked,NotTracked,
0.8925781,-0.4125977,-0.05566406,0.8974609,0.3994141,-0.1494141,-3,-2,-1,-1,0,-1,-1,-1,-1,-1,-2,-2,-1,0,2,0,0.5,0.5,0.5,2.0625,2.0625,2.0625,2.203599,3.200376,7.51351,8.073594,3.200911,0.7882941,-0.1632681,-0.4196674,1.258932,0.2766103,-0.4251871,1.222535,0.05332654,0.3977264,1.303637,-0.2129067,-0.4233205,1.248564,0.2355503,-0.4235061,1.206354,0.05386814,-0.04310405,1.338652,0.05054607,-0.3673266,1.320985,-0.1356604,0.1407818,1.33744,-0.03769593,-0.3565373,1.288886,-0.1765662,-0.1228765,1.33587,0.2809195,-0.1321243,1.312138,NA,NA,NotTracked,NotTracked,
0.8969727,-0.4145508,-0.05175781,0.8920898,0.4038086,-0.1489258,1,-1,0,0,1,4,1,-1,1,1,-2,-2,-2,-1,0,0,2.1875,2.1875,2.1875,2.375,2.375,2.375,2.206247,3.200786,7.516649,8.07422,3.203971,0.7927228,-0.1635997,-0.4202267,1.259943,0.2763281,-0.4254745,1.221251,0.05326091,0.3979675,1.30377,-0.213524,-0.425253,1.249483,0.2353182,-0.4262097,1.205911,0.05385965,-0.04310826,1.338674,0.05053449,-0.3673222,1.320982,-0.1356515,0.1405539,1.338374,-0.03770215,-0.3565344,1.288896,-0.1765279,-0.122965,1.335809,0.2808568,-0.13225,1.31195,NA,NA,NotTracked,NotTracked,
0.8916016,-0.4130859,-0.05957031,0.8969727,0.4106445,-0.1625977,1,1,1,-2,-3,-3,-2,-1,1,-1,-2,-3,-2,0,3,8,1.375,1.375,1.375,-1.625,-1.625,-1.625,2.207257,3.20194,7.519281,8.068562,3.211381,0.7992859,-0.163352,-0.4197692,1.258651,0.2778843,-0.4238434,1.220155,0.05319204,0.3979211,1.303639,-0.2134956,-0.4250841,1.249437,0.2357951,-0.4188065,1.205772,0.05383024,-0.04309391,1.338661,0.05043333,-0.3673069,1.32085,-0.135638,0.1403494,1.338886,-0.0377726,-0.3565322,1.288826,-0.1765238,-0.1228697,1.33573,0.2806433,-0.1321132,1.311453,NA,NA,NotTracked,NotTracked,
0.8891602,-0.4125977,-0.04882813,0.8857422,0.4335938,-0.1347656,-4,-2,-2,-2,0,0,-1,-1,-2,1,-2,-2,-3,0,-8,-1,-0.5,-0.5,-0.5,4,4,4,2.20759,3.202841,7.519777,8.045558,3.221071,0.8294874,-0.1637193,-0.4192196,1.25907,0.2766205,-0.4232404,1.218155,0.05313892,0.3979321,1.303712,-0.2133092,-0.4232147,1.246035,0.2368766,-0.4206775,1.202045,0.05382414,-0.04308334,1.338652,0.05038771,-0.3672966,1.320704,-0.1358327,0.141168,1.33582,-0.03779804,-0.3565295,1.288771,-0.1765431,-0.1228132,1.335684,0.2808349,-0.1317659,1.311155,NA,NA,NotTracked,NotTracked,
0.8901367,-0.4179688,-0.0546875,0.8725586,0.4208984,-0.140625,-2,1,-1,-1,-3,-3,-2,-1,-2,-1,-1,-2,-5,-2,0,-3,0,0,0,4,4,4,2.208984,3.204168,7.520055,8.023097,3.234961,0.8603101,-0.1633957,-0.4200208,1.259176,0.2762752,-0.4217116,1.215031,0.05286797,0.3979456,1.303918,-0.2122935,-0.4271865,1.24161,0.2351804,-0.4184503,1.203295,0.05373619,-0.04308985,1.338639,0.05034216,-0.3672737,1.320617,-0.1360087,0.1407188,1.337421,-0.03783853,-0.3565155,1.288711,-0.176541,-0.1228846,1.335659,0.2809777,-0.1314739,1.310914,NA,NA,NotTracked,NotTracked,
