ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9047852,0.3696289,-0.1518555,0.9140625,-0.3710938,-0.04882813,0,0,-1,-1,-1,-2,-1,-1,0,-3,-6,-1,-1,0,1,-1,0.3125,0.3125,0.3125,-2.0625,-2.0625,-2.0625,8.113014,3.165208,9.682911,2.182407,3.120458,0.2206003,-0.1476262,-0.4347576,1.353842,0.312731,-0.4418676,1.333417,0.08955322,0.3975091,1.376384,-0.09752248,-0.3953522,1.353375,0.2690302,-0.4312565,1.330959,0.08155242,-0.04295466,1.423211,0.07852313,-0.3658667,1.4147,-0.1052695,0.1421496,1.425213,-0.01037553,-0.3563882,1.383556,-0.1515715,-0.1271582,1.436407,0.3131443,-0.1245569,1.416015,NA,NA,NotTracked,NotTracked,
0.9042969,0.3706055,-0.1494141,0.9101563,-0.3598633,-0.05224609,-1,-1,1,0,2,-1,0,-1,-1,0,-2,-1,-5,-1,-1,-1,-1.6875,-1.6875,-1.6875,-1.3125,-1.3125,-1.3125,8.111041,3.163549,9.682569,2.203352,3.126653,0.1939647,-0.1470347,-0.434296,1.353318,0.3122564,-0.4418303,1.333387,0.08948695,0.3975287,1.3764,-0.09821163,-0.4028085,1.35259,0.2694192,-0.4267275,1.336662,0.08155165,-0.04284714,1.423174,0.07848524,-0.3657174,1.414634,-0.1051858,0.1422853,1.425128,-0.01040401,-0.3562346,1.383465,-0.1515643,-0.1271637,1.43621,0.3131188,-0.1244986,1.416006,NA,NA,NotTracked,NotTracked,
0.9033203,0.3725586,-0.1586914,0.9101563,-0.3598633,-0.05224609,-3,0,-1,0,-2,-1,-2,-3,0,-1,-7,-4,-2,0,0,-2,-1.25,-1.25,-1.25,-1.3125,-1.3125,-1.3125,8.112299,3.162253,9.678459,2.203352,3.126653,0.1939647,-0.1468747,-0.4336059,1.352109,0.3117937,-0.4418798,1.333246,0.08936906,0.3975498,1.376242,-0.09889249,-0.3968897,1.354524,0.2688109,-0.4290117,1.334928,0.0814882,-0.0428429,1.42313,0.07840701,-0.3657394,1.414606,-0.1052296,0.1422611,1.42507,-0.01049807,-0.3562596,1.383443,-0.1516171,-0.1270014,1.436141,0.3130519,-0.1245044,1.415959,NA,NA,NotTracked,NotTracked,
0.902832,0.3759766,-0.1508789,0.9116211,-0.3657227,-0.04638672,0,0,0,1,1,0,-1,0,-1,-2,-14,-4,-1,-2,-1,-2,-1.1875,-1.1875,-1.1875,0.375,0.375,0.375,8.11398,3.162133,9.673856,2.21071,3.128328,0.1865067,-0.1469742,-0.4339878,1.352627,0.3122283,-0.441787,1.334064,0.08929742,0.3975229,1.376023,-0.09742787,-0.4171082,1.348839,0.2682629,-0.4264106,1.331456,0.08141971,-0.04284924,1.423011,0.07840094,-0.3657392,1.414564,-0.1053616,0.1422107,1.424861,-0.01050741,-0.3562676,1.383414,-0.1516444,-0.1269564,1.435781,0.3129584,-0.1244238,1.415856,NA,NA,NotTracked,NotTracked,
0.9042969,0.3789063,-0.1450195,0.9101563,-0.3740234,-0.04589844,-1,-1,0,-1,0,1,0,1,1,5,20,-2,0,0,-1,0,-1.875,-1.875,-1.875,-0.25,-0.25,-0.25,8.11428,3.163528,9.669935,2.209492,3.12811,0.1884299,-0.1475201,-0.4353611,1.352832,0.3124147,-0.442319,1.333912,0.08927675,0.3974515,1.375975,-0.09791039,-0.3941168,1.353846,0.2681186,-0.4304582,1.329883,0.08137566,-0.0428807,1.422961,0.07837517,-0.3657772,1.414533,-0.1054033,0.1421555,1.424727,-0.01054001,-0.3563074,1.383378,-0.1516883,-0.1271237,1.435579,0.3129732,-0.1244349,1.415852,NA,NA,NotTracked,NotTracked,
0.9013672,0.3759766,-0.1479492,0.9101563,-0.3740234,-0.04589844,-8,-6,-4,-3,-5,-2,-5,-1,-4,-2,2,2,1,-1,-2,-1,-0.5,-0.5,-0.5,-0.25,-0.25,-0.25,8.113527,3.164546,9.669127,2.209492,3.12811,0.1884299,-0.1479765,-0.4349349,1.352991,0.3126958,-0.4419108,1.334324,0.08925148,0.3973142,1.375768,-0.09776518,-0.4014765,1.351647,0.2697843,-0.4356169,1.324444,0.08136256,-0.04288454,1.42294,0.07835656,-0.3657419,1.414497,-0.1054057,0.1421682,1.424709,-0.0105559,-0.3562953,1.383337,-0.1517515,-0.1268372,1.43545,0.3129212,-0.1244979,1.415871,NA,NA,NotTracked,NotTracked,
0.9541016,0.5444336,-0.3642578,0.9165039,-0.3740234,-0.05371094,3,-2,4,-5,0,-1,-11,-4,-3,-4,-7,-6,-6,-3,0,-3,-24.5,-24.5,-24.5,-1.4375,-1.4375,-1.4375,8.120419,3.183006,9.648081,2.190472,3.121271,0.2132276,-0.1476776,-0.4339845,1.352152,0.3128898,-0.4412587,1.332692,0.08924193,0.3973775,1.375718,-0.09828521,-0.3923081,1.353963,0.2664207,-0.436012,1.340421,0.08131471,-0.04289767,1.422851,0.07834136,-0.3657494,1.414454,-0.1054643,0.1421003,1.424545,-0.01057641,-0.3562929,1.383286,-0.1517277,-0.1269467,1.435296,0.3129105,-0.1244823,1.415865,NA,NA,NotTracked,NotTracked,
1.155273,0.6137695,-0.3178711,0.8779297,-0.737793,-0.2705078,-8,4,0,4,5,-4,-7,-4,-2,-5,-10,1,10,13,5,3,-184.8125,-184.8125,-184.8125,58.8125,58.8125,58.8125,7.830806,3.355936,9.593284,2.178962,3.164141,0.2571107,-0.1571314,-0.4270125,1.334422,0.3187174,-0.4263161,1.313949,0.08921801,0.3974892,1.375588,-0.1072716,-0.4076134,1.359923,0.2700961,-0.4236341,1.283194,0.08125909,-0.04285991,1.422735,0.07832628,-0.365741,1.41441,-0.1053698,0.1419823,1.424351,-0.01059271,-0.3562773,1.38325,-0.1521191,-0.1266437,1.436128,0.313321,-0.1244639,1.417019,NA,NA,NotTracked,NotTracked,
0.9506836,1.04248,-0.03222656,1.053223,-0.8383789,0.02587891,6,2,-7,-9,-24,-11,-1,2,2,-6,-4,7,0,-7,-3,-4,-110.4375,-110.4375,-110.4375,186.125,186.125,186.125,7.547058,3.652167,9.6638,2.691643,3.46839,0.2368083,-0.2141597,-0.3683389,1.294417,0.3531192,-0.3633154,1.274604,0.08913258,0.3975884,1.375332,-0.1804807,-0.3917137,1.299231,0.3389085,-0.4082562,1.202,0.0812472,-0.04259806,1.422471,0.07821041,-0.3651201,1.414359,-0.1050543,0.1421258,1.424149,-0.01071957,-0.3556376,1.383267,-0.1574482,-0.1211963,1.447379,0.3206257,-0.1175017,1.431789,NA,NA,NotTracked,NotTracked,
0.6000977,0.8725586,0.159668,0.8032227,-0.8505859,0.2446289,-32,-7,1,3,-7,-4,-15,-17,13,19,40,93,32,11,2,3,-61.625,-61.625,-61.625,123.25,123.25,123.25,7.394705,4.030438,9.683787,2.905696,3.816057,0.2606162,-0.2653036,-0.2902084,1.265723,0.3926739,-0.2770084,1.244553,0.08895464,0.397296,1.374574,-0.2357634,-0.3236023,1.249385,0.4259424,-0.2860158,1.209857,0.08116744,-0.04223891,1.422081,0.07798446,-0.364197,1.41402,-0.1048609,0.1423937,1.424476,-0.01102235,-0.3548797,1.38306,-0.1603046,-0.1059538,1.461354,0.3299502,-0.09887175,1.453054,NA,NA,Unknown,Closed,
