ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.8740234,-0.4130859,-0.05078125,-0.6108398,0.6577148,0.2041016,-4,-3,-1,-2,-1,-1,0,-2,-5,8,8,9,15,5,0,-21,-2.625,-2.625,-2.625,14.5625,14.5625,14.5625,2.270902,3.223366,1.118515,7.067988,5.945714,2.695769,-0.1800342,-0.4240388,1.267172,0.187708,0.1469476,1.147152,0.03896097,0.4036674,1.325206,-0.1284854,-0.3963536,1.266017,0.202749,0.1808852,1.1155,0.04365467,-0.04025597,1.358051,0.04323073,-0.3650312,1.340652,-0.143251,0.1380179,1.355658,-0.04529269,-0.3551738,1.30837,-0.1849071,-0.1226471,1.3477,0.2912608,-0.08423679,1.298706,NA,NA,NotTracked,Closed,
0.8740234,-0.4130859,-0.05078125,-0.5722656,0.6459961,0.2104492,-4,-3,-1,-2,-1,-1,0,-2,-20,-19,-6,-2,-2,-2,-2,30,-2.625,-2.625,-2.625,23.25,23.25,23.25,2.270902,3.223366,1.118515,7.218722,6.299935,2.850685,-0.1792318,-0.4234717,1.264145,0.1841843,0.1934711,1.16943,0.0400993,0.4031773,1.32549,-0.1261746,-0.3972008,1.269599,0.1970111,0.2346689,1.150294,0.04524874,-0.04096545,1.35532,0.04282816,-0.3651761,1.340194,-0.1431362,0.1381122,1.355577,-0.04578301,-0.3551643,1.308278,-0.1850944,-0.1218257,1.346645,0.2959942,-0.07969583,1.26962,NA,NA,NotTracked,Unknown,
0.8740234,-0.4130859,-0.05078125,-0.5566406,0.480957,0.1088867,-4,-3,-1,-2,-1,-1,0,-2,2,1,-2,1,3,5,7,-2,-2.625,-2.625,-2.625,2.5,2.5,2.5,2.270902,3.223366,1.118515,7.397379,6.540201,3.073336,-0.1788015,-0.4227071,1.261357,0.1785837,0.2188148,1.185313,0.04191758,0.4027541,1.32568,-0.1343877,-0.4107333,1.275167,0.1919299,0.2595624,1.173278,0.04704305,-0.04114554,1.352415,0.0421024,-0.3648875,1.339318,-0.1418455,0.1392879,1.355867,-0.04682025,-0.35458,1.308141,-0.1853509,-0.1206737,1.346054,0.3000095,-0.07094576,1.235677,NA,NA,NotTracked,Unknown,
0.8740234,-0.4130859,-0.05078125,-0.6459961,0.4555664,0.06005859,-4,-3,-1,-2,-1,-1,0,-2,16,1,2,5,7,7,20,101,-2.625,-2.625,-2.625,3.4375,3.4375,3.4375,2.270902,3.223366,1.118515,7.581541,6.688721,3.287205,-0.1785731,-0.4230015,1.259493,0.1723279,0.229769,1.196536,0.04388882,0.4021988,1.325468,-0.1292111,-0.3833733,1.2691,0.1892068,0.2746819,1.190636,0.04797795,-0.04159076,1.350802,0.04146307,-0.3649845,1.338556,-0.1414248,0.1395188,1.355965,-0.04757105,-0.3544285,1.308155,-0.1851723,-0.119772,1.345555,0.3012804,-0.0671315,1.221551,NA,NA,NotTracked,Unknown,
0.8740234,-0.4130859,-0.05078125,-0.7988281,0.4130859,-0.1025391,-4,-3,-1,-2,-1,-1,0,-2,9,1,1,5,6,6,5,-1,-2.625,-2.625,-2.625,-22.75,-22.75,-22.75,2.270902,3.223366,1.118515,7.82483,6.756643,3.647646,-0.1788841,-0.4247187,1.259974,0.1630585,0.2327527,1.206866,0.04519703,0.4020236,1.325755,-0.1310426,-0.3890811,1.266074,0.1793902,0.2718933,1.195071,0.04801232,-0.04164654,1.350672,0.04123522,-0.3650835,1.338269,-0.1406692,0.1399245,1.356249,-0.04788742,-0.3543765,1.30845,-0.1850564,-0.1189818,1.345594,0.3015674,-0.0656302,1.215249,NA,NA,NotTracked,Unknown,
0.8740234,-0.4130859,-0.05078125,-0.828125,0.4956055,-0.1210938,-4,-3,-1,-2,-1,-1,0,-2,2,-12,-1,1,6,2,-4,-6,-2.625,-2.625,-2.625,-36.9375,-36.9375,-36.9375,2.270902,3.223366,1.118515,7.924757,6.753489,3.805416,-0.1788468,-0.4251562,1.262481,0.1582294,0.2289853,1.215465,0.04648217,0.4013278,1.325945,-0.1309967,-0.3866926,1.265731,0.1699659,0.2730168,1.207722,0.04759254,-0.04188509,1.350969,0.0410493,-0.3653923,1.337948,-0.140307,0.140132,1.356592,-0.04815944,-0.3546771,1.30902,-0.1848444,-0.1189501,1.345673,0.3001184,-0.06418366,1.212012,NA,NA,NotTracked,Unknown,
0.8740234,-0.4130859,-0.05078125,-0.8432617,0.3447266,-0.3901367,-4,-3,-1,-2,-1,-1,0,-2,-9,4,5,9,10,7,4,4,-2.625,-2.625,-2.625,10.3125,10.3125,10.3125,2.270902,3.223366,1.118515,8.026978,6.756296,3.964549,-0.1791919,-0.4264012,1.26689,0.1576977,0.2272926,1.221556,0.04708455,0.4006197,1.326099,-0.1281364,-0.3931382,1.272442,0.1509885,0.2298864,1.184561,0.04721591,-0.04226025,1.351305,0.04092381,-0.3658,1.33769,-0.139661,0.1402204,1.357106,-0.04829095,-0.3551124,1.309663,-0.1846188,-0.1188087,1.346173,0.2987063,-0.06359871,1.209689,NA,NA,NotTracked,NotTracked,
0.8740234,-0.4130859,-0.05078125,-0.8198242,0.4477539,-0.1079102,-4,-3,-1,-2,-1,-1,0,-2,-17,-9,-12,-14,-9,-10,-9,13,-2.625,-2.625,-2.625,5.5,5.5,5.5,2.270902,3.223366,1.118515,7.95029,6.768885,3.846644,-0.1801196,-0.4272767,1.270102,0.1610081,0.2330454,1.21108,0.04747239,0.4003887,1.326289,-0.1275838,-0.4045649,1.272216,0.1582138,0.167753,1.281061,0.04694778,-0.0423383,1.351642,0.04078211,-0.3659644,1.33752,-0.1393029,0.1401564,1.357758,-0.04843295,-0.3552017,1.309897,-0.1845855,-0.118652,1.346934,0.297662,-0.0629504,1.207279,NA,NA,NotTracked,NotTracked,
0.8740234,-0.4130859,-0.05078125,-0.9589844,0.4379883,-0.05126953,-4,-3,-1,-2,-1,-1,0,-2,-20,-12,-7,-4,-4,-3,-6,-20,-2.625,-2.625,-2.625,18.625,18.625,18.625,2.270902,3.223366,1.118515,7.818879,6.769058,3.681279,-0.1801443,-0.4280124,1.272169,0.1657509,0.2375841,1.198966,0.04794697,0.400316,1.326223,-0.1287134,-0.3977312,1.270257,0.1377544,0.2262242,1.17725,0.04804583,-0.04248017,1.350397,0.0406824,-0.3658563,1.337301,-0.1387343,0.1403159,1.358332,-0.04854958,-0.3549854,1.309907,-0.1843949,-0.1185371,1.34747,0.2968796,-0.06206624,1.204949,NA,NA,NotTracked,Unknown,
0.8740234,-0.4130859,-0.05078125,-0.9272461,0.4833984,0.04541016,-4,-3,-1,-2,-1,-1,0,-2,-9,-2,-2,-1,0,5,2,-23,-2.625,-2.625,-2.625,-12.8125,-12.8125,-12.8125,2.270902,3.223366,1.118515,7.760623,6.765159,3.622011,-0.1800777,-0.4274419,1.272174,0.1638603,0.2377069,1.201562,0.04845948,0.4003245,1.326182,-0.1285201,-0.404615,1.269354,0.1381122,0.2220398,1.182532,0.04818536,-0.0424057,1.350383,0.04053662,-0.3658259,1.337098,-0.1383808,0.1405199,1.358437,-0.0487722,-0.3548548,1.309914,-0.1839858,-0.1180508,1.347945,0.2964115,-0.06190476,1.200896,NA,NA,NotTracked,Unknown,
