ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9047852,0.3681641,-0.1455078,0.9121094,-0.362793,-0.08544922,-1,-1,-3,-1,-1,0,4,9,-2,-3,-7,-2,-1,0,-1,-5,-0.5,-0.5,-0.5,-1.4375,-1.4375,-1.4375,8.133301,3.158737,9.403651,1.990212,3.136192,4.015425,-0.2068018,-0.4395446,1.365244,0.2718117,-0.4298626,1.349651,0.0420938,0.392842,1.388402,-0.1550552,-0.4187675,1.369377,0.2261876,-0.4418091,1.316254,0.03393714,-0.0462301,1.435143,0.03158744,-0.3666744,1.425004,-0.1507962,0.137423,1.426314,-0.05636186,-0.3570952,1.391281,-0.1994647,-0.1303792,1.442654,0.2705917,-0.1270987,1.430941,NA,NA,NotTracked,NotTracked,
0.9121094,0.3671875,-0.1503906,0.9101563,-0.3583984,-0.09228516,-1,-1,-1,-1,0,-2,1,-2,-2,0,-1,-1,-1,0,-1,-8,-0.5,-0.5,-0.5,-1.75,-1.75,-1.75,8.133381,3.158433,9.403894,1.988065,3.134553,4.016194,-0.2064081,-0.4393792,1.365376,0.2720205,-0.4302023,1.3494,0.04205433,0.3927054,1.388139,-0.1554552,-0.4262466,1.36744,0.2260586,-0.4424435,1.31633,0.03397435,-0.04624153,1.435154,0.0315891,-0.366751,1.425204,-0.1501739,0.1373201,1.425176,-0.05638012,-0.3571505,1.391404,-0.1994372,-0.1303528,1.442657,0.2706531,-0.1271617,1.431014,NA,NA,NotTracked,NotTracked,
0.9106445,0.3676758,-0.1513672,0.9008789,-0.3652344,-0.09423828,0,-1,-2,-3,-2,0,-2,1,0,-3,-3,-2,-1,0,-2,-8,-0.375,-0.375,-0.375,-1.5625,-1.5625,-1.5625,8.128643,3.1569,9.407739,1.989806,3.132825,4.011804,-0.2057106,-0.4387697,1.36442,0.2711592,-0.4299251,1.348345,0.04217802,0.3925602,1.387559,-0.1555198,-0.4269512,1.366523,0.2256329,-0.4356005,1.355143,0.03404339,-0.04626163,1.435068,0.03158132,-0.3667601,1.425297,-0.1504122,0.1374534,1.425873,-0.05638601,-0.3571572,1.391475,-0.1993002,-0.1303266,1.442485,0.2707018,-0.1273255,1.431064,NA,NA,NotTracked,NotTracked,
0.9077148,0.371582,-0.1572266,0.9086914,-0.3686523,-0.1035156,-2,0,-2,0,-2,-1,-1,-4,-1,-2,-3,-2,0,-2,-1,-2,-1.4375,-1.4375,-1.4375,-0.25,-0.25,-0.25,8.125468,3.155981,9.408826,1.991765,3.1331,4.009816,-0.2057417,-0.438749,1.365146,0.2709096,-0.4296989,1.349771,0.04225824,0.3925115,1.387191,-0.1551877,-0.4253092,1.367347,0.2285707,-0.4291641,1.354737,0.03415035,-0.04625551,1.434979,0.03157192,-0.3667531,1.425334,-0.1505656,0.1375696,1.426297,-0.05640017,-0.3571378,1.391492,-0.1991788,-0.1303633,1.442399,0.2707326,-0.1273993,1.431104,NA,NA,NotTracked,NotTracked,
0.9106445,0.3754883,-0.1489258,0.9121094,-0.3666992,-0.09863281,-1,-2,-1,-2,-2,-1,-3,3,1,-3,-2,0,-1,0,0,-7,-0.4375,-0.4375,-0.4375,-0.875,-0.875,-0.875,8.125851,3.15611,9.408609,1.992649,3.134076,4.009081,-0.2055494,-0.4381469,1.364313,0.2709131,-0.4297913,1.349855,0.04246813,0.3925219,1.386859,-0.154765,-0.4380832,1.3626,0.225068,-0.4427235,1.316215,0.03423641,-0.04626404,1.434905,0.03161412,-0.3667394,1.425428,-0.1499047,0.1376464,1.424927,-0.05636729,-0.3571229,1.391543,-0.1990407,-0.1302806,1.442222,0.2707258,-0.1272725,1.431122,NA,NA,NotTracked,NotTracked,
0.9082031,0.3681641,-0.1542969,0.9111328,-0.3657227,-0.1010742,-1,-3,1,-1,-2,-2,-2,-3,-2,-1,1,-1,-1,-3,-2,1,-0.6875,-0.6875,-0.6875,-0.375,-0.375,-0.375,8.127057,3.15668,9.406363,1.99524,3.136304,4.007167,-0.2058455,-0.4386515,1.363378,0.271263,-0.4296324,1.348923,0.04257047,0.3925467,1.386676,-0.155482,-0.4306012,1.365698,0.2248234,-0.4428898,1.314967,0.03429929,-0.04623629,1.434819,0.0316157,-0.366732,1.425444,-0.1501791,0.1377895,1.42572,-0.05636475,-0.3571175,1.391548,-0.1989551,-0.1305903,1.44199,0.2707561,-0.1272757,1.431095,NA,NA,NotTracked,NotTracked,
0.9086914,0.3725586,-0.1455078,0.9086914,-0.3623047,-0.09375,-2,-9,-2,-3,-2,0,2,2,-2,-1,-1,1,-1,-1,-2,-3,-0.125,-0.125,-0.125,-0.375,-0.375,-0.375,8.127823,3.157598,9.404717,1.993065,3.136962,4.008721,-0.2057848,-0.4382348,1.362437,0.271008,-0.430207,1.348476,0.04271777,0.3927577,1.3865,-0.1552293,-0.4288285,1.365671,0.2250495,-0.4414393,1.3125,0.03444036,-0.04618374,1.434633,0.03164282,-0.3667057,1.425451,-0.1502123,0.13788,1.425863,-0.05633222,-0.3570821,1.391538,-0.1989296,-0.1305411,1.441757,0.2707651,-0.1272656,1.431094,NA,NA,NotTracked,NotTracked,
1.044922,0.4086914,-0.1557617,0.9487305,-0.3886719,-0.08349609,11,16,7,-4,-3,1,5,11,-1,2,5,2,2,1,-3,-3,-19.0625,-19.0625,-19.0625,0.0625,0.0625,0.0625,8.075745,3.168797,9.439037,1.996466,3.137388,4.006458,-0.2054015,-0.4376158,1.36038,0.2707807,-0.4291387,1.346717,0.04288381,0.3927081,1.38608,-0.1552937,-0.4280815,1.365595,0.2254733,-0.4427512,1.309935,0.03446755,-0.04621439,1.434453,0.03164674,-0.3667357,1.425426,-0.1494697,0.1379008,1.424093,-0.0563315,-0.3571008,1.391485,-0.1988031,-0.1307433,1.441505,0.2708532,-0.1272955,1.43097,NA,NA,NotTracked,NotTracked,
1.306152,0.4624023,-0.1806641,1.15625,-0.4404297,-0.1523438,-17,-29,-71,0,-3,0,-2,-7,-2,-2,1,-11,-30,-15,-2,-1,1.25,1.25,1.25,23.1875,23.1875,23.1875,7.768314,3.267974,9.746429,2.146957,3.153738,3.884584,-0.1994169,-0.4298734,1.348547,0.2659963,-0.4169951,1.335662,0.0429376,0.3927449,1.385959,-0.1545074,-0.4196034,1.365521,0.2209842,-0.4257142,1.348167,0.03458659,-0.04613472,1.434412,0.0317262,-0.3666486,1.425471,-0.1499552,0.1378243,1.424777,-0.05625681,-0.3570129,1.391457,-0.1985672,-0.130109,1.442084,0.2711219,-0.1268207,1.431842,NA,NA,NotTracked,NotTracked,
1.297363,1.186035,0.3398438,1.448242,-0.9179688,0.4262695,2,3,8,17,-2,-4,1,2,4,3,11,32,40,49,9,1,78.8125,78.8125,78.8125,-64.5625,-64.5625,-64.5625,7.396705,3.570775,0.3020138,2.696169,3.403105,3.189478,-0.175592,-0.3748435,1.295395,0.2313766,-0.368125,1.292799,0.04303586,0.3926605,1.385457,-0.1439854,-0.3902438,1.311952,0.2010362,-0.3765641,1.311667,0.03475975,-0.04598102,1.43373,0.03174351,-0.3664877,1.425107,-0.1490276,0.1380574,1.422741,-0.05627542,-0.3569363,1.391279,-0.1998029,-0.1224154,1.452098,0.2745074,-0.1170347,1.444186,NA,NA,NotTracked,NotTracked,
