ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9291992,0.2880859,0.03515625,0.9350586,-0.3149414,-0.1113281,0,-1,0,-1,0,-2,-2,-2,-1,-1,0,-2,-2,-1,-1,0,2.4375,2.4375,2.4375,0.5625,0.5625,0.5625,7.357732,2.994501,8.513082,1.940463,3.027851,6.141612,-0.1409366,-0.4011693,1.573051,0.3159039,-0.39686,1.509012,0.109151,0.4772407,1.616942,-0.1904462,-0.4072875,1.586521,0.3609823,-0.3986294,1.497153,0.1072837,0.006109281,1.628594,0.1079432,-0.3279907,1.609141,-0.08237215,0.2049199,1.629323,0.02070605,-0.3210081,1.577531,-0.1389311,-0.08583456,1.647285,0.3404331,-0.07654199,1.584056,NA,NA,NotTracked,NotTracked,
0.9306641,0.293457,0.03662109,0.9355469,-0.3056641,-0.1137695,-2,-1,0,0,-2,-1,-1,-1,-1,-2,-2,-1,-1,1,-2,-1,1.5625,1.5625,1.5625,0.75,0.75,0.75,7.358547,2.994096,8.516145,1.942997,3.028347,6.139699,-0.1412026,-0.4018046,1.573268,0.3160874,-0.3969445,1.508811,0.1090942,0.4772503,1.617008,-0.1898181,-0.427651,1.5857,0.3594564,-0.4168683,1.498,0.107048,0.006119956,1.628779,0.107596,-0.3280158,1.609337,-0.08247267,0.2048187,1.629517,0.02037809,-0.3210248,1.577703,-0.1389937,-0.08576553,1.64737,0.3403577,-0.07637334,1.584145,NA,NA,NotTracked,NotTracked,
0.9282227,0.2905273,0.03662109,0.9418945,-0.3085938,-0.1079102,-3,-1,0,-1,-2,-2,-1,-1,-1,1,-4,-1,-1,-2,-2,0,1.1875,1.1875,1.1875,-0.625,-0.625,-0.625,7.358313,2.994035,8.518226,1.942997,3.028347,6.139699,-0.1411657,-0.4012189,1.572886,0.3158663,-0.3975174,1.50812,0.1089747,0.4772649,1.617042,-0.1903118,-0.4008327,1.587,0.3605007,-0.3948486,1.495926,0.1069734,0.006117577,1.628811,0.1075227,-0.3280318,1.609327,-0.08256502,0.2046628,1.629642,0.02031578,-0.3210276,1.577678,-0.1390363,-0.08589109,1.647403,0.3401419,-0.07623588,1.584143,NA,NA,NotTracked,NotTracked,
0.9277344,0.2939453,0.03222656,0.9399414,-0.3037109,-0.1079102,-2,-1,-1,-2,-2,0,-3,0,-1,0,-1,-2,-1,0,-2,-1,-1.125,-1.125,-1.125,0.5,0.5,0.5,7.359195,2.993799,8.517076,1.943108,3.02865,6.13975,-0.1409969,-0.4022758,1.573134,0.3157856,-0.3979201,1.508079,0.1088647,0.4771623,1.617213,-0.1900885,-0.4156972,1.585791,0.360346,-0.3916862,1.495259,0.1068992,0.006057441,1.628857,0.1073909,-0.328092,1.609342,-0.08268955,0.20452,1.629765,0.02018432,-0.3210872,1.577714,-0.1390875,-0.08601447,1.64742,0.3399767,-0.07621014,1.584191,NA,NA,NotTracked,NotTracked,
0.9287109,0.2919922,0.02539063,0.940918,-0.3125,-0.1015625,1,-1,0,-3,-1,-1,0,0,-2,-1,-1,1,2,0,-1,-1,-0.6875,-0.6875,-0.6875,-1.625,-1.625,-1.625,7.359415,2.994262,8.514237,1.941799,3.027741,6.139277,-0.1407185,-0.4006971,1.573508,0.315869,-0.3967825,1.509064,0.1087482,0.4771976,1.617217,-0.1902932,-0.4079847,1.586535,0.3576024,-0.4178401,1.493692,0.1068473,0.006165013,1.628914,0.1072984,-0.3280197,1.609391,-0.08276691,0.204562,1.6298,0.02009379,-0.3210179,1.577744,-0.1391047,-0.08597008,1.647497,0.3398309,-0.076034,1.584185,NA,NA,NotTracked,NotTracked,
0.9243164,0.3081055,0.01806641,0.9399414,-0.3149414,-0.1132813,-6,4,3,-1,-1,2,2,-4,-1,-2,3,-1,-1,-3,0,0,-0.25,-0.25,-0.25,1.9375,1.9375,1.9375,7.361663,2.994054,8.513156,1.942973,3.027901,6.141791,-0.1410003,-0.4006632,1.573122,0.3154462,-0.3964151,1.508827,0.1085837,0.4776198,1.617375,-0.1897262,-0.4270879,1.58675,0.359971,-0.3899511,1.494926,0.1067288,0.006495391,1.628941,0.1073533,-0.3277282,1.609305,-0.08292085,0.2049137,1.629899,0.02014402,-0.320772,1.577664,-0.1391575,-0.08541853,1.647374,0.3396571,-0.07587624,1.584176,NA,NA,NotTracked,NotTracked,
0.9345703,0.3691406,0.003417969,0.9306641,-0.3168945,-0.105957,4,-2,-8,-4,3,0,0,6,-1,-3,-5,-1,-1,-1,-1,-2,-33.9375,-33.9375,-33.9375,-2.375,-2.375,-2.375,7.355514,3.013738,8.488932,1.944095,3.029077,6.139405,-0.1412644,-0.4006921,1.573068,0.3154986,-0.3972915,1.507359,0.1085253,0.4777552,1.617509,-0.1903936,-0.400736,1.586045,0.3599527,-0.4010795,1.495443,0.1065979,0.006719828,1.629048,0.1072964,-0.3276241,1.609395,-0.08299737,0.2050977,1.630002,0.02009188,-0.320675,1.5777,-0.1391992,-0.08547682,1.647399,0.3395762,-0.07594227,1.584133,NA,NA,NotTracked,NotTracked,
1.054688,0.6435547,-0.09521484,0.9462891,-0.3164063,-0.1088867,-1,2,0,0,1,2,0,-6,-2,-4,-1,-1,0,0,-1,-3,-89,-89,-89,-1.9375,-1.9375,-1.9375,7.354967,3.101911,8.375961,1.943773,3.032177,6.136199,-0.1416053,-0.4020586,1.573039,0.3149962,-0.3957455,1.501346,0.1085005,0.4777953,1.617725,-0.1920048,-0.4175503,1.587327,0.3611195,-0.4073991,1.487429,0.1064153,0.006715429,1.629223,0.1072095,-0.3276386,1.609548,-0.08318145,0.2048929,1.630084,0.02001179,-0.3207059,1.577809,-0.1394221,-0.08565831,1.647326,0.3392822,-0.07697245,1.584243,NA,NA,NotTracked,NotTracked,
1.14502,0.7084961,-0.02441406,0.9501953,-0.3046875,-0.1279297,-16,-5,-5,2,1,-2,-2,-20,-1,-2,0,1,-1,-1,2,0,-145.3125,-145.3125,-145.3125,-1,-1,-1,7.127497,3.31859,8.389374,1.944627,3.033166,6.132599,-0.1423506,-0.4012689,1.571219,0.3105881,-0.3874221,1.468371,0.1084291,0.4779331,1.618137,-0.1931112,-0.4078619,1.588563,0.3533095,-0.4123039,1.455632,0.1062966,0.006714484,1.629302,0.1071723,-0.3276692,1.609615,-0.08328829,0.2049109,1.630063,0.01997833,-0.3207366,1.577795,-0.1396316,-0.08595384,1.647165,0.3399984,-0.07772054,1.584712,NA,NA,NotTracked,NotTracked,
1.043457,0.9287109,0.4516602,0.9345703,-0.3144531,-0.1210938,5,3,-3,-4,-1,-1,-2,0,-1,1,-1,0,-1,-2,-2,0,-82.875,-82.875,-82.875,-10.5,-10.5,-10.5,6.859363,3.83042,8.438012,1.94434,3.03298,6.118534,-0.1416526,-0.3990776,1.570802,0.3084498,-0.3210218,1.393168,0.1083535,0.4781687,1.618118,-0.1923268,-0.4054739,1.586988,0.328275,-0.3359224,1.340462,0.1060059,0.007063388,1.629334,0.1066665,-0.3272504,1.609831,-0.08361021,0.2053935,1.629646,0.01943548,-0.3202491,1.577811,-0.1401478,-0.0855745,1.646589,0.3468253,-0.06952942,1.589527,NA,NA,NotTracked,Unknown,
