ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9384766,0.262207,0.03857422,0.9580078,-0.2578125,-0.09326172,-1,1,-2,1,-1,-2,0,-1,0,1,-1,-3,-2,1,-1,0,-0.875,-0.875,-0.875,-0.0625,-0.0625,-0.0625,7.275037,2.949904,9.317424,1.97152,2.953662,7.500888,-0.1296319,-0.3991148,1.607146,0.3083406,-0.4123159,1.547893,0.1038636,0.4776687,1.66214,-0.08205217,-0.3785126,1.561614,0.2582579,-0.4329298,1.516857,0.09781171,0.00604137,1.671514,0.09884752,-0.3298378,1.649893,-0.09217684,0.2015113,1.658003,0.01226624,-0.3230788,1.615743,-0.1446975,-0.08879862,1.669981,0.3222543,-0.09232844,1.620904,NA,NA,NotTracked,NotTracked,
0.9375,0.2675781,0.03564453,0.9541016,-0.2573242,-0.08984375,0,0,-1,-1,0,-1,-2,-1,-1,-1,0,-1,-1,0,1,0,-0.5625,-0.5625,-0.5625,0.0625,0.0625,0.0625,7.275037,2.949904,9.317424,1.971409,2.953025,7.500912,-0.1301709,-0.3995285,1.607958,0.3074796,-0.4124827,1.548289,0.1038236,0.4776232,1.661998,-0.08242866,-0.3789254,1.562823,0.2557249,-0.402619,1.517667,0.09767333,0.005948277,1.671138,0.09871039,-0.329889,1.649553,-0.09234412,0.2014505,1.657448,0.01214996,-0.3231222,1.615456,-0.1447203,-0.08932038,1.669463,0.3221852,-0.0923655,1.620756,NA,NA,NotTracked,NotTracked,
0.9375,0.2685547,0.03417969,0.9584961,-0.2597656,-0.08544922,0,0,0,-2,-1,-1,0,-1,0,-2,0,-2,0,0,0,-1,-0.6875,-0.6875,-0.6875,0.6875,0.6875,0.6875,7.275037,2.949904,9.317424,1.971538,2.953037,7.500912,-0.1303292,-0.3993446,1.607651,0.3075827,-0.4128004,1.548375,0.1038122,0.4773881,1.661448,-0.08248142,-0.3766969,1.562945,0.2569401,-0.4015542,1.518576,0.09756979,0.005896615,1.670915,0.09858419,-0.3299194,1.649323,-0.09239037,0.2014751,1.657251,0.0120363,-0.3231369,1.615267,-0.1449787,-0.08883875,1.668902,0.3220175,-0.09273603,1.620426,NA,NA,NotTracked,NotTracked,
0.9345703,0.2626953,0.0390625,0.9555664,-0.2607422,-0.09619141,-1,0,-1,-2,-1,0,-1,0,0,0,1,-1,-3,-1,-2,0,-0.875,-0.875,-0.875,0.8125,0.8125,0.8125,7.274983,2.949615,9.317851,1.971379,2.952888,7.500935,-0.1302229,-0.4001434,1.608431,0.3075558,-0.412982,1.549236,0.1037685,0.4774192,1.661291,-0.08261497,-0.3777049,1.562351,0.2566386,-0.4030417,1.518246,0.09745,0.005878541,1.670774,0.09849751,-0.3299521,1.649201,-0.09246763,0.2014539,1.657182,0.01193654,-0.3231732,1.615065,-0.1450422,-0.08827816,1.668809,0.3219683,-0.09272282,1.620316,NA,NA,NotTracked,NotTracked,
0.9365234,0.2666016,0.04101563,0.9541016,-0.2568359,-0.08496094,0,0,0,-1,-2,0,-1,0,-2,-2,-1,-1,-1,-2,-3,-1,0.1875,0.1875,0.1875,1.75,1.75,1.75,7.274343,2.949793,9.317962,1.972626,2.952549,7.500844,-0.1298797,-0.4000337,1.608323,0.3078605,-0.4128706,1.548519,0.1037285,0.4774094,1.661204,-0.08281188,-0.3822758,1.560887,0.256757,-0.402418,1.518162,0.09724215,0.005879929,1.670557,0.09838713,-0.3299523,1.648992,-0.09264336,0.2015341,1.65698,0.01182493,-0.3231808,1.614812,-0.1449942,-0.08865421,1.668407,0.3219024,-0.09271782,1.619979,NA,NA,NotTracked,NotTracked,
0.9335938,0.2646484,0.03271484,0.9545898,-0.2626953,-0.09619141,-1,-2,-1,-1,-1,0,-1,0,-2,0,0,-1,0,-3,0,-4,0.4375,0.4375,0.4375,0.625,0.625,0.625,7.275043,2.949711,9.317144,1.971951,2.953494,7.501752,-0.130056,-0.3998104,1.606617,0.307507,-0.4123316,1.547373,0.1035936,0.477339,1.661104,-0.08286969,-0.3770793,1.561962,0.2560721,-0.4078856,1.516661,0.09713694,0.005804244,1.670309,0.09833898,-0.3300222,1.648562,-0.09267019,0.2015181,1.656881,0.01173715,-0.323261,1.614445,-0.1451091,-0.08820788,1.668352,0.3218158,-0.0928136,1.619895,NA,NA,NotTracked,NotTracked,
0.9711914,0.2905273,0.02148438,0.9375,-0.3305664,-0.09960938,-35,-4,-8,-3,0,-4,-9,-30,-2,-2,0,-4,-7,-20,-3,6,-2.9375,-2.9375,-2.9375,8.5,8.5,8.5,7.27692,2.955617,9.313924,1.97496,2.959701,7.504675,-0.1303574,-0.3995507,1.606704,0.3076144,-0.4129376,1.548608,0.1035246,0.4773188,1.661138,-0.08329359,-0.3936918,1.554615,0.2563887,-0.4051881,1.517375,0.09709089,0.0057626,1.670258,0.0983035,-0.3300567,1.64849,-0.09272131,0.2014061,1.656845,0.01169842,-0.3233081,1.61433,-0.1451793,-0.08795086,1.668411,0.3217846,-0.09283205,1.6199,NA,NA,NotTracked,NotTracked,
1.037109,0.4213867,0.01269531,1.006836,-0.3613281,-0.06835938,-7,-13,3,0,-2,-2,-1,5,-1,1,1,3,9,7,-7,-5,-58.0625,-58.0625,-58.0625,50.375,50.375,50.375,7.211087,3.047342,9.303952,2.092565,3.004725,7.494317,-0.129896,-0.3999126,1.59648,0.3063556,-0.4131102,1.542176,0.1034228,0.4774003,1.661243,-0.08074883,-0.3925418,1.552539,0.2557123,-0.4038388,1.516631,0.09702193,0.005769278,1.670222,0.0981483,-0.3300522,1.648374,-0.09276078,0.2014033,1.65687,0.0115492,-0.3232923,1.614224,-0.1452584,-0.08837642,1.668322,0.3218095,-0.09283245,1.619993,NA,NA,NotTracked,NotTracked,
1.024902,0.6054688,0.1313477,1.026855,-0.5869141,-0.05810547,-3,-5,5,-1,-4,-2,-2,0,1,0,1,2,4,2,4,-1,-94.125,-94.125,-94.125,21.5625,21.5625,21.5625,7.054958,3.2092,9.348639,2.264488,3.088134,7.360237,-0.1213575,-0.3931805,1.566827,0.292206,-0.4109389,1.515914,0.1033338,0.4774394,1.661431,-0.07098559,-0.3797613,1.545,0.2435175,-0.4167049,1.507862,0.09685718,0.005801929,1.670191,0.0978324,-0.3299803,1.648246,-0.09284215,0.2014188,1.656972,0.01124612,-0.3232209,1.614105,-0.1456911,-0.0875114,1.668157,0.3226351,-0.09066212,1.621576,NA,NA,NotTracked,NotTracked,
1.07666,0.6948242,0.4560547,0.9389648,-0.7207031,0.128418,3,-20,-31,6,13,4,4,4,-1,-1,0,0,0,-1,-2,-2,-63,-63,-63,20.0625,20.0625,20.0625,6.782124,3.475183,9.521571,2.59692,3.312557,7.033106,-0.1078741,-0.3723134,1.521631,0.2661997,-0.3715772,1.461141,0.1033396,0.4774058,1.661538,-0.06757241,-0.3830996,1.5393,0.2304811,-0.3765865,1.485294,0.09656129,0.005818896,1.670114,0.09696545,-0.3297151,1.647841,-0.09297965,0.2016011,1.65742,0.01015941,-0.322712,1.613602,-0.1473708,-0.08028854,1.666438,0.3259807,-0.08136202,1.627083,NA,NA,NotTracked,Unknown,
0.6831055,0.8569336,0.6962891,0.921875,-0.7485352,0.2753906,-4,9,11,-5,-6,0,1,2,-1,-1,-1,1,2,-1,-5,-1,-25.875,-25.875,-25.875,-4.5625,-4.5625,-4.5625,6.554698,4.061199,9.70607,2.795356,3.55586,6.811493,-0.07778934,-0.3284912,1.463046,0.2114592,-0.285328,1.41662,0.1034251,0.4772848,1.661589,-0.04746361,-0.3195923,1.494783,0.2241646,-0.3779948,1.456167,0.09639209,0.005851023,1.669976,0.0958422,-0.3293757,1.64649,-0.0927614,0.201947,1.657733,0.008561767,-0.3220407,1.61218,-0.1498023,-0.05765311,1.660071,0.3303502,-0.06004206,1.634342,NA,NA,Unknown,Unknown,
0.2290039,0.7197266,0.6962891,0.777832,-0.8540039,0.3896484,18,-16,-7,3,5,0,-1,0,1,-1,-3,4,-1,-2,-6,-1,-47.25,-47.25,-47.25,23,23,23,6.420441,4.612183,9.837533,2.995975,3.963099,6.552147,-0.02240395,-0.2709932,1.42822,0.1638803,-0.1369177,1.355736,0.1040891,0.4768784,1.662409,-0.01886711,-0.3501127,1.469417,0.124498,-0.1235418,1.4058,0.09723201,0.005923164,1.670686,0.09778243,-0.3289919,1.646978,-0.09162078,0.2028619,1.658422,0.01097223,-0.3227995,1.61251,-0.153022,-0.04456486,1.652638,0.3352811,-0.05118239,1.634589,NA,NA,Unknown,Closed,
-0.2294922,0.6582031,0.6147461,0.6342773,-0.7631836,0.4179688,-6,7,-1,17,7,0,0,2,0,-2,-1,4,-1,-2,-1,-3,6.75,6.75,6.75,44.875,44.875,44.875,6.4056,5.354371,0.005628787,3.146644,4.286512,6.390718,0.02372232,-0.1947091,1.375387,0.1294724,0.007795282,1.346245,0.1050772,0.4767801,1.663696,0.04320865,-0.2086734,1.4552,0.1379312,0.04511909,1.341333,0.09769379,0.006331068,1.67171,0.09786233,-0.3269014,1.650348,-0.08857362,0.2039728,1.658329,0.01143121,-0.3211423,1.614542,-0.156083,-0.03814689,1.637536,0.3769411,-0.06838805,1.583145,NA,NA,Closed,Closed,
-0.3227539,0.5874023,0.4707031,0.4575195,-0.684082,0.378418,10,-3,-3,-1,0,-2,-1,2,-2,1,-1,11,4,-1,-5,0,6.25,6.25,6.25,35.3125,35.3125,35.3125,6.462225,5.836018,0.1377999,3.258798,4.583926,6.259124,0.06850725,-0.1220817,1.348232,0.1126572,0.1402014,1.379854,0.1066787,0.4759328,1.666755,0.0787399,-0.1602435,1.357909,0.1273865,0.1650989,1.350833,0.09772438,0.007055426,1.673504,0.09796269,-0.3261047,1.652822,-0.08591104,0.2053472,1.654222,0.01227657,-0.3199565,1.616692,-0.1799125,-0.03567614,1.596251,0.3646193,-0.07802226,1.576913,NA,NA,Unknown,Unknown,
-0.4091797,0.5986328,0.4399414,0.3212891,-0.6948242,0.4013672,-16,-20,-10,-4,-2,-2,-2,-11,-2,-2,-3,-5,-1,-1,-3,-3,5.125,5.125,5.125,10.9375,10.9375,10.9375,6.588626,6.205955,0.3194869,3.308353,4.83093,6.14567,0.09414994,-0.05848817,1.340163,0.1146283,0.2307079,1.427509,0.107435,0.47725,1.668436,0.1151691,-0.090151,1.330909,0.1540755,0.2303,1.427167,0.09714294,0.006476873,1.672167,0.09805577,-0.3269494,1.653284,-0.08425506,0.2068386,1.654667,0.01203342,-0.3208586,1.618621,-0.1818829,-0.03675501,1.59328,0.2986716,-0.03624403,1.533038,NA,NA,Closed,NotTracked,
-0.5004883,0.4711914,0.296875,0.1499023,-0.7099609,0.4033203,16,3,-7,-2,-3,-3,-4,6,2,0,-1,4,-3,-2,0,2,-2,-2,-2,6.4375,6.4375,6.4375,6.807462,6.493689,0.6222219,3.327415,5.051641,6.023214,0.1025331,-0.01608658,1.343105,0.07518975,-0.01937029,1.356754,0.1082432,0.4808215,1.670818,0.1265357,-0.04766188,1.328125,0.1073654,-0.0003521867,1.301806,0.09543669,0.004090671,1.670795,0.09737169,-0.3287051,1.654325,-0.08320338,0.2072874,1.652176,0.01095286,-0.322952,1.624057,-0.1815422,-0.03745198,1.582105,0.3004498,-0.03673982,1.510946,NA,NA,NotTracked,NotTracked,
-0.5576172,0.4663086,0.2119141,0.04882813,-0.7426758,0.4316406,17,-5,-6,-2,-2,-2,0,4,-1,-1,-2,-9,-2,-3,-2,-6,-27.25,-27.25,-27.25,-17.125,-17.125,-17.125,6.904306,6.560889,0.785902,3.309513,5.146636,5.957168,0.1286267,0.01147617,1.344339,0.03946849,-0.007052297,1.388935,0.1084761,0.4806314,1.670744,0.128228,-0.01603315,1.324265,0.0233225,0.00820478,1.371,0.09519094,0.003078156,1.670361,0.09721528,-0.3293851,1.655039,-0.08249344,0.2074572,1.650966,0.01091955,-0.3236357,1.627174,-0.1700039,-0.03537996,1.55979,0.2889006,-0.0232901,1.481982,NA,NA,NotTracked,NotTracked,
