ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9404297,0.2641602,0.06005859,0.9516602,-0.2578125,-0.1113281,0,1,-2,0,-2,-2,-2,-3,-2,0,-1,-1,-1,-1,-1,-1,2.3125,2.3125,2.3125,-0.625,-0.625,-0.625,7.18186,2.954313,6.075653,1.818155,2.951263,5.053093,-0.1447017,-0.4119012,1.546598,0.2917804,-0.4074276,1.499119,0.08826444,0.4761043,1.612716,-0.1948782,-0.412396,1.558327,0.2402166,-0.3930365,1.473049,0.08262046,0.005162735,1.621476,0.08211744,-0.3290808,1.598873,-0.1042226,0.2005024,1.614588,-0.004652042,-0.3212535,1.566893,-0.1521661,-0.09519321,1.611028,0.3103593,-0.08769676,1.57253,NA,NA,NotTracked,NotTracked,
0.9321289,0.2636719,0.04150391,0.9580078,-0.2539063,-0.1132813,-1,0,0,-1,-2,0,-2,1,0,-1,0,-1,-1,1,0,0,1.25,1.25,1.25,1.25,1.25,1.25,7.182611,2.954634,6.079217,1.818933,2.951339,5.053177,-0.1451536,-0.4116181,1.546258,0.2912021,-0.4070532,1.497995,0.08806472,0.4760757,1.612675,-0.1959323,-0.4179797,1.558703,0.2402447,-0.3923425,1.473857,0.08232513,0.005153711,1.621248,0.08191914,-0.3290907,1.598562,-0.1041552,0.2008297,1.614862,-0.004858519,-0.3212861,1.566532,-0.1522672,-0.09516298,1.610918,0.3100652,-0.08752741,1.572284,NA,NA,NotTracked,NotTracked,
0.9379883,0.2700195,0.05078125,0.9526367,-0.2592773,-0.1240234,-1,0,-2,0,-2,-1,-1,-1,-2,0,-2,-2,-1,0,-3,1,-3.4375,-3.4375,-3.4375,-1.0625,-1.0625,-1.0625,7.18169,2.953432,6.076535,1.818514,2.951072,5.053902,-0.144535,-0.4107534,1.545105,0.2911212,-0.4072014,1.496918,0.08790003,0.4760534,1.612515,-0.194923,-0.4164243,1.556157,0.2403566,-0.3994358,1.47316,0.08219635,0.00505,1.620853,0.08174533,-0.3291875,1.598074,-0.104423,0.2006515,1.614305,-0.005081907,-0.3213727,1.566053,-0.1524169,-0.09506044,1.61059,0.3098669,-0.0875255,1.57196,NA,NA,NotTracked,NotTracked,
0.9316406,0.265625,0.05859375,0.949707,-0.2646484,-0.1157227,0,-3,0,-1,-3,-1,0,0,-1,-2,-1,-2,-1,-2,-1,-2,-3.6875,-3.6875,-3.6875,-2.875,-2.875,-2.875,7.179138,2.95187,6.07273,1.813916,2.950611,5.053528,-0.145529,-0.411051,1.545377,0.2910153,-0.4072777,1.498474,0.0877958,0.4760468,1.612411,-0.1966726,-0.4212485,1.553846,0.2388933,-0.3950916,1.472194,0.08202755,0.005078546,1.620688,0.08155306,-0.3291531,1.597848,-0.1046337,0.2005869,1.614073,-0.005256913,-0.3213024,1.565826,-0.152536,-0.09497223,1.610336,0.3096221,-0.08741882,1.571867,NA,NA,NotTracked,NotTracked,
0.9370117,0.2695313,0.04638672,0.9541016,-0.2592773,-0.1108398,0,-1,-1,-1,0,0,-2,1,-3,-1,-2,-1,-2,-5,-1,-4,1.125,1.125,1.125,-0.5625,-0.5625,-0.5625,7.177874,2.952014,6.07281,1.811802,2.95072,5.053452,-0.1453982,-0.41002,1.544858,0.2909579,-0.407313,1.49808,0.08768564,0.4761209,1.61223,-0.1950265,-0.4115715,1.555937,0.2381101,-0.381133,1.471057,0.08189051,0.005153054,1.62051,0.08143344,-0.3290677,1.597658,-0.1047227,0.2007167,1.613717,-0.005360531,-0.321221,1.565624,-0.1527286,-0.09485107,1.610004,0.3094257,-0.08729465,1.571735,NA,NA,NotTracked,NotTracked,
0.9355469,0.2729492,0.04443359,0.9536133,-0.2558594,-0.121582,-1,-1,1,0,-2,0,-4,7,-1,-1,-2,0,-1,0,-2,-1,1.4375,1.4375,1.4375,0.1875,0.1875,0.1875,7.183198,2.951925,6.070946,1.811996,2.950487,5.053107,-0.1445964,-0.4102565,1.5445,0.290886,-0.4069828,1.497619,0.08758505,0.476149,1.612012,-0.1946946,-0.4137698,1.55498,0.2394903,-0.3935304,1.472841,0.08185989,0.005226376,1.620198,0.08144009,-0.3289517,1.597306,-0.1046141,0.2010987,1.613893,-0.005369005,-0.3211268,1.565292,-0.1528162,-0.09484714,1.609772,0.3092873,-0.08715986,1.571569,NA,NA,NotTracked,NotTracked,
1.006836,0.315918,0.01757813,0.9536133,-0.2587891,-0.1191406,0,5,-1,-1,-1,-3,-5,-17,0,0,-2,-1,-2,-3,0,-2,-6.5,-6.5,-6.5,-0.875,-0.875,-0.875,7.201434,2.967623,6.046718,1.811312,2.950871,5.053304,-0.1453422,-0.4115949,1.544287,0.2904578,-0.4072264,1.497364,0.08746689,0.4761173,1.61199,-0.1963791,-0.4054365,1.558967,0.2375213,-0.3996195,1.470406,0.08174442,0.005166912,1.620071,0.08123992,-0.3290359,1.597125,-0.1047346,0.2010164,1.613581,-0.005547176,-0.3211946,1.565124,-0.1530095,-0.09478781,1.609331,0.3091142,-0.08716756,1.571406,NA,NA,NotTracked,NotTracked,
1.129883,0.6044922,-0.03417969,0.9575195,-0.2636719,-0.1186523,-1,6,-4,0,-2,-3,-9,-15,0,-1,-2,-2,-1,-1,-1,-3,-60.4375,-60.4375,-60.4375,-0.8125,-0.8125,-0.8125,7.098079,3.143123,6.082954,1.812073,2.950944,5.052479,-0.1452593,-0.4107683,1.543988,0.286784,-0.4035987,1.48761,0.0874043,0.4760991,1.611959,-0.1959155,-0.4079471,1.557648,0.2371064,-0.3932659,1.469563,0.08150788,0.005113175,1.619873,0.08115385,-0.3290831,1.59694,-0.1050259,0.2007414,1.613148,-0.005670637,-0.3212569,1.564893,-0.1531216,-0.094653,1.609217,0.3092147,-0.08687862,1.57152,NA,NA,NotTracked,NotTracked,
1.16748,0.6879883,0.2036133,0.949707,-0.2431641,-0.1333008,3,1,8,0,0,0,0,2,1,-1,-2,-2,-1,1,-1,-1,-48.1875,-48.1875,-48.1875,2.375,2.375,2.375,6.875706,3.423032,6.2204,1.823687,2.951969,5.047154,-0.1450243,-0.4101939,1.543823,0.2678578,-0.3710378,1.460089,0.08732256,0.4761654,1.611903,-0.1942899,-0.4056159,1.551744,0.2191611,-0.3537661,1.460212,0.0810736,0.005260558,1.619624,0.0800375,-0.3287085,1.596507,-0.1051994,0.2008061,1.612794,-0.006870522,-0.3207765,1.564203,-0.1532368,-0.09456728,1.608936,0.3130579,-0.08102259,1.575265,NA,NA,NotTracked,NotTracked,
0.8701172,0.8598633,0.5244141,0.9443359,-0.2475586,-0.1181641,1,5,-1,3,1,0,-1,-3,0,-1,-3,-1,-1,0,-1,-1,23,23,23,-3.75,-3.75,-3.75,6.803435,3.836572,6.33363,1.823952,2.949519,5.042722,-0.1456498,-0.409987,1.544383,0.2319758,-0.3144694,1.400636,0.08728255,0.4762076,1.611831,-0.1959318,-0.4125729,1.553246,0.1982861,-0.2974143,1.417706,0.07952797,0.005615854,1.619247,0.07581896,-0.3280623,1.595854,-0.1053042,0.2008311,1.612524,-0.01147887,-0.3190874,1.563118,-0.15351,-0.09254097,1.608897,0.3257524,-0.05991175,1.583789,NA,NA,NotTracked,Unknown,
