ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.3520508,-0.8959961,0.5742188,-0.2993164,0.6064453,0.7490234,7,8,7,6,1,1,12,4,1,-5,-7,-2,-1,-2,-1,-2,30,30,30,2.9375,2.9375,2.9375,3.418788,5.375853,3.005574,6.108438,5.507224,2.928334,-0.0474445,-0.06073954,1.149948,-0.03367537,-0.06282963,1.145627,0.02136677,0.4275629,1.353048,-0.07300395,-0.03667717,1.134828,-0.04504919,-0.03209436,1.139389,0.02232462,-0.03979726,1.35285,0.02746043,-0.3653045,1.325113,-0.143357,0.1367564,1.336684,-0.05324297,-0.3545873,1.289838,-0.2116889,-0.08627539,1.323994,0.2308102,-0.09513426,1.305772,NA,NA,NotTracked,NotTracked,
-0.4003906,-0.8833008,0.5327148,-0.3115234,0.5854492,0.7490234,4,-5,-7,4,-4,5,0,2,-7,-4,-4,-4,-5,-2,-4,-1,30.375,30.375,30.375,-3.3125,-3.3125,-3.3125,3.445704,5.449309,2.982915,6.104068,5.486906,2.928957,-0.04696721,-0.05200274,1.155697,-0.03984031,-0.05063261,1.150683,0.02128013,0.4275204,1.352899,-0.05876957,-0.01572625,1.166571,-0.05386465,-0.02018838,1.151539,0.02231279,-0.03981374,1.352833,0.02746287,-0.3653114,1.325088,-0.1433766,0.1367208,1.336408,-0.05324199,-0.3545954,1.289835,-0.2120677,-0.08614945,1.325281,0.230623,-0.0959714,1.305462,NA,NA,NotTracked,NotTracked,
-0.4238281,-0.8417969,0.53125,-0.2797852,0.6235352,0.7548828,-6,-9,-12,-7,-6,-3,-16,-5,-1,1,-1,4,0,-2,-2,-2,24.3125,24.3125,24.3125,-0.75,-0.75,-0.75,3.464749,5.536362,2.966547,6.102794,5.467166,2.932541,-0.05053339,-0.04048828,1.158991,-0.0426024,-0.0382525,1.153877,0.02110378,0.4274011,1.352622,-0.05515873,-0.009904287,1.15235,-0.04165722,-0.01185041,1.141526,0.02230237,-0.03983499,1.352819,0.02742953,-0.3653098,1.325095,-0.1444358,0.137692,1.339649,-0.05326879,-0.3545943,1.289864,-0.2119118,-0.08563469,1.325487,0.2309925,-0.09712209,1.305449,NA,NA,NotTracked,NotTracked,
-0.4472656,-0.8193359,0.5195313,-0.2861328,0.6254883,0.7583008,-7,-9,-7,4,-3,3,5,-2,-1,-2,-4,-5,-10,-6,-6,-3,22,22,22,-2.25,-2.25,-2.25,3.483044,5.629169,2.955352,6.102269,5.458103,2.935428,-0.04543136,-0.02828334,1.16153,-0.04467582,-0.02515871,1.157097,0.02088651,0.4273897,1.352473,-0.0794897,-0.01289479,1.147346,-0.03703657,0.001881543,1.148,0.02227625,-0.03990727,1.352766,0.02742554,-0.3654035,1.325043,-0.1443481,0.1373963,1.338716,-0.05327644,-0.3547447,1.289794,-0.2119859,-0.08585814,1.325596,0.231336,-0.09795912,1.306179,NA,NA,NotTracked,NotTracked,
-0.4526367,-0.737793,0.4995117,-0.2641602,0.6196289,0.7617188,0,-7,-2,0,-4,5,-3,1,-9,-2,2,2,2,0,-3,-3,17.9375,17.9375,17.9375,-4.4375,-4.4375,-4.4375,3.500029,5.726061,2.949021,6.09631,5.434518,2.946343,0.02865299,-0.009691931,1.160365,-0.06156278,-0.01881121,1.173178,0.02073245,0.4273633,1.352313,-0.02656343,-0.02079469,1.121593,-0.07230292,0.01736837,1.1895,0.02221949,-0.03994139,1.352786,0.02742304,-0.3654564,1.325058,-0.1443795,0.1372103,1.33814,-0.05328355,-0.3548031,1.289821,-0.2119919,-0.08603539,1.32568,0.2321962,-0.09368019,1.30624,NA,NA,NotTracked,NotTracked,
-0.4790039,-0.7045898,0.4663086,-0.2626953,0.6416016,0.7670898,-1,-13,4,8,3,-1,8,-1,1,-4,-6,1,0,-2,0,-2,-2,-2,-2,-5.875,-5.875,-5.875,3.498892,5.81482,2.942313,6.093591,5.423773,2.954385,0.1283226,0.004689595,1.086764,-0.06548327,-0.008011768,1.17856,0.02064055,0.4273338,1.352321,0.09410952,0.02644087,1.05575,-0.05371121,0.03493046,1.20825,0.02218218,-0.0399727,1.352801,0.02742029,-0.3654765,1.325065,-0.1443668,0.1370211,1.337672,-0.05328461,-0.3548379,1.289815,-0.2096622,-0.08697319,1.323879,0.2318433,-0.09430349,1.30602,NA,NA,NotTracked,NotTracked,
-0.5546875,-0.7602539,0.4545898,-0.2651367,0.6274414,0.7729492,1,11,18,8,1,12,10,0,2,-1,-4,-1,0,0,4,1,-2.6875,-2.6875,-2.6875,-6.625,-6.625,-6.625,3.48781,5.891426,2.937922,6.090827,5.420063,2.958639,0.1258471,0.003463783,1.087257,-0.06988882,-0.001019459,1.178195,0.02043028,0.4272465,1.352234,0.08734355,0.01831789,1.058206,-0.05992649,0.04370116,1.200333,0.02217667,-0.04000039,1.35278,0.02741047,-0.3654817,1.325061,-0.1449131,0.1377389,1.340203,-0.05329074,-0.3548493,1.289808,-0.2069867,-0.08724665,1.321657,0.2315697,-0.09541249,1.305779,NA,NA,NotTracked,NotTracked,
-0.5546875,-0.7602539,0.4545898,-0.2651367,0.6274414,0.7729492,1,11,18,8,1,12,10,0,2,-1,-4,-1,0,0,4,1,-2.6875,-2.6875,-2.6875,-6.625,-6.625,-6.625,3.48781,5.891426,2.937922,6.090827,5.420063,2.958639,0.1220437,0.005823879,1.091821,-0.08024527,0.001864644,1.184561,0.02038299,0.4272137,1.352209,0.08562192,0.01691927,1.058909,-0.06462219,0.05485494,1.2152,0.02212718,-0.04001778,1.35278,0.02738567,-0.3655473,1.325038,-0.1449097,0.1373504,1.338961,-0.05332502,-0.3549138,1.289758,-0.2013005,-0.08913714,1.315893,0.2315762,-0.09575257,1.306124,NA,NA,NotTracked,NotTracked,
-0.543457,-0.6445313,0.4277344,-0.2641602,0.6293945,0.762207,-4,-4,-20,-10,-6,2,-6,-3,-8,1,0,-2,-7,-2,-6,-3,-8.8125,-8.8125,-8.8125,-4.8125,-4.8125,-4.8125,3.482233,5.951323,2.946176,6.08729,5.416083,2.966131,0.1212368,0.005297809,1.092313,-0.08289906,0.005757878,1.183212,0.02033043,0.4272547,1.352218,0.1286813,0.02616132,1.058364,-0.08198243,0.0477195,1.189333,0.02206379,-0.04001898,1.35279,0.0273564,-0.3655644,1.325037,-0.1447442,0.137189,1.337969,-0.05335284,-0.3549376,1.289767,-0.1966562,-0.0903024,1.311177,0.2317652,-0.09604274,1.306934,NA,NA,NotTracked,NotTracked,
-0.5410156,-0.6918945,0.4458008,-0.2739258,0.6401367,0.7583008,-5,-8,-6,1,-2,-2,4,-3,-6,7,10,2,5,3,0,-2,-18.9375,-18.9375,-18.9375,-5.875,-5.875,-5.875,3.468066,5.984726,2.956269,6.084261,5.416545,2.972286,0.1185958,0.008033448,1.096161,-0.0350133,0.03414091,1.153734,0.02030355,0.4272373,1.352213,0.1260611,0.0307443,1.066937,-0.006172628,0.04584084,1.104439,0.02203736,-0.04004633,1.35283,0.0273292,-0.3656174,1.325068,-0.144747,0.1370077,1.337238,-0.0533818,-0.3549704,1.289789,-0.192314,-0.09133301,1.30736,0.2313348,-0.09164198,1.305879,NA,NA,NotTracked,NotTracked,
-0.5444336,-0.706543,0.4042969,-0.2753906,0.6303711,0.7578125,-7,-5,-6,-2,-1,-6,-14,-2,-2,1,2,1,-2,-3,-1,2,-19.75,-19.75,-19.75,-3.5625,-3.5625,-3.5625,3.458653,5.992356,2.962499,6.081192,5.419654,2.976474,0.1172443,0.009994112,1.096807,-0.0418389,0.03412152,1.15133,0.02028425,0.4272278,1.352248,0.08601388,0.08009653,1.121143,-0.007525743,0.04773155,1.096416,0.02201632,-0.04006899,1.352872,0.02734837,-0.3656626,1.325072,-0.1447799,0.1368866,1.336773,-0.05337946,-0.3550169,1.28976,-0.1798145,-0.09010658,1.276899,0.2312589,-0.09180141,1.305985,NA,NA,NotTracked,NotTracked,
-0.4628906,-0.6762695,0.465332,-0.2817383,0.6357422,0.7519531,-9,-2,12,1,2,-5,7,1,1,6,3,-4,0,1,-1,1,-22.625,-22.625,-22.625,-2.8125,-2.8125,-2.8125,3.445428,5.989291,2.981209,6.079989,5.425944,2.977765,0.1157176,0.01152563,1.09572,-0.0453026,0.03403436,1.145484,0.02027376,0.4272273,1.352252,0.1463669,0.02359954,1.0636,-0.03708337,0.04400742,1.099067,0.02197055,-0.04008738,1.352937,0.02729492,-0.3657248,1.325106,-0.1447561,0.136694,1.336089,-0.053428,-0.3550839,1.289774,-0.1797117,-0.08980343,1.273685,0.2308995,-0.09198873,1.306569,NA,NA,NotTracked,NotTracked,
-0.4814453,-0.7348633,0.4780273,-0.2832031,0.6328125,0.7607422,3,-12,-6,-5,0,-8,-6,1,9,1,0,-3,-5,-4,-1,-1,-22.75,-22.75,-22.75,-2.125,-2.125,-2.125,3.430969,5.964297,3.000866,6.079416,5.42982,2.977503,0.1145328,0.01253905,1.095359,-0.04386621,0.03311892,1.137066,0.02026736,0.4272131,1.352247,0.1281212,0.02810426,1.062364,-0.005111957,0.05219992,1.080222,0.02190254,-0.04011634,1.352984,0.02729074,-0.3657419,1.325106,-0.1447252,0.136633,1.335573,-0.05343148,-0.3550922,1.289766,-0.1805116,-0.08879084,1.268874,0.2308934,-0.0923676,1.30712,NA,NA,NotTracked,NotTracked,
-0.4267578,-0.7382813,0.5004883,-0.2817383,0.628418,0.7431641,-13,-11,-15,-6,-7,-9,-13,0,-2,-3,-5,-3,1,-2,-4,2,-16.0625,-16.0625,-16.0625,-1.5,-1.5,-1.5,3.426413,5.92461,3.026495,6.078457,5.43867,2.975124,0.1140444,0.01422563,1.096172,-0.04214009,0.03245182,1.12963,0.02023296,0.4272085,1.352395,0.1151026,0.03411639,1.0642,-0.007387886,0.0557194,1.072135,0.02189638,-0.04016069,1.353047,0.02726687,-0.3657649,1.325136,-0.1446467,0.1365772,1.33515,-0.05344122,-0.3550957,1.289767,-0.1788894,-0.09025658,1.273802,0.2309125,-0.09394848,1.309506,NA,NA,NotTracked,NotTracked,
-0.4086914,-0.730957,0.4716797,-0.2919922,0.6196289,0.7460938,-20,-8,4,3,3,-1,6,-2,9,1,-1,0,1,3,1,1,-16.0625,-16.0625,-16.0625,-0.1875,-0.1875,-0.1875,3.423918,5.873276,3.054847,6.078571,5.448996,2.971048,-0.0133029,0.04565987,1.099696,-0.009281593,0.04408885,1.099691,0.02026208,0.4272067,1.352449,-0.049443,0.04813727,1.091952,0.01376901,0.06990435,1.0708,0.02188435,-0.0401656,1.353053,0.02726872,-0.3657713,1.32513,-0.1445533,0.1364736,1.334615,-0.05343561,-0.3550997,1.28973,-0.1782087,-0.0907699,1.274848,0.2310636,-0.09466789,1.31057,NA,NA,NotTracked,NotTracked,
-0.3452148,-0.7568359,0.4921875,-0.3071289,0.6181641,0.7407227,6,3,-7,-7,0,-7,-3,1,4,0,-4,-2,-4,-1,2,0,-17.5,-17.5,-17.5,0.3125,0.3125,0.3125,3.41887,5.807666,3.08308,6.078449,5.460185,2.965839,0.1100165,0.01867384,1.094814,-0.03981364,0.01243407,1.145573,0.02030537,0.4271922,1.352537,0.1098396,0.03157744,1.061391,-0.0005629809,0.04900869,1.060172,0.02187131,-0.04018034,1.353106,0.02725526,-0.3657769,1.325156,-0.1445293,0.1363999,1.334275,-0.05344296,-0.3551013,1.289727,-0.177279,-0.09114546,1.275341,0.2313168,-0.09495218,1.311497,NA,NA,NotTracked,NotTracked,
-0.3388672,-0.7719727,0.5117188,-0.3110352,0.6166992,0.7412109,-15,-17,-15,-9,3,-6,-1,-2,2,-5,-4,0,0,-2,0,2,-19.625,-19.625,-19.625,0.25,0.25,0.25,3.413982,5.771218,3.095079,6.078948,5.470459,2.960559,-0.01352663,0.03407788,1.087742,0.01422495,0.03627968,1.086429,0.02038277,0.4272589,1.352636,-0.02377185,0.01709183,1.049227,0.07215776,0.04633097,1.062917,0.02186533,-0.04015944,1.353153,0.02725221,-0.3657549,1.32518,-0.1445142,0.1363773,1.333995,-0.05344158,-0.3550908,1.289729,-0.1771552,-0.09133826,1.275867,0.2312359,-0.09531829,1.312024,NA,NA,NotTracked,NotTracked,
-0.340332,-0.7944336,0.5205078,-0.3212891,0.6030273,0.737793,4,-2,-7,-5,2,-9,-11,-5,-4,3,7,0,-4,-2,-1,-5,-13.5625,-13.5625,-13.5625,2.5,2.5,2.5,3.406127,5.692387,3.11452,6.080112,5.481427,2.954763,-0.0176628,0.02424785,1.08676,0.008908701,0.02731908,1.079145,0.02046778,0.4272756,1.352864,-0.02473011,0.001723709,1.046909,0.07049835,0.04379753,1.0465,0.02186096,-0.04014793,1.3532,0.02725952,-0.3657469,1.325205,-0.1444219,0.1362551,1.333656,-0.05343235,-0.355076,1.289726,-0.1771196,-0.09171937,1.276982,0.2311029,-0.09576141,1.312357,NA,NA,NotTracked,NotTracked,
-0.2822266,-0.8193359,0.5239258,-0.3198242,0.6152344,0.7456055,3,6,15,3,-2,-1,4,0,-9,-4,-4,-1,-4,-1,-6,-3,-14.5625,-14.5625,-14.5625,2.1875,2.1875,2.1875,3.396671,5.605581,3.128254,6.082376,5.491484,2.949661,-0.01977267,0.0007635194,1.080354,0.01170429,0.004701175,1.074657,0.02062894,0.4272972,1.353011,-0.03138213,-0.007775328,1.03936,0.06816642,0.02121069,1.053,0.02182831,-0.04010851,1.353274,0.02726238,-0.3656701,1.325254,-0.1440325,0.1360393,1.333002,-0.05340566,-0.3549932,1.289749,-0.1797629,-0.09209968,1.280092,0.2333,-0.09426672,1.30843,NA,NA,NotTracked,NotTracked,
-0.2543945,-0.8398438,0.5405273,-0.3413086,0.5922852,0.7446289,6,1,2,0,0,5,-4,-3,2,-2,-4,-4,-2,0,0,1,-18.25,-18.25,-18.25,2,2,2,3.382258,5.516011,3.137195,6.08197,5.502884,2.944886,-0.02994085,-0.01284782,1.08422,0.1104249,0.01744274,1.091699,0.02067975,0.4273603,1.353105,-0.03350767,-0.03381677,1.042826,0.09465352,0.04098498,1.086286,0.02182643,-0.04010194,1.353285,0.0272622,-0.3656386,1.325269,-0.1439479,0.1359427,1.332799,-0.05339321,-0.3549526,1.289733,-0.1819581,-0.0922607,1.282808,0.2322872,-0.09504561,1.308417,NA,NA,NotTracked,NotTracked,
-0.2426758,-0.9233398,0.5478516,-0.340332,0.5961914,0.7314453,-19,-18,-4,-1,1,5,9,0,7,-1,-1,1,5,0,1,9,-12.8125,-12.8125,-12.8125,3.4375,3.4375,3.4375,3.367837,5.427669,3.14227,6.083036,5.508188,2.94224,-0.03236493,-0.0273165,1.085059,-0.001122742,-0.02349117,1.074004,0.02073909,0.4273674,1.3531,-0.0331559,-0.0108657,1.053844,-0.03896999,-0.001912752,1.07525,0.02184892,-0.04012195,1.353288,0.0272707,-0.3656384,1.325276,-0.143787,0.1358446,1.332544,-0.05337514,-0.3549492,1.289737,-0.1851935,-0.09226959,1.286371,0.2320049,-0.09502374,1.308027,NA,NA,NotTracked,NotTracked,
-0.2236328,-0.9189453,0.5625,-0.3300781,0.6005859,0.7373047,4,13,2,0,-2,-8,-5,-1,-2,-2,-3,-1,0,-2,-1,-3,-10.3125,-10.3125,-10.3125,3,3,3,3.358604,5.348589,3.144493,6.085773,5.516973,2.936389,-0.03449979,-0.04019148,1.088333,0.1178295,0.0197231,1.092414,0.02079475,0.4273932,1.353078,-0.04320905,-0.0080351,1.1075,0.05348153,-0.04192851,1.0485,0.02186736,-0.04011241,1.353284,0.02729889,-0.3656102,1.325272,-0.1436115,0.1357408,1.332313,-0.05333175,-0.3549083,1.289709,-0.1886011,-0.09224004,1.291,0.2318661,-0.09512569,1.307988,NA,NA,NotTracked,NotTracked,
-0.2353516,-0.9555664,0.5581055,-0.3452148,0.5864258,0.7353516,-8,-13,-6,-2,-8,1,-4,-3,1,4,4,2,0,-3,-3,0,-10.75,-10.75,-10.75,1.875,1.875,1.875,3.352858,5.313092,3.146237,6.085692,5.524168,2.931543,-0.0383685,-0.05247485,1.092988,-0.01365182,-0.0557928,1.084471,0.02085319,0.4273621,1.353057,-0.03756025,-0.02842338,1.072269,-0.05354163,-0.0235157,1.0978,0.02185302,-0.04009935,1.353285,0.02727726,-0.3655661,1.325282,-0.1435997,0.1369307,1.335571,-0.05333955,-0.3548546,1.289712,-0.1943562,-0.09030113,1.299795,0.2314837,-0.09570659,1.307797,NA,NA,NotTracked,NotTracked,
-0.1503906,-0.9526367,0.5825195,-0.3540039,0.59375,0.7216797,3,0,4,-5,-4,0,2,0,0,3,1,1,1,1,0,-3,0.0625,0.0625,0.0625,3.4375,3.4375,3.4375,3.34973,5.247447,3.146749,6.087636,5.529403,2.926259,-0.04195574,-0.06314208,1.098739,-0.01423007,-0.06495719,1.089233,0.02098106,0.42731,1.352971,-0.02701342,-0.03397327,1.100333,-0.04992689,-0.03644865,1.094778,0.02186708,-0.04009231,1.353279,0.02732237,-0.3655173,1.325262,-0.1435938,0.1371233,1.337252,-0.05330008,-0.3548057,1.289699,-0.1986084,-0.08929733,1.30458,0.2310775,-0.09671923,1.307438,NA,NA,NotTracked,NotTracked,
-0.237793,-0.9897461,0.5883789,-0.3276367,0.6010742,0.7363281,-4,-9,1,-14,-4,-6,-3,-1,-8,-7,-6,-3,-2,-2,-3,0,2.1875,2.1875,2.1875,3.25,3.25,3.25,3.351768,5.200967,3.146011,6.090526,5.530707,2.921291,-0.04360303,-0.07280968,1.104843,-0.009786562,-0.07525954,1.095704,0.02100308,0.4273241,1.352923,-0.0245884,-0.04464027,1.119333,-0.04422389,-0.04536166,1.097125,0.02187314,-0.04008479,1.353252,0.02734253,-0.3654795,1.325228,-0.1436287,0.1374106,1.338397,-0.05328463,-0.3547675,1.289672,-0.2026811,-0.08822325,1.310684,0.2308293,-0.09476399,1.306165,NA,NA,NotTracked,NotTracked,
-0.159668,-0.9560547,0.5795898,-0.3525391,0.5888672,0.7246094,-15,-7,2,0,-4,0,2,-1,-4,-6,-2,-1,1,-1,-4,-3,12.375,12.375,12.375,2.5625,2.5625,2.5625,3.362797,5.166522,3.141703,6.09163,5.530907,2.917355,-0.04509424,-0.08017408,1.112893,-0.01047337,-0.08227836,1.10392,0.02105133,0.4273398,1.352799,-0.06566796,-0.04534423,1.121917,-0.04097372,-0.05355924,1.097846,0.02189547,-0.04008115,1.353202,0.02740204,-0.3654726,1.325194,-0.1435461,0.1370516,1.337117,-0.05325297,-0.3547651,1.289689,-0.2054292,-0.08796774,1.314902,0.23058,-0.0950752,1.306098,NA,NA,NotTracked,NotTracked,
-0.2573242,-0.9658203,0.5942383,-0.3256836,0.5976563,0.730957,9,8,16,18,1,3,-3,-1,3,3,0,0,0,2,1,-1,18.375,18.375,18.375,2.9375,2.9375,2.9375,3.381895,5.159614,3.133435,6.093989,5.527315,2.913161,-0.049179,-0.08616074,1.130604,-0.01004193,-0.08979804,1.122578,0.02115791,0.427394,1.352369,-0.05128033,-0.06549373,1.104545,-0.03567826,-0.06092085,1.119429,0.02191348,-0.04005493,1.353092,0.02747675,-0.3654372,1.325137,-0.1433389,0.1367989,1.335774,-0.05322125,-0.3547508,1.289734,-0.2094635,-0.0869131,1.323641,0.2302595,-0.09612865,1.30584,NA,NA,NotTracked,NotTracked,
-0.2192383,-0.934082,0.6254883,-0.3325195,0.6005859,0.7265625,2,-1,-10,-3,-6,-4,3,2,-4,6,8,-1,-2,-2,-1,-2,22.875,22.875,22.875,2.4375,2.4375,2.4375,3.404842,5.167436,3.121881,6.094878,5.524416,2.911827,-0.03193384,-0.09163676,1.160774,0.1375067,0.02559354,1.088195,0.02116651,0.4274014,1.352208,-0.06978193,-0.05896099,1.125179,0.089274,0.03257734,1.0942,0.02193866,-0.04005882,1.353037,0.0275211,-0.3654273,1.325092,-0.1432501,0.1367741,1.335316,-0.05320501,-0.354751,1.289728,-0.2107878,-0.08632836,1.327529,0.2301666,-0.09657195,1.305799,NA,NA,Lasso,NotTracked,
-0.2504883,-0.8862305,0.6015625,-0.3256836,0.5874023,0.734375,2,6,0,5,-5,-6,-8,2,-5,-3,-1,-3,-1,1,-3,-2,31.9375,31.9375,31.9375,0.1875,0.1875,0.1875,3.437976,5.194033,3.10478,6.094182,5.516953,2.91093,-0.03307615,-0.09093987,1.167098,0.1411677,0.01997623,1.089479,0.02113179,0.4273636,1.351937,-0.07793374,-0.05437399,1.136414,0.1018979,0.01708638,1.083769,0.02192138,-0.04005828,1.352892,0.02751758,-0.3654282,1.325041,-0.1431962,0.1368375,1.335085,-0.05320828,-0.3547541,1.289731,-0.2116524,-0.08581199,1.330173,0.2302043,-0.09704644,1.305558,NA,NA,Lasso,Unknown,
