ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9248047,-0.4130859,0.1137695,0.9272461,0.3530273,0.01660156,2,2,4,6,11,16,8,6,-1,-1,-4,-3,0,-2,-8,-12,-19.5,-19.5,-19.5,8.125,8.125,8.125,2.839577,3.15003,4.364817,7.512574,3.041036,9.133724,-0.1558914,-0.4737423,1.284749,0.2214321,-0.4615708,1.282565,0.05041994,0.3062799,1.354333,-0.1134008,-0.4916913,1.2836,0.2628622,-0.4545878,1.270258,0.04255198,-0.108267,1.380065,0.04239483,-0.4015233,1.362217,-0.1210886,0.05604158,1.357762,-0.03171638,-0.3912939,1.33086,-0.1616497,-0.1965132,1.362946,0.2397223,-0.1893628,1.367169,NA,NA,NotTracked,NotTracked,
0.9394531,-0.5063477,0.1411133,0.9365234,0.3803711,0.02539063,-2,-5,-5,-7,-8,-7,-4,2,4,-3,-3,-1,-2,-2,-3,2,-16.0625,-16.0625,-16.0625,4.4375,4.4375,4.4375,2.882309,3.1781,4.295589,7.514136,3.043786,9.137891,-0.1546832,-0.4724194,1.282599,0.2211435,-0.4614967,1.281952,0.05046333,0.3062696,1.354688,-0.1178452,-0.4958884,1.291188,0.262345,-0.4569098,1.268364,0.04258371,-0.1082619,1.380125,0.04240194,-0.4015129,1.362215,-0.12104,0.05602371,1.357817,-0.03170603,-0.3912697,1.330855,-0.161665,-0.1964201,1.363153,0.239904,-0.1895789,1.367491,NA,NA,NotTracked,NotTracked,
0.9213867,-0.5327148,0.1669922,0.9555664,0.3881836,0.03076172,1,1,4,12,15,10,0,0,4,-3,3,1,0,0,1,4,-3.6875,-3.6875,-3.6875,5.625,5.625,5.625,2.964358,3.231983,4.199028,7.494333,3.048957,9.163989,-0.1522799,-0.4716991,1.279746,0.2210228,-0.461558,1.281893,0.05056242,0.3064089,1.355378,-0.1064744,-0.4352935,1.265519,0.2635006,-0.4548739,1.271397,0.04270644,-0.1082119,1.380267,0.04245351,-0.401455,1.362195,-0.1212275,0.05620497,1.358638,-0.03167148,-0.3912155,1.330848,-0.1617073,-0.1964028,1.363323,0.2399827,-0.1895704,1.367707,NA,NA,NotTracked,NotTracked,
0.9130859,-0.5874023,0.2182617,0.9360352,0.4619141,0.04394531,-1,-2,-7,2,3,-2,-13,0,8,4,5,4,-1,0,-1,6,-8.8125,-8.8125,-8.8125,1,1,1,3.046112,3.31409,4.099796,7.445683,3.066134,9.21815,-0.1487739,-0.4680543,1.27203,0.2206233,-0.4603969,1.278678,0.0505891,0.3064043,1.356119,-0.1054229,-0.4377723,1.264225,0.2404551,-0.4697467,1.234553,0.04276456,-0.1082126,1.380308,0.04260222,-0.4014336,1.362096,-0.121231,0.05613421,1.35889,-0.03157454,-0.3911988,1.330755,-0.1620658,-0.1957566,1.363536,0.2401248,-0.1895849,1.367761,NA,NA,NotTracked,NotTracked,
0.894043,-0.659668,0.2675781,1.050781,0.4516602,0.07958984,-4,-8,-20,-32,-33,-24,-4,-7,1,-1,-2,0,0,0,-1,-2,-12.1875,-12.1875,-12.1875,-3.4375,-3.4375,-3.4375,3.114809,3.432441,4.003724,7.347048,3.102129,9.318872,-0.1443014,-0.4628391,1.260865,0.2198287,-0.4581636,1.273654,0.05060308,0.3064007,1.356691,-0.1023038,-0.468863,1.260547,0.2397445,-0.4625812,1.227775,0.04278762,-0.1081902,1.380324,0.04272511,-0.4013165,1.361924,-0.1211743,0.0561668,1.359108,-0.03151341,-0.3911234,1.33067,-0.1624568,-0.194857,1.363476,0.2403173,-0.1893898,1.367687,NA,NA,NotTracked,NotTracked,
0.8447266,-0.7983398,0.4135742,1.033203,0.4614258,0.09716797,1,-1,-1,-3,5,-2,-12,-9,-8,-3,3,5,2,2,-4,-13,-21.625,-21.625,-21.625,11.3125,11.3125,11.3125,3.201812,3.748304,3.839431,7.278907,3.128937,9.398448,-0.1370999,-0.4412824,1.231268,0.2161157,-0.4457422,1.255851,0.05084053,0.3064041,1.358585,-0.1059795,-0.4190655,1.264314,0.2363859,-0.4389532,1.209861,0.04306943,-0.1080864,1.380875,0.04341374,-0.401133,1.361904,-0.120936,0.05638326,1.360344,-0.03097554,-0.3910487,1.330661,-0.1645611,-0.1914168,1.362934,0.241152,-0.1887134,1.367637,NA,NA,NotTracked,NotTracked,
0.8491211,-0.7988281,0.4287109,1.033203,0.6186523,0.2724609,2,1,-6,-3,-4,-10,-20,-11,-1,-3,-7,-5,-1,4,0,3,-17.5625,-17.5625,-17.5625,-14.4375,-14.4375,-14.4375,3.219235,3.842621,3.799933,6.882847,3.408029,9.853819,-0.1260938,-0.407418,1.173857,0.2120176,-0.4249115,1.199511,0.05095603,0.3062407,1.360004,-0.08958352,-0.4263175,1.178941,0.1921382,-0.4071272,1.171044,0.04345359,-0.1080394,1.381413,0.04431934,-0.4009223,1.36185,-0.1206216,0.05630599,1.361075,-0.03035152,-0.3910272,1.33066,-0.1693052,-0.1778596,1.361168,0.2439213,-0.1862645,1.366063,NA,NA,Unknown,NotTracked,
0.6386719,-0.8334961,0.53125,0.9042969,0.746582,0.3793945,4,0,-2,-4,2,1,5,3,-3,1,4,0,5,-3,-4,-11,-32.625,-32.625,-32.625,10.5625,10.5625,10.5625,3.246716,4.285005,3.641128,6.708514,3.694195,0.08341467,-0.1049816,-0.3491523,1.132338,0.195816,-0.3690513,1.15111,0.05108038,0.306227,1.361258,-0.1022451,-0.3843031,1.179636,0.1669748,-0.358061,1.131923,0.04405605,-0.1079525,1.382027,0.04553084,-0.4007041,1.361761,-0.1202393,0.05665154,1.361931,-0.02944685,-0.3911293,1.330536,-0.1765474,-0.155576,1.355318,0.2497666,-0.1744114,1.362804,NA,NA,Closed,Closed,
0.3798828,-0.8916016,0.4956055,0.6152344,0.6811523,0.5014648,-5,-3,-2,3,8,10,9,0,-11,-1,-1,-2,-1,1,11,-5,-32.1875,-32.1875,-32.1875,0.25,0.25,0.25,3.242506,4.528007,3.559872,6.568462,4.172177,0.2993326,-0.08279207,-0.268864,1.088867,0.1772274,-0.2909997,1.11285,0.0512419,0.3062344,1.362679,-0.033391,-0.2884449,1.0876,0.1904424,-0.2769077,1.084591,0.04412029,-0.1077468,1.382267,0.04538832,-0.4000553,1.361209,-0.1197001,0.05787496,1.363692,-0.02967332,-0.3904709,1.330215,-0.1839099,-0.1523227,1.347543,0.2569582,-0.1569664,1.357929,NA,NA,Unknown,Closed,
0.2670898,-0.8115234,0.496582,0.4194336,0.7138672,0.4829102,1,-1,-4,-3,2,-4,4,0,-4,6,0,1,-2,2,3,3,-30.9375,-30.9375,-30.9375,21.5,21.5,21.5,3.225752,4.76553,3.481368,6.553363,4.42226,0.3786072,-0.04823699,-0.2370398,1.059363,0.1699293,-0.2511282,1.098599,0.05122278,0.3062103,1.363212,-0.02695855,-0.2513453,1.067,0.1582754,-0.2215657,1.0983,0.04395213,-0.1075466,1.382508,0.04474867,-0.3994479,1.360972,-0.1193336,0.05823075,1.363831,-0.03016149,-0.3897484,1.33023,-0.1686998,-0.160747,1.265937,0.2596062,-0.1439682,1.353906,NA,NA,Lasso,Closed,
