ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9335938,0.2451172,0.1347656,0.9506836,-0.2939453,0.04003906,1,-1,-2,0,-1,-1,-3,-7,-10,-2,-3,-2,-2,-1,-2,-3,0.625,0.625,0.625,-1.4375,-1.4375,-1.4375,6.749745,2.959016,4.314104,2.659407,2.980159,7.069023,-0.2291816,-0.4615754,1.175435,0.1606703,-0.4684142,1.187999,-0.02287406,0.3096023,1.224859,-0.2683838,-0.4651299,1.179684,0.1254586,-0.4382668,1.155256,-0.03353647,-0.1169366,1.252159,-0.03349236,-0.4133925,1.242755,-0.192916,0.05867103,1.235955,-0.1068747,-0.4017797,1.209579,-0.2286704,-0.1988159,1.240115,0.169933,-0.1871295,1.261067,NA,NA,NotTracked,NotTracked,
0.9370117,0.2490234,0.1362305,0.953125,-0.2851563,0.03759766,-6,-3,-3,0,0,-1,-2,3,-1,-1,0,-2,-3,0,0,-8,0.375,0.375,0.375,-2.0625,-2.0625,-2.0625,6.749172,2.959116,4.314723,2.656061,2.98125,7.069567,-0.2291921,-0.4623296,1.175577,0.160613,-0.4686303,1.187918,-0.02294099,0.3096314,1.22502,-0.2658492,-0.4602256,1.173647,0.1258287,-0.4367922,1.155373,-0.0335921,-0.1169292,1.252209,-0.033539,-0.4133557,1.242817,-0.1919581,0.05942328,1.236441,-0.1068954,-0.4017645,1.209595,-0.2288192,-0.1988987,1.240185,0.169864,-0.1870149,1.261219,NA,NA,NotTracked,NotTracked,
0.9404297,0.2495117,0.1376953,0.9570313,-0.2885742,0.04638672,0,0,-2,1,-1,-2,6,4,7,-1,-2,-1,-1,-2,-1,2,0.25,0.25,0.25,-2.75,-2.75,-2.75,6.7486,2.959216,4.315343,2.656152,2.980745,7.068083,-0.228983,-0.461438,1.175073,0.1603978,-0.4687021,1.187492,-0.02299212,0.3095985,1.225221,-0.2654168,-0.4539056,1.175259,0.1255849,-0.4363446,1.155393,-0.0336332,-0.1169417,1.252217,-0.03357941,-0.4134028,1.242797,-0.1935901,0.05764467,1.234979,-0.106954,-0.401853,1.209582,-0.2288924,-0.1989464,1.240025,0.1697704,-0.1870995,1.26108,NA,NA,NotTracked,NotTracked,
0.934082,0.2548828,0.1367188,0.9570313,-0.2885742,0.04638672,2,-1,-1,0,0,0,0,7,7,-1,-2,-1,-1,-2,-1,2,-0.9375,-0.9375,-0.9375,-2.75,-2.75,-2.75,6.748028,2.959317,4.315962,2.656152,2.980745,7.068083,-0.2287708,-0.4643385,1.175364,0.1604239,-0.4684948,1.187855,-0.02296772,0.3095637,1.225313,-0.2671633,-0.4606949,1.177499,0.1250145,-0.428839,1.155334,-0.03363241,-0.1169244,1.252244,-0.0335459,-0.4134012,1.242813,-0.1943739,0.05728319,1.234954,-0.1069088,-0.4018753,1.209587,-0.2289912,-0.1986598,1.23997,0.1697735,-0.1871163,1.261106,NA,NA,NotTracked,NotTracked,
0.9326172,0.2485352,0.1328125,0.9570313,-0.2885742,0.04638672,3,0,1,-3,-1,-2,14,16,7,-1,-2,-1,-1,-2,-1,2,-0.125,-0.125,-0.125,-2.75,-2.75,-2.75,6.746231,2.95935,4.317141,2.656152,2.980745,7.068083,-0.2294972,-0.4601162,1.174948,0.1602378,-0.4681282,1.187152,-0.0229615,0.3095682,1.225338,-0.2672405,-0.4593246,1.178118,0.1256574,-0.4352936,1.155513,-0.03363386,-0.1169065,1.25226,-0.03352104,-0.413368,1.24279,-0.1951323,0.0569032,1.234369,-0.1068832,-0.4018556,1.209549,-0.2290111,-0.1986131,1.239921,0.169889,-0.1873314,1.261089,NA,NA,NotTracked,NotTracked,
0.9394531,0.2524414,0.1235352,0.9570313,-0.2885742,0.04638672,-2,0,-2,-2,-1,-3,-4,-9,7,-1,-2,-1,-1,-2,-1,2,-0.625,-0.625,-0.625,-2.75,-2.75,-2.75,6.745568,2.959851,4.31766,2.656152,2.980745,7.068083,-0.2293503,-0.4599228,1.175877,0.1605505,-0.468358,1.187477,-0.02292689,0.3095646,1.225378,-0.2701643,-0.4298678,1.1892,0.1254088,-0.4343595,1.154894,-0.03362116,-0.1169144,1.252265,-0.03349483,-0.4133852,1.242779,-0.1940725,0.0575178,1.234438,-0.1068426,-0.4018826,1.209515,-0.2290486,-0.1986055,1.239891,0.1699748,-0.1873704,1.261185,NA,NA,NotTracked,NotTracked,
1.09375,0.4711914,-0.1166992,0.9570313,-0.2885742,0.04638672,18,54,66,18,15,7,5,11,7,-1,-2,-1,-1,-2,-1,2,-6.6875,-6.6875,-6.6875,-2.75,-2.75,-2.75,6.731678,2.977297,4.334811,2.656152,2.980745,7.068083,-0.2291854,-0.4616953,1.175925,0.1607007,-0.4680356,1.185217,-0.02289835,0.3095232,1.225556,-0.2682875,-0.4609604,1.181818,0.1256188,-0.4349433,1.15531,-0.03363104,-0.1169418,1.252335,-0.0335077,-0.4134375,1.242795,-0.1944121,0.05691,1.23433,-0.1068607,-0.4019465,1.209542,-0.2290504,-0.1986084,1.239895,0.1709598,-0.1873839,1.261743,NA,NA,NotTracked,NotTracked,
1.275879,0.519043,0.07910156,0.9570313,-0.2885742,0.04638672,42,-7,-46,5,38,1,0,4,7,-1,-2,-1,-1,-2,-1,2,-69.125,-69.125,-69.125,-2.75,-2.75,-2.75,6.452143,3.088586,4.535374,2.656152,2.980745,7.068083,-0.2292845,-0.4593291,1.175454,0.1526941,-0.4470236,1.146644,-0.02285073,0.3094647,1.225632,-0.2655582,-0.4578442,1.173739,0.1139162,-0.421486,1.132179,-0.03378243,-0.1169618,1.252331,-0.03408071,-0.4135792,1.242673,-0.1965527,0.05548159,1.233452,-0.1074824,-0.4020519,1.209262,-0.229063,-0.1985717,1.239899,0.1761717,-0.1863975,1.264885,NA,NA,NotTracked,NotTracked,
1.312012,0.7143555,1.001953,0.9570313,-0.2885742,0.04638672,-8,64,47,33,-11,-19,-3,0,7,-1,-2,-1,-1,-2,-1,2,-86.9375,-86.9375,-86.9375,-2.75,-2.75,-2.75,6.101977,3.511614,4.808915,2.656152,2.980745,7.068083,-0.2291961,-0.4620497,1.175491,0.136262,-0.3609149,1.058662,-0.02274307,0.3094464,1.225748,-0.2671745,-0.45749,1.177464,0.09320907,-0.3567556,1.055643,-0.03514753,-0.1168117,1.252037,-0.03945657,-0.4131533,1.241395,-0.1933462,0.05808374,1.235532,-0.1130166,-0.4007077,1.208087,-0.2291169,-0.1985236,1.239966,0.1888879,-0.173278,1.270549,NA,NA,NotTracked,Unknown,
0.1347656,0.4267578,0.987793,0.9570313,-0.2885742,0.04638672,4,3,-20,-10,-14,1,2,10,7,-1,-2,-1,-1,-2,-1,2,-63.125,-63.125,-63.125,-2.75,-2.75,-2.75,5.878271,4.208115,4.935037,2.656152,2.980745,7.068083,-0.2295939,-0.4618576,1.176431,0.1128103,-0.1539413,0.9687439,-0.02243357,0.3095094,1.22595,-0.2667348,-0.4595205,1.175584,0.1093014,-0.1323353,0.968647,-0.03647662,-0.116573,1.252016,-0.04221023,-0.4131185,1.240853,-0.1931017,0.05831638,1.235352,-0.1153642,-0.400481,1.207831,-0.2292551,-0.1983232,1.240013,0.2112626,-0.1468584,1.254867,NA,NA,NotTracked,Unknown,
-0.4233398,0.5488281,0.8051758,0.9570313,-0.2885742,0.04638672,-22,-32,5,4,-5,4,5,-9,7,-1,-2,-1,-1,-2,-1,2,89.4375,89.4375,89.4375,-2.75,-2.75,-2.75,5.94398,5.373889,5.073837,2.656152,2.980745,7.068083,-0.2291384,-0.4641034,1.175084,0.1088707,0.02632314,1.033014,-0.02173841,0.3094619,1.226473,-0.2688384,-0.4576463,1.181302,0.08036079,0.05041597,1.0636,-0.03692728,-0.1170055,1.2523,-0.04282908,-0.4142527,1.240859,-0.191129,0.05937325,1.235812,-0.1162493,-0.4019721,1.208872,-0.2293956,-0.1985119,1.239907,0.2227204,-0.1679752,1.205016,NA,NA,NotTracked,Unknown,
-0.5327148,0.4550781,0.7753906,0.9570313,-0.2885742,0.04638672,-25,-2,24,26,40,40,6,-24,7,-1,-2,-1,-1,-2,-1,2,80.125,80.125,80.125,-2.75,-2.75,-2.75,6.202929,6.175443,5.309231,2.656152,2.980745,7.068083,-0.2293284,-0.4615788,1.174438,0.1195922,0.1157065,1.070009,-0.02135924,0.3093464,1.226792,-0.2678774,-0.4586481,1.178047,0.1098027,0.143765,1.084375,-0.03386399,-0.1161536,1.252808,-0.04329766,-0.4140353,1.24074,-0.1902008,0.05913924,1.235451,-0.1171226,-0.4015812,1.209048,-0.2292152,-0.1972948,1.239523,0.2236275,-0.1353196,1.154573,NA,NA,NotTracked,Unknown,
-0.4111328,0.3032227,0.4492188,0.9570313,-0.2885742,0.04638672,31,27,22,25,5,-7,-5,-15,7,-1,-2,-1,-1,-2,-1,2,61.3125,61.3125,61.3125,-2.75,-2.75,-2.75,6.830486,6.733722,5.920904,2.656152,2.980745,7.068083,-0.2290298,-0.4610845,1.17107,0.1188504,0.1583593,1.095598,-0.01700095,0.3061979,1.227707,-0.2685387,-0.4452731,1.17703,0.08068231,0.1599049,1.132987,-0.03025316,-0.1160361,1.253187,-0.04394934,-0.4137053,1.240324,-0.1855708,0.06020104,1.235618,-0.1180969,-0.4008672,1.208641,-0.2292502,-0.1939668,1.239055,0.230527,-0.1160519,1.117458,NA,NA,NotTracked,Unknown,
-0.5722656,0.3779297,0.25,0.9570313,-0.2885742,0.04638672,-13,-3,-10,-4,-2,-1,2,-19,7,-1,-2,-1,-1,-2,-1,2,7.375,7.375,7.375,-2.75,-2.75,-2.75,7.232817,6.811982,6.323318,2.656152,2.980745,7.068083,-0.2280766,-0.4606088,1.169284,0.1205548,0.153785,1.101884,-0.01429239,0.3049636,1.227827,-0.2703459,-0.4579577,1.17808,0.09058432,0.1566937,1.136429,-0.02823866,-0.1156636,1.253206,-0.04440846,-0.4132091,1.239935,-0.1830233,0.06071571,1.235615,-0.1186526,-0.4001441,1.208396,-0.2292207,-0.1932245,1.239058,0.2359386,-0.1018588,1.100252,NA,NA,NotTracked,Unknown,
-0.8168945,0.4887695,0.05273438,0.9570313,-0.2885742,0.04638672,-20,-14,-20,-27,-8,-4,-5,-6,7,-1,-2,-1,-1,-2,-1,2,24.125,24.125,24.125,-2.75,-2.75,-2.75,7.412133,6.754057,6.483335,2.656152,2.980745,7.068083,-0.2285886,-0.4615452,1.172525,0.07752087,0.2348274,1.114104,-0.01256673,0.3044478,1.228016,-0.2656007,-0.4557841,1.168709,0.04638775,0.2166131,1.124097,-0.02701982,-0.115348,1.253262,-0.04469225,-0.4127364,1.239675,-0.1817959,0.06116727,1.235985,-0.1190232,-0.3995612,1.208178,-0.2293157,-0.1925208,1.239428,0.2408836,-0.09685278,1.097455,NA,NA,NotTracked,Unknown,
-0.8500977,0.6582031,0.003417969,0.9570313,-0.2885742,0.04638672,-59,-69,30,12,2,-5,-10,-26,7,-1,-2,-1,-1,-2,-1,2,72.25,72.25,72.25,-2.75,-2.75,-2.75,7.484975,6.742069,6.470825,2.656152,2.980745,7.068083,-0.2288723,-0.4642082,1.173995,0.122625,0.1808642,1.108935,-0.01052123,0.3036748,1.228456,-0.2654381,-0.4577907,1.169264,0.1002785,0.166675,1.152769,-0.02635516,-0.1150259,1.253155,-0.04508929,-0.4119321,1.239024,-0.1801658,0.06133999,1.235896,-0.1195434,-0.3984703,1.207269,-0.2294432,-0.1914175,1.240097,0.2493313,-0.08786947,1.093442,NA,NA,NotTracked,Unknown,
-0.8867188,0.4838867,0.01757813,0.9570313,-0.2885742,0.04638672,-3,48,35,33,2,-6,4,-34,7,-1,-2,-1,-1,-2,-1,2,178.0625,178.0625,178.0625,-2.75,-2.75,-2.75,7.790477,6.895076,6.464683,2.656152,2.980745,7.068083,-0.2303813,-0.4610685,1.177723,0.1313817,0.246587,1.134224,-0.01066383,0.3044791,1.230887,-0.2694593,-0.4616508,1.1807,0.09467363,0.2112555,1.16345,-0.0260143,-0.1141724,1.253094,-0.04467994,-0.4099948,1.238335,-0.1789867,0.06152112,1.235871,-0.1191795,-0.3962913,1.205712,-0.2298136,-0.1910596,1.240776,0.2770813,-0.07692526,1.109841,NA,NA,NotTracked,Open,
-0.824707,0.1494141,0.06201172,0.9570313,-0.2885742,0.04638672,26,-17,-16,-9,-9,2,-7,19,7,-1,-2,-1,-1,-2,-1,2,210.5625,210.5625,210.5625,-2.75,-2.75,-2.75,8.054277,7.10362,6.379161,2.656152,2.980745,7.068083,-0.234263,-0.4597724,1.180507,0.1817556,0.2652818,1.158317,-0.0123086,0.3066861,1.23221,-0.270083,-0.4577141,1.178933,0.1309567,0.2307895,1.191273,-0.0262165,-0.1136782,1.253016,-0.04479099,-0.4089631,1.238034,-0.1832566,0.05985553,1.235247,-0.1192879,-0.3952954,1.205068,-0.2308577,-0.1922215,1.242723,0.3114853,-0.05521255,1.136075,NA,NA,NotTracked,NotTracked,
-0.9848633,-0.09130859,0.1367188,0.9570313,-0.2885742,0.04638672,12,8,0,14,1,5,8,-4,7,-1,-2,-1,-1,-2,-1,2,182.1875,182.1875,182.1875,-2.75,-2.75,-2.75,8.115421,7.206887,6.221908,2.656152,2.980745,7.068083,-0.2370287,-0.4589394,1.18488,0.2155777,0.2606676,1.170815,-0.0136215,0.3080806,1.232952,-0.273451,-0.4420991,1.187027,0.1650186,0.2330744,1.17726,-0.02660578,-0.1136359,1.25295,-0.04518082,-0.4089638,1.237926,-0.1834427,0.06065301,1.235989,-0.1195026,-0.395373,1.205156,-0.2317077,-0.1933884,1.244819,0.3274566,-0.04204644,1.153864,NA,NA,NotTracked,NotTracked,
-1.040039,-0.2451172,0.03173828,0.9570313,-0.2885742,0.04638672,1,25,0,-7,0,2,4,103,7,-1,-2,-1,-1,-2,-1,2,73,73,73,-2.75,-2.75,-2.75,8.004396,7.252218,5.923662,2.656152,2.980745,7.068083,-0.2398793,-0.4564876,1.190674,0.2211587,0.2610871,1.171893,-0.01321102,0.308389,1.233076,-0.2739854,-0.450398,1.18678,0.1670464,0.2285055,1.177488,-0.02974553,-0.1136412,1.252856,-0.04552348,-0.4088947,1.237899,-0.1835945,0.0611802,1.236532,-0.119677,-0.3953882,1.205346,-0.2323875,-0.1948733,1.246575,0.3257957,-0.0440192,1.166385,NA,NA,NotTracked,NotTracked,
-1.044922,-0.02880859,-0.01660156,0.9570313,-0.2885742,0.04638672,-24,-24,-4,-4,-13,-14,-17,-66,7,-1,-2,-1,-1,-2,-1,2,-21.0625,-21.0625,-21.0625,-2.75,-2.75,-2.75,7.872307,7.247997,5.757945,2.656152,2.980745,7.068083,-0.2409774,-0.4574921,1.190857,0.2195592,0.2592326,1.165622,-0.01269289,0.3084849,1.233201,-0.2767403,-0.4427981,1.191622,0.1683892,0.2229325,1.205833,-0.03227916,-0.1137049,1.253116,-0.04573873,-0.4089687,1.237934,-0.1835622,0.06149453,1.236854,-0.1198259,-0.3954878,1.205435,-0.232557,-0.195567,1.247273,0.3277436,-0.04412856,1.171147,NA,NA,NotTracked,NotTracked,
-0.9750977,0.07666016,-0.008789063,0.9570313,-0.2885742,0.04638672,27,4,2,10,3,4,8,17,7,-1,-2,-1,-1,-2,-1,2,-28.625,-28.625,-28.625,-2.75,-2.75,-2.75,7.807142,7.250551,5.738459,2.656152,2.980745,7.068083,-0.2402417,-0.4577232,1.189133,0.2153696,0.2575516,1.160196,-0.01289493,0.3087164,1.23325,-0.2779095,-0.4676893,1.191,0.1603766,0.2252928,1.172539,-0.03281868,-0.1136859,1.25316,-0.0459068,-0.4089335,1.237948,-0.1834982,0.06175947,1.237006,-0.1198996,-0.3954683,1.205461,-0.2326244,-0.1958919,1.247634,0.3284009,-0.04361837,1.171246,NA,NA,NotTracked,NotTracked,
-0.8666992,0.1196289,0.07861328,0.9570313,-0.2885742,0.04638672,-19,-10,-4,-7,-2,1,4,31,7,-1,-2,-1,-1,-2,-1,2,-43.1875,-43.1875,-43.1875,-2.75,-2.75,-2.75,7.509211,7.247311,5.524157,2.656152,2.980745,7.068083,-0.2387497,-0.4539511,1.186448,0.2092325,0.256524,1.154584,-0.01328152,0.3089864,1.233261,-0.2739623,-0.4554421,1.186864,0.1527034,0.2260131,1.176613,-0.03211788,-0.1136974,1.253092,-0.04591525,-0.4089421,1.237927,-0.1833943,0.06199507,1.237168,-0.1198855,-0.3954692,1.205434,-0.2326108,-0.1959409,1.247609,0.3277168,-0.04497924,1.169948,NA,NA,NotTracked,NotTracked,
-0.6616211,0.1367188,0.2109375,0.9570313,-0.2885742,0.04638672,2,4,-3,-3,-1,4,7,-7,7,-1,-2,-1,-1,-2,-1,2,-57.1875,-57.1875,-57.1875,-2.75,-2.75,-2.75,6.792992,7.150616,4.883309,2.656152,2.980745,7.068083,-0.2366664,-0.4511954,1.184008,0.2034402,0.2447566,1.137641,-0.01400083,0.3092611,1.233261,-0.2731553,-0.431916,1.190375,0.1562837,0.2136087,1.187091,-0.03161104,-0.1136908,1.253075,-0.04591606,-0.4089454,1.237934,-0.1833461,0.06219464,1.237335,-0.1198813,-0.3954713,1.205426,-0.2325674,-0.1960659,1.247547,0.3252964,-0.04756891,1.165961,NA,NA,NotTracked,NotTracked,
-0.5722656,0.2133789,0.3691406,0.9570313,-0.2885742,0.04638672,5,6,6,11,7,8,-17,-22,7,-1,-2,-1,-1,-2,-1,2,-96.75,-96.75,-96.75,-2.75,-2.75,-2.75,6.293097,6.833216,4.511415,2.656152,2.980745,7.068083,-0.2352639,-0.4527758,1.181973,0.2039207,0.1724118,1.109938,-0.01516442,0.3098536,1.233219,-0.2703863,-0.4544724,1.184429,0.1616416,0.1775133,1.156154,-0.03228674,-0.1136369,1.253201,-0.04580515,-0.4090022,1.237965,-0.1833644,0.06242546,1.237583,-0.1196698,-0.3955869,1.205274,-0.2323332,-0.1960401,1.247421,0.2605501,-0.1164948,1.186427,NA,NA,NotTracked,Closed,
