ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.8710938,0.1040039,0.5498047,0.1289063,-0.987793,0.2324219,2,1,-2,0,2,1,2,4,-3,-1,2,0,-4,-2,3,1,-0.5625,-0.5625,-0.5625,-2.3125,-2.3125,-2.3125,5.289997,6.5806,4.517946,2.851406,4.793698,4.715446,0.04033742,-0.1271138,0.959038,0.1631808,0.1888318,0.9043463,-0.01857468,0.3126094,1.17195,0.0216049,-0.1382932,1.0136,0.1425974,0.1754071,0.9753847,-0.0246629,-0.1150342,1.175797,-0.01749871,-0.4129249,1.151491,-0.1714039,0.05442452,1.131383,-0.09816335,-0.3997225,1.118033,-0.2187397,-0.127549,1.008295,0.172487,-0.0893322,0.9749286,NA,NA,Unknown,Unknown,
-0.8657227,0.09326172,0.5537109,0.1386719,-0.9755859,0.2265625,7,1,3,0,0,3,7,6,-2,-2,0,-3,-5,-5,-1,-3,-0.25,-0.25,-0.25,-0.75,-0.75,-0.75,5.285602,6.582262,4.513783,2.851413,4.793546,4.715567,0.0799264,-0.1182645,0.9635746,0.1637356,0.1912592,0.9019288,-0.0183622,0.3127485,1.17234,0.1369812,-0.1368607,0.9425714,0.1339049,0.1940171,0.9669999,-0.02464844,-0.115038,1.175831,-0.01746921,-0.4129493,1.151516,-0.1713312,0.05439555,1.131408,-0.09812559,-0.3997561,1.118079,-0.2187003,-0.1276214,1.008405,0.132309,-0.1219933,1.001597,NA,NA,Unknown,Unknown,
-0.8686523,0.1000977,0.5546875,0.1347656,-0.9858398,0.2290039,1,-4,-9,-6,-4,-2,-2,2,1,0,-3,-4,-6,-3,-26,-2,1.75,1.75,1.75,-3.5,-3.5,-3.5,5.283939,6.583044,4.509952,2.849434,4.792574,4.715323,0.04258284,-0.1271971,0.9596065,0.1639757,0.1901294,0.9018949,-0.01829536,0.3127662,1.172557,0.0240071,-0.1357524,1.012938,0.1461522,0.186137,0.974,-0.0239704,-0.1150993,1.17613,-0.01750126,-0.4130088,1.151523,-0.1712858,0.05436366,1.131448,-0.09816092,-0.3998074,1.118099,-0.2180522,-0.127647,1.008173,0.1322964,-0.1223606,0.9996423,NA,NA,Unknown,Unknown,
-0.8710938,0.09716797,0.5522461,0.1386719,-0.980957,0.234375,0,-1,0,4,-1,-3,1,3,-1,-1,-1,0,-5,-3,-6,-2,1.125,1.125,1.125,0.625,0.625,0.625,5.284206,6.583113,4.509663,2.849467,4.792176,4.715153,0.0437941,-0.1208754,0.9585773,0.1643722,0.1904847,0.9028582,-0.01826156,0.3128164,1.172693,-0.0008397017,-0.09173834,1.03,0.139099,0.1848793,0.9693971,-0.0239717,-0.1150973,1.176138,-0.01749434,-0.4130169,1.151525,-0.1711468,0.05432531,1.131505,-0.09815766,-0.3998101,1.118098,-0.218088,-0.1275206,1.008041,0.1323108,-0.122329,0.9990642,NA,NA,Unknown,Unknown,
-0.8696289,0.09130859,0.5585938,0.1386719,-0.984375,0.2255859,-9,-4,-5,-1,-4,0,1,-2,2,-1,-10,-5,-3,0,13,5,-0.3125,-0.3125,-0.3125,-2.375,-2.375,-2.375,5.28,6.582266,4.505826,2.848198,4.79164,4.715298,0.04269123,-0.1199347,0.9593383,0.1642417,0.1901199,0.9040095,-0.01815428,0.3128491,1.172938,0.0002431692,-0.09561044,1.029101,0.1450289,0.1721441,0.982,-0.02397289,-0.1151014,1.176164,-0.01747419,-0.4130283,1.151543,-0.1710456,0.05429527,1.13158,-0.09813111,-0.3998203,1.118112,-0.2182354,-0.1274973,1.008137,0.1318842,-0.124786,0.9901641,NA,NA,Unknown,Unknown,
-0.875,0.1040039,0.5488281,0.1303711,-0.9941406,0.2314453,4,3,0,3,0,-1,3,3,0,0,2,-2,-3,0,-9,-6,2.375,2.375,2.375,-1.6875,-1.6875,-1.6875,5.280767,6.581666,4.503744,2.847712,4.791198,4.715147,0.04622906,-0.1241653,0.9600666,0.1652382,0.1895673,0.9037507,-0.01805032,0.3129495,1.173376,0.02775238,-0.1254482,1.016417,0.1430783,0.1752519,0.9686172,-0.02397646,-0.1151095,1.176189,-0.01746464,-0.4130376,1.151556,-0.1709683,0.0542579,1.131675,-0.09811967,-0.3998262,1.118111,-0.2180834,-0.1274682,1.008094,0.1304584,-0.127984,0.9833655,NA,NA,Unknown,Unknown,
-0.8691406,0.09619141,0.5444336,0.1323242,-0.9863281,0.2226563,-3,-1,0,-1,3,-3,0,5,-3,0,-5,-2,-2,9,16,1,-2.3125,-2.3125,-2.3125,-0.1875,-0.1875,-0.1875,5.279634,6.582108,4.503811,2.847984,4.791097,4.714991,0.04314642,-0.1266375,0.9579785,0.1648293,0.190395,0.9054156,-0.01779162,0.3129351,1.174079,0.01227999,-0.1433182,1.016429,0.1470321,0.1696833,0.97475,-0.02399027,-0.1151581,1.1763,-0.01740605,-0.4131336,1.151655,-0.1708883,0.05416525,1.131803,-0.09803779,-0.3998824,1.118241,-0.217877,-0.1278512,1.008638,0.1307974,-0.1265453,0.987482,NA,NA,Unknown,Unknown,
-0.8774414,0.08789063,0.5463867,0.1381836,-0.9824219,0.2329102,1,0,-6,-6,-1,2,4,6,3,1,-2,-1,3,-7,-4,-3,1.5625,1.5625,1.5625,-2.3125,-2.3125,-2.3125,5.2784,6.582461,4.501573,2.846735,4.790834,4.715192,0.02970752,-0.1237085,0.9560925,0.1655199,0.1915592,0.9050617,-0.0177539,0.3129297,1.174257,0.02729237,-0.1130294,0.9965714,0.1399911,0.1875775,0.9708889,-0.02399226,-0.1151574,1.176359,-0.017398,-0.4131334,1.151708,-0.1707876,0.05413602,1.131889,-0.09802297,-0.3998829,1.118315,-0.2177554,-0.1277416,1.008492,0.130901,-0.1264973,0.987572,NA,NA,Unknown,Unknown,
-0.8774414,0.1000977,0.5512695,0.1425781,-0.9941406,0.2241211,-10,-3,-2,-3,-3,-1,5,-2,-3,-2,-4,-3,1,-1,-4,-4,0.1875,0.1875,0.1875,-1.3125,-1.3125,-1.3125,5.280335,6.582094,4.502146,2.845984,4.790587,4.715631,0.03978347,-0.1177028,0.9621138,0.1658138,0.1914123,0.9039351,-0.01769669,0.3129113,1.174544,0.0003652671,-0.09275076,1.032429,0.139838,0.1812062,0.958,-0.02398697,-0.1151666,1.176433,-0.01734087,-0.4131384,1.151773,-0.1707211,0.0540845,1.131937,-0.09795522,-0.399904,1.118372,-0.217775,-0.1279992,1.008911,0.1310271,-0.1260672,0.9887076,NA,NA,Unknown,Unknown,
-0.8769531,0.08740234,0.5556641,0.1381836,-0.9799805,0.2260742,-1,-2,0,-2,-4,-5,-5,1,1,3,1,0,2,1,14,0,-1.5625,-1.5625,-1.5625,-0.4375,-0.4375,-0.4375,5.276475,6.582387,4.500593,2.846229,4.79061,4.715611,0.04788864,-0.123379,0.9615993,0.1657955,0.1913842,0.9045658,-0.01766723,0.3130231,1.174744,0.02502838,-0.1207163,1.019333,0.1472556,0.1712298,0.9685,-0.02398905,-0.1151475,1.176524,-0.01731776,-0.4131273,1.151862,-0.1706675,0.05407657,1.132031,-0.09791213,-0.3998932,1.118491,-0.2172767,-0.1283436,1.009359,0.1313093,-0.1257308,0.9900224,NA,NA,Unknown,Unknown,
