ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9404297,0.2099609,0.05566406,-0.9672852,0.2431641,-0.06884766,-2,0,-1,0,0,1,-2,0,-1,-2,0,-2,-7,2,0,0,-1.9375,-1.9375,-1.9375,-9.125,-9.125,-9.125,7.038867,2.852938,3.48771,7.904263,7.09834,7.805646,-0.2146871,-0.4533588,1.106535,0.1690546,-0.4784198,1.142227,-0.01284587,0.3071966,1.167774,-0.1777941,-0.4551974,1.07708,0.1361109,-0.4562378,1.095538,-0.01706204,-0.119527,1.191929,-0.01860177,-0.4263557,1.182781,-0.1836768,0.05019065,1.163069,-0.09678771,-0.4146007,1.14851,-0.2211358,-0.2058878,1.162449,0.1857324,-0.1935849,1.208178,NA,NA,NotTracked,NotTracked,
0.9643555,0.2094727,0.06738281,-0.9633789,0.234375,-0.1103516,-1,-2,-2,-3,1,6,-1,-2,-1,-2,-1,1,5,4,3,-1,-0.125,-0.125,-0.125,-25.9375,-25.9375,-25.9375,7.039486,2.852937,3.486593,7.979305,7.088783,7.921111,-0.214534,-0.4545174,1.107642,0.1689106,-0.4788683,1.142604,-0.01273781,0.3072532,1.167946,-0.1796444,-0.4541146,1.078378,0.1363112,-0.4557434,1.095644,-0.01706784,-0.1195124,1.19202,-0.01863262,-0.4263438,1.18288,-0.1824739,0.05069593,1.163054,-0.09680768,-0.4145819,1.148556,-0.2208348,-0.206143,1.162783,0.1858365,-0.1933805,1.208382,NA,NA,NotTracked,NotTracked,
0.9404297,0.2299805,0.04296875,-0.96875,0.2163086,-0.1069336,1,1,0,0,-2,-4,-4,-1,0,-2,1,1,-4,5,1,1,-5.9375,-5.9375,-5.9375,-46.375,-46.375,-46.375,7.060179,2.852432,3.459262,7.986885,7.09033,7.998939,-0.2144449,-0.4540243,1.108582,0.1687739,-0.478281,1.142215,-0.01269199,0.3073025,1.168043,-0.1783153,-0.4478501,1.080435,0.1359781,-0.4617018,1.094254,-0.01703713,-0.1194916,1.192082,-0.01857212,-0.4263007,1.182952,-0.1816339,0.05102912,1.162993,-0.09675518,-0.4145337,1.148592,-0.2203692,-0.2062767,1.163339,0.1857258,-0.1934066,1.208622,NA,NA,NotTracked,NotTracked,
0.9560547,0.2177734,0.07177734,-0.9838867,0.171875,-0.05908203,1,1,0,0,5,6,-1,0,-1,-3,-2,-1,-1,-1,0,-3,-4.6875,-4.6875,-4.6875,-15.625,-15.625,-15.625,7.05283,2.855009,3.455137,7.972026,7.108674,8.037931,-0.2162923,-0.4531903,1.11071,0.1700513,-0.4745847,1.144141,-0.01267383,0.3073043,1.168062,-0.1776269,-0.4226609,1.08475,0.1376684,-0.4436317,1.098736,-0.0170291,-0.1194649,1.192149,-0.01856893,-0.4262452,1.183069,-0.1810232,0.0512843,1.162992,-0.09675114,-0.4144913,1.148636,-0.2201628,-0.2064269,1.163876,0.1856084,-0.1933501,1.20875,NA,NA,NotTracked,NotTracked,
0.9467773,0.2202148,0.07373047,-0.9819336,0.2924805,-0.1035156,-37,-7,-2,-2,-2,-3,-3,-5,-44,-73,-39,-10,-4,-3,-5,-12,3.75,3.75,3.75,-10.4375,-10.4375,-10.4375,7.044706,2.858184,3.467771,7.938998,7.101648,8.011839,-0.2159447,-0.4526837,1.112975,0.1707852,-0.473783,1.14364,-0.01264081,0.3073297,1.168103,-0.1769299,-0.4241447,1.083765,0.1368572,-0.4605984,1.09603,-0.01703983,-0.1194592,1.192171,-0.01861655,-0.4262375,1.183092,-0.1806128,0.05143457,1.162993,-0.09680087,-0.4144776,1.148628,-0.2202065,-0.2062176,1.165103,0.1856129,-0.1933693,1.208935,NA,NA,NotTracked,NotTracked,
1.215332,0.4677734,-0.1816406,-1.016602,0.8125,-0.1479492,16,16,34,25,3,0,-3,5,0,4,-4,-2,0,-1,-3,-2,-50.25,-50.25,-50.25,-1.25,-1.25,-1.25,6.950792,2.887798,3.540835,7.59751,7.02729,7.668224,-0.2156701,-0.4518672,1.108297,0.1687325,-0.4756414,1.134462,-0.01262295,0.3073685,1.168152,-0.1782129,-0.4331194,1.083208,0.1368383,-0.4517114,1.0966,-0.01705127,-0.1194526,1.192184,-0.01864367,-0.4262318,1.183084,-0.1828896,0.05059439,1.163203,-0.09682724,-0.4144657,1.148624,-0.2207718,-0.2062195,1.165926,0.1865176,-0.1930096,1.209418,NA,NA,NotTracked,NotTracked,
1.560059,0.902832,0.7749023,-1.017578,1.032715,0.246582,-6,-1,-23,-20,35,1,-8,-2,-1,-2,-4,-1,-10,-15,3,-1,35.5625,35.5625,35.5625,-49.9375,-49.9375,-49.9375,6.444175,3.253772,3.99474,7.154143,6.749396,7.264791,-0.2061192,-0.44267,1.072679,0.1486254,-0.4412805,1.076654,-0.01259542,0.3074282,1.168201,-0.1800775,-0.4486505,1.026,0.112418,-0.4356872,1.074409,-0.01707508,-0.1193866,1.19204,-0.0186812,-0.4260308,1.182473,-0.1820018,0.05118582,1.163258,-0.09704807,-0.4142677,1.148399,-0.2267523,-0.2018305,1.166673,0.1985259,-0.185638,1.215443,NA,NA,NotTracked,NotTracked,
1.153809,1.128418,1.177246,-0.5786133,0.9331055,0.4824219,20,-20,28,48,18,-2,-4,-3,-13,-11,-9,-6,3,0,-7,-16,-48.125,-48.125,-48.125,-96.8125,-96.8125,-96.8125,6.264144,3.652424,4.17504,6.73424,6.155971,6.977394,-0.1845147,-0.4030367,0.980238,0.09793728,-0.2995398,1.019408,-0.01242404,0.3076515,1.168377,-0.1600541,-0.4017968,0.9283529,0.1012536,-0.2546159,0.9627777,-0.01820902,-0.1188288,1.191376,-0.0234428,-0.424406,1.18009,-0.1813422,0.05174993,1.163386,-0.1030612,-0.4122337,1.146979,-0.2346036,-0.1940664,1.158618,0.2104166,-0.1663471,1.212646,NA,NA,Unknown,Unknown,
-0.4814453,0.02099609,0.3989258,-0.4873047,0.515625,0.7426758,30,32,23,18,-3,-4,-3,-2,-2,0,0,1,3,-4,-2,-5,-55.3125,-55.3125,-55.3125,-15.9375,-15.9375,-15.9375,5.887914,5.155195,4.570102,6.58473,5.72416,6.858403,-0.1566128,-0.3095413,0.8902629,0.04682309,-0.06586284,0.9768162,-0.01158687,0.3080278,1.169208,-0.1519137,-0.2890405,0.8452052,0.06389219,-0.05481701,0.9366956,-0.01772908,-0.1183103,1.19137,-0.02127924,-0.4228135,1.179606,-0.1804241,0.05215868,1.163244,-0.1014207,-0.4116199,1.146396,-0.2414281,-0.1732576,1.131607,0.2146081,-0.1342852,1.168553,NA,NA,Unknown,Unknown,
-0.2114258,0.06640625,0.5927734,-0.5976563,0.6738281,0.6308594,23,-75,-80,-60,-20,-12,-11,-1,-16,-13,-8,-5,0,-2,-5,-5,93.75,93.75,93.75,25.0625,25.0625,25.0625,6.019794,5.730024,4.807501,6.59358,5.39559,6.795435,-0.1326743,-0.2255391,0.8228788,0.05208655,0.0472635,1.019485,-0.01137219,0.3093636,1.171882,-0.1304622,-0.2018119,0.7844483,0.06022776,0.08113279,0.9873334,-0.01780136,-0.1181642,1.191622,-0.02056595,-0.4235837,1.180286,-0.1793134,0.05240715,1.162423,-0.1010014,-0.4131886,1.148861,-0.237129,-0.1476845,1.084857,0.2094196,-0.1357632,1.124322,NA,NA,Unknown,Unknown,
