ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9462891,-0.3222656,-0.06591797,0.9296875,0.2841797,-0.078125,0,-7,-3,1,0,-8,-3,3,1,-5,-4,-6,-2,7,-5,2,-0.25,-0.25,-0.25,1.0625,1.0625,1.0625,2.128412,3.036798,5.487223,8.008577,3.017391,1.810619,-0.1981653,-0.4679982,1.112762,0.2104543,-0.4730566,1.113679,0.02248721,0.3084569,1.162934,-0.241344,-0.4636275,1.107615,0.1759054,-0.4565419,1.099579,0.01542489,-0.1156082,1.191983,0.01851259,-0.4139383,1.183868,-0.1611126,0.0544771,1.169615,-0.055752,-0.4034874,1.152899,-0.1934915,-0.2001575,1.175556,0.2109408,-0.1937747,1.183578,NA,NA,NotTracked,NotTracked,
0.9399414,-0.3198242,-0.06201172,0.9223633,0.2910156,-0.06982422,-1,-3,-4,-3,-1,-5,-4,-2,3,1,-4,-1,0,-5,-3,-1,-0.0625,-0.0625,-0.0625,-0.6875,-0.6875,-0.6875,2.128552,3.036871,5.487202,8.013876,3.019105,1.803936,-0.1994751,-0.4689882,1.113225,0.2082752,-0.4721748,1.113821,0.02265722,0.308421,1.163111,-0.242289,-0.4632673,1.109276,0.171886,-0.4520893,1.096115,0.01550915,-0.1155836,1.192057,0.0185505,-0.4139158,1.183878,-0.161057,0.05450688,1.169628,-0.05570471,-0.4034788,1.152898,-0.1934338,-0.2000658,1.175777,0.2109385,-0.1938368,1.183623,NA,NA,NotTracked,NotTracked,
0.9428711,-0.3144531,-0.06445313,0.9296875,0.2856445,-0.06884766,1,-6,3,-3,-1,-3,-4,-3,-1,-2,4,-1,1,3,-3,5,-0.4375,-0.4375,-0.4375,1.9375,1.9375,1.9375,2.129936,3.037116,5.486468,8.013832,3.020093,1.805211,-0.199187,-0.4690343,1.11327,0.2076463,-0.4729996,1.114542,0.02289387,0.308417,1.163532,-0.241523,-0.4627351,1.108543,0.1706082,-0.4594808,1.095528,0.01562305,-0.1155716,1.192172,0.0185709,-0.4139121,1.183906,-0.1609943,0.05451408,1.169699,-0.05568147,-0.4034585,1.152948,-0.1934134,-0.2000562,1.175811,0.2110622,-0.1938084,1.183861,NA,NA,NotTracked,NotTracked,
0.9414063,-0.3085938,-0.06591797,0.9135742,0.2939453,-0.07666016,-1,-7,-3,5,7,-1,0,-1,9,-3,-5,-8,-5,-1,-8,0,-0.125,-0.125,-0.125,-3.625,-3.625,-3.625,2.130475,3.03639,5.485632,8.016536,3.019957,1.799445,-0.1986023,-0.4694844,1.113843,0.207787,-0.4732399,1.115078,0.02303706,0.3084779,1.163846,-0.2410763,-0.4682488,1.106605,0.1718493,-0.452854,1.098111,0.01573717,-0.1155227,1.192389,0.01862906,-0.4138998,1.184009,-0.1609388,0.05453435,1.169811,-0.05562058,-0.4034396,1.153052,-0.193398,-0.2001238,1.176033,0.2111491,-0.1940301,1.184157,NA,NA,NotTracked,NotTracked,
0.9404297,-0.3232422,-0.06835938,0.9282227,0.3022461,-0.078125,-3,9,0,-8,-3,-5,0,-1,-4,0,-6,-4,8,0,-2,0,-0.0625,-0.0625,-0.0625,2.125,2.125,2.125,2.129841,3.037009,5.485821,8.014969,3.019675,1.800726,-0.1991538,-0.4690499,1.113973,0.2082253,-0.4735716,1.115885,0.02312253,0.3085402,1.164052,-0.2415101,-0.4602084,1.111551,0.1701921,-0.4595203,1.095132,0.0157922,-0.1154981,1.192601,0.01867119,-0.4138772,1.184095,-0.160878,0.05456021,1.169868,-0.05556752,-0.4034166,1.15317,-0.1933779,-0.2001445,1.176155,0.2112082,-0.194001,1.184295,NA,NA,NotTracked,NotTracked,
0.9453125,-0.3271484,-0.06445313,0.9287109,0.2988281,-0.06542969,0,-5,4,0,-4,2,-5,-2,4,5,-1,6,-6,-3,-6,7,1.75,1.75,1.75,0.875,0.875,0.875,2.132688,3.037565,5.485405,8.004916,3.020854,1.809783,-0.1986561,-0.4690711,1.114134,0.2077547,-0.4727992,1.114632,0.02324591,0.3086978,1.164594,-0.2407921,-0.477887,1.106909,0.1703798,-0.4585513,1.095277,0.01582793,-0.1154996,1.192801,0.01868749,-0.4138902,1.184208,-0.1608404,0.05458732,1.169991,-0.05555512,-0.4034069,1.153274,-0.193242,-0.2000381,1.176567,0.2113204,-0.1940966,1.184579,NA,NA,NotTracked,NotTracked,
0.9624023,-0.3320313,-0.0703125,1.147949,0.6796875,-0.1777344,-4,-10,-8,-2,8,-7,3,-2,8,-10,-28,4,-20,-9,-1,0,9.625,9.625,9.625,-24.1875,-24.1875,-24.1875,2.139404,3.041776,5.48726,7.824081,3.038867,1.994495,-0.1991373,-0.4693839,1.114355,0.1950665,-0.4678175,1.096262,0.02318939,0.3086775,1.1653,-0.2409669,-0.4609844,1.110766,0.155352,-0.4685895,1.076567,0.01582108,-0.1154861,1.192945,0.01861482,-0.4139039,1.184247,-0.1607948,0.054588,1.17007,-0.05564591,-0.4034109,1.153256,-0.1932735,-0.1999935,1.176678,0.2124041,-0.1937762,1.185392,NA,NA,NotTracked,NotTracked,
0.9707031,-0.3188477,-0.07910156,1.793945,1.169922,0.293457,4,3,-2,-3,7,0,-5,-3,-13,4,28,-47,-22,1,-20,-19,3.125,3.125,3.125,-53.875,-53.875,-53.875,2.152733,3.040744,5.486089,7.100514,3.253721,2.704481,-0.1988608,-0.4687752,1.113691,0.1718646,-0.4052645,1.018591,0.02313296,0.3087314,1.165697,-0.2409602,-0.4554236,1.111846,0.16009,-0.425725,1.033091,0.01476712,-0.1154419,1.192969,0.01501159,-0.4138126,1.183637,-0.1608042,0.05457988,1.17015,-0.05987334,-0.4025289,1.15228,-0.193321,-0.2001671,1.176869,0.221857,-0.1852587,1.192638,NA,NA,NotTracked,Unknown,
0.871582,-0.3374023,-0.05224609,1.265137,1.237793,1.105469,-3,0,6,-1,-6,-4,-4,-2,-34,-106,-55,-54,-21,-1,-15,18,-20.8125,-20.8125,-20.8125,-210.0625,-210.0625,-210.0625,2.104867,3.044215,5.50575,6.426968,3.880236,3.23024,-0.201604,-0.4684146,1.114488,0.1617095,-0.1965749,0.9331629,0.02327104,0.3088802,1.166249,-0.244077,-0.4713811,1.112366,0.1718626,-0.2228258,0.9227143,0.01197707,-0.1152282,1.19302,0.006089449,-0.4135324,1.182556,-0.1609182,0.0546712,1.171081,-0.06864008,-0.4011019,1.151271,-0.1934435,-0.2000629,1.177164,0.2355749,-0.1491538,1.190939,NA,NA,NotTracked,Unknown,
0.9775391,-0.3413086,-0.07519531,0.005371094,0.3237305,0.3701172,0,1,1,-1,-1,-4,-2,1,-68,-86,-8,33,30,20,-14,-40,-6.5625,-6.5625,-6.5625,-248.5,-248.5,-248.5,2.063471,3.050882,5.529787,5.902376,4.844529,3.428808,-0.203302,-0.4691525,1.113941,0.1626919,0.0665053,0.9456875,0.02352494,0.3088601,1.167145,-0.2448076,-0.4633981,1.107664,0.176904,0.1127509,0.895,0.01068417,-0.1162713,1.193558,0.00475991,-0.416339,1.182499,-0.1604076,0.05454703,1.171117,-0.07021417,-0.4039503,1.152169,-0.1938061,-0.2002436,1.177145,0.2270035,-0.1453175,1.081203,NA,NA,NotTracked,Unknown,
