ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.8935547,0.3852539,-0.008300781,0.934082,-0.3637695,-0.02783203,-1,0,12,0,7,0,-3,0,-3,0,-3,-3,1,-1,1,-1,-1.25,-1.25,-1.25,-1.625,-1.625,-1.625,7.65253,3.141683,2.189376,2.2978,3.08308,5.375874,-0.5532777,-0.4854485,1.188696,-0.1614989,-0.4402142,1.203378,-0.3850979,0.2973624,1.262456,-0.4984386,-0.4504778,1.177898,-0.1240081,-0.4432188,1.219273,-0.3797466,-0.1232086,1.297362,-0.3604746,-0.4185273,1.284661,-0.5394303,0.04037527,1.257116,-0.4269818,-0.4127198,1.240855,-0.5778683,-0.2101506,1.274827,-0.1785043,-0.1912238,1.310843,NA,NA,NotTracked,NotTracked,
0.8916016,0.3764648,-0.01123047,0.9389648,-0.3579102,-0.02294922,-2,0,-3,1,-1,1,2,-1,-2,0,-2,-1,-2,-1,0,0,0.25,0.25,0.25,-2.25,-2.25,-2.25,7.647528,3.141427,2.192142,2.299206,3.085448,5.372285,-0.5541024,-0.4870377,1.188352,-0.1624006,-0.4408745,1.204454,-0.3855346,0.2970885,1.26259,-0.4993175,-0.4543457,1.179282,-0.1247327,-0.4453254,1.220657,-0.380123,-0.1233315,1.297447,-0.3607853,-0.4185982,1.284654,-0.5399296,0.04017139,1.25724,-0.4272912,-0.4128227,1.240913,-0.5783856,-0.2102485,1.27502,-0.1787466,-0.1911937,1.310833,NA,NA,NotTracked,NotTracked,
0.8964844,0.3779297,-0.005859375,0.9482422,-0.3491211,-0.03857422,1,-1,4,2,1,12,1,0,-1,3,-3,0,4,-4,0,-3,1.5,1.5,1.5,1.9375,1.9375,1.9375,7.64678,3.140723,2.19682,2.310735,3.09077,5.360469,-0.5532512,-0.4876824,1.186076,-0.1628263,-0.4415476,1.203098,-0.3858281,0.2967417,1.262691,-0.4992296,-0.4697779,1.18325,-0.1293238,-0.4464171,1.196,-0.3805339,-0.1236439,1.297542,-0.3609945,-0.41881,1.284718,-0.5401228,0.03999029,1.257308,-0.4275066,-0.4130683,1.2409,-0.5783547,-0.2103497,1.274939,-0.1793454,-0.191981,1.310496,NA,NA,NotTracked,NotTracked,
0.8984375,0.3779297,-0.02001953,0.9345703,-0.3466797,-0.03027344,-2,2,2,-1,-4,-3,0,0,-2,0,-4,2,-3,5,3,-1,1.75,1.75,1.75,1.5,1.5,1.5,7.648856,3.139416,2.197009,2.328507,3.093584,5.345314,-0.552362,-0.4861403,1.185423,-0.1643344,-0.442236,1.202462,-0.3859682,0.2965947,1.262728,-0.4994189,-0.454722,1.180306,-0.1261568,-0.4510106,1.204368,-0.3810927,-0.1238339,1.297654,-0.3614421,-0.4189225,1.284778,-0.5403367,0.03989822,1.257537,-0.4279509,-0.4131967,1.241021,-0.5783845,-0.210392,1.274909,-0.1798645,-0.1922513,1.310228,NA,NA,NotTracked,NotTracked,
0.8989258,0.3671875,-0.01269531,0.9277344,-0.3491211,-0.02734375,0,1,-1,-1,-2,3,2,-2,-2,1,-1,-1,-6,-1,-1,-1,-0.4375,-0.4375,-0.4375,-3.375,-3.375,-3.375,7.650212,3.137714,2.194406,2.336533,3.093041,5.332681,-0.5511359,-0.4856484,1.184136,-0.16445,-0.4416984,1.201663,-0.3860935,0.2965155,1.26258,-0.4989392,-0.4545545,1.17919,-0.1259044,-0.4558955,1.202489,-0.3813071,-0.1238528,1.297609,-0.3615271,-0.4189511,1.284778,-0.5404696,0.03990584,1.257496,-0.4280414,-0.4132362,1.241009,-0.5783984,-0.2103709,1.274791,-0.1801012,-0.1922893,1.309934,NA,NA,NotTracked,NotTracked,
0.9013672,0.375,-0.01123047,0.9311523,-0.3579102,-0.03271484,1,-3,-4,-2,-3,-1,1,-2,-3,0,-2,0,1,-2,-1,-1,-0.9375,-0.9375,-0.9375,0.75,0.75,0.75,7.650641,3.13652,2.191883,2.334707,3.091905,5.333797,-0.5517195,-0.485931,1.184669,-0.1644298,-0.4423898,1.202459,-0.386095,0.2964869,1.26246,-0.5221023,-0.4741545,1.205786,-0.1259637,-0.4538167,1.204688,-0.3814956,-0.1238609,1.297652,-0.3617652,-0.4189843,1.284813,-0.5404649,0.03991022,1.257391,-0.4282674,-0.413253,1.240988,-0.5782803,-0.2103911,1.274543,-0.1803467,-0.1922745,1.309809,NA,NA,NotTracked,NotTracked,
0.9052734,0.3725586,-0.008300781,0.9321289,-0.3530273,-0.03076172,2,-2,-4,-4,-3,2,2,3,-1,-2,-1,-4,-1,0,-2,0,-2.0625,-2.0625,-2.0625,-0.6875,-0.6875,-0.6875,7.649187,3.135602,2.189837,2.329393,3.086365,5.340802,-0.5511237,-0.4862368,1.184499,-0.1643285,-0.4427982,1.202138,-0.3860904,0.2962707,1.262266,-0.4992255,-0.4565424,1.1747,-0.1253462,-0.4607067,1.206496,-0.3816132,-0.1239514,1.297608,-0.361914,-0.4190935,1.284762,-0.540575,0.0397914,1.257435,-0.4284383,-0.4133667,1.240945,-0.5783825,-0.2104667,1.274445,-0.1804991,-0.192342,1.309694,NA,NA,NotTracked,NotTracked,
0.9018555,0.378418,-0.006347656,0.9335938,-0.3662109,-0.03759766,1,-4,-1,1,5,-4,-4,-3,-3,-4,-2,-2,1,0,-5,0,-1,-1,-1,-3.875,-3.875,-3.875,7.649341,3.135384,2.186455,2.312914,3.081517,5.349679,-0.5508549,-0.4855515,1.185312,-0.164222,-0.44341,1.202234,-0.3860143,0.2961519,1.26224,-0.502736,-0.4608432,1.180525,-0.1253725,-0.4514869,1.208039,-0.3818164,-0.1240932,1.297575,-0.3621591,-0.419217,1.284727,-0.5406038,0.03976942,1.257432,-0.4286594,-0.4134649,1.240922,-0.5783116,-0.2106156,1.27413,-0.1805585,-0.1924416,1.309665,NA,NA,NotTracked,NotTracked,
0.8989258,0.3652344,-0.009277344,0.9311523,-0.3486328,-0.02978516,-1,1,2,-2,-7,-7,0,-1,-2,3,-3,-2,1,-1,-1,0,-3.8125,-3.8125,-3.8125,-2.875,-2.875,-2.875,7.646641,3.134715,2.180048,2.306457,3.078157,5.352895,-0.5515195,-0.4858496,1.187702,-0.1636632,-0.443456,1.204383,-0.3858825,0.2960843,1.262125,-0.500947,-0.459591,1.179388,-0.1245154,-0.4494888,1.21476,-0.3818291,-0.1241054,1.297568,-0.3621857,-0.4192482,1.284759,-0.540455,0.03970454,1.257242,-0.4286811,-0.4135085,1.240913,-0.577943,-0.2105944,1.273628,-0.1807784,-0.1925401,1.309736,NA,NA,NotTracked,NotTracked,
0.9082031,0.3706055,-0.006347656,0.9291992,-0.3652344,-0.02783203,-3,0,0,0,4,-4,-6,0,-1,0,-3,-3,-2,1,0,0,-2.75,-2.75,-2.75,-7.1875,-7.1875,-7.1875,7.64736,3.133732,2.174,2.296314,3.077226,5.353391,-0.5519232,-0.4856985,1.188847,-0.1634539,-0.4440178,1.205306,-0.3855824,0.2961147,1.262044,-0.501014,-0.4539843,1.180916,-0.1242851,-0.4437236,1.221363,-0.3818264,-0.1240553,1.297618,-0.3621894,-0.4192088,1.284849,-0.540426,0.03977631,1.257217,-0.4286805,-0.4134794,1.240937,-0.5784001,-0.2104447,1.273816,-0.180818,-0.1925033,1.309937,NA,NA,NotTracked,NotTracked,
