ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.4360352,-0.7802734,0.5107422,0.3881836,0.7807617,0.4990234,-1,-1,-2,-2,-5,-10,-15,-12,6,-3,-4,-4,-2,-2,6,10,0.0625,0.0625,0.0625,-0.5,-0.5,-0.5,3.399788,4.284255,1.000294,6.613532,4.361257,1.838648,-5.103854E-05,-0.2421567,1.174715,0.1828171,-0.2137381,1.150523,0.1314345,0.40767,1.343219,0.03324561,-0.2694983,1.212457,0.2130739,-0.1987666,1.11066,0.1158944,-0.04445716,1.381957,0.1155727,-0.3627729,1.362909,-0.0774112,0.1510332,1.373681,0.02384882,-0.35301,1.330331,-0.1494393,-0.08571366,1.405656,0.3723865,-0.08532938,1.35791,NA,NA,NotTracked,NotTracked,
0.4375,-0.7734375,0.5063477,0.3886719,0.7792969,0.4912109,1,-2,-1,-1,3,15,19,1,6,13,3,0,0,4,2,-6,-1.3125,-1.3125,-1.3125,-0.625,-0.625,-0.625,3.400373,4.283138,1.001824,6.612293,4.361712,1.8401,0.0004394885,-0.2420614,1.174723,0.182871,-0.2120946,1.150495,0.1314729,0.4075686,1.343247,0.03378645,-0.2698609,1.211002,0.1609666,-0.1577842,1.129778,0.1158403,-0.04453066,1.382152,0.1155288,-0.3627343,1.363017,-0.07771372,0.1515001,1.375217,0.02383182,-0.3529747,1.330415,-0.1493822,-0.08588112,1.405855,0.3723112,-0.08536503,1.358009,NA,NA,NotTracked,NotTracked,
0.4350586,-0.7895508,0.5161133,0.3881836,0.7851563,0.4970703,-2,1,-1,-1,-5,-2,-12,-1,4,-1,2,-1,-1,-2,2,4,1.1875,1.1875,1.1875,0.125,0.125,0.125,3.400419,4.283519,1.002601,6.611282,4.361807,1.842213,-0.0002190053,-0.2426938,1.173587,0.1823921,-0.2145562,1.151893,0.1315557,0.4074331,1.343355,0.03578042,-0.2640261,1.220091,0.1662577,-0.1559932,1.135,0.1158617,-0.0445065,1.382314,0.1154864,-0.3627158,1.363205,-0.07768987,0.1515655,1.375212,0.02381717,-0.3529427,1.330554,-0.14936,-0.08588833,1.405938,0.3722821,-0.08539049,1.358168,NA,NA,NotTracked,NotTracked,
0.4291992,-0.7836914,0.5009766,0.3901367,0.78125,0.4960938,-4,0,1,-3,-3,-7,4,7,-5,-10,-5,-2,-2,-4,-4,-22,0.375,0.375,0.375,0.9375,0.9375,0.9375,3.402001,4.283762,1.00527,6.610178,4.361812,1.84627,0.001693253,-0.242057,1.175391,0.1814387,-0.2153319,1.150584,0.1316893,0.407342,1.343305,0.03698209,-0.2637557,1.218964,0.1625304,-0.1572861,1.133437,0.1159233,-0.04451796,1.382427,0.1154949,-0.3625806,1.3634,-0.07774491,0.1519649,1.375395,0.02386242,-0.3528267,1.330802,-0.1492591,-0.08599904,1.406095,0.3720024,-0.08557382,1.358707,NA,NA,NotTracked,NotTracked,
0.4379883,-0.7807617,0.5029297,0.3969727,0.7822266,0.4946289,1,-3,-2,-3,-4,-8,-11,-7,17,4,2,-1,0,0,0,-4,1.0625,1.0625,1.0625,0,0,0,3.403573,4.283032,1.00799,6.608733,4.36125,1.850953,0.0008136246,-0.2423639,1.175054,0.1801655,-0.2155407,1.152346,0.1317999,0.4072245,1.343491,0.03746644,-0.2661047,1.2192,0.1660665,-0.1563038,1.136875,0.1159379,-0.04450318,1.382591,0.1154287,-0.3624844,1.363662,-0.07783867,0.1523342,1.375574,0.02380168,-0.3527095,1.331076,-0.1492262,-0.08607635,1.406286,0.3721354,-0.08595336,1.358813,NA,NA,NotTracked,NotTracked,
0.4350586,-0.793457,0.5112305,0.3916016,0.7802734,0.4833984,1,0,0,-2,-1,5,0,4,-31,-11,-4,-3,-1,2,3,0,1.125,1.125,1.125,-0.25,-0.25,-0.25,3.40309,4.283762,1.011294,6.608354,4.361507,1.85193,0.001187275,-0.2419685,1.176463,0.1799231,-0.214639,1.152869,0.131876,0.4070095,1.343705,0.03633627,-0.2644124,1.2205,0.1600995,-0.158006,1.134931,0.1159061,-0.04459964,1.382872,0.1154123,-0.3625018,1.363853,-0.07790615,0.1523269,1.375656,0.02378428,-0.3527172,1.331311,-0.149233,-0.08628616,1.406653,0.3716435,-0.08597766,1.359082,NA,NA,NotTracked,NotTracked,
0.4335938,-0.7841797,0.5092773,0.3828125,0.7851563,0.4819336,-1,-1,0,0,-1,-1,-8,-2,-12,-16,-2,-3,-3,-4,-6,-17,-0.1875,-0.1875,-0.1875,1.375,1.375,1.375,3.404757,4.284903,1.015836,6.609643,4.360246,1.853156,0.00272591,-0.2424212,1.178419,0.1797209,-0.215165,1.153972,0.1318832,0.4069293,1.343791,0.03504357,-0.2688822,1.214946,0.1631282,-0.1574166,1.135884,0.1158745,-0.04461025,1.383103,0.1153786,-0.3624512,1.364069,-0.0779698,0.1525012,1.37596,0.02377649,-0.3526995,1.331577,-0.1492183,-0.08645619,1.407047,0.37148,-0.08627293,1.359353,NA,NA,NotTracked,NotTracked,
0.4379883,-0.7788086,0.5019531,0.4018555,0.7954102,0.4897461,0,1,-1,-2,-4,-15,-20,-19,2,1,3,1,2,-1,-3,-6,2.25,2.25,2.25,2.8125,2.8125,2.8125,3.406882,4.284995,1.020509,6.611869,4.358149,1.854792,0.00194869,-0.2422762,1.178254,0.178695,-0.2157765,1.154107,0.1318668,0.4068167,1.343845,0.03536057,-0.2700806,1.211512,0.1608738,-0.1581782,1.1367,0.115838,-0.04473145,1.383403,0.1153529,-0.3625625,1.364269,-0.07801659,0.1523583,1.376167,0.02373941,-0.3528012,1.331828,-0.14914,-0.08643094,1.407176,0.3716399,-0.0864379,1.35939,NA,NA,NotTracked,NotTracked,
0.4404297,-0.8457031,0.4482422,0.3950195,0.8662109,0.4174805,-4,0,-1,-2,-3,-10,-17,-1,2,-5,-10,-6,-2,19,5,-3,6.1875,6.1875,6.1875,-0.8125,-0.8125,-0.8125,3.401605,4.284847,1.037177,6.626642,4.361727,1.836732,-0.003627839,-0.2428682,1.175487,0.178905,-0.215271,1.153209,0.1317597,0.4066114,1.343983,0.03455373,-0.2692896,1.212126,0.1707217,-0.15671,1.136704,0.115838,-0.04475795,1.383523,0.1153313,-0.3625835,1.364423,-0.07811289,0.1523878,1.376286,0.02371038,-0.3528112,1.33196,-0.1488045,-0.08668064,1.407548,0.3714686,-0.08630404,1.359588,NA,NA,NotTracked,NotTracked,
0.4238281,-0.9384766,0.3950195,0.4121094,0.9946289,0.375,1,-2,0,-1,0,-2,2,3,9,10,-1,-4,-2,8,-1,-16,13.0625,13.0625,13.0625,-15.4375,-15.4375,-15.4375,3.377201,4.297007,1.10706,6.656901,4.384476,1.764185,-0.03066833,-0.2345128,1.175482,0.1912335,-0.2123938,1.148182,0.1317172,0.4065183,1.34413,0.002260943,-0.2726043,1.220875,0.2230411,-0.1908668,1.112457,0.1159469,-0.04473371,1.383646,0.1154677,-0.3625215,1.364449,-0.07813304,0.1524787,1.376469,0.02383212,-0.352729,1.331965,-0.1488959,-0.08684182,1.40865,0.3713757,-0.08639868,1.360418,NA,NA,NotTracked,Unknown,
