ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9423828,0.1938477,-0.1240234,0.9594727,-0.2392578,-0.07470703,0,-1,-1,0,-4,-3,0,-1,-1,0,0,-1,-2,1,0,-2,1.125,1.125,1.125,-1,-1,-1,8.427985,2.88179,3.683007,2.028094,2.908694,4.918277,-0.1776825,-0.5542041,1.643827,0.2347387,-0.5489941,1.604652,0.03133191,0.1974666,1.695294,-0.2216942,-0.5489561,1.638106,0.2712025,-0.5475518,1.579459,0.03222719,-0.2145803,1.700389,0.02735122,-0.512493,1.695101,-0.1248921,-0.04452299,1.680763,-0.0471409,-0.4998596,1.666649,-0.1799658,-0.2834995,1.692448,0.2371392,-0.2867556,1.665958,NA,NA,NotTracked,NotTracked,
0.9448242,0.1899414,-0.1225586,0.9599609,-0.2441406,-0.07617188,1,0,-2,-1,-3,-1,-2,-3,0,-2,-1,-4,0,0,-1,0,1.5625,1.5625,1.5625,0.75,0.75,0.75,8.426193,2.880385,3.687128,2.028714,2.909044,4.917811,-0.1774022,-0.5529548,1.643177,0.2345629,-0.5488231,1.604557,0.03120335,0.1975255,1.695131,-0.2208465,-0.5474654,1.636193,0.2698382,-0.5455656,1.578941,0.03219508,-0.2145928,1.700162,0.02735041,-0.5124862,1.69507,-0.1246257,-0.04470628,1.681163,-0.04714732,-0.4998641,1.66663,-0.1799333,-0.2834706,1.692395,0.237126,-0.2866541,1.665872,NA,NA,NotTracked,NotTracked,
0.9458008,0.1972656,-0.1347656,0.9648438,-0.2412109,-0.07519531,0,-2,0,-3,-1,10,-1,0,-1,-2,0,-1,-1,0,-1,-1,-1.25,-1.25,-1.25,1.25,1.25,1.25,8.429156,2.880525,3.684352,2.029835,2.909776,4.919,-0.1771997,-0.5538973,1.644059,0.2344988,-0.549053,1.60499,0.03120711,0.1975155,1.695067,-0.2217452,-0.5483973,1.64002,0.269824,-0.54742,1.578787,0.03216569,-0.2145945,1.700079,0.02733229,-0.5124795,1.695067,-0.124757,-0.04457173,1.680823,-0.04717288,-0.4998539,1.666645,-0.1799227,-0.283487,1.692415,0.2371174,-0.2866428,1.665844,NA,NA,NotTracked,NotTracked,
0.9472656,0.1860352,-0.1230469,0.9604492,-0.2412109,-0.07128906,0,-1,-1,-1,0,5,-2,2,-1,0,-2,-2,-1,-1,-1,-1,-3,-3,-3,-1.375,-1.375,-1.375,8.426224,2.881004,3.682063,2.028948,2.909254,4.918587,-0.1772494,-0.5544037,1.64331,0.234257,-0.5497659,1.604506,0.03123369,0.1975445,1.695042,-0.2215866,-0.541863,1.639223,0.2721603,-0.5458568,1.581162,0.03226538,-0.2145996,1.70018,0.027465,-0.5124483,1.695009,-0.1247611,-0.04445926,1.680518,-0.04704279,-0.4998366,1.666605,-0.1798895,-0.2832522,1.692264,0.2371021,-0.2866402,1.66584,NA,NA,NotTracked,NotTracked,
0.9477539,0.1845703,-0.1274414,0.9604492,-0.2456055,-0.07568359,-3,0,-1,-1,2,-2,-1,-1,0,0,-1,0,-2,0,-2,-1,1.6875,1.6875,1.6875,-1.6875,-1.6875,-1.6875,8.425088,2.881015,3.683201,2.031387,2.909632,4.913826,-0.1776909,-0.5550551,1.645336,0.2355316,-0.5496985,1.605623,0.03121821,0.1974971,1.695025,-0.2208353,-0.5476627,1.63715,0.271061,-0.5471169,1.579607,0.03238942,-0.2145914,1.700398,0.0274446,-0.5124244,1.69494,-0.1248407,-0.0444326,1.680381,-0.04706578,-0.4998376,1.666585,-0.17987,-0.2834453,1.692176,0.2371497,-0.2865799,1.665782,NA,NA,NotTracked,NotTracked,
0.9448242,0.1943359,-0.1166992,0.9594727,-0.25,-0.07080078,-2,-2,-2,-1,-1,3,-2,-1,-2,0,-1,-2,-1,-2,0,-1,1.8125,1.8125,1.8125,0.9375,0.9375,0.9375,8.42379,2.880489,3.687961,2.031626,2.908961,4.912379,-0.1774769,-0.5544414,1.644144,0.2347923,-0.548865,1.605292,0.03110941,0.1975562,1.695037,-0.2208577,-0.5462658,1.63563,0.2718379,-0.5480511,1.581763,0.03235611,-0.2145602,1.70029,0.02744218,-0.5123994,1.694966,-0.1248847,-0.04439794,1.680294,-0.04707169,-0.499837,1.666603,-0.1798824,-0.284001,1.692129,0.2371516,-0.2865552,1.665764,NA,NA,NotTracked,NotTracked,
0.9487305,0.1938477,-0.1357422,0.9624023,-0.2353516,-0.07666016,-1,0,1,-3,-1,-1,-2,-2,0,-1,-1,-1,-1,-1,-1,-1,-2.75,-2.75,-2.75,1.5,1.5,1.5,8.41992,2.881946,3.689509,2.031591,2.909297,4.915086,-0.1773055,-0.5541689,1.644004,0.2344362,-0.548744,1.604443,0.03106574,0.1975911,1.695126,-0.2195607,-0.5467889,1.632979,0.2705056,-0.5469593,1.578935,0.03233469,-0.2145461,1.700203,0.02742358,-0.5123729,1.694993,-0.1249206,-0.04436121,1.680201,-0.04709038,-0.4998221,1.666616,-0.1798826,-0.2836314,1.692093,0.2371391,-0.2865041,1.665755,NA,NA,NotTracked,NotTracked,
0.9418945,0.190918,-0.1264648,0.9628906,-0.2436523,-0.06640625,0,0,-1,-1,0,2,1,2,0,-1,-1,0,-2,0,-1,-3,-2.4375,-2.4375,-2.4375,-0.625,-0.625,-0.625,8.413375,2.882545,3.690679,2.031591,2.909297,4.915086,-0.1775767,-0.5547299,1.644426,0.2350502,-0.5494307,1.604383,0.03098237,0.1976146,1.695182,-0.2214655,-0.5621346,1.6373,0.2707966,-0.5470402,1.579076,0.03231699,-0.2145546,1.700112,0.02743037,-0.5123731,1.694992,-0.1249707,-0.04434814,1.680136,-0.04708827,-0.4998242,1.666599,-0.1798925,-0.2836056,1.692107,0.2371641,-0.2865309,1.665777,NA,NA,NotTracked,NotTracked,
0.9453125,0.1884766,-0.1201172,0.9624023,-0.2387695,-0.07080078,1,-2,-1,-1,0,-2,-3,-3,-1,-1,0,-1,-2,-1,-1,-2,-1.6875,-1.6875,-1.6875,-1.0625,-1.0625,-1.0625,8.410976,2.882082,3.690576,2.029509,2.908985,4.91406,-0.1776332,-0.5543351,1.644188,0.2352199,-0.5494583,1.604776,0.03091078,0.1976312,1.695303,-0.2214859,-0.5491152,1.636868,0.270544,-0.5469271,1.579173,0.03234895,-0.2145832,1.70002,0.02747716,-0.5123821,1.694996,-0.1250063,-0.0443393,1.680067,-0.04703745,-0.4998392,1.666596,-0.1798909,-0.2836168,1.692116,0.2371726,-0.2865341,1.665824,NA,NA,NotTracked,NotTracked,
0.9418945,0.1977539,-0.1298828,0.9570313,-0.2451172,-0.06884766,-2,0,-1,-1,3,8,0,0,-1,-1,-1,-2,-4,-1,-2,-1,2.125,2.125,2.125,0.25,0.25,0.25,8.418242,2.88016,3.685406,2.029509,2.908985,4.91406,-0.177943,-0.5549638,1.644266,0.2349867,-0.5492237,1.605299,0.03096819,0.1977507,1.695577,-0.2215181,-0.5505931,1.637745,0.2717769,-0.5456631,1.579875,0.03234397,-0.2145938,1.699939,0.02750084,-0.512413,1.695004,-0.1250237,-0.0443081,1.680026,-0.04701168,-0.4998933,1.666609,-0.1798935,-0.283537,1.692153,0.2371105,-0.2864393,1.665931,NA,NA,NotTracked,NotTracked,
