ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9438477,0.1821289,-0.1689453,0.9589844,-0.2646484,-0.08837891,-1,0,-1,0,0,-2,-2,-1,-2,-1,-2,-1,0,-3,0,-1,-6,-6,-6,-3.0625,-3.0625,-3.0625,8.68231,2.891952,3.236756,1.979142,2.956628,2.935515,-0.3534676,-0.5508904,1.566256,0.08194865,-0.549132,1.584685,-0.1462602,0.1989793,1.652464,-0.3053311,-0.5308942,1.560259,0.03353488,-0.5024562,1.569505,-0.1448298,-0.2131971,1.642737,-0.1458566,-0.5137975,1.636067,-0.2984312,-0.0498565,1.633151,-0.2172422,-0.5022702,1.600857,-0.3535832,-0.2827057,1.617113,0.07514031,-0.2962097,1.63807,NA,NA,NotTracked,NotTracked,
0.9418945,0.1767578,-0.1538086,0.9550781,-0.2685547,-0.09814453,-1,-1,-1,0,-1,-1,-1,0,-2,-1,-1,0,0,-2,-2,-1,-6.6875,-6.6875,-6.6875,2.875,2.875,2.875,8.675251,2.892338,3.23126,1.977768,2.954734,2.938718,-0.3527556,-0.5505291,1.566099,0.08201148,-0.5496433,1.584793,-0.1464201,0.1989684,1.652209,-0.3059771,-0.532194,1.561242,0.04170101,-0.5386745,1.592095,-0.1447756,-0.2134319,1.643067,-0.1458887,-0.5137929,1.636018,-0.298442,-0.04987318,1.63308,-0.2172875,-0.5022839,1.600801,-0.3536173,-0.2824639,1.616777,0.07510732,-0.2961609,1.638006,NA,NA,NotTracked,NotTracked,
0.9404297,0.1782227,-0.1518555,0.9580078,-0.2646484,-0.09326172,-1,-1,-2,0,1,-1,0,-1,-1,0,-1,-2,-2,-2,0,-1,1.6875,1.6875,1.6875,3.8125,3.8125,3.8125,8.677455,2.890282,3.226484,1.971443,2.953554,2.95398,-0.3540262,-0.5513872,1.567252,0.08205006,-0.5494791,1.585156,-0.1466506,0.19887,1.65197,-0.3070967,-0.5340434,1.562377,0.03277462,-0.5049847,1.568727,-0.1448568,-0.2133521,1.642749,-0.1459018,-0.5137916,1.635936,-0.298743,-0.0495309,1.631311,-0.2173003,-0.5022978,1.600735,-0.353752,-0.2824562,1.616348,0.0750718,-0.2961107,1.637986,NA,NA,NotTracked,NotTracked,
0.9404297,0.1806641,-0.1650391,0.9580078,-0.2602539,-0.07958984,0,-2,1,0,-2,-1,-1,-2,-1,-1,-3,-2,-2,-1,-2,-1,4.125,4.125,4.125,2.1875,2.1875,2.1875,8.680902,2.88917,3.228637,1.972094,2.954439,2.958685,-0.3542966,-0.551052,1.567086,0.0815895,-0.5500489,1.58361,-0.1467181,0.1988316,1.651828,-0.3050999,-0.5301945,1.559767,0.0331501,-0.5034755,1.569583,-0.1448897,-0.2134862,1.642901,-0.1459583,-0.5137911,1.635758,-0.2987769,-0.04955854,1.631341,-0.2173699,-0.5023146,1.600545,-0.353732,-0.2825871,1.616175,0.07499315,-0.2960686,1.637918,NA,NA,NotTracked,NotTracked,
0.9404297,0.1787109,-0.1635742,0.9580078,-0.2705078,-0.08886719,1,-2,-1,-2,-1,-2,-1,0,-2,-1,-3,-1,-1,0,-2,-1,1.4375,1.4375,1.4375,-1.0625,-1.0625,-1.0625,8.681751,2.88849,3.232076,1.973533,2.954236,2.956738,-0.3541857,-0.5525233,1.567078,0.08043304,-0.5493711,1.584094,-0.1468536,0.1988268,1.651568,-0.3021311,-0.5233883,1.555605,0.04037781,-0.5410648,1.590857,-0.144986,-0.2133836,1.642547,-0.1460121,-0.5138383,1.635576,-0.2989516,-0.05009636,1.631372,-0.2174372,-0.5023185,1.600337,-0.3538144,-0.2825343,1.616068,0.07491917,-0.2961024,1.637829,NA,NA,NotTracked,NotTracked,
0.9394531,0.1738281,-0.1645508,0.9516602,-0.2705078,-0.08984375,-1,-1,-1,1,0,1,1,1,-2,-1,1,-3,-3,-1,0,-3,1.25,1.25,1.25,1.3125,1.3125,1.3125,8.682735,2.889088,3.232693,1.972734,2.954579,2.95903,-0.3547594,-0.5524164,1.566058,0.08062086,-0.5494293,1.58314,-0.1470819,0.1988817,1.651346,-0.3047401,-0.5298099,1.559191,0.03979678,-0.5417023,1.590137,-0.1450525,-0.213319,1.642314,-0.1460869,-0.5138255,1.635465,-0.2990866,-0.05001699,1.630095,-0.2175528,-0.5023335,1.60021,-0.3538998,-0.2825499,1.615982,0.07481989,-0.296079,1.637742,NA,NA,NotTracked,NotTracked,
0.9404297,0.1733398,-0.1577148,0.9580078,-0.2661133,-0.08544922,0,-2,-2,0,0,0,0,0,-1,-1,0,-2,-2,0,-1,-3,1.1875,1.1875,1.1875,2.4375,2.4375,2.4375,8.682751,2.888808,3.233464,1.971752,2.95595,2.964545,-0.3547136,-0.552794,1.566674,0.08068166,-0.5490015,1.582393,-0.1473246,0.1989958,1.651082,-0.3049237,-0.5329731,1.558356,0.03297773,-0.5158424,1.563846,-0.1452387,-0.2134076,1.642479,-0.1463232,-0.5137458,1.635269,-0.299322,-0.05000607,1.630472,-0.2177684,-0.5022218,1.599993,-0.3540885,-0.282834,1.615734,0.07470261,-0.2961336,1.637538,NA,NA,NotTracked,NotTracked,
0.9433594,0.1728516,-0.1601563,0.9526367,-0.2685547,-0.09277344,-2,-1,-1,-5,-1,-2,0,1,-1,-2,-2,-2,-1,-1,0,-2,0.25,0.25,0.25,-0.0625,-0.0625,-0.0625,8.682504,2.888777,3.234445,1.970471,2.95711,2.967898,-0.355013,-0.5529702,1.566408,0.07991722,-0.5487563,1.581959,-0.1476034,0.1989896,1.650797,-0.3009914,-0.5221187,1.5524,0.03891247,-0.5361679,1.585851,-0.1453355,-0.21336,1.642219,-0.1464789,-0.5138398,1.635138,-0.2993701,-0.04997978,1.630646,-0.2179479,-0.5023224,1.59984,-0.3543845,-0.2825558,1.615565,0.07456141,-0.2959544,1.63745,NA,NA,NotTracked,NotTracked,
0.9399414,0.171875,-0.1640625,0.953125,-0.2714844,-0.09423828,-2,-1,0,-2,0,-2,0,0,-1,-1,-1,0,-1,-1,-2,-1,-1.6875,-1.6875,-1.6875,-3.75,-3.75,-3.75,8.682169,2.888721,3.233822,1.969687,2.957248,2.964078,-0.3553068,-0.5520507,1.566423,0.07878689,-0.548536,1.581962,-0.1478268,0.1989992,1.650463,-0.304011,-0.5294608,1.557204,0.03019849,-0.5113866,1.566516,-0.1455135,-0.2133366,1.64185,-0.1466965,-0.5139457,1.634871,-0.2994145,-0.0499067,1.630754,-0.2182259,-0.502377,1.599507,-0.3545237,-0.2825244,1.615475,0.07447997,-0.2958471,1.637386,NA,NA,NotTracked,NotTracked,
0.9453125,0.1738281,-0.1542969,0.9580078,-0.2670898,-0.08789063,-2,-1,-1,-3,-1,0,0,-1,-2,-1,0,-3,-1,0,-1,-2,-1.125,-1.125,-1.125,-1.375,-1.375,-1.375,8.676691,2.888466,3.23616,1.967637,2.957088,2.961432,-0.3549329,-0.5527727,1.56644,0.07883596,-0.5479836,1.582394,-0.1479949,0.1989743,1.650169,-0.302577,-0.5255464,1.554677,0.03881671,-0.5375013,1.58613,-0.1456231,-0.2133267,1.641581,-0.1467972,-0.5140113,1.63473,-0.2994645,-0.04992867,1.630824,-0.2183124,-0.502453,1.599428,-0.3547782,-0.2828584,1.615286,0.07438861,-0.2957814,1.637333,NA,NA,NotTracked,NotTracked,
