ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9399414,-0.3393555,-0.04541016,0.9428711,0.1391602,-0.175293,-1,-2,-1,-1,0,-2,-1,-1,0,-1,-1,0,-2,-1,-2,-1,0.3125,0.3125,0.3125,1.25,1.25,1.25,2.306262,3.061335,3.825254,8.933268,2.866503,6.759056,-0.1918751,-0.553095,1.503349,0.2341832,-0.5552073,1.536135,0.01821175,0.2028594,1.618734,-0.149404,-0.5110105,1.520755,0.1934628,-0.5533284,1.531945,0.01257235,-0.2090951,1.614967,0.01246199,-0.5024783,1.598552,-0.1386007,-0.04609173,1.595748,-0.06213777,-0.4915822,1.568355,-0.1899672,-0.2903437,1.577824,0.2299026,-0.2971723,1.580999,NA,NA,NotTracked,NotTracked,
0.9335938,-0.3432617,-0.04248047,0.9462891,0.1352539,-0.1738281,-1,-1,0,-1,0,0,0,-2,-1,0,0,-1,-1,-1,-2,-1,1.5,1.5,1.5,0,0,0,2.306862,3.062451,3.826836,8.931642,2.86674,6.761411,-0.1921174,-0.5533853,1.503969,0.2342124,-0.5554893,1.53654,0.01807535,0.2028165,1.618374,-0.1543969,-0.5190592,1.515161,0.193065,-0.5549117,1.532927,0.01249647,-0.2091121,1.614913,0.01233903,-0.5025436,1.598423,-0.1386648,-0.04623573,1.595027,-0.06228372,-0.4916168,1.568182,-0.1900084,-0.2903856,1.577495,0.2290101,-0.297356,1.580231,NA,NA,NotTracked,NotTracked,
0.9355469,-0.3339844,-0.03613281,0.9482422,0.1381836,-0.1767578,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,0,0,-1,-1,1.125,1.125,1.125,-1.4375,-1.4375,-1.4375,2.310105,3.063218,3.828163,8.931749,2.866967,6.758078,-0.1922187,-0.5536881,1.503337,0.2340867,-0.554536,1.536023,0.01805563,0.2027974,1.618191,-0.1512576,-0.5128885,1.522947,0.1964261,-0.5597515,1.531951,0.01258196,-0.2091542,1.614502,0.01223294,-0.5025415,1.598319,-0.1388982,-0.04627931,1.595138,-0.06241068,-0.4916307,1.568035,-0.1901442,-0.2903123,1.57719,0.22892,-0.2974002,1.580308,NA,NA,NotTracked,NotTracked,
0.9389648,-0.3378906,-0.04199219,0.940918,0.1391602,-0.1733398,-2,-1,-1,-3,-2,0,-1,0,-1,-1,-1,0,-1,0,-1,-1,0.0625,0.0625,0.0625,-1.8125,-1.8125,-1.8125,2.309908,3.062622,3.827762,8.93658,2.867094,6.751482,-0.1930638,-0.5532193,1.504716,0.2340204,-0.5554124,1.537508,0.01803551,0.2027901,1.618125,-0.1522958,-0.5143581,1.522951,0.1917592,-0.5618194,1.528789,0.01254228,-0.209153,1.614506,0.01219024,-0.5025312,1.598266,-0.1387366,-0.04604322,1.594778,-0.06247054,-0.4915946,1.56797,-0.1901922,-0.2902426,1.577107,0.2288308,-0.2975099,1.580454,NA,NA,NotTracked,NotTracked,
0.9375,-0.340332,-0.04199219,0.9458008,0.1376953,-0.1699219,-2,0,-3,-2,-2,-1,-2,-1,-1,0,0,1,-2,-1,-1,-1,-0.5,-0.5,-0.5,-0.5625,-0.5625,-0.5625,2.309527,3.063083,3.828024,8.934332,2.866099,6.749061,-0.1930464,-0.554222,1.504826,0.2338365,-0.5563527,1.537753,0.01804626,0.2027707,1.618109,-0.1613922,-0.560865,1.485586,0.1923853,-0.5658995,1.528733,0.01241534,-0.2091652,1.614539,0.01188922,-0.5026291,1.598238,-0.1388125,-0.04600688,1.594707,-0.06278636,-0.4916607,1.567915,-0.1902373,-0.29019,1.577061,0.2287071,-0.2976224,1.580627,NA,NA,NotTracked,NotTracked,
0.9335938,-0.3427734,-0.04003906,0.9458008,0.1386719,-0.1782227,-2,-1,0,0,-1,0,-1,0,-1,-1,-2,0,0,-1,-1,-1,0.5625,0.5625,0.5625,0.375,0.375,0.375,2.309527,3.063083,3.828024,8.933839,2.86628,6.749307,-0.193327,-0.5542498,1.503705,0.2336191,-0.5556497,1.536337,0.01805349,0.2027689,1.618105,-0.1613078,-0.531464,1.527067,0.1921209,-0.5442053,1.536486,0.01233227,-0.2091441,1.614561,0.01177328,-0.5025425,1.598224,-0.1388703,-0.04601801,1.594664,-0.06288157,-0.4916,1.567878,-0.1903168,-0.2901044,1.576978,0.2280528,-0.2976551,1.580347,NA,NA,NotTracked,NotTracked,
0.9282227,-0.3432617,-0.03955078,0.9414063,0.1396484,-0.1728516,0,-1,-1,0,-1,-2,-1,-1,-2,-2,1,0,-1,-1,-1,-1,0.375,0.375,0.375,1,1,1,2.309527,3.063083,3.828024,8.932548,2.866776,6.750476,-0.1933971,-0.5535192,1.503182,0.2333357,-0.5550163,1.536331,0.01803756,0.2027777,1.61808,-0.1624883,-0.5453539,1.496085,0.1902333,-0.5440837,1.531976,0.01222754,-0.2091278,1.614576,0.01166877,-0.502553,1.598193,-0.1391121,-0.04603413,1.595099,-0.06298417,-0.4916012,1.567785,-0.1904885,-0.2901684,1.576914,0.2279308,-0.2977531,1.580536,NA,NA,NotTracked,NotTracked,
0.9350586,-0.3398438,-0.04296875,0.9414063,0.137207,-0.1762695,-2,-2,-1,-2,-3,-1,-2,-1,-1,-1,-1,-1,-3,0,-2,-2,0.0625,0.0625,0.0625,-0.5,-0.5,-0.5,2.309527,3.063083,3.828024,8.933388,2.866236,6.750558,-0.1943128,-0.5535533,1.504048,0.2330302,-0.5553388,1.537447,0.01801875,0.2027706,1.618063,-0.1524688,-0.5082051,1.528,0.1914672,-0.5696596,1.527846,0.01215596,-0.2090993,1.614574,0.01153536,-0.5025158,1.598137,-0.1393578,-0.04603117,1.595306,-0.06309512,-0.4915756,1.567755,-0.1906539,-0.2900762,1.576824,0.2278413,-0.29788,1.580693,NA,NA,NotTracked,NotTracked,
0.9365234,-0.3466797,-0.03466797,0.9438477,0.1342773,-0.1689453,-1,-1,0,-1,-1,-1,-2,-2,-3,-2,-1,-1,0,-2,0,-2,0.9375,0.9375,0.9375,-1.375,-1.375,-1.375,2.310284,3.063019,3.827374,8.933668,2.866606,6.746683,-0.1943171,-0.5532033,1.502304,0.2326325,-0.5551898,1.536635,0.0180026,0.2027617,1.617984,-0.1611733,-0.5383017,1.5232,0.1907327,-0.5452269,1.533919,0.01211019,-0.2091718,1.614147,0.01138206,-0.5025191,1.598022,-0.1395341,-0.04616128,1.595094,-0.06324922,-0.4916283,1.56765,-0.1908331,-0.2900488,1.576689,0.2277935,-0.2978933,1.580726,NA,NA,NotTracked,NotTracked,
0.9321289,-0.3510742,-0.04394531,0.9423828,0.1367188,-0.1723633,-1,-2,-1,-2,1,-2,-1,-1,-12,-19,-14,-6,-2,0,1,0,2.4375,2.4375,2.4375,-0.6875,-0.6875,-0.6875,2.313388,3.06435,3.826955,8.93152,2.866024,6.748309,-0.194367,-0.5543426,1.503988,0.2332405,-0.5560194,1.537595,0.01795851,0.2027396,1.617972,-0.1647642,-0.5436398,1.486795,0.1909554,-0.5304486,1.5374,0.01200173,-0.2091911,1.61424,0.01130875,-0.5025896,1.598069,-0.1394404,-0.04603162,1.594934,-0.06332815,-0.491677,1.56769,-0.1909985,-0.2901835,1.576625,0.2276853,-0.2980736,1.580989,NA,NA,NotTracked,NotTracked,
0.9462891,-0.3535156,-0.04052734,1.009277,0.08251953,-0.1416016,1,-2,0,0,-2,0,-1,-3,47,20,22,5,1,-4,-1,15,4.125,4.125,4.125,-6.75,-6.75,-6.75,2.317698,3.06704,3.829701,8.884474,2.860489,6.791113,-0.1948784,-0.553457,1.502963,0.2345091,-0.5539898,1.523829,0.01784525,0.2027069,1.617968,-0.160493,-0.5468224,1.5221,0.1904816,-0.556267,1.520818,0.01189105,-0.2092076,1.614274,0.01118094,-0.5026258,1.598022,-0.1399231,-0.04624395,1.595617,-0.06345315,-0.4917121,1.567677,-0.1910822,-0.2903657,1.576516,0.2276069,-0.2985527,1.581589,NA,NA,NotTracked,NotTracked,
0.9438477,-0.3642578,-0.04736328,1.276855,0.4042969,-0.05419922,-3,-1,-2,0,-1,-1,-1,-1,-128,-41,-6,4,-5,-7,-13,-42,2.5,2.5,2.5,-45.1875,-45.1875,-45.1875,2.311657,3.077494,3.847132,7.999032,2.905707,7.647735,-0.1945157,-0.5528224,1.501563,0.22764,-0.5192196,1.467366,0.01772301,0.2026935,1.617884,-0.151346,-0.5081334,1.523667,0.1863023,-0.5233705,1.459136,0.0117961,-0.2091436,1.613769,0.01068825,-0.502458,1.597533,-0.1400407,-0.04632595,1.595758,-0.06401709,-0.4912792,1.566931,-0.191121,-0.2903647,1.576476,0.2288771,-0.2936433,1.589016,NA,NA,NotTracked,NotTracked,
0.90625,-0.3422852,-0.04052734,1.17627,1.015625,0.1357422,-1,-2,-2,-1,-1,-1,-2,-1,-70,-21,-11,6,-2,-5,-7,-18,-7.8125,-7.8125,-7.8125,-36.25,-36.25,-36.25,2.284438,3.08819,3.870337,7.204108,3.227447,8.456802,-0.1952488,-0.5530397,1.502572,0.1910542,-0.4391316,1.439772,0.01750224,0.2027179,1.617979,-0.1634618,-0.5283677,1.520105,0.1688587,-0.4388205,1.393,0.01076184,-0.2088293,1.613693,0.008094653,-0.5015824,1.59672,-0.1399759,-0.04638126,1.595497,-0.06666451,-0.489942,1.565937,-0.1911642,-0.2899168,1.576532,0.2335574,-0.2679469,1.607008,NA,NA,NotTracked,NotTracked,
0.9291992,-0.3491211,-0.0234375,0.6381836,0.6025391,0.3823242,0,0,-1,-1,-2,-2,1,0,-42,11,50,18,12,10,5,-15,-25.75,-25.75,-25.75,-40.875,-40.875,-40.875,2.253597,3.085894,3.869177,6.813185,3.944127,8.753304,-0.1969392,-0.5535118,1.503754,0.1654029,-0.3127479,1.431293,0.01751954,0.2027547,1.618212,-0.1681625,-0.5333085,1.48739,0.1046761,-0.2815537,1.4324,0.01056193,-0.208689,1.613751,0.007489998,-0.5010945,1.59675,-0.1399261,-0.04643203,1.595477,-0.06716815,-0.4895736,1.565867,-0.1911845,-0.2897756,1.576453,0.2405248,-0.2431596,1.604403,NA,NA,NotTracked,Unknown,
