ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9370117,-0.3217773,-0.07666016,0.9306641,0.2075195,-0.1401367,-2,-2,1,-3,-1,0,-1,0,-2,-1,-2,-1,-1,-1,-1,0,2.0625,2.0625,2.0625,-2.75,-2.75,-2.75,2.135839,3.025653,4.549326,8.412673,2.91709,3.795441,-0.2208574,-0.5684709,1.52705,0.2010553,-0.5560912,1.501027,-0.005952225,0.2060329,1.634032,-0.1892953,-0.5495559,1.51407,0.1713957,-0.5416231,1.499577,-0.006769382,-0.2063362,1.622856,-0.0114099,-0.5029895,1.603363,-0.1590414,-0.04763731,1.610752,-0.08547451,-0.4914655,1.574337,-0.2228506,-0.3036122,1.589329,0.194878,-0.295057,1.57078,NA,NA,NotTracked,NotTracked,
0.9487305,-0.3139648,-0.07324219,0.9355469,0.2070313,-0.1328125,-1,-2,-1,-2,-1,-1,-2,-3,-1,-1,0,-2,0,0,-1,1,-2.375,-2.375,-2.375,2.5,2.5,2.5,2.14022,3.024584,4.542824,8.413687,2.919681,3.79472,-0.2189234,-0.5684733,1.527398,0.2013968,-0.5564867,1.500862,-0.00598531,0.2059779,1.634225,-0.1768983,-0.552664,1.523455,0.1706966,-0.5407781,1.499689,-0.006844291,-0.2063401,1.622957,-0.01157644,-0.5030331,1.603473,-0.1589628,-0.04762875,1.61088,-0.08561733,-0.4915046,1.574364,-0.2231715,-0.3037895,1.589464,0.1947594,-0.2950228,1.570815,NA,NA,NotTracked,NotTracked,
0.9428711,-0.3061523,-0.06982422,0.9301758,0.2089844,-0.1362305,-1,-2,0,-1,-1,-2,0,-1,0,0,-2,-1,-2,-1,-2,-1,1,1,1,4.6875,4.6875,4.6875,2.138164,3.028518,4.544501,8.42573,2.917765,3.789859,-0.219135,-0.5692407,1.526397,0.2008873,-0.5564402,1.500783,-0.006013811,0.2060872,1.63443,-0.1815751,-0.5421351,1.543211,0.1716916,-0.540049,1.498406,-0.006908131,-0.2063299,1.623014,-0.01172968,-0.5030712,1.603504,-0.1589044,-0.04767088,1.610982,-0.08578019,-0.4915614,1.574367,-0.2236344,-0.3041112,1.589567,0.19449,-0.2948596,1.570982,NA,NA,NotTracked,NotTracked,
0.9443359,-0.3076172,-0.07177734,0.9433594,0.206543,-0.144043,-1,-1,-2,1,-2,0,-1,-1,-2,0,-2,-1,-2,0,-1,0,0.5625,0.5625,0.5625,1.75,1.75,1.75,2.12771,3.030128,4.556643,8.428505,2.912647,3.791583,-0.2204039,-0.568565,1.52668,0.1995219,-0.5569711,1.501901,-0.005934918,0.2061556,1.63457,-0.1878952,-0.5527164,1.514812,0.1641975,-0.5514219,1.509842,-0.007096509,-0.2063033,1.623167,-0.01207594,-0.5031137,1.603637,-0.1588322,-0.04758912,1.611187,-0.08607011,-0.4916006,1.57448,-0.2239594,-0.3044727,1.589727,0.1942527,-0.294971,1.571064,NA,NA,NotTracked,NotTracked,
0.9379883,-0.3115234,-0.07177734,0.9467773,0.2109375,-0.1396484,-3,-2,-1,-2,-2,0,-2,-2,-2,0,1,0,-2,-1,-1,1,2.75,2.75,2.75,-1.3125,-1.3125,-1.3125,2.1236,3.03021,4.564156,8.422747,2.908594,3.7969,-0.2208313,-0.56861,1.527129,0.1984856,-0.5566907,1.501686,-0.006012189,0.2061406,1.634745,-0.1832114,-0.5422097,1.544177,0.1645895,-0.5462132,1.512531,-0.007223234,-0.2063033,1.623276,-0.01225296,-0.5031357,1.603714,-0.1599808,-0.04725904,1.610802,-0.08621569,-0.4916349,1.574537,-0.2241402,-0.3047273,1.589766,0.1940541,-0.2949616,1.571176,NA,NA,NotTracked,NotTracked,
0.9418945,-0.3164063,-0.07373047,0.9350586,0.206543,-0.1318359,0,-2,-2,-1,-2,0,-1,0,0,0,-2,-1,-2,-1,0,1,2.5,2.5,2.5,-4.75,-4.75,-4.75,2.127464,3.029057,4.564859,8.416068,2.909248,3.797523,-0.2212253,-0.5693564,1.527308,0.1987461,-0.556623,1.501054,-0.006297649,0.2060803,1.635078,-0.1856351,-0.555792,1.519689,0.1648978,-0.541512,1.512284,-0.007413582,-0.2063117,1.623424,-0.01257169,-0.5032119,1.603878,-0.1598678,-0.04742958,1.61108,-0.0864947,-0.4917012,1.57463,-0.2243212,-0.3045893,1.589919,0.1938562,-0.2949465,1.57128,NA,NA,NotTracked,NotTracked,
0.9394531,-0.3168945,-0.07128906,0.9355469,0.2099609,-0.1381836,-1,-1,-1,-2,-1,-1,0,0,-1,-2,-2,2,-1,-1,-1,-1,1.8125,1.8125,1.8125,-0.5,-0.5,-0.5,2.135346,3.028686,4.561635,8.413434,2.911195,3.796575,-0.2219771,-0.5698736,1.52813,0.1988693,-0.5569174,1.501089,-0.006753117,0.2059504,1.635254,-0.1888344,-0.5560892,1.518728,0.164424,-0.5473223,1.511653,-0.007580152,-0.206306,1.623517,-0.01281082,-0.5032554,1.603941,-0.1602287,-0.04719812,1.610814,-0.08671593,-0.4917349,1.574708,-0.2244831,-0.3044344,1.590003,0.1936793,-0.2948955,1.57132,NA,NA,NotTracked,NotTracked,
0.9335938,-0.3217773,-0.06591797,0.9506836,0.2119141,-0.1254883,0,-3,-1,0,-2,-1,1,-1,-5,-6,-5,-4,-3,0,0,-1,2.5,2.5,2.5,4.75,4.75,4.75,2.141901,3.030105,4.559344,8.405727,2.912997,3.809508,-0.220473,-0.5686986,1.527433,0.1977487,-0.556657,1.500652,-0.007202438,0.2059004,1.635402,-0.1824573,-0.5510487,1.526997,0.1641081,-0.5420976,1.513017,-0.007713226,-0.2062947,1.623591,-0.01301489,-0.5032338,1.604012,-0.1613708,-0.04714756,1.609904,-0.08688731,-0.4917201,1.574747,-0.2245699,-0.3043968,1.590028,0.1935033,-0.2947798,1.571364,NA,NA,NotTracked,NotTracked,
0.9428711,-0.3242188,-0.06835938,1.097168,0.3710938,-0.1411133,0,-2,0,-1,-1,-1,-1,-1,5,-6,-19,-25,-9,-3,1,5,3.0625,3.0625,3.0625,-37.875,-37.875,-37.875,2.147078,3.030327,4.558541,8.251653,2.926647,3.943465,-0.2214627,-0.5694281,1.527561,0.1914431,-0.5495943,1.488726,-0.007774716,0.2058532,1.635662,-0.1860213,-0.5536045,1.524545,0.1559254,-0.5390314,1.496,-0.007909759,-0.2063071,1.623751,-0.01322471,-0.5032458,1.604189,-0.1616177,-0.04733745,1.610097,-0.08711582,-0.4917353,1.575027,-0.2247139,-0.3045141,1.590189,0.1931642,-0.29415,1.571932,NA,NA,NotTracked,NotTracked,
0.9291992,-0.3242188,-0.04736328,1.143066,0.7675781,0.3911133,-3,-2,-3,-1,-1,0,0,-2,15,0,1,9,4,5,2,0,3.5,3.5,3.5,-106.125,-106.125,-106.125,2.164137,3.025886,4.55024,7.178625,3.087906,4.886916,-0.2196574,-0.5693778,1.527554,0.1734732,-0.5216545,1.437193,-0.008310637,0.2058287,1.635944,-0.1838554,-0.5382931,1.54591,0.152339,-0.5375588,1.466625,-0.008355043,-0.2061252,1.623826,-0.01405125,-0.5027447,1.604193,-0.1627631,-0.04777474,1.609707,-0.08791696,-0.4912621,1.575009,-0.2248291,-0.3046379,1.59033,0.1914361,-0.2862135,1.575245,NA,NA,NotTracked,NotTracked,
