ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9707031,-0.1772461,0.1054688,0.9438477,0.2402344,0.09716797,2,-4,-2,-1,1,1,-4,-21,1,-1,1,0,-2,-1,-1,-2,0.5,0.5,0.5,-1.375,-1.375,-1.375,3.22764,2.824373,6.573394,6.87969,2.95005,3.67072,-0.1996947,-0.4402534,1.655479,0.2124921,-0.4269351,1.66349,0.00560649,0.4295778,1.734114,-0.1495733,-0.4175546,1.624372,0.2573914,-0.3982655,1.671889,0.004478276,-0.04440381,1.749444,0.008919627,-0.3691513,1.728615,-0.1720699,0.1236993,1.706409,-0.07251988,-0.362334,1.693032,-0.2246792,-0.136239,1.715454,0.2253797,-0.1326904,1.735072,NA,NA,NotTracked,NotTracked,
0.9736328,-0.1782227,0.1152344,0.9345703,0.2490234,0.1010742,-15,1,1,0,1,-2,0,13,-1,-2,-1,0,-1,-2,0,0,-2.375,-2.375,-2.375,2.875,2.875,2.875,3.224608,2.82656,6.575152,6.87455,2.951917,3.681874,-0.1992032,-0.4401784,1.654828,0.2113767,-0.426466,1.662314,0.005617616,0.4295994,1.734071,-0.1491897,-0.4226784,1.623498,0.2562189,-0.4078354,1.6645,0.004483908,-0.04437118,1.749453,0.008904309,-0.3691164,1.728641,-0.1718164,0.1237514,1.706572,-0.07254309,-0.3622824,1.693067,-0.2246106,-0.1363614,1.715466,0.2251107,-0.1322421,1.734898,NA,NA,NotTracked,NotTracked,
0.9775391,-0.1630859,0.1020508,0.9370117,0.2446289,0.09472656,-8,-2,-1,1,-1,-1,0,9,1,0,-1,-1,-2,-1,-1,-1,-1.1875,-1.1875,-1.1875,2.4375,2.4375,2.4375,3.232482,2.8296,6.564879,6.87781,2.950536,3.68227,-0.1990997,-0.4397315,1.654777,0.2113524,-0.4272845,1.661353,0.005629516,0.4296138,1.734073,-0.1492584,-0.429524,1.622395,0.2503754,-0.4197632,1.644917,0.004474658,-0.04430612,1.749547,0.00888779,-0.3690253,1.728783,-0.172086,0.1243658,1.707304,-0.07254387,-0.3621967,1.693127,-0.2246885,-0.137091,1.71559,0.2248454,-0.132119,1.73475,NA,NA,NotTracked,NotTracked,
0.9780273,-0.1777344,0.09912109,0.9355469,0.2519531,0.09521484,-8,-5,-3,-1,-3,-3,-6,-30,-1,-1,-1,0,-1,-2,-1,0,-0.875,-0.875,-0.875,-1,-1,-1,3.244197,2.832572,6.550124,6.88136,2.950216,3.679684,-0.1986576,-0.4408214,1.653952,0.2111853,-0.4258048,1.662776,0.005645657,0.4296022,1.734151,-0.1490832,-0.4252831,1.623349,0.2505452,-0.4183112,1.647364,0.004530401,-0.04430119,1.74968,0.008848297,-0.3690094,1.728885,-0.1723147,0.1244905,1.7079,-0.07256394,-0.3621685,1.693169,-0.2246149,-0.1371624,1.715658,0.2246552,-0.1322181,1.734561,NA,NA,NotTracked,NotTracked,
0.9697266,-0.168457,0.1035156,0.9375,0.2509766,0.09375,-2,-1,-1,0,-1,-1,1,9,-1,0,-2,-1,-1,-1,-2,-1,-0.625,-0.625,-0.625,-1.75,-1.75,-1.75,3.264161,2.833499,6.531247,6.883924,2.950734,3.67535,-0.1980677,-0.439939,1.652501,0.2115507,-0.4255099,1.662473,0.005628508,0.4297044,1.734283,-0.1493879,-0.4096215,1.626152,0.2539499,-0.4146524,1.655059,0.004555665,-0.04434683,1.749781,0.008878929,-0.3691032,1.728966,-0.1725138,0.1244564,1.708261,-0.0725272,-0.362287,1.693264,-0.2245417,-0.1367764,1.715603,0.2245766,-0.1323578,1.73448,NA,NA,NotTracked,NotTracked,
0.9716797,-0.1831055,0.1005859,0.9433594,0.2495117,0.1103516,0,-1,1,-1,-1,-1,1,13,-2,0,1,-1,-1,-1,-1,-1,-0.5,-0.5,-0.5,-0.4375,-0.4375,-0.4375,3.270391,2.833436,6.520297,6.883928,2.950293,3.673189,-0.1976866,-0.439119,1.653073,0.211876,-0.4275299,1.663269,0.00562203,0.4298978,1.734744,-0.1493526,-0.4206257,1.624423,0.2569796,-0.4050079,1.669364,0.004558657,-0.04429883,1.749904,0.008883418,-0.3690742,1.729,-0.1721059,0.1242011,1.70785,-0.07253254,-0.3622676,1.693277,-0.2245235,-0.136642,1.715688,0.2244762,-0.132236,1.734534,NA,NA,NotTracked,NotTracked,
0.9794922,-0.1831055,0.1123047,0.9384766,0.2543945,0.1010742,0,-1,-3,-3,-2,-1,-2,3,0,-1,-1,-1,-1,0,0,0,-3.4375,-3.4375,-3.4375,-2.5,-2.5,-2.5,3.273589,2.833772,6.514505,6.883493,2.950445,3.671606,-0.1972756,-0.4392698,1.652286,0.2119475,-0.4274065,1.663176,0.005634031,0.4299536,1.734795,-0.1492707,-0.4200863,1.624044,0.2576236,-0.4019051,1.670222,0.00456799,-0.04423895,1.749932,0.008878523,-0.368997,1.728975,-0.1717853,0.1240494,1.707731,-0.07254287,-0.3621396,1.693197,-0.2241294,-0.1363826,1.715749,0.2243217,-0.1321952,1.734507,NA,NA,NotTracked,NotTracked,
1.012207,-0.2563477,0.1020508,0.9370117,0.3115234,0.1083984,2,-3,-3,-2,-6,8,4,-9,0,-2,-1,-2,0,-3,-1,0,-9.1875,-9.1875,-9.1875,-8.1875,-8.1875,-8.1875,3.272842,2.838893,6.503958,6.882396,2.953849,3.665364,-0.1969839,-0.4395475,1.651227,0.2118776,-0.4275213,1.66188,0.005629169,0.4300386,1.735058,-0.1491947,-0.4229825,1.62263,0.2554851,-0.4085013,1.659058,0.004606428,-0.04420527,1.74999,0.008913201,-0.3689565,1.728982,-0.1714497,0.1237727,1.707476,-0.07251087,-0.3620917,1.693151,-0.2240977,-0.1362653,1.71561,0.2242593,-0.1322653,1.734486,NA,NA,NotTracked,NotTracked,
1.006836,-0.362793,0.1801758,1.032227,0.3706055,0.09375,0,-1,-1,13,22,18,2,-5,5,4,11,4,-2,0,-1,0,-70.1875,-70.1875,-70.1875,-50.9375,-50.9375,-50.9375,3.287055,2.890727,6.417123,6.807246,3.010957,3.662789,-0.1964322,-0.4363672,1.647389,0.2134276,-0.4241117,1.65705,0.005536563,0.4300185,1.735466,-0.1491801,-0.4184217,1.624114,0.2333388,-0.4259469,1.612971,0.00458627,-0.04414519,1.750064,0.008871775,-0.3688947,1.728991,-0.1721301,0.1245378,1.708399,-0.07254469,-0.3620342,1.693186,-0.2246632,-0.1341118,1.714443,0.2243309,-0.1322861,1.734469,NA,NA,NotTracked,NotTracked,
1.050293,-0.5922852,0.2480469,1.111328,0.3339844,0.2768555,-2,-3,-22,4,28,15,-1,-3,-2,-11,-32,-12,-3,-3,0,-1,-57.5,-57.5,-57.5,-3.5,-3.5,-3.5,3.204181,3.14125,6.308909,6.577918,3.176732,3.865268,-0.2000183,-0.4302511,1.619699,0.2219621,-0.3992311,1.616149,0.005478601,0.4302168,1.736404,-0.1499992,-0.4139023,1.623023,0.2408845,-0.3952117,1.574167,0.004570229,-0.04409403,1.750143,0.008788355,-0.368801,1.728948,-0.1725986,0.124998,1.709398,-0.07263198,-0.3619231,1.693088,-0.2273671,-0.1293333,1.708394,0.2260875,-0.1310911,1.735266,NA,NA,NotTracked,NotTracked,
